,True Label,Model Name,Mean_Score,rank
12,Dec,FH_RobertWalraven_ESG,0.872165625,1.0
2,Dec,FH_COVIDhub_ensemble,0.8425946428571428,2.0
10,Dec,FH_Karlen_pypm,0.8017870967741936,3.0
15,Dec,USC_SI_kJalpha,0.7888359375,4.0
0,Dec,FH_BPagano_RtDriven,0.7770469387755101,5.0
7,Dec,FH_CovidAnalytics_DELPHI,0.768111475409836,6.0
8,Dec,FH_JHUAPL_Bucky,0.7512211538461538,7.0
11,Dec,FH_LANL_GrowthRate,0.7341314814814814,8.0
13,Dec,FH_TTU_squider,0.6922204081632652,9.0
1,Dec,FH_CEID_Walk,0.5935654545454545,10.0
4,Dec,FH_CU_scenario_low,0.551406976744186,11.0
5,Dec,FH_CU_scenario_mid,0.5374186046511628,12.0
3,Dec,FH_CU_nochange,0.48652558139534885,13.0
6,Dec,FH_CU_select,0.4093763636363636,14.0
9,Dec,FH_JHU_IDD_CovidSP,0.40379074074074073,15.0
14,Dec,FH_UMich_RidgeTfReg,-0.09427592592592593,16.0
27,Flat,FH_LANL_GrowthRate,0.44335,1.0
30,Flat,FH_UMich_RidgeTfReg,0.13425000000000004,2.0
19,Flat,FH_CU_nochange,0.13079999999999997,3.0
21,Flat,FH_CU_scenario_mid,0.12884999999999996,4.0
22,Flat,FH_CU_select,0.12884999999999996,4.0
20,Flat,FH_CU_scenario_low,0.10155000000000003,5.0
26,Flat,FH_Karlen_pypm,0.0953,6.0
28,Flat,FH_RobertWalraven_ESG,0.09179999999999999,7.0
25,Flat,FH_JHU_IDD_CovidSP,0.0832,8.0
23,Flat,FH_CovidAnalytics_DELPHI,0.07685000000000003,9.0
31,Flat,USC_SI_kJalpha,0.07344999999999996,10.0
16,Flat,FH_BPagano_RtDriven,0.07125000000000004,11.0
24,Flat,FH_JHUAPL_Bucky,0.07114999999999999,12.0
29,Flat,FH_TTU_squider,-0.029900000000000038,13.0
18,Flat,FH_COVIDhub_ensemble,-0.663,14.0
17,Flat,FH_CEID_Walk,-0.68845,15.0
42,Inc,FH_Karlen_pypm,0.7494937500000001,1.0
32,Inc,FH_BPagano_RtDriven,0.5624466666666667,2.0
46,Inc,FH_UMich_RidgeTfReg,0.5426071428571428,3.0
37,Inc,FH_CU_scenario_mid,0.526325,4.0
35,Inc,FH_CU_nochange,0.5146375,5.0
38,Inc,FH_CU_select,0.49053749999999996,6.0
34,Inc,FH_COVIDhub_ensemble,0.4595375,7.0
44,Inc,FH_RobertWalraven_ESG,0.30079374999999997,8.0
33,Inc,FH_CEID_Walk,0.23484375000000002,9.0
36,Inc,FH_CU_scenario_low,0.17838749999999998,10.0
40,Inc,FH_JHUAPL_Bucky,0.14985625,11.0
41,Inc,FH_JHU_IDD_CovidSP,-0.01131999999999999,12.0
47,Inc,USC_SI_kJalpha,-0.022793749999999995,13.0
43,Inc,FH_LANL_GrowthRate,-0.037031249999999995,14.0
39,Inc,FH_CovidAnalytics_DELPHI,-0.28064374999999997,15.0
45,Inc,FH_TTU_squider,-0.69580625,16.0
61,Near Peak,FH_TTU_squider,0.6393562500000001,1.0
60,Near Peak,FH_RobertWalraven_ESG,0.48160000000000003,2.0
55,Near Peak,FH_CovidAnalytics_DELPHI,0.41747619047619045,3.0
63,Near Peak,USC_SI_kJalpha,0.2924227272727273,4.0
49,Near Peak,FH_CEID_Walk,0.26222307692307695,5.0
51,Near Peak,FH_CU_nochange,0.22976666666666665,6.0
50,Near Peak,FH_COVIDhub_ensemble,0.20314444444444446,7.0
59,Near Peak,FH_LANL_GrowthRate,0.16694,8.0
52,Near Peak,FH_CU_scenario_low,0.10711333333333334,9.0
54,Near Peak,FH_CU_select,-0.00017999999999998757,10.0
58,Near Peak,FH_Karlen_pypm,-0.01186842105263158,11.0
48,Near Peak,FH_BPagano_RtDriven,-0.16933125,12.0
56,Near Peak,FH_JHUAPL_Bucky,-0.19671333333333332,13.0
53,Near Peak,FH_CU_scenario_mid,-0.2308076923076923,14.0
57,Near Peak,FH_JHU_IDD_CovidSP,-0.3947904761904762,15.0
62,Near Peak,FH_UMich_RidgeTfReg,-0.72584375,16.0
78,Peaking,FH_UMich_RidgeTfReg,0.8913875,1.0
66,Peaking,FH_COVIDhub_ensemble,0.8157230769230769,2.0
74,Peaking,FH_Karlen_pypm,0.7614692307692308,3.0
69,Peaking,FH_CU_scenario_mid,0.7230307692307693,4.0
67,Peaking,FH_CU_nochange,0.7112615384615384,5.0
70,Peaking,FH_CU_select,0.7048846153846153,6.0
68,Peaking,FH_CU_scenario_low,0.7047,7.0
71,Peaking,FH_CovidAnalytics_DELPHI,0.5815,8.0
72,Peaking,FH_JHUAPL_Bucky,0.5781615384615384,9.0
64,Peaking,FH_BPagano_RtDriven,0.5590615384615385,10.0
75,Peaking,FH_LANL_GrowthRate,0.4791,11.0
79,Peaking,USC_SI_kJalpha,0.45103571428571426,12.0
76,Peaking,FH_RobertWalraven_ESG,0.3283571428571429,13.0
73,Peaking,FH_JHU_IDD_CovidSP,0.07586153846153848,14.0
65,Peaking,FH_CEID_Walk,0.00329999999999999,15.0
77,Peaking,FH_TTU_squider,-0.3400769230769231,16.0
94,Surge,FH_UMich_RidgeTfReg,0.7449166666666667,1.0
