,Week Number,Model Name,Predicted Label,True Label,Cosine Similarty,State
0,591,FH_RobertWalraven_ESG,Dec,Dec,0.9902,California
1,591,FH_CU_nochange,Dec,Dec,0.9878,California
2,591,FH_CU_scenario_low,Dec,Dec,0.9822,California
3,591,FH_JHUAPL_Bucky,Peaking,Dec,-0.9944,California
4,591,FH_JHU_IDD_CovidSP,Surge,Dec,-0.9947,California
5,591,FH_CU_scenario_mid,Dec,Dec,0.9922,California
6,591,FH_TTU_squider,Peaking,Dec,-0.9854,California
7,591,FH_Karlen_pypm,Near Peak,Dec,0.9971,California
8,591,FH_UMich_RidgeTfReg,Inc,Dec,-0.9985,California
9,591,FH_CEID_Walk,Flat,Dec,0.8487,California
10,591,USC_SI_kJalpha,Dec,Dec,0.9976,California
11,591,FH_BPagano_RtDriven,Near Peak,Dec,0.9967,California
12,591,FH_COVIDhub_ensemble,Dec,Dec,0.999,California
13,591,FH_CU_select,Dec,Dec,0.9822,California
14,591,FH_LANL_GrowthRate,Dec,Dec,0.9609,California
15,591,FH_CovidAnalytics_DELPHI,Dec,Dec,0.9992,California
16,234,FH_RobertWalraven_ESG,Dec,Dec,0.9995,California
17,234,FH_JHUAPL_Bucky,Dec,Dec,0.9996,California
18,234,FH_JHU_IDD_CovidSP,Dec,Dec,0.9995,California
19,234,FH_Karlen_pypm,Dec,Dec,0.9937,California
20,234,FH_UMich_RidgeTfReg,Surge,Dec,-0.6652,California
21,234,FH_CEID_Walk,Dec,Dec,0.998,California
22,234,USC_SI_kJalpha,Dec,Dec,0.996,California
23,234,FH_COVIDhub_ensemble,Dec,Dec,0.9981,California
24,234,FH_CU_select,Surge,Dec,-0.8353,California
25,234,FH_LANL_GrowthRate,Dec,Dec,0.9969,California
26,234,FH_CovidAnalytics_DELPHI,Dec,Dec,0.9824,California
27,542,FH_RobertWalraven_ESG,Dec,Inc,-0.9995,California
28,542,FH_CU_nochange,Surge,Inc,0.9893,California
29,542,FH_CU_scenario_low,Surge,Inc,0.9903,California
30,542,FH_JHUAPL_Bucky,Surge,Inc,0.9934,California
31,542,FH_JHU_IDD_CovidSP,Dec,Inc,-0.9511,California
32,542,FH_CU_scenario_mid,Inc,Inc,0.9937,California
33,542,FH_TTU_squider,Dec,Inc,-0.9548,California
34,542,FH_Karlen_pypm,Inc,Inc,0.9979,California
35,542,FH_UMich_RidgeTfReg,Dec,Inc,-0.9885,California
36,542,FH_CEID_Walk,Flat,Inc,-0.7669,California
37,542,USC_SI_kJalpha,Surge,Inc,0.9932,California
38,542,FH_BPagano_RtDriven,Inc,Inc,0.9992,California
39,542,FH_COVIDhub_ensemble,Peaking,Inc,0.9972,California
40,542,FH_CU_select,Surge,Inc,0.9903,California
41,542,FH_LANL_GrowthRate,Inc,Inc,0.998,California
42,542,FH_CovidAnalytics_DELPHI,Surge,Inc,0.9934,California
43,416,FH_RobertWalraven_ESG,Dec,Dec,0.9958,California
44,416,FH_CU_nochange,Dec,Dec,0.9959,California
45,416,FH_CU_scenario_low,Dec,Dec,0.9955,California
46,416,FH_JHUAPL_Bucky,Dec,Dec,0.9888,California
47,416,FH_JHU_IDD_CovidSP,Near Peak,Dec,0.8723,California
48,416,FH_CU_scenario_mid,Dec,Dec,0.9935,California
49,416,FH_TTU_squider,Dec,Dec,0.9647,California
50,416,FH_Karlen_pypm,Dec,Dec,0.9896,California
51,416,FH_UMich_RidgeTfReg,Flat,Dec,-0.4937,California
52,416,FH_CEID_Walk,Flat,Dec,0.9043,California
53,416,USC_SI_kJalpha,Dec,Dec,0.9901,California
54,416,FH_BPagano_RtDriven,Dec,Dec,0.9903,California
55,416,FH_COVIDhub_ensemble,Dec,Dec,0.9943,California
56,416,FH_CU_select,Dec,Dec,0.9935,California
57,416,FH_LANL_GrowthRate,Dec,Dec,0.9761,California
58,416,FH_CovidAnalytics_DELPHI,Dec,Dec,0.9941,California
59,423,FH_RobertWalraven_ESG,Dec,Near Peak,0.9801,California
60,423,FH_CU_nochange,Dec,Near Peak,0.969,California
61,423,FH_CU_scenario_low,Dec,Near Peak,0.9795,California
62,423,FH_JHUAPL_Bucky,Peaking,Near Peak,-0.4075,California
63,423,FH_JHU_IDD_CovidSP,Peaking,Near Peak,-0.985,California
64,423,FH_CU_scenario_mid,Dec,Near Peak,0.9641,California
65,423,FH_TTU_squider,Dec,Near Peak,0.9804,California
66,423,FH_Karlen_pypm,Dec,Near Peak,0.9802,California
67,423,FH_UMich_RidgeTfReg,Inc,Near Peak,-0.9588,California
68,423,FH_CEID_Walk,Dec,Near Peak,0.9253,California
69,423,USC_SI_kJalpha,Dec,Near Peak,0.9777,California
70,423,FH_BPagano_RtDriven,Near Peak,Near Peak,0.9315,California
71,423,FH_COVIDhub_ensemble,Dec,Near Peak,0.983,California
72,423,FH_CU_select,Dec,Near Peak,0.9795,California
73,423,FH_LANL_GrowthRate,Dec,Near Peak,0.9653,California
74,423,FH_CovidAnalytics_DELPHI,Dec,Near Peak,0.9804,California
75,577,FH_RobertWalraven_ESG,Near Peak,Near Peak,0.966,California
76,577,FH_CU_nochange,Inc,Near Peak,-0.9934,California
77,577,FH_CU_scenario_low,Peaking,Near Peak,-0.9793,California
78,577,FH_JHUAPL_Bucky,Peaking,Near Peak,-0.8823,California
79,577,FH_JHU_IDD_CovidSP,Inc,Near Peak,-0.9932,California
80,577,FH_CU_scenario_mid,Peaking,Near Peak,-0.9731,California
81,577,FH_TTU_squider,Flat,Near Peak,0.6447,California
82,577,FH_Karlen_pypm,Peaking,Near Peak,-0.9199,California
83,577,FH_UMich_RidgeTfReg,Inc,Near Peak,-0.9914,California
84,577,FH_CEID_Walk,Dec,Near Peak,0.8338,California
85,577,USC_SI_kJalpha,Peaking,Near Peak,-0.9818,California
86,577,FH_BPagano_RtDriven,Peaking,Near Peak,-0.9839,California
87,577,FH_COVIDhub_ensemble,Peaking,Near Peak,-0.9674,California
88,577,FH_CU_select,Peaking,Near Peak,-0.9793,California
89,577,FH_LANL_GrowthRate,Inc,Near Peak,-0.9947,California
90,577,FH_CovidAnalytics_DELPHI,Near Peak,Near Peak,0.9993,California
91,549,FH_RobertWalraven_ESG,Peaking,Peaking,0.9576,California
92,549,FH_CU_nochange,Inc,Peaking,0.9966,California
93,549,FH_CU_scenario_low,Inc,Peaking,0.9984,California
94,549,FH_JHUAPL_Bucky,Inc,Peaking,0.9954,California
95,549,FH_JHU_IDD_CovidSP,Dec,Peaking,-0.9487,California
96,549,FH_CU_scenario_mid,Peaking,Peaking,0.9994,California
97,549,FH_TTU_squider,Dec,Peaking,-0.9673,California
98,549,FH_Karlen_pypm,Surge,Peaking,0.9906,California
99,549,FH_UMich_RidgeTfReg,Peaking,Peaking,0.9971,California
100,549,FH_CEID_Walk,Dec,Peaking,-0.9361,California
101,549,USC_SI_kJalpha,Inc,Peaking,0.9966,California
102,549,FH_BPagano_RtDriven,Peaking,Peaking,0.9871,California
103,549,FH_COVIDhub_ensemble,Peaking,Peaking,0.9971,California
104,549,FH_CU_select,Inc,Peaking,0.9984,California
105,549,FH_LANL_GrowthRate,Peaking,Peaking,0.9969,California
106,549,FH_CovidAnalytics_DELPHI,Surge,Peaking,0.9831,California
107,584,FH_RobertWalraven_ESG,Dec,Dec,0.9972,California
108,584,FH_CU_nochange,Surge,Dec,-0.829,California
109,584,FH_CU_scenario_low,Surge,Dec,-0.8089,California
110,584,FH_JHUAPL_Bucky,Peaking,Dec,-0.9985,California
111,584,FH_JHU_IDD_CovidSP,Surge,Dec,-0.976,California
112,584,FH_CU_scenario_mid,Flat,Dec,0.9268,California
113,584,FH_TTU_squider,Dec,Dec,0.9636,California
114,584,FH_Karlen_pypm,Dec,Dec,0.999,California
115,584,FH_UMich_RidgeTfReg,Surge,Dec,-0.9878,California
116,584,FH_CEID_Walk,Dec,Dec,0.9869,California
117,584,USC_SI_kJalpha,Dec,Dec,0.998,California
118,584,FH_BPagano_RtDriven,Near Peak,Dec,0.996,California
119,584,FH_COVIDhub_ensemble,Dec,Dec,0.9941,California
120,584,FH_CU_select,Surge,Dec,-0.8089,California
121,584,FH_LANL_GrowthRate,Dec,Dec,0.9633,California
122,584,FH_CovidAnalytics_DELPHI,Dec,Dec,0.999,California
123,220,FH_RobertWalraven_ESG,Dec,Dec,0.9999,California
124,220,FH_JHUAPL_Bucky,Flat,Dec,0.9003,California
125,220,FH_JHU_IDD_CovidSP,Dec,Dec,0.999,California
126,220,FH_Karlen_pypm,Dec,Dec,0.9981,California
127,220,FH_UMich_RidgeTfReg,Flat,Dec,-0.2545,California
128,220,FH_CEID_Walk,Dec,Dec,0.9986,California
129,220,USC_SI_kJalpha,Dec,Dec,0.9938,California
130,220,FH_COVIDhub_ensemble,Dec,Dec,0.9992,California
131,220,FH_CU_select,Flat,Dec,0.6302,California
132,220,FH_LANL_GrowthRate,Dec,Dec,0.9997,California
133,220,FH_CovidAnalytics_DELPHI,Near Peak,Dec,0.9049,California
134,353,FH_RobertWalraven_ESG,Near Peak,Dec,0.9798,California
135,353,FH_CU_nochange,Inc,Dec,-0.9999,California
136,353,FH_CU_scenario_low,Peaking,Dec,-0.9919,California
137,353,FH_JHUAPL_Bucky,Dec,Dec,1.0,California
138,353,FH_JHU_IDD_CovidSP,Dec,Dec,0.9448,California
139,353,FH_CU_scenario_mid,Inc,Dec,-0.9997,California
140,353,FH_TTU_squider,Near Peak,Dec,0.9381,California
141,353,FH_UMich_RidgeTfReg,Peaking,Dec,-0.972,California
142,353,FH_CEID_Walk,Surge,Dec,-0.9829,California
143,353,USC_SI_kJalpha,Peaking,Dec,-0.8004,California
144,353,FH_BPagano_RtDriven,Near Peak,Dec,0.93,California
145,353,FH_COVIDhub_ensemble,Near Peak,Dec,0.9675,California
146,353,FH_CU_select,Inc,Dec,-0.9997,California
147,353,FH_LANL_GrowthRate,Surge,Dec,-0.92,California
148,353,FH_CovidAnalytics_DELPHI,Dec,Dec,0.9999,California
149,339,FH_RobertWalraven_ESG,Near Peak,Near Peak,0.9993,California
150,339,FH_CU_nochange,Near Peak,Near Peak,0.9971,California
151,339,FH_CU_scenario_low,Dec,Near Peak,0.9958,California
152,339,FH_JHUAPL_Bucky,Peaking,Near Peak,-0.9774,California
153,339,FH_JHU_IDD_CovidSP,Dec,Near Peak,0.8887,California
154,339,FH_CU_scenario_mid,Dec,Near Peak,0.9947,California
155,339,FH_TTU_squider,Dec,Near Peak,0.8969,California
156,339,FH_Karlen_pypm,Inc,Near Peak,-0.9925,California
157,339,FH_UMich_RidgeTfReg,Inc,Near Peak,-0.9836,California
158,339,FH_CEID_Walk,Dec,Near Peak,0.8696,California
159,339,USC_SI_kJalpha,Inc,Near Peak,-0.9967,California
160,339,FH_BPagano_RtDriven,Peaking,Near Peak,-0.9741,California
161,339,FH_COVIDhub_ensemble,Dec,Near Peak,0.9833,California
162,339,FH_CU_select,Dec,Near Peak,0.9947,California
163,339,FH_CovidAnalytics_DELPHI,Near Peak,Near Peak,0.9991,California
164,367,FH_RobertWalraven_ESG,Dec,Dec,0.9997,California
165,367,FH_CU_nochange,Dec,Dec,0.9931,California
166,367,FH_CU_scenario_low,Dec,Dec,0.9927,California
167,367,FH_JHUAPL_Bucky,Dec,Dec,0.9996,California
168,367,FH_JHU_IDD_CovidSP,Dec,Dec,0.9947,California
169,367,FH_CU_scenario_mid,Dec,Dec,0.9892,California
170,367,FH_TTU_squider,Near Peak,Dec,0.9874,California
171,367,FH_Karlen_pypm,Dec,Dec,0.9997,California
172,367,FH_UMich_RidgeTfReg,Flat,Dec,0.7408,California
173,367,FH_CEID_Walk,Dec,Dec,0.9853,California
174,367,USC_SI_kJalpha,Dec,Dec,0.9995,California
175,367,FH_BPagano_RtDriven,Dec,Dec,0.9998,California
176,367,FH_COVIDhub_ensemble,Dec,Dec,0.9998,California
177,367,FH_CU_select,Dec,Dec,0.9892,California
178,367,FH_LANL_GrowthRate,Dec,Dec,0.9396,California
179,367,FH_CovidAnalytics_DELPHI,Dec,Dec,0.9988,California
180,192,FH_RobertWalraven_ESG,Dec,Near Peak,0.9791,California
181,192,FH_JHU_IDD_CovidSP,Inc,Near Peak,-0.997,California
182,192,FH_Karlen_pypm,Dec,Near Peak,0.9813,California
183,192,USC_SI_kJalpha,Dec,Near Peak,0.9879,California
184,192,FH_COVIDhub_ensemble,Dec,Near Peak,0.9011,California
185,192,FH_LANL_GrowthRate,Dec,Near Peak,0.9592,California
186,192,FH_CovidAnalytics_DELPHI,Peaking,Near Peak,-0.9605,California
187,178,FH_RobertWalraven_ESG,Peaking,Near Peak,-0.8882,California
188,178,FH_JHU_IDD_CovidSP,Surge,Near Peak,-0.9967,California
189,178,FH_Karlen_pypm,Inc,Near Peak,-0.9874,California
190,178,FH_UMich_RidgeTfReg,Inc,Near Peak,-0.9962,California
191,178,USC_SI_kJalpha,Dec,Near Peak,0.932,California
192,178,FH_COVIDhub_ensemble,Near Peak,Near Peak,0.9343,California
193,178,FH_LANL_GrowthRate,Near Peak,Near Peak,0.9991,California
194,178,FH_CovidAnalytics_DELPHI,Peaking,Near Peak,-0.9545,California
195,430,FH_RobertWalraven_ESG,Dec,Near Peak,0.9116,California
196,430,FH_CU_nochange,Flat,Near Peak,0.5106,California
197,430,FH_CU_scenario_low,Dec,Near Peak,0.8667,California
198,430,FH_JHUAPL_Bucky,Dec,Near Peak,0.8748,California
