,True Label,Model Name,Mean_Score,rank
7,Dec,FH_CovidAnalytics_DELPHI,-0.20252830188679244,1.0
13,Dec,FH_TTU_squider,-0.37155681818181824,2.0
12,Dec,FH_RobertWalraven_ESG,-0.531237037037037,3.0
10,Dec,FH_Karlen_pypm,-0.5452481481481481,4.0
15,Dec,USC_SI_kJalpha,-0.6097944444444444,5.0
0,Dec,FH_BPagano_RtDriven,-0.6359585365853658,6.0
8,Dec,FH_JHUAPL_Bucky,-0.716402,7.0
11,Dec,FH_LANL_GrowthRate,-0.8067522727272728,8.0
2,Dec,FH_COVIDhub_ensemble,-0.8156857142857143,9.0
3,Dec,FH_CU_nochange,-0.8268682926829268,10.0
4,Dec,FH_CU_scenario_low,-0.8323682926829268,11.0
9,Dec,FH_JHU_IDD_CovidSP,-0.852809090909091,12.0
14,Dec,FH_UMich_RidgeTfReg,-0.87471875,13.0
6,Dec,FH_CU_select,-0.8928549019607843,14.0
5,Dec,FH_CU_scenario_mid,-0.9000682926829268,15.0
1,Dec,FH_CEID_Walk,-0.9573333333333333,16.0
23,Flat,FH_CovidAnalytics_DELPHI,-0.39646,1.0
25,Flat,FH_JHU_IDD_CovidSP,-0.4225,2.0
31,Flat,USC_SI_kJalpha,-0.42488000000000004,3.0
30,Flat,FH_UMich_RidgeTfReg,-0.43829999999999997,4.0
17,Flat,FH_CEID_Walk,-0.4465,5.0
24,Flat,FH_JHUAPL_Bucky,-0.46036,6.0
19,Flat,FH_CU_nochange,-0.47348,7.0
22,Flat,FH_CU_select,-0.49794,8.0
26,Flat,FH_Karlen_pypm,-0.50054,9.0
21,Flat,FH_CU_scenario_mid,-0.5058,10.0
27,Flat,FH_LANL_GrowthRate,-0.518525,11.0
20,Flat,FH_CU_scenario_low,-0.5476,12.0
18,Flat,FH_COVIDhub_ensemble,-0.54794,13.0
16,Flat,FH_BPagano_RtDriven,-0.5652,14.0
28,Flat,FH_RobertWalraven_ESG,-0.62996,15.0
29,Flat,FH_TTU_squider,-0.80244,16.0
46,Inc,FH_UMich_RidgeTfReg,0.9466909090909091,1.0
40,Inc,FH_JHUAPL_Bucky,0.9458125000000001,2.0
42,Inc,FH_Karlen_pypm,0.940125,3.0
32,Inc,FH_BPagano_RtDriven,0.938975,4.0
34,Inc,FH_COVIDhub_ensemble,0.9373375,5.0
37,Inc,FH_CU_scenario_mid,0.9352214285714285,6.0
35,Inc,FH_CU_nochange,0.9125375,7.0
38,Inc,FH_CU_select,0.90304375,8.0
36,Inc,FH_CU_scenario_low,0.89614375,9.0
39,Inc,FH_CovidAnalytics_DELPHI,0.878575,10.0
43,Inc,FH_LANL_GrowthRate,0.8334105263157895,11.0
33,Inc,FH_CEID_Walk,0.8234733333333334,12.0
41,Inc,FH_JHU_IDD_CovidSP,0.7232315789473684,13.0
47,Inc,USC_SI_kJalpha,0.694755,14.0
44,Inc,FH_RobertWalraven_ESG,0.60517,15.0
45,Inc,FH_TTU_squider,0.60333125,16.0
55,Near Peak,FH_CovidAnalytics_DELPHI,-0.2564888888888889,1.0
61,Near Peak,FH_TTU_squider,-0.3023571428571429,2.0
58,Near Peak,FH_Karlen_pypm,-0.48608275862068967,3.0
48,Near Peak,FH_BPagano_RtDriven,-0.519145,4.0
52,Near Peak,FH_CU_scenario_low,-0.5522058823529411,5.0
62,Near Peak,FH_UMich_RidgeTfReg,-0.5678130434782609,6.0
63,Near Peak,USC_SI_kJalpha,-0.5684206896551725,7.0
51,Near Peak,FH_CU_nochange,-0.5687882352941176,8.0
60,Near Peak,FH_RobertWalraven_ESG,-0.5837758620689656,9.0
56,Near Peak,FH_JHUAPL_Bucky,-0.6280181818181818,10.0
50,Near Peak,FH_COVIDhub_ensemble,-0.718268,11.0
57,Near Peak,FH_JHU_IDD_CovidSP,-0.7195615384615385,12.0
53,Near Peak,FH_CU_scenario_mid,-0.7222529411764705,13.0
59,Near Peak,FH_LANL_GrowthRate,-0.7247846153846154,14.0
54,Near Peak,FH_CU_select,-0.7255304347826087,15.0
49,Near Peak,FH_CEID_Walk,-0.8343640000000001,16.0
78,Peaking,FH_UMich_RidgeTfReg,0.9634266666666667,1.0
65,Peaking,FH_CEID_Walk,0.9386533333333333,2.0
77,Peaking,FH_TTU_squider,0.9337066666666666,3.0
75,Peaking,FH_LANL_GrowthRate,0.93276875,4.0
66,Peaking,FH_COVIDhub_ensemble,0.9313444444444444,5.0
69,Peaking,FH_CU_scenario_mid,0.9261071428571429,6.0
72,Peaking,FH_JHUAPL_Bucky,0.9260285714285714,7.0
76,Peaking,FH_RobertWalraven_ESG,0.9013789473684211,8.0
73,Peaking,FH_JHU_IDD_CovidSP,0.8984411764705883,9.0
79,Peaking,USC_SI_kJalpha,0.8943263157894737,10.0
64,Peaking,FH_BPagano_RtDriven,0.8765266666666667,11.0
68,Peaking,FH_CU_scenario_low,0.8570714285714286,12.0
67,Peaking,FH_CU_nochange,0.8550214285714286,13.0
74,Peaking,FH_Karlen_pypm,0.854764705882353,14.0
