,newlable,Model Name,Mean_Score,rank
7,Continued Trend,FH_CovidAnalytics_DELPHI,0.06224615384615385,1.0
13,Continued Trend,FH_TTU_squider,-0.16472923076923077,2.0
0,Continued Trend,FH_BPagano_RtDriven,-0.22381774193548387,3.0
10,Continued Trend,FH_Karlen_pypm,-0.225388,4.0
12,Continued Trend,FH_RobertWalraven_ESG,-0.2497873417721519,5.0
15,Continued Trend,USC_SI_kJalpha,-0.26782531645569624,6.0
8,Continued Trend,FH_JHUAPL_Bucky,-0.323787323943662,7.0
11,Continued Trend,FH_LANL_GrowthRate,-0.32442388059701494,8.0
3,Continued Trend,FH_CU_nochange,-0.3494903225806452,9.0
4,Continued Trend,FH_CU_scenario_low,-0.3633354838709677,10.0
9,Continued Trend,FH_JHU_IDD_CovidSP,-0.3801820895522388,11.0
2,Continued Trend,FH_COVIDhub_ensemble,-0.39587,12.0
5,Continued Trend,FH_CU_scenario_mid,-0.4389783333333333,13.0
6,Continued Trend,FH_CU_select,-0.46634166666666665,14.0
1,Continued Trend,FH_CEID_Walk,-0.5080296875,15.0
14,Continued Trend,FH_UMich_RidgeTfReg,-0.5289857142857143,16.0
19,Others,FH_CU_nochange,0.34033125,1.0
20,Others,FH_CU_scenario_low,0.31965208333333334,2.0
21,Others,FH_CU_scenario_mid,0.29698541666666667,3.0
16,Others,FH_BPagano_RtDriven,0.291,4.0
29,Others,FH_TTU_squider,0.29050377358490564,5.0
30,Others,FH_UMich_RidgeTfReg,0.24201320754716982,6.0
24,Others,FH_JHUAPL_Bucky,0.2352566037735849,7.0
31,Others,USC_SI_kJalpha,0.20989384615384615,8.0
26,Others,FH_Karlen_pypm,0.20745873015873015,9.0
18,Others,FH_COVIDhub_ensemble,0.19342499999999999,10.0
28,Others,FH_RobertWalraven_ESG,0.17420461538461537,11.0
23,Others,FH_CovidAnalytics_DELPHI,0.16941129032258065,12.0
22,Others,FH_CU_select,0.16316851851851852,13.0
27,Others,FH_LANL_GrowthRate,0.12424406779661017,14.0
25,Others,FH_JHU_IDD_CovidSP,0.0825186440677966,15.0
17,Others,FH_CEID_Walk,0.06165892857142858,16.0
