,State,Model Name,Mean_Similarity,Count_Similarity,rank
155,American Samoa,FH_JHU_IDD_CovidSP,1.0,64,1.0
162,American Samoa,FH_MIT_CritData_GBCF,1.0,57,1.0
163,American Samoa,FH_MIT_ISOLAT_Mixtures,1.0,31,1.0
164,American Samoa,FH_MOBS_GLEAM_COVID,1.0,72,1.0
165,American Samoa,FH_MUNI_ARIMA,1.0,27,1.0
166,American Samoa,FH_Microsoft_DeepSTIA,1.0,45,1.0
167,American Samoa,FH_NotreDame_mobility,1.0,11,1.0
168,American Samoa,FH_OliverWyman_Navigator,1.0,51,1.0
169,American Samoa,FH_PSI_DRAFT,1.0,71,1.0
170,American Samoa,FH_RPI_UW_Mob_Collision,1.0,34,1.0
171,American Samoa,FH_RobertWalraven_ESG,1.0,72,1.0
172,American Samoa,FH_SigSci_TS,1.0,11,1.0
173,American Samoa,FH_SteveMcConnell_CovidComplete,1.0,64,1.0
174,American Samoa,FH_TTU_squider,1.0,59,1.0
161,American Samoa,FH_MIT_Cassandra,1.0,25,1.0
175,American Samoa,FH_UA_EpiCovDA,1.0,54,1.0
177,American Samoa,FH_UCSB_ACTS,1.0,12,1.0
178,American Samoa,FH_UCSD_NEU_DeepGLEAM,1.0,61,1.0
179,American Samoa,FH_UMass_MechBayes,1.0,72,1.0
180,American Samoa,FH_UMich_RidgeTfReg,1.0,55,1.0
181,American Samoa,FH_USACE_ERDC_SEIR,1.0,18,1.0
182,American Samoa,FH_UT_Mobility,1.0,27,1.0
183,American Samoa,FH_epiforecasts_ensemble1,1.0,56,1.0
184,American Samoa,SIkJaun10_hyper7,1.0,31,1.0
185,American Samoa,SIkJaun10_hyper7_smooth7,1.0,31,1.0
186,American Samoa,SIkJaun10_window_noval,1.0,31,1.0
187,American Samoa,SIkJaun1_hyper7,1.0,31,1.0
188,American Samoa,SIkJaun1_hyper7_smooth7,1.0,31,1.0
189,American Samoa,SIkJaun1_window_noval,1.0,31,1.0
176,American Samoa,FH_UCLA_SuEIR,1.0,49,1.0
190,American Samoa,SIkJaun_Ensemble_NN,1.0,19,1.0
160,American Samoa,FH_MITCovAlliance_SIR,1.0,18,1.0
158,American Samoa,FH_LANL_GrowthRate,1.0,63,1.0
130,American Samoa,FH_AIpert_pwllnod,1.0,44,1.0
131,American Samoa,FH_BPagano_RtDriven,1.0,59,1.0
132,American Samoa,FH_CEID_Walk,1.0,60,1.0
133,American Samoa,FH_CMU_TimeSeries,1.0,51,1.0
134,American Samoa,FH_COVIDhub_4_week_ensemble,1.0,11,1.0
135,American Samoa,FH_COVIDhub_ensemble,1.0,67,1.0
136,American Samoa,FH_COVIDhub_trained_ensemble,1.0,28,1.0
137,American Samoa,FH_CU_nochange,1.0,55,1.0
138,American Samoa,FH_CU_scenario_high,1.0,40,1.0
139,American Samoa,FH_CU_scenario_low,1.0,55,1.0
140,American Samoa,FH_CU_scenario_mid,1.0,54,1.0
141,American Samoa,FH_CU_select,1.0,68,1.0
142,American Samoa,FH_Caltech_CS156,1.0,20,1.0
159,American Samoa,FH_LNQ_ens1,1.0,45,1.0
143,American Samoa,FH_Columbia_UNC_SurvCon,1.0,24,1.0
145,American Samoa,FH_CovidAnalytics_DELPHI,1.0,58,1.0
146,American Samoa,FH_DDS_NBDS,1.0,64,1.0
147,American Samoa,FH_GT_DeepCOVID,1.0,68,1.0
148,American Samoa,FH_Google_Harvard_CPF,1.0,52,1.0
149,American Samoa,FH_IEM_MED_CovidProject,1.0,35,1.0
150,American Samoa,FH_IHME_CurveFit,1.0,44,1.0
151,American Samoa,FH_IowaStateLW_STEM,1.0,40,1.0
152,American Samoa,FH_JCB_PRM,1.0,23,1.0
153,American Samoa,FH_JHUAPL_Bucky,1.0,62,1.0
154,American Samoa,FH_JHU_CSSE_DECOM,1.0,54,1.0
2438,Northern Mariana Islands,FH_MIT_ISOLAT_Mixtures,1.0,31,1.0
156,American Samoa,FH_KITmetricslab_select_ensemble,1.0,25,1.0
157,American Samoa,FH_Karlen_pypm,1.0,70,1.0
144,American Samoa,FH_Covid19Sim_Simulator,1.0,52,1.0
191,American Samoa,UMich_RidgeTfReg,1.0,14,1.0
192,American Samoa,USC_SI_kJalpha,1.0,72,1.0
193,American Samoa,YYG_ParamSearch,1.0,14,1.0
843,Guam,YYG_ParamSearch,0.9854142857142857,14,1.0
2449,Northern Mariana Islands,FH_TTU_squider,1.0,59,1.0
2157,New Mexico,FH_Caltech_CS156,0.8453649999999999,20,1.0
701,Florida,FH_USACE_ERDC_SEIR,0.9303777777777777,18,1.0
266,Arkansas,FH_COVIDhub_trained_ensemble,0.5690321428571429,28,1.0
