,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9899,-0.9952,-0.9394,0.9949,0.979,0.9975,-0.9937,0.9985,0.9902,0.8463,-0.9604,-0.924,-0.9467,0.5073,0.9824,0.9988,0.9966,0.9704,0.9811,0.9913,0.9554,0.9981,0.952,0.8172,-0.9934,0.9407,0.9567,-0.9581,0.6436,0.9972,0.9958,0.9994,0.9317,-0.2988,-0.6739,-0.4283,-0.9961,-0.9727,0.9997,0.9999,0.9996,0.9937,0.9816,0.6267,-0.838,1.0,0.8664,0.9992,1.0,0.9953,0.9938,0.9526,0.87,0.9966,0.9975,0.9998,-0.7106,-0.8256,0.9865
FH_CEID_Walk,,,,,,0.9998,0.924,0.169,-0.5173,0.5465,-0.9882,-0.9966,0.3172,-0.9793,-0.9869,-0.5325,0.883,-0.9492,-0.9974,0.7807,0.7349,-0.9985,0.9684,-0.513,,0.9292,-0.7654,-0.8115,0.9676,0.991,0.9935,0.9958,0.9999,0.9461,0.9578,0.9869,0.9901,-0.9035,0.8899,-0.9777,-0.948,0.0023,-0.969,0.5867,0.9963,,0.9997,0.9758,-0.0267,-0.8968,-0.9383,-0.9844,-0.9381,0.8856,0.8928,-0.9848,-0.9978,-0.9951,-0.2664,0.8885,0.9947,0.6706,0.9831,0.9859,0.9979,0.9898,0.9701,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9717,0.9986,0.9986,0.9984,0.9944,0.9509,0.8849,0.9974,-0.994,0.9994,-0.7994,-0.9638,-0.8856
FH_COVIDhub_ensemble,,,-0.9421,0.9693,0.916,0.9948,0.9732,0.9987,0.9621,0.5353,-0.9908,-0.9966,-0.9977,-0.9878,-1.0,-0.7041,0.8384,0.1903,0.9814,0.9816,0.9998,0.9966,0.9963,0.9851,-0.8782,0.8914,-0.7759,-0.8995,,0.9887,0.9991,0.9988,0.9944,0.9654,0.9905,0.9357,0.9968,0.7544,0.9035,-0.9781,-0.9453,0.9773,,0.6007,0.9952,,,,-0.6047,-0.9161,-0.95,-0.9802,-0.9976,0.9735,0.958,0.9998,0.9734,0.9974,0.6462,-0.8738,0.9967,0.9717,0.9986,0.9986,0.9984,0.9944,0.9509,0.8849,0.9974,-0.994,0.9994,-0.7994,-0.9638,-0.8856
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9606,0.6955,-0.9307,0.9605,0.9924,,,,,,,,,0.5831,0.9963,,,,,-0.8599,-0.9366,-0.9629,,0.9999,0.996,0.9948,0.9899,,0.5936,-0.8839,0.9853,0.8012,0.9981,0.9994,0.9976,0.9947,0.9579,0.885,0.9978,-0.9733,0.9993,-0.6643,0.8746,0.9007
FH_CU_nochange,,,,,,,,,,,,,,0.983,0.9745,0.9989,0.9991,-0.806,0.994,0.994,0.9999,-0.9916,0.9936,0.963,0.9542,0.9752,-0.9997,-0.9995,,0.0715,0.8094,-0.2472,0.9879,0.9746,-0.9668,0.8681,0.9933,0.9872,0.9013,-0.9885,-0.8946,0.9546,-0.6718,0.4306,0.9804,,,0.9773,0.9249,-0.4969,-0.8694,-0.9082,0.9613,0.9973,0.9922,0.9995,0.9869,0.9945,0.6536,0.8396,0.9921,0.9995,1.0,0.9994,0.992,0.9913,,0.8909,-0.8855,-0.9971,0.9933,0.9309,-0.9651,0.6098
FH_CU_scenario_high,,,,,,,,,,,,,,0.9936,0.9871,0.9998,0.9986,0.5923,0.9965,0.9984,0.9992,-0.997,0.9918,0.9446,0.9505,0.9735,-0.9994,-0.9999,,-0.7277,0.0182,-0.7457,0.9887,0.9741,-0.9687,0.8377,0.9932,0.9883,0.9002,-0.9849,-0.7798,0.9542,0.3898,0.1343,0.8715,,,0.9477,0.6771,0.6041,-0.6302,-0.8302,0.9804,0.9957,0.9903,0.9982,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9031,-0.9954,-0.9973,-0.9363,-0.9773,0.9939,0.9581,0.9993,-0.9973,0.9991,0.9875,0.9445,0.9631,-0.996,-0.9923,,0.9672,0.9635,0.9149,0.9925,0.9679,-0.97,0.8631,0.9894,0.9832,0.909,-0.9934,-0.9205,0.951,-0.8734,0.5309,0.9919,,,0.9852,-0.0454,-0.723,-0.9163,-0.9354,0.8889,0.9986,0.9932,0.9999,0.9909,0.998,0.7533,0.9859,0.9915,0.9995,0.9999,0.9995,0.9932,0.9918,,0.8847,-0.9572,-0.9976,0.9885,0.9228,-0.9732,-0.9428
FH_CU_scenario_mid,,,,,,,,,,,,,,0.959,0.969,0.9994,0.9943,-0.114,0.9917,0.9964,0.9978,-0.9999,0.9971,0.9676,0.9265,0.9668,-0.9999,-0.9992,,-0.5906,-0.3846,-0.8423,0.9908,0.9706,-0.9804,0.8162,0.9876,0.9682,0.9112,-0.995,-0.8898,0.9463,-0.8146,0.46,0.9721,,,0.9735,0.8065,-0.7525,-0.8791,-0.9216,0.8634,0.9989,0.9968,0.9971,0.9996,0.9994,,0.0699,0.9881,0.9992,0.9988,0.9999,0.9964,0.995,,0.8702,-0.9787,-0.9938,0.9978,0.9475,-0.9578,0.9996
FH_CU_select,,,,,,-0.8373,0.8876,0.9272,-0.9581,-0.1796,0.943,0.9707,0.8827,0.959,0.969,0.9994,0.9943,-0.114,0.9981,0.9581,0.9993,-0.9973,0.9991,0.9875,0.9445,0.9668,-0.9999,-0.9992,,-0.5906,0.9635,-0.8423,0.9908,0.9706,-0.9804,0.8162,0.9876,0.9832,0.909,-0.9934,-0.8898,0.9463,-0.8146,0.46,0.9721,,,0.9735,0.8065,-0.7525,-0.8791,-0.9216,0.8634,0.9986,0.9932,0.9999,0.9909,0.998,0.7533,0.9859,0.9915,0.9995,0.9999,0.9995,0.9932,0.9918,,0.8847,-0.9572,-0.9938,0.9978,0.9475,0.8721,0.9823
