,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9996,-0.9722,-0.9683,-0.9756,0.7053,0.7876,-0.9759,-0.9833,-0.9948,0.9693,0.9741,-0.9569,-0.9995,0.9911,0.9998,0.9518,0.9801,0.9872,0.9806,-0.88,0.8779,-0.8188,0.9311,0.2667,-0.8921,-0.931,-0.9915,0.9827,0.9862,0.9895,0.9933,-0.5739,-0.5858,-0.8443,-0.98,-0.9522,-0.9593,-0.9729,0.9997,0.998,-0.9677,0.9997,0.9986,0.9979,0.9864,0.779,0.9658,-0.9982,0.0322,-0.9585,-0.9915,0.9955,-0.9997,0.9848,0.9949,0.9959,0.9953,0.9921,0.9982
FH_CEID_Walk,,,,,,0.9993,0.7752,0.5236,0.9849,0.0577,-0.8525,0.96,0.7582,0.9539,0.974,0.9495,0.976,0.9774,0.9723,0.8991,-0.934,-0.9379,-0.9676,0.7152,,0.9776,-0.0855,0.9937,0.998,0.9915,0.9904,0.9283,-0.7978,0.955,-0.8847,0.6279,-0.8958,-0.9929,0.6243,-0.8921,-0.9326,0.7757,-0.963,0.7445,0.9068,,-0.9429,-0.4846,-0.857,-0.8901,0.0288,-0.9182,0.8924,0.9965,0.9405,0.9981,-0.9399,0.8687,0.9238,-0.9414,0.9155,0.9306,0.9826,0.2781,-0.9186,-0.9863,0.9189,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8785,-0.1734,0.2476,-0.9112,-0.8159,0.9927,0.9979,0.9979,0.9943,0.9962,0.9909,0.999,0.9999
FH_COVIDhub_ensemble,,,-0.7731,-0.9977,-0.988,0.9976,0.7465,-0.9462,-0.979,-0.9929,-0.9965,-0.8578,-0.9773,0.5666,0.9724,0.9282,0.9835,0.9941,0.9981,0.8388,-0.9486,-0.8681,-0.9933,0.9928,0.9961,0.9752,0.9784,0.9681,,0.9926,0.9989,0.9927,0.9399,0.9546,-0.9183,-0.8437,-0.9871,-0.9944,0.6512,-0.6834,-0.9828,0.9542,,0.9959,0.9961,,,,-0.8854,-0.9341,-0.969,-0.9399,0.953,0.9953,0.9573,0.9735,0.9807,0.9972,0.9914,0.9815,0.7325,0.8785,-0.1734,0.2476,-0.9112,-0.8159,0.9927,0.9979,0.9979,0.9943,0.9962,0.9909,0.999,0.9999
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9345,-0.9984,-0.9979,0.9897,-0.8803,,,,,,,,,0.9206,0.9923,,,,,-0.9092,-0.9296,-0.9705,,0.9896,0.9998,0.9971,0.9996,,0.9998,0.9891,0.9923,0.9562,0.9802,0.2976,-0.9184,0.6413,0.9901,0.9963,0.9968,0.9981,0.9966,0.9922,0.997,0.9998
FH_CU_nochange,,,,,,,,,,,,,,0.9992,1.0,-0.6464,-0.9844,0.9911,-0.7242,-0.8937,0.9687,0.9747,-0.9091,-0.9823,0.9977,0.9828,-0.9847,0.9651,,0.9987,0.9918,0.9631,0.9106,0.9824,-0.8512,-0.9466,-0.9814,-0.9898,-0.1603,0.9443,0.9714,0.9776,0.9275,0.7712,0.9888,,,0.9829,-0.8317,-0.89,-0.9051,-0.9093,0.9985,0.9866,0.9974,0.9998,0.9998,0.9998,0.9699,0.9671,-0.9715,-0.9995,-0.9354,0.2581,0.7062,0.9841,,0.9986,0.9987,0.9999,0.9994,0.9995,0.9995,0.9969
FH_CU_scenario_high,,,,,,,,,,,,,,0.9989,0.9992,0.9501,-0.9257,0.9969,-0.861,0.1389,-0.5429,0.9672,0.9026,-0.9818,0.996,0.9825,-0.9861,0.9516,,0.9976,0.9901,0.9529,0.8222,0.986,-0.8407,-0.9453,-0.9824,-0.9925,-0.2631,0.9536,0.9419,0.9733,0.772,-0.1844,0.9785,,,0.9835,-0.8314,-0.8872,-0.8595,-0.8673,0.9972,0.9859,0.9962,0.9994,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.6693,-0.3429,-0.9998,-0.9993,0.9889,-0.5038,-0.902,0.9379,0.9643,-0.7181,-0.0299,0.992,0.9782,-0.9488,0.9577,,0.9978,0.9864,0.9504,0.9238,0.9895,-0.8327,-0.93,-0.9708,-0.9819,-0.5293,0.9163,0.9806,0.98,0.959,0.9361,0.9942,,,0.9815,-0.834,-0.8935,-0.9276,-0.9234,0.9994,0.986,0.9991,0.9985,0.9997,0.9983,-0.71,0.7421,-0.9786,-0.9994,-0.9412,0.2705,0.5592,0.982,,0.9985,0.9982,0.9999,0.9982,0.9991,0.9957,0.9995
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9947,0.9945,-0.1969,-0.9599,0.999,-0.9496,0.6469,0.9244,0.9527,0.9237,-0.9051,0.992,0.98,-0.9926,0.9393,,0.9972,0.9875,0.948,0.7034,0.9897,-0.8197,-0.9278,-0.9691,-0.9473,0.1177,0.9062,0.9514,0.9679,0.9591,0.9292,0.9862,,,0.9874,-0.8144,-0.8753,-0.9058,-0.8979,0.9989,0.9882,0.9994,0.995,0.9979,0.9971,,0.969,-0.9591,-0.9964,-0.9077,0.4373,-0.7421,0.9407,,0.9977,0.9932,0.9979,0.9947,0.9963,0.9958,0.9995
FH_CU_select,,,,,,0.9958,-0.65,0.9937,0.9962,-0.7851,1.0,-0.7894,0.9353,0.9947,0.9945,-0.1969,-0.9599,0.999,0.5152,-0.902,0.9379,0.9643,-0.7181,-0.0299,0.992,0.98,-0.9926,0.9393,,0.9972,0.9864,0.948,0.7034,0.9897,-0.8197,-0.9278,-0.9691,-0.9819,-0.5293,0.9163,0.9514,0.9679,0.9591,0.9292,0.9862,,,0.9874,-0.8144,-0.8753,-0.9058,-0.8979,0.9989,0.986,0.9991,0.9985,0.9997,0.9983,-0.71,0.7421,-0.9786,-0.9994,-0.9412,0.2705,0.5592,0.982,,0.9985,0.9982,0.9979,0.9947,0.9963,0.9925,0.9996
