,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9967,0.9925,0.9979,0.9813,-0.9844,0.7711,0.9133,0.969,0.9404,0.9997,-0.0251,0.9752,0.9969,0.9959,0.9996,0.9994,0.9991,0.9998,0.998,0.9995,0.9977,0.962,-0.95,-0.9835,-0.9756,-0.8199,0.8534,0.9776,0.9938,0.9982,0.9972,0.9983,0.9356,-0.9348,-0.9685,-0.9503,0.9923,0.0539,0.8095,0.999,0.9997,0.9979,0.9856,0.6565,-0.9494,0.6272,0.9295,0.9975,0.9992,0.9684,-0.8936,-0.9928,-0.95,-0.9813,0.9698,0.9605,-0.7525,-0.9652,-0.8832
FH_CEID_Walk,,,,,,0.969,0.9368,0.9812,0.3177,0.8774,-0.6338,0.8555,-0.9298,0.973,0.9441,0.9507,0.9396,0.9358,0.9458,0.9511,0.973,0.9274,0.9377,-0.7942,,0.0586,-0.7557,-0.5378,0.987,0.983,0.8496,0.9779,0.9719,0.9491,0.9055,-0.9712,0.9907,-0.797,-0.871,0.9608,0.8816,0.8481,-0.9023,-0.9835,0.9896,,0.6286,-0.9672,-0.8937,-0.5959,0.7587,0.9934,0.9352,0.9099,0.9512,-0.9609,0.9563,-0.7816,-0.1985,0.7455,-0.9536,0.9709,0.9507,0.741,0.9792,0.8123,-0.8544,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9842,0.9977,0.9988,0.9744,-0.943,-0.9804,-0.9772,-0.3738,-0.9948,0.9685,-0.6644,-0.9169,0.8478
FH_COVIDhub_ensemble,,,0.9831,0.9997,0.9991,0.9995,0.9895,0.9814,-0.3133,-0.6088,-0.7073,0.6569,-0.9451,-0.9965,-0.8123,0.9987,0.9647,0.9745,0.9968,0.9859,0.9997,0.9535,0.9668,0.9797,0.5373,0.6263,-0.5709,-0.8515,,0.9993,0.9994,0.9988,0.9973,0.9853,0.9986,0.9945,0.9784,-0.854,-0.9873,-0.9956,-0.0301,0.9308,,0.9977,0.9995,,,,-0.9171,-0.9716,-0.9585,-0.8773,0.9629,0.9628,0.9884,0.9935,0.9999,0.9951,0.6413,-0.6355,0.6148,0.9842,0.9977,0.9988,0.9744,-0.943,-0.9804,-0.9772,-0.3738,-0.9948,0.9685,-0.6644,-0.9169,0.8478
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953,0.997,0.9298,0.9878,0.995,,,,,,,,,-0.9642,0.9972,,,,,-0.9482,-0.9323,-0.7471,,0.998,0.9993,0.9978,0.9963,,0.6257,-0.9382,-0.9535,0.9922,0.9993,0.9962,0.9796,-0.9544,-0.9812,-0.972,0.6161,0.9969,0.9649,-0.7084,-0.9238,0.8939
FH_CU_nochange,,,,,,,,,,,,,,1.0,0.9992,0.9882,0.9988,0.9991,0.9998,0.9961,0.9986,0.4082,0.9909,0.9401,-0.9119,0.653,-0.9824,-0.9609,,-0.9915,-0.7959,-0.9617,0.9992,0.9915,-0.4587,0.9987,0.9768,-0.8633,-0.9941,-0.884,-0.9309,-0.9874,-0.9553,-0.9965,0.9999,,,-0.6075,-0.9245,-0.9591,-0.9781,0.8294,0.9961,0.9912,0.9948,0.9997,0.9995,0.9931,0.6858,-0.8262,0.8451,0.9759,0.9996,0.997,0.9589,0.8095,,-0.9953,0.9106,0.9955,0.9388,-0.767,0.0403,0.6653
FH_CU_scenario_high,,,,,,,,,,,,,,0.9998,0.9961,0.9996,0.9985,0.9993,0.9992,0.9953,1.0,0.9272,-0.9841,0.9765,-0.9057,0.6512,-0.9857,-0.9665,,-0.9912,-0.8871,-0.9641,0.9992,0.9912,-0.739,0.9985,0.9765,-0.8646,-0.9942,-0.9367,-0.961,-0.9902,-0.989,-0.9925,0.9992,,,-0.7036,-0.923,-0.9195,-0.9666,0.978,0.9953,0.9935,0.9929,0.998,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.6679,0.9597,-0.9999,0.9836,0.9998,0.9954,0.9762,0.991,0.9567,0.9852,0.9424,-0.8221,0.6245,-0.9597,-0.9501,,-0.9984,0.9868,-0.9318,0.9969,0.9867,0.4592,0.9945,0.9888,-0.8554,-0.9975,-0.9367,-0.9151,-0.9848,-0.6719,0.9737,0.9999,,,0.9008,-0.9266,-0.9702,-0.9824,-0.7361,0.9938,0.9572,0.9959,0.9998,0.9996,0.9991,0.8004,0.9938,0.8465,0.9749,0.9996,0.9966,0.9668,0.8969,,-0.98,0.9981,0.9937,0.9314,-0.7814,-0.1794,0.6173
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9978,0.989,0.9984,0.991,0.9968,0.9939,0.9955,0.9991,0.9904,-0.9101,0.9841,-0.8593,0.628,-0.9813,-0.9813,,-0.9952,-0.9194,-0.9748,0.9982,0.9895,-0.9045,0.9948,0.9887,-0.8493,-0.9966,-0.8639,-0.9347,-0.9694,-0.9291,-0.9978,0.9973,,,-0.5469,-0.9074,-0.9284,-0.9635,0.5495,0.9963,0.9917,0.9971,0.9976,0.9983,0.999,,-0.7362,-0.6112,0.8964,0.9986,0.9974,0.9703,0.8375,,-0.982,0.9808,0.9998,0.9671,-0.7125,-0.7597,-0.0168
FH_CU_select,,,,,,0.9973,0.9996,-0.9634,-0.3511,-0.8616,-0.5588,0.9918,0.9946,0.9978,0.989,0.9984,0.991,0.9968,0.9996,0.9762,0.991,0.9567,0.9852,0.9424,-0.8221,0.628,-0.9813,-0.9813,,-0.9952,0.9868,-0.9748,0.9982,0.9895,-0.9045,0.9948,0.9887,-0.8554,-0.9975,-0.9367,-0.9347,-0.9694,-0.9291,-0.9978,0.9973,,,-0.5469,-0.9074,-0.9284,-0.9635,0.5495,0.9963,0.9572,0.9959,0.9998,0.9996,0.9991,0.8004,0.9938,0.8465,0.9749,0.9996,0.9966,0.9668,0.8969,,-0.98,0.9981,0.9998,0.9671,-0.7125,-0.9439,-0.968
