,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9687,-0.9965,-0.984,0.9747,-0.9991,0.9992,-0.9916,0.7934,0.9452,0.9984,0.9738,-0.166,0.9945,0.9984,0.9997,0.9991,0.9992,0.9866,0.9974,0.9968,0.9998,0.9808,0.9937,0.0915,0.9993,-0.9982,-0.9841,0.8145,0.9809,0.9963,-0.7305,-0.9359,-0.9973,-0.974,-0.3625,-0.996,0.96,0.9978,0.9972,0.991,0.9652,0.8818,-0.8832,0.9993,0.9989,0.9997,1.0,0.9989,0.9999,1.0,0.9989,0.9998,0.8869,-0.9487,-0.9726,-0.9969,0.9977,0.9957,0.9759
FH_CEID_Walk,,,,,,-0.5005,-0.8506,0.9629,0.9063,-0.9336,0.9664,0.9643,0.7128,0.8777,-0.9877,0.9039,0.9396,-0.9709,0.9711,0.8862,-0.713,-0.9444,0.9265,-0.8119,,0.6972,-0.8941,-0.9756,0.934,0.9214,0.9858,-0.9838,0.946,-0.415,-0.7778,0.9512,0.9933,0.9984,-0.1606,0.2559,-0.9971,0.9235,0.7333,-0.9507,-0.8152,,0.9188,-0.9601,-0.8819,0.9045,0.8506,-0.8296,0.8962,0.4142,0.8331,-0.7163,-0.964,0.9344,0.9766,-0.9902,0.904,-0.9971,0.9635,0.9038,0.9732,0.9654,0.9961,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,0.9977,0.9999,0.9997,0.9993,0.9992,0.8741,-0.9352,-0.9573,-0.9963,0.9118,0.979,0.9662
FH_COVIDhub_ensemble,,,0.9892,0.3235,0.8517,-0.5088,-0.8891,-0.9845,-0.9275,-0.9494,-0.9792,0.7105,-0.9564,-0.6793,-0.9951,0.9299,0.9584,0.9881,0.9964,0.984,0.9882,-0.9661,0.9439,0.942,0.9986,0.8285,-0.8645,-0.9827,,0.9945,0.9978,0.996,0.9849,0.9958,0.963,0.9988,0.9965,0.9928,0.2762,-0.9943,-0.9849,0.9991,,0.769,0.8793,,,,-0.9791,0.742,-0.7836,-0.3773,0.9683,0.7366,0.971,0.9959,0.8669,-0.8718,0.9983,0.9961,0.9995,0.998,0.9977,0.9999,0.9997,0.9993,0.9992,0.8741,-0.9352,-0.9573,-0.9963,0.9118,0.979,0.9662
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.928,0.6491,-0.9918,0.9979,0.8288,,,,,,,,,-0.8892,-0.8054,,,,,0.922,0.9548,-0.856,,0.9984,0.9997,0.9727,0.8761,,-0.8962,0.9948,0.9996,0.9621,0.994,1.0,0.9994,0.9984,0.9994,0.8807,-0.9416,-0.9578,-0.9985,0.919,0.9995,0.9927
FH_CU_nochange,,,,,,,,,,,,,,-0.9282,-0.9609,0.9982,-0.986,-0.7205,0.9994,0.9859,-0.9835,-0.9902,0.9959,-0.9887,-0.9461,0.8729,-0.9971,-0.9926,,0.9948,0.9819,-0.6649,0.9884,0.9967,0.8684,0.9986,0.9999,0.9985,0.2901,-0.9852,-0.974,0.8914,0.6344,0.9271,0.9572,,,-0.8999,-0.9421,0.052,0.9356,0.9586,0.9999,0.9927,0.9945,0.9922,0.9039,0.007,0.9997,0.9953,0.9986,0.9984,1.0,0.9986,0.9999,0.9998,,0.8499,-0.9498,-0.9615,0.4937,0.998,0.9989,0.9996
FH_CU_scenario_high,,,,,,,,,,,,,,0.9854,-0.7572,0.9966,0.9857,0.987,0.999,0.9901,0.8672,-0.9865,-0.9742,-0.9534,-0.9514,0.8666,-0.9983,-0.9975,,0.9933,0.9725,-0.8778,0.9874,0.9966,0.6926,0.9986,0.9999,0.9984,0.2815,-0.9867,-0.9187,0.905,0.3517,0.7709,0.4666,,,-0.7483,-0.9128,0.8914,0.9813,0.9816,0.999,0.9894,0.992,0.9859,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9988,-0.9913,-0.9712,-0.9976,-0.9988,0.9993,0.9518,-0.9947,-0.9817,0.9854,-0.9695,-0.9587,0.8509,-0.984,-0.9785,,0.9927,0.9808,0.6086,0.9825,0.9952,0.9659,0.9966,0.9987,0.9989,0.3225,-0.9749,-0.9843,0.8538,0.7204,0.955,0.996,,,-0.9374,-0.9519,-0.8586,0.6218,0.7517,0.9996,0.9954,0.9976,0.9978,0.9877,0.8782,0.9997,0.9961,0.9984,0.9985,1.0,0.9986,1.0,0.9998,,0.858,-0.9423,-0.9293,0.8681,0.9986,0.9871,-0.8065
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.2243,-0.922,0.9925,0.8771,-0.7661,0.999,0.9937,-0.9983,-0.9694,-0.9338,-0.7716,-0.9875,0.8538,-0.9955,-0.9975,,0.9917,0.9586,-0.9294,0.9845,0.9961,0.6727,0.9976,0.9992,0.9989,0.3308,-0.9782,-0.9713,0.8896,0.6104,0.9051,0.9624,,,-0.9114,-0.9355,-0.6326,0.5944,0.8522,0.9954,0.9991,0.9996,0.9969,0.9556,-0.5967,,0.9921,0.9953,0.995,0.9988,0.9999,0.9994,0.9983,,0.8792,-0.9283,-0.9576,0.4234,0.9937,0.997,0.9938
FH_CU_select,,,,,,-0.3304,-0.2105,-0.9963,0.9999,0.9919,0.9978,0.9998,0.9996,-0.2243,-0.922,0.9925,0.8771,-0.7661,0.9995,0.9518,-0.9947,-0.9817,0.9854,-0.9695,-0.9587,0.8538,-0.9955,-0.9975,,0.9917,0.9808,-0.9294,0.9845,0.9961,0.6727,0.9976,0.9992,0.9989,0.3225,-0.9749,-0.9713,0.8896,0.6104,0.9051,0.9624,,,-0.9114,-0.9355,-0.6326,0.5944,0.8522,0.9954,0.9954,0.9976,0.9978,0.9877,0.8782,0.9997,0.9961,0.9984,0.9985,1.0,0.9986,1.0,0.9998,,0.858,-0.9423,-0.9576,0.4234,0.9937,0.9988,0.979
