,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9991,0.996,1.0,0.9945,0.9937,0.9992,0.9996,0.9976,0.9934,-0.8404,-0.9741,-0.978,0.93,0.3763,0.9998,0.9965,0.9994,0.9996,0.9997,0.9992,0.9981,0.9903,0.9315,-0.31,0.9786,0.7766,-0.5183,0.997,0.9927,0.9983,0.9809,0.9831,0.9567,-0.6545,-0.997,-0.9742,0.9996,0.9957,0.9974,0.9992,0.9871,0.9923,0.6363,-0.9766,-0.9839,0.996,0.9967,0.9957,0.9978,0.9938,0.9483,-0.8433,-0.9225,0.9565,-0.9774,-0.7512,0.9803,0.9864,0.9998
FH_CEID_Walk,,,,,,0.9272,-0.8391,0.9914,0.9986,0.993,0.998,-0.9782,-0.8856,-0.7801,-0.9167,-0.8335,0.8924,-0.9937,0.836,0.9223,0.9774,0.9871,0.9867,-0.6125,,0.8696,-0.6832,-0.9829,0.9568,0.9853,0.9551,0.9672,0.9309,0.9864,0.9962,0.9979,0.9043,0.9253,0.9256,0.9914,-0.9719,0.9669,0.908,0.988,-0.9463,,0.9878,-0.8662,-0.6413,0.9966,0.9764,0.9995,-0.924,0.9617,-0.7669,-0.9361,-0.9975,-0.8562,0.9384,0.8338,0.9869,0.8487,0.9703,0.9707,0.9967,0.1351,-0.8825,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,0.9945,0.9912,0.9986,0.9519,-0.7943,-0.8859,0.9564,-0.9693,0.7963,-0.638,-0.8455,-0.9545
FH_COVIDhub_ensemble,,,0.9343,-0.9976,0.9011,0.9866,0.7204,0.991,0.9992,0.9927,0.9981,-0.9228,-0.9869,-0.9634,-0.9926,-0.9689,0.5353,-0.9626,0.9312,0.9883,0.9939,0.9991,0.9946,0.9965,-0.7689,0.9833,0.9899,0.9675,,0.9998,0.9987,0.9953,0.9961,0.9927,0.9985,0.9997,0.9943,0.983,0.9189,0.988,0.0381,0.9451,,0.991,0.9958,,,,-0.663,-0.9904,-0.9586,-0.7439,-0.9515,0.9797,0.9972,0.9971,0.998,0.782,-0.9792,-0.9674,0.9941,0.999,0.9945,0.9912,0.9986,0.9519,-0.7943,-0.8859,0.9564,-0.9693,0.7963,-0.638,-0.8455,-0.9545
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9954,0.9905,-0.6291,0.9988,0.9966,,,,,,,,,0.9945,0.9992,,,,,-0.985,-0.9174,0.1374,,0.9898,0.9989,0.9912,0.9911,,-0.9872,-0.9749,0.9808,0.9974,0.9923,0.9607,0.9996,-0.2588,-0.7943,-0.9213,-0.9061,-0.9702,0.6936,0.9795,-0.5209,-0.9386
FH_CU_nochange,,,,,,,,,,,,,,-0.9001,0.9979,0.9995,0.9983,0.9998,0.9992,0.9983,0.9999,0.9819,0.9896,0.9954,0.3483,0.9971,-0.9811,-0.9999,,0.9931,-0.9183,0.8231,0.9982,0.9983,0.9458,0.9887,0.9959,0.969,0.5106,0.9276,-0.9795,0.5906,0.9983,0.9918,-0.8207,,,0.9261,-0.5452,0.9964,-0.9202,0.8486,0.9855,0.9986,0.9893,0.9966,0.9937,0.6273,-0.9841,-0.9934,-0.829,0.9878,0.9967,0.9998,0.9976,0.954,,-0.9597,-0.975,-0.9982,-0.7684,0.9961,-0.9567,-0.9081
FH_CU_scenario_high,,,,,,,,,,,,,,-0.5234,0.9994,0.9953,0.9995,0.9966,0.9985,0.9987,1.0,0.9983,0.9729,0.992,-0.0873,0.9968,-0.9946,-0.9999,,0.9914,-0.922,0.4724,0.9974,0.9981,0.8084,0.9779,0.9959,0.9714,0.6352,0.9919,-0.9824,-0.7512,0.9855,0.9841,-0.9342,,,0.841,-0.4269,0.997,-0.5381,0.9693,0.9888,0.9999,0.988,0.9941,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9805,-0.9986,-0.9985,-0.9992,-0.9963,0.9919,0.9823,0.9884,0.9426,0.9984,0.9997,-0.3737,0.9958,-0.8997,-0.9919,,0.9927,0.6656,0.9852,0.9963,0.9959,0.9849,0.9945,0.9955,0.9795,0.8667,0.9315,-0.9531,0.9654,0.9997,0.9942,0.3697,,,0.9485,-0.6003,0.9789,-0.9593,-0.6923,0.9772,0.9942,0.9903,0.9984,0.9967,0.6489,-0.976,-0.9793,-0.8089,0.9822,0.9956,0.9993,0.9996,-0.1565,,-0.9867,-0.978,-0.9984,-0.7833,0.9949,-0.9747,-0.9249
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.9182,0.9974,0.9892,0.9971,-0.9814,0.9947,0.9963,0.9979,0.9976,0.9887,0.9926,-0.6148,0.9947,-0.9927,-0.9997,,0.9892,-0.9477,0.7235,0.9965,0.9972,0.9029,0.9669,0.9935,0.9641,-0.1798,-0.7032,-0.9232,0.9589,0.9994,0.987,0.8084,,,0.9173,-0.5753,0.9886,-0.9048,-0.1632,0.9719,0.988,0.9937,0.9994,0.9999,0.7022,,-0.9731,0.9268,0.9922,0.9963,0.9998,0.9993,0.6651,,-0.9596,-0.9528,-0.99,-0.7301,0.9994,-0.9618,-0.9041
FH_CU_select,,,,,,0.9826,-0.9979,-0.3998,0.6302,-0.9647,-0.8353,0.9249,0.9878,-0.9182,0.9974,0.9892,0.9971,-0.9814,0.998,0.9823,0.9884,0.9426,0.9984,0.9997,-0.3737,0.9947,-0.9927,-0.9997,,0.9892,0.6656,0.7235,0.9965,0.9972,0.9029,0.9669,0.9935,0.9795,0.8667,0.9315,-0.9232,0.9589,0.9994,0.987,0.8084,,,0.9173,-0.5753,0.9886,-0.9048,-0.1632,0.9719,0.9942,0.9903,0.9984,0.9967,0.6489,-0.976,-0.9793,-0.8089,0.9822,0.9956,0.9993,0.9996,-0.1565,,-0.9867,-0.978,-0.99,-0.7301,0.9994,0.8925,-0.8118
FH_Covid19Sim_Simulator,0.7278,-0.9012,-0.8736,-0.9273,0.9899,,,0.9841,0.9982,0.9977,0.9996,-0.8933,-0.9719,-0.9351,0.3994,-0.987,0.9955,0.9998,0.996,,0.9991,0.9969,0.9903,0.9854,-0.8341,-0.6801,-0.9834,-0.9991,,0.9998,0.9995,1.0,0.9999,0.9999,0.9992,0.9904,0.9851,0.9796,0.9389,0.9983,0.9998,0.9998,0.9989,0.9988,0.9913,0.9913,0.9775,0.9865,-0.7005,-0.9957,-0.9787,-0.9968,-0.975,,,,0.9838,0.5981,,-0.9971,,,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,0.7517,-0.9258,-0.9545,-0.994,-0.9605,-0.9742,-0.9755,0.9996,0.9049,0.9748,0.9824,-0.9313,-0.9787,-0.95,-0.979,-0.9801,-0.9659,-0.9537,-0.9552,-0.9417,0.9974,0.9976,0.9934,0.9701,-0.7942,0.9991,0.9995,0.9999,,0.9988,0.9982,0.9964,0.9924,0.9883,0.9858,0.9989,0.9941,0.9804,0.8983,0.9953,0.997,0.9982,0.9997,0.9965,0.9989,,0.9474,0.9672,-0.6627,-0.9955,-0.9774,-0.9832,-0.9666,0.1991,0.9934,0.9831,0.916,0.9112,0.9404,0.9993,0.999,0.9992,0.9993,0.995,0.9965,0.9523,-0.8096,-0.8942,-0.9047,-0.6469,0.919,-0.9461,-0.9877,-0.9598
FH_DDS_NBDS,,,,0.9977,0.9681,-0.9019,-0.9908,0.994,0.995,0.9589,0.9933,0.8395,0.996,-0.4889,-0.2236,0.798,0.9993,0.9999,0.9996,0.9767,0.9977,0.9994,0.9866,0.8677,0.9885,-0.9993,-0.9889,-0.9999,,0.9959,0.9614,0.9591,,0.9566,0.9955,0.9562,0.0197,0.9811,-0.9896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
