,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.992,-0.9928,-0.9924,0.9562,-0.8644,-0.9512,0.9996,-0.9345,-0.9688,0.7341,0.9651,-0.3544,-0.7112,0.9947,0.9972,0.9983,0.9984,0.9878,0.9714,-0.834,-0.9564,-0.9431,-0.9026,0.9999,0.9605,-0.8517,-0.9844,-0.9766,0.9904,0.9997,0.9935,0.9994,0.9954,0.9998,-0.049,-0.6075,0.3402,0.9278,0.5984,0.9996,0.9928,0.9994,1.0,0.999,0.9987,0.999,0.9997,0.9753,0.9889,-0.9916,0.9571,0.2096,0.9995,-0.9843,0.1978,-0.9669,-0.9961,-0.9933,0.8033
FH_CEID_Walk,,,,,,0.9976,0.6662,-0.8752,0.7528,-0.9537,-0.9754,0.9136,0.8713,-0.9808,0.9375,0.9416,0.9583,0.9942,0.9988,-0.7245,-0.8205,0.9112,-0.9842,0.7293,,0.8732,-0.468,-0.9505,0.9361,0.9772,-0.5055,-0.1868,0.9668,0.9505,0.3009,0.8976,-0.9435,-0.9027,0.9922,0.9947,-0.6788,-0.8992,-0.9759,-0.948,0.9608,,0.9699,0.9973,0.9994,0.5412,-0.3695,0.9967,-0.9744,0.9668,0.9668,-0.6095,0.9549,0.3595,0.9891,0.8261,0.938,-0.3454,0.8993,0.9284,-0.7277,0.967,0.8746,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977,-0.8538,0.4678,-0.9923,-0.9909,0.6334,0.0155,-0.9899,0.5347,0.9872,-0.9034,0.1858,-0.7872
FH_COVIDhub_ensemble,,,-0.9869,-0.9862,0.9997,0.9976,-0.1163,-0.9512,-0.998,-0.9979,-0.9968,0.6469,0.8339,-0.986,0.9313,0.9856,0.9923,0.9936,0.9805,-0.882,-0.9718,0.9817,0.7257,0.9983,0.9993,0.9616,0.9929,0.5239,,0.9979,0.9979,0.9928,0.9967,0.9758,-0.9003,-0.9928,-0.9675,-0.9811,0.9636,0.9972,-0.828,-0.9366,,0.9997,0.999,,,,0.9988,0.9365,-0.4523,-0.9898,-0.9862,-0.98,0.9695,-0.9542,0.9671,0.9975,0.9854,0.9971,0.9624,0.9977,-0.8538,0.4678,-0.9923,-0.9909,0.6334,0.0155,-0.9899,0.5347,0.9872,-0.9034,0.1858,-0.7872
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8052,-0.8476,-0.9984,0.9304,-0.7245,,,,,,,,,0.8474,0.9964,,,,,0.9961,-0.4662,-0.9463,,-0.4083,0.9981,0.9968,1.0,,0.9998,0.9952,0.9925,0.9992,0.321,0.9805,-0.9741,-0.9983,0.9852,0.97,-0.9995,0.2805,-0.9873,-0.927,-0.6174,-0.7654
FH_CU_nochange,,,,,,,,,,,,,,0.9228,0.9992,0.9996,0.9979,0.9924,0.9727,-0.6867,0.9605,0.9972,-0.993,-0.9969,0.9997,0.9663,-0.9949,-0.998,,0.9834,-0.9656,-0.8972,-0.7502,0.9783,0.8929,0.9799,-0.9853,-0.9923,0.9951,0.9671,-0.7907,0.9969,0.9999,0.9958,0.9998,,,0.9924,0.9998,0.9838,-0.5422,-0.9698,-0.9684,-0.947,-0.9218,-0.9954,0.9878,0.9684,-0.9563,-0.8491,-0.9916,-0.9968,-0.9968,-0.9992,-0.9873,-0.9979,,0.9979,-0.9887,0.1713,-0.9887,-0.9983,0.9681,-0.8924
FH_CU_scenario_high,,,,,,,,,,,,,,0.9947,0.9956,0.9975,0.9997,0.9974,0.96,-0.7939,0.8857,0.9966,0.9992,-0.9874,0.9997,0.9625,-0.994,-0.9973,,0.9701,-0.9649,-0.9093,-0.9236,0.9773,0.8996,0.9808,-0.9846,-0.9926,0.9971,0.9953,-0.8698,0.8299,0.9986,0.9982,0.9999,,,0.9905,0.9977,0.5747,-0.5079,-0.9645,-0.951,-0.8554,-0.3235,0.9942,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9986,-0.8199,0.8225,0.9993,0.9891,0.9798,-0.6736,0.9807,0.9924,-0.9976,0.9993,0.9985,0.9534,-0.9981,-0.9978,,0.9906,-0.9662,-0.913,0.5691,0.9716,0.8352,0.9615,-0.975,-0.9843,0.9997,0.984,-0.4553,0.9995,1.0,0.9973,0.9997,,,0.9933,0.9999,0.9734,-0.5566,-0.9734,-0.9743,-0.9669,-0.9753,-0.995,0.9642,-0.8813,-0.9777,-0.9359,-0.9921,-0.9971,-0.9965,-0.9988,-0.9765,-0.9995,,0.9998,-0.9998,0.1372,-0.9936,-1.0,0.9653,-0.8787
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9227,0.9843,0.9897,0.9976,0.9999,0.977,-0.842,0.9901,0.9941,0.996,0.9992,0.9993,0.9557,-0.9987,-0.999,,0.9732,-0.9803,-0.936,-0.9583,0.9744,0.866,0.9764,-0.978,-0.9641,0.9965,0.9633,-0.7616,0.9245,0.9993,0.9957,0.9995,,,0.9873,0.9983,0.9796,-0.4906,-0.9572,-0.9511,-0.9217,-0.8995,0.9931,0.9849,0.9847,,0.8464,-0.997,-1.0,-0.9985,-0.9973,-0.9828,-0.9973,,0.9912,-0.9872,0.2336,-0.966,-0.9854,0.9503,-0.881
FH_CU_select,,,,,,0.9989,0.8857,-0.6871,0.9938,0.8106,0.9991,0.9984,0.9911,0.9227,0.9843,0.9897,0.9976,0.9999,0.9627,-0.6736,0.9807,0.9924,-0.9976,0.9993,0.9985,0.9557,-0.9987,-0.999,,0.9732,-0.9662,-0.936,-0.9583,0.9744,0.866,0.9764,-0.978,-0.9843,0.9997,0.984,-0.7616,0.9245,0.9993,0.9957,0.9995,,,0.9873,0.9983,0.9796,-0.4906,-0.9572,-0.9511,-0.9669,-0.9753,-0.995,0.9642,-0.8813,-0.9777,-0.9359,-0.9921,-0.9971,-0.9965,-0.9988,-0.9765,-0.9995,,0.9998,-0.9998,0.2336,-0.966,-0.9854,-0.9994,-0.906
