,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9547,0.9983,0.9982,0.9703,0.8942,0.9919,-0.5595,-0.6974,-0.8259,-0.9842,-0.8059,0.162,0.9999,0.9935,0.9969,0.9989,1.0,0.9964,0.6038,-0.9515,-0.9786,-0.9985,-0.4151,-0.8399,-0.896,0.9059,0.8996,0.9904,0.9916,0.9949,0.9962,0.9998,0.9976,0.9893,-0.932,-0.9477,-0.9768,-0.996,-0.9847,-0.9889,0.9945,0.9964,0.991,0.4634,0.3768,-0.7117,0.9965,0.9966,-0.952,0.9986,0.9909,0.9962,-0.4841,-0.9726,-0.9353,-0.977,0.998,0.9998,0.999
FH_CEID_Walk,,,,,,-0.8039,0.8386,0.8916,0.9477,-0.8978,-0.3768,0.9624,-0.8833,0.9347,0.2458,0.916,0.9728,0.9502,0.9635,0.9498,0.9838,-0.8967,-0.7414,-0.6617,,-0.7894,-0.5006,0.9369,-0.9836,0.9472,0.9117,0.9729,0.9811,0.6953,0.9122,-0.8751,-0.9715,0.7621,-0.6622,0.9564,0.9039,0.8023,0.9729,0.9487,0.9911,,0.9821,0.9883,0.9985,0.8976,-0.8976,0.8874,-0.9112,0.9353,0.9404,0.9353,0.9432,-0.9953,0.4618,0.5612,-0.9278,0.8831,0.9808,-0.9223,0.9612,-0.3717,0.2567,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9306,0.9969,-0.931,0.9977,0.9974,0.997,0.4993,0.9845,-0.9265,-0.99,0.9945,0.9944,0.9753
FH_COVIDhub_ensemble,,,-0.9926,0.9283,0.2389,-0.8946,-0.9972,-0.9977,-0.9115,-0.9931,-0.9852,-0.9884,-0.9811,-0.1383,-0.9867,-0.3436,0.9992,0.9935,0.9914,0.9924,0.9981,-0.8793,-0.7606,-0.2942,-0.9816,-0.8026,-0.2595,0.9882,,0.9941,0.989,0.9994,0.9973,0.5828,-0.9814,-0.9775,-0.9945,0.6115,-0.8863,-0.902,0.9695,0.9951,,0.9963,0.999,,,,0.9828,-0.8928,-0.9359,-0.9914,-0.9401,0.8461,0.7841,0.9339,0.9867,0.9883,0.9718,0.5652,-0.8945,0.9306,0.9969,-0.931,0.9977,0.9974,0.997,0.4993,0.9845,-0.9265,-0.99,0.9945,0.9944,0.9753
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9889,0.9013,-0.9889,0.5906,-0.9587,,,,,,,,,0.9921,0.9926,,,,,-0.8683,-0.909,-0.9824,,0.7286,0.9997,0.9955,0.9909,,0.9984,0.092,-0.983,0.8214,0.9157,-0.9959,0.9859,0.988,0.9692,0.5705,0.9668,-0.8871,-0.9918,0.9881,0.9972,0.9914
FH_CU_nochange,,,,,,,,,,,,,,0.9998,0.999,0.999,0.9995,0.9997,0.9381,0.9928,0.9971,-0.8283,-0.9121,-0.08,-0.9761,-0.8263,-0.9082,-0.9992,,-0.9861,-0.9678,0.7937,0.9992,0.6347,0.9957,-0.9929,-0.9993,0.2529,-0.9813,0.9865,0.9983,0.9988,0.9973,0.9926,0.9252,,,0.9987,0.9856,-0.8907,-0.9259,-0.9615,-0.9345,-0.477,0.9709,0.9971,0.9969,0.9933,0.9942,0.0767,-0.9829,-0.9795,0.974,-0.9714,0.9949,0.9832,,0.704,0.995,-0.8003,0.9996,0.9998,0.9961,0.996
FH_CU_scenario_high,,,,,,,,,,,,,,0.9992,0.9924,0.9943,0.9995,0.999,0.9925,0.9955,0.9939,-0.83,-0.983,-0.0458,-0.9777,-0.8271,-0.9095,-0.9997,,-0.9865,-0.9702,0.2099,0.9988,0.6383,0.9962,-0.9916,-0.9992,0.2557,-0.9793,0.9919,0.9978,0.9911,0.9966,0.9924,0.5239,,,0.9987,0.9858,-0.8847,-0.9211,-0.9487,-0.9161,0.8232,0.9806,0.994,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9968,0.9756,0.9674,0.8248,0.9735,0.9602,0.9699,0.6724,-0.8544,-0.8833,-0.1884,-0.9769,-0.8228,-0.8698,-0.9842,,-0.9912,-0.8906,0.9427,0.9965,0.6514,0.9766,-0.9862,-0.9999,0.3575,-0.9583,0.9267,0.9985,0.9998,0.9976,0.9926,0.9777,,,0.9989,0.9857,-0.8932,-0.926,-0.966,-0.9491,-0.936,0.9245,0.9991,0.9993,0.9975,0.9982,0.1557,-0.9836,-0.983,0.9542,-0.9851,0.956,0.9701,,0.7112,0.9944,-0.549,0.9991,0.9996,0.9799,0.936
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9927,0.9789,0.9821,0.9931,0.9938,0.9773,0.9954,0.7203,-0.8427,-0.9601,-0.0687,-0.9765,-0.8272,-0.9019,-0.9986,,-0.9917,-0.9782,0.3899,0.9972,0.644,0.9905,-0.9819,-0.9996,0.2808,-0.9793,0.9013,0.9951,0.9973,0.9941,0.9904,0.9719,,,0.9976,0.9888,-0.8679,-0.909,-0.9323,-0.9182,-0.7277,0.9571,0.9993,0.9996,0.9997,,0.2024,-0.9697,-0.941,0.9889,-0.9771,0.9989,0.9815,,0.642,0.98,-0.9062,0.9981,0.9952,0.9857,0.9959
FH_CU_select,,,,,,0.4328,-0.8873,0.9999,0.9964,0.9961,0.9974,0.9997,0.9945,0.9927,0.9789,0.9821,0.9931,0.9938,0.9831,0.9699,0.6724,-0.8544,-0.8833,-0.1884,-0.9769,-0.8272,-0.9019,-0.9986,,-0.9917,-0.8906,0.3899,0.9972,0.644,0.9905,-0.9819,-0.9996,0.3575,-0.9583,0.9267,0.9951,0.9973,0.9941,0.9904,0.9719,,,0.9976,0.9888,-0.8679,-0.909,-0.9323,-0.9182,-0.936,0.9245,0.9991,0.9993,0.9975,0.9982,0.1557,-0.9836,-0.983,0.9542,-0.9851,0.956,0.9701,,0.7112,0.9944,-0.9062,0.9981,0.9952,0.9928,0.9987
