,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.982,0.9999,0.9964,-0.9873,0.9979,0.9978,0.9663,0.7615,-0.6764,0.8561,-0.7404,-0.9472,-0.9615,-0.3895,0.9868,0.9943,0.9976,0.9811,0.8454,-0.9943,-0.9458,0.9616,-0.9992,0.936,-0.9665,-0.8603,-0.9281,0.9956,0.9997,0.9818,0.9961,0.997,0.9999,0.9989,-0.9559,-0.9707,0.9959,-0.516,1.0,-0.9779,0.9998,0.9996,0.9974,0.9988,0.9971,0.9999,0.992,-0.8655,-0.9651,0.9978,0.9997,0.9996,0.9922,-0.6763,-0.9314,-0.9889,-0.9803,0.9987,0.9887
FH_CEID_Walk,,,,,,0.9115,0.8252,-0.9283,0.8303,-0.151,-0.9356,-0.2716,-0.9567,0.7255,0.9621,0.9971,0.2956,0.9116,0.8849,0.8807,0.9562,0.9888,0.8655,0.3879,,0.5805,0.9827,-0.9622,0.9628,0.9231,0.9736,0.9951,0.8276,0.9495,0.9601,-0.885,0.7227,-0.9938,-0.9116,-0.8267,0.9782,-0.9811,0.9227,0.884,0.9379,,-0.9421,-0.9924,0.9936,-0.0787,0.6383,-0.8189,0.958,-0.7949,0.9586,0.8233,0.9697,0.9566,-0.8952,-0.9094,0.8388,0.9982,0.9611,-0.8999,-0.5921,-0.9726,0.9178,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9936,0.917,0.9319,0.9999,0.9991,0.9991,0.9782,-0.6926,-0.9396,-0.9849,-0.9779,0.9698,-0.9874
FH_COVIDhub_ensemble,,,-0.9449,0.8699,0.9718,0.9669,-0.9956,-0.9546,-0.997,-0.7294,-0.9996,-0.9974,-0.9858,-0.3275,-0.9596,-0.9994,-0.9586,0.9733,0.986,0.9945,0.9975,0.9685,0.792,-0.7282,0.786,0.6831,0.9936,-0.718,,0.9994,0.9981,0.9979,0.9914,0.821,-0.9963,-0.9546,-0.874,-0.9912,-0.8863,-0.7537,0.9615,-0.982,,0.9998,0.9753,,,,0.9989,0.2198,-0.9598,-0.9461,0.9216,-0.9812,0.958,0.9891,0.9859,0.9996,0.9975,0.9981,0.4276,0.9936,0.917,0.9319,0.9999,0.9991,0.9991,0.9782,-0.6926,-0.9396,-0.9849,-0.9779,0.9698,-0.9874
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9911,0.9615,-0.9806,0.8144,-0.9945,,,,,,,,,0.9969,0.9718,,,,,0.2618,-0.933,-0.9419,,-0.936,1.0,0.9994,0.9986,,0.9986,0.9991,0.9999,0.9936,0.9281,-0.8824,0.9965,0.9997,0.9939,0.9785,-0.6851,-0.9341,-0.9837,0.9991,0.731,-0.9629
FH_CU_nochange,,,,,,,,,,,,,,0.9963,-0.9798,0.9861,0.9975,0.9913,0.9998,0.9999,0.9995,0.9724,0.7621,-0.7127,-0.8692,0.6874,-0.9939,-0.9884,,-0.6509,0.9906,0.9951,0.8155,0.883,0.9965,-0.9841,-0.9936,-0.5324,0.6686,-0.9116,0.9996,-0.6936,0.9997,0.9994,0.986,,,0.9999,0.9992,0.242,-0.9521,-0.9574,-0.9726,-0.8825,0.9998,0.9983,0.9976,0.9995,0.9901,0.609,-0.9888,-0.9578,0.88,0.9991,0.9996,0.9982,,0.9696,-0.7179,-0.9367,-0.9819,0.9977,-0.9936,-0.9377
FH_CU_scenario_high,,,,,,,,,,,,,,0.9947,0.9726,0.999,0.999,0.9939,0.9991,0.9991,0.9994,0.9921,0.774,-0.6876,-0.8654,0.6724,-0.9963,-0.9911,,-0.8201,0.9808,0.9954,0.4708,0.9312,0.9952,-0.981,-0.9936,-0.7859,0.068,-0.8794,0.9981,-0.9878,0.9997,0.9992,0.9842,,,0.9997,0.9994,0.251,-0.9392,-0.9505,-0.9268,-0.6215,0.9987,0.9998,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9691,-0.993,-0.9999,-0.9977,0.273,0.9941,0.9884,0.994,0.9973,0.7995,-0.7571,-0.8493,0.6478,-0.9812,-0.9755,,0.8142,0.981,0.9974,0.8888,0.9186,0.9921,-0.9717,-0.9881,-0.7929,0.8314,-0.8756,0.9996,0.5568,0.9996,0.9994,0.9868,,,1.0,0.9992,0.2366,-0.9595,-0.9583,-0.9825,-0.9364,0.9985,0.994,0.9925,0.9951,0.9634,-0.1629,-0.9883,-0.9596,0.8784,0.9992,0.9994,0.9982,,0.9716,-0.6994,-0.9192,-0.9526,0.9992,-0.9827,-0.9182
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9837,0.959,0.989,0.9929,0.984,0.9974,0.9984,0.9997,0.9831,0.7714,-0.7475,-0.8477,0.6401,-0.9928,-0.9916,,-0.88,0.9601,0.9965,0.0775,0.9867,0.9975,-0.9694,-0.9874,0.8225,0.8389,-0.9142,0.9984,-0.952,0.9994,0.9983,0.9759,,,0.9989,0.9998,0.2823,-0.9341,-0.9382,-0.9526,-0.8631,0.9984,0.9931,0.9918,0.9956,,0.9491,-0.9838,-0.9583,0.8675,0.9981,0.9996,0.999,,0.9846,-0.6661,-0.9102,-0.968,0.9931,-0.9803,-0.8996
FH_CU_select,,,,,,0.9423,-0.8535,0.9907,0.9922,0.9975,0.9824,-0.9747,-0.9863,0.9837,0.959,0.989,0.9929,0.984,0.9997,0.9884,0.994,0.9973,0.7995,-0.7571,-0.8493,0.6401,-0.9928,-0.9916,,-0.88,0.981,0.9965,0.0775,0.9867,0.9975,-0.9694,-0.9874,-0.7929,0.8314,-0.8756,0.9984,-0.952,0.9994,0.9983,0.9759,,,0.9989,0.9998,0.2823,-0.9341,-0.9382,-0.9526,-0.9364,0.9985,0.994,0.9925,0.9951,0.9634,-0.1629,-0.9883,-0.9596,0.8784,0.9992,0.9994,0.9982,,0.9716,-0.6994,-0.9102,-0.968,0.9931,-0.4968,-0.7436
