,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.7946,-0.9603,-0.9602,0.9999,0.4927,1.0,-0.9283,0.9895,0.7672,0.9994,0.8194,-0.8001,-0.9162,0.6844,0.9819,0.9876,0.9585,-0.0768,-0.871,0.1388,0.9431,0.9038,0.996,-0.9524,-0.9912,-0.9991,-0.9974,0.9872,0.9962,0.9966,0.9934,0.9789,0.9967,0.9996,-0.1608,-0.9392,-0.9969,-0.9939,0.941,0.9994,0.9992,0.9955,0.979,0.9992,0.9851,0.9836,-0.6336,0.9151,-0.9992,-0.4876,0.9996,0.9914,0.9053,-0.8178,-0.7653,0.9017,-0.1657,0.989,0.9902
FH_CEID_Walk,,,,,,0.9469,-0.6575,0.9946,-0.9974,0.2056,-0.8434,0.8776,-0.9737,-0.8536,0.9712,0.9016,0.9952,0.8222,0.7683,0.943,0.9622,-0.989,0.9744,-0.8529,,-0.8978,-0.5525,-0.907,-0.9927,0.9814,-0.9948,0.9887,-0.1537,-0.8212,0.3611,0.9943,-0.6628,0.9749,-0.5925,0.9163,0.8874,-0.6392,0.9841,0.9591,0.9108,,-0.9861,0.9938,0.898,0.2487,-0.8198,-0.9901,-0.3321,0.881,0.9586,0.9013,0.9671,-0.9896,0.0467,-0.9761,0.9606,0.7879,0.9011,-0.887,0.8517,0.992,0.9921,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4356,0.9533,-0.9051,0.9849,0.9995,0.9877,0.8808,0.9518,0.151,-0.9049,-0.8462,0.7503,-0.9778
FH_COVIDhub_ensemble,,,0.4222,0.9989,0.9164,0.2546,0.9661,0.9973,0.9921,0.113,-0.9144,-0.9897,-0.9905,-0.9879,0.1415,-0.9876,-0.9889,0.9778,0.9901,0.9844,0.9987,0.9891,0.9962,0.9246,0.6898,-0.8722,0.9823,-0.9955,,0.9985,0.9949,0.948,-0.0942,-0.8539,0.4727,0.9465,-0.7546,0.9795,-0.9284,0.907,0.9969,0.9885,,0.9965,0.996,,,,0.9972,0.1647,-0.9448,-0.9998,0.768,-0.7714,0.9076,0.9998,0.9741,0.9886,0.9383,-0.7535,-0.9946,0.4356,0.9533,-0.9051,0.9849,0.9995,0.9877,0.8808,0.9518,0.151,-0.9049,-0.8462,0.7503,-0.9778
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7559,0.9891,0.1001,-0.8198,0.0724,,,,,,,,,0.9929,0.994,,,,,0.1867,-0.9421,-0.9623,,-0.7303,0.8409,0.9786,0.9901,,0.9118,-0.943,0.8869,0.7372,0.9537,-0.7028,0.9867,0.9927,0.9904,0.8861,0.9376,0.0008,-0.9156,-0.9692,0.7839,-0.9902
FH_CU_nochange,,,,,,,,,,,,,,-0.9761,0.9964,0.9688,-0.991,0.9992,-0.9957,0.9988,0.9968,-0.9844,0.9979,0.9339,-0.9958,-0.8453,-0.9447,-0.9678,,0.9849,-0.9889,0.9248,-0.0598,-0.8636,-0.2909,0.947,-0.845,0.9953,-0.9841,0.9976,0.9998,0.9954,0.9999,0.9995,0.9991,,,0.9991,0.9771,0.0287,-0.9566,-0.9804,-0.9773,-0.9753,-0.9867,1.0,0.9908,0.996,0.8778,-0.9366,-0.9671,-0.5515,0.9704,0.9951,0.9925,0.9944,,0.8947,0.9484,0.9054,0.9374,0.9965,-0.8798,-0.9361
FH_CU_scenario_high,,,,,,,,,,,,,,-0.9258,0.9886,0.984,-0.9854,0.9996,0.9957,0.9999,0.9947,-0.9931,0.9954,0.9485,-0.9859,-0.8579,-0.9541,-0.9836,,0.9762,-0.9877,0.927,-0.0664,-0.8611,-0.2924,0.9414,-0.8301,0.9955,-0.9833,0.9978,0.9996,0.9962,0.9998,0.9992,0.9997,,,0.998,0.9785,0.0388,-0.9564,-0.9817,-0.9751,-0.9674,-0.9823,0.9997,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9903,0.9561,-0.9784,-0.9922,0.9931,-0.9959,0.9876,-0.175,-0.9974,0.9991,-0.9639,-0.9842,-0.8835,-0.9142,-0.975,,0.9829,-0.9993,0.9549,-0.0682,-0.8439,-0.1934,0.982,-0.8189,0.9906,-0.9636,0.9444,0.9999,0.9947,0.9999,0.9992,0.9989,,,0.9993,0.981,0.0315,-0.9602,-0.9804,-0.9788,-0.9797,-0.9904,0.9991,0.9974,0.9993,0.7573,-0.9485,-0.9668,-0.556,0.9705,0.9947,0.9903,0.9946,,0.8997,0.9136,0.9061,0.9796,0.9961,-0.9984,-0.9994
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.9475,0.9743,0.9483,-0.9812,0.9945,0.9724,0.9996,-0.6109,-0.9962,0.9975,-0.9684,-0.9399,-0.8808,-0.9438,-0.9888,,0.9688,-0.9942,0.9454,-0.0702,-0.8522,-0.2383,0.9845,-0.8644,0.9931,-0.9854,0.8756,0.9982,0.9923,0.9988,0.9971,0.9999,,,0.9949,0.9797,0.0531,-0.9489,-0.9699,-0.9689,-0.9469,-0.9679,0.9962,0.9988,0.9967,,-0.8186,-0.9526,-0.6121,0.9613,0.9774,0.9847,0.998,,0.9152,0.9066,0.8786,-0.0537,0.9842,0.831,0.6319
FH_CU_select,,,,,,-0.9946,-0.9998,0.9998,-0.9984,-0.0425,0.9537,-0.8352,0.9538,-0.9475,0.9743,0.9483,-0.9812,0.9945,-0.9977,0.9876,-0.175,-0.9974,0.9991,-0.9639,-0.9842,-0.8808,-0.9438,-0.9888,,0.9688,-0.9993,0.9454,-0.0702,-0.8522,-0.2383,0.9845,-0.8644,0.9906,-0.9636,0.9444,0.9982,0.9923,0.9988,0.9971,0.9999,,,0.9949,0.9797,0.0531,-0.9489,-0.9699,-0.9689,-0.9797,-0.9904,0.9991,0.9974,0.9993,0.7573,-0.9485,-0.9668,-0.556,0.9705,0.9947,0.9903,0.9946,,0.8997,0.9136,0.8786,-0.0537,0.9842,0.9714,0.8769
