,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9935,-0.9967,-0.9811,0.9972,0.9944,0.9988,0.9844,0.966,0.9134,0.3076,0.2583,-0.9218,-0.9938,0.5212,0.9926,0.9958,0.998,0.997,0.9999,0.955,-0.8275,-0.9913,0.4118,0.9888,-0.9808,-0.9996,-0.9981,0.9886,0.9991,0.9981,0.9995,0.999,0.797,-0.9489,-0.9365,-0.9161,-0.8822,-0.8674,0.9978,0.9979,0.9995,-0.969,-0.5913,0.9998,0.9999,0.9998,0.9999,0.9998,0.9991,0.9994,0.9998,0.9999,0.9999,0.992,0.9591,0.0646,-0.9257,-0.8623,-0.9469
FH_CEID_Walk,,,,,,-0.2849,0.9899,0.9347,0.973,0.6917,0.9913,0.7186,-0.9782,0.6449,-0.9488,0.9475,0.658,0.9205,0.9407,0.8225,0.9754,-0.9789,0.9293,-0.7942,,-0.4832,-0.8571,-0.8976,0.8075,0.5421,-0.7256,0.9511,0.9425,0.9922,0.9913,-0.6813,-0.8989,-0.8782,0.967,-0.8013,-0.8896,-0.9729,0.9677,0.9713,0.9211,,0.2599,-0.7356,0.7693,-0.4308,-0.9378,0.8503,0.906,0.9649,0.9493,-0.8663,0.8719,0.0718,0.2795,0.8047,-0.9835,0.9809,0.9747,0.9489,0.9697,0.9771,0.991,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998,0.9998,0.999,0.9984,0.9997,0.9985,0.9998,0.9801,0.9594,0.0869,-0.9149,-0.9131,-0.9229
FH_COVIDhub_ensemble,,,-0.1185,0.9991,0.9999,0.9958,0.9982,0.9943,0.9989,0.9968,0.9588,-0.994,-0.9692,-0.9646,-0.9973,-0.9703,0.5121,0.932,0.9941,0.9939,0.9995,0.9978,0.9841,0.9585,0.9983,0.7437,-0.8541,-0.9898,,0.9938,0.9976,0.9989,0.9978,0.9999,0.9735,-0.8263,-0.9883,-0.9941,0.9995,-0.8285,-0.9376,-0.0187,,0.9988,0.9991,,,,-0.9624,-0.9463,-0.9471,-0.992,0.9406,0.9691,0.9969,0.9903,0.9917,-0.5186,0.9788,0.9957,0.9988,0.9998,0.9998,0.999,0.9984,0.9997,0.9985,0.9998,0.9801,0.9594,0.0869,-0.9149,-0.9131,-0.9229
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9002,0.6606,-0.998,0.9999,0.9849,,,,,,,,,1.0,0.9985,,,,,-0.9156,-0.8765,-0.9666,,0.9986,0.9919,0.9943,0.9755,,-0.9387,-0.9983,0.9653,0.9544,0.9993,0.9998,0.9981,0.999,0.9984,0.9993,0.9657,0.9978,0.0665,0.9597,0.979,-0.9281
FH_CU_nochange,,,,,,,,,,,,,,0.8509,0.9961,0.9997,-0.9975,0.9998,0.9975,0.9999,0.9988,-0.995,0.9898,0.9828,0.9857,-0.1597,-0.987,-0.9907,,-0.7766,-0.9883,-0.9729,0.9995,0.9999,0.9889,-0.832,-0.989,-0.9979,0.8011,0.8433,0.9538,0.9318,1.0,1.0,0.9995,,,0.8068,-0.9558,-0.9521,-0.6582,-0.9108,-0.643,0.9796,0.9389,0.9979,0.9978,0.8229,0.9953,0.9992,0.9998,0.9999,0.997,0.9977,0.9965,0.9963,,0.9965,0.9985,0.8755,0.0412,0.9808,0.9993,0.9978
FH_CU_scenario_high,,,,,,,,,,,,,,0.9768,0.9999,0.9969,0.4491,0.9976,1.0,0.9959,0.9967,-0.9922,-0.991,0.9961,0.9996,-0.1721,-0.9888,-0.9949,,-0.8662,-0.9871,-0.9728,0.9992,1.0,0.9992,-0.8306,-0.9891,-0.9984,0.7448,0.9492,-0.9421,-0.869,0.9998,0.9997,0.9991,,,0.8151,-0.9527,-0.9319,0.829,0.5877,0.8887,0.9857,0.9648,0.9942,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9908,-0.9997,0.1004,-0.9985,-0.9821,0.9993,0.9873,0.9985,-0.9586,0.9773,0.9826,0.9922,-0.2162,-0.9637,-0.9743,,0.8756,-0.9974,-0.984,0.9964,0.9991,0.9913,-0.7997,-0.981,-0.9937,0.8057,-0.7721,0.9869,0.9816,1.0,1.0,0.9996,,,0.8034,-0.9573,-0.9598,-0.9265,-0.9761,-0.967,0.9601,0.774,0.9999,0.983,0.7946,0.995,0.9992,0.9998,0.9999,0.9971,0.9976,0.9968,0.9963,,0.9984,0.9969,-0.3329,0.0377,0.9835,-0.9114,0.9948
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.8088,0.9986,0.9891,-0.998,0.9805,0.995,0.9994,0.9993,-0.5518,0.9861,0.9976,0.9982,-0.2138,-0.9816,-0.9931,,-0.8759,-0.9937,-0.9857,0.9977,0.9995,0.9951,-0.7907,-0.9832,-0.9902,0.8967,-0.9652,-0.5105,-0.2175,0.999,0.9984,0.9974,,,0.833,-0.9432,-0.9306,-0.7663,-0.9156,-0.8175,0.9688,0.8982,0.9993,0.9989,0.9162,,0.9982,0.999,0.9996,0.9981,0.9988,0.9987,0.9988,,0.9988,0.9944,0.9721,0.0179,0.9649,0.9903,0.9886
FH_CU_select,,,,,,0.9949,-0.9962,0.994,0.9807,-0.9952,0.9754,0.9631,0.9936,-0.8088,0.9986,0.9891,-0.998,0.9805,0.9994,0.9873,0.9985,-0.9586,0.9773,0.9826,0.9922,-0.2138,-0.9816,-0.9931,,-0.8759,-0.9974,-0.9857,0.9977,0.9995,0.9951,-0.7907,-0.9832,-0.9937,0.8057,-0.7721,-0.5105,-0.2175,0.999,0.9984,0.9974,,,0.833,-0.9432,-0.9306,-0.7663,-0.9156,-0.8175,0.9601,0.774,0.9999,0.983,0.7946,0.995,0.9992,0.9998,0.9999,0.9971,0.9976,0.9968,0.9963,,0.9984,0.9969,0.9721,0.0179,0.9649,0.9913,0.9832
