,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9957,0.8759,0.537,0.9369,-0.8626,-0.9834,-0.9948,0.9929,0.9873,0.9892,0.3445,-0.9562,-0.9981,-0.9943,0.9969,0.9982,0.999,0.9964,0.998,0.9985,0.9994,0.9854,-0.799,-0.8676,-0.9271,-0.9994,-0.9989,0.9995,0.9998,0.9998,0.9988,0.9998,0.999,0.5667,-0.9915,-0.9327,0.571,-0.6162,-0.8201,0.9965,0.9985,0.9991,0.994,0.9223,-0.8979,0.4503,0.8787,0.9871,0.9989,0.9981,0.9981,0.9998,0.9991,0.9989,0.9492,-0.8806,-0.9124,0.9903,0.9932
FH_CEID_Walk,,,,,,0.9836,0.9598,0.9785,0.9893,0.8489,0.9805,-0.9807,-0.6251,0.9878,-0.9397,0.5705,0.9796,0.4249,0.9407,-0.7156,-0.9557,-0.9985,0.8915,-0.764,,0.1951,-0.8607,-0.8813,0.9378,0.9483,0.9774,0.9602,0.9621,0.4719,0.9104,0.9756,0.9949,-0.952,0.9616,0.8528,0.9252,-0.8093,0.8423,0.9815,0.9655,,0.9547,0.938,0.7648,-0.9428,-0.0854,0.7955,0.9239,0.9192,0.9363,-0.9915,-0.5295,-0.8865,-0.7502,-0.614,0.9837,-0.9732,0.9279,0.9834,0.9327,0.9766,0.9585,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.986,0.9991,0.9958,0.9945,0.9968,0.9998,0.9983,0.9991,0.9709,-0.886,-0.9471,0.8189,-0.9398
FH_COVIDhub_ensemble,,,-0.954,0.9884,0.9992,0.9991,0.9991,0.9863,0.9925,0.9978,0.9992,0.9247,-0.8128,-0.954,-0.9965,-0.9994,0.9837,0.6055,0.9453,-0.8013,0.994,-0.9874,0.9928,0.9869,0.9958,0.5702,-0.8968,-0.9543,,0.9971,0.9972,0.9983,0.9926,0.9878,0.9998,0.9955,0.9931,0.93,0.8756,0.8694,0.9313,-0.964,,0.9998,0.9999,,,,0.5985,-0.9768,-0.9641,-0.9646,0.9966,0.9363,0.9725,0.9832,0.9929,0.996,0.997,-0.7892,0.6063,0.986,0.9991,0.9958,0.9945,0.9968,0.9998,0.9983,0.9991,0.9709,-0.886,-0.9471,0.8189,-0.9398
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9938,0.9441,-0.9999,0.9929,0.9994,,,,,,,,,0.9918,0.9999,,,,,-0.9309,-0.8985,-0.9208,,0.9889,0.9994,0.999,0.9978,,0.9033,-0.8541,0.666,0.9947,0.9995,0.998,0.9958,0.9972,0.9999,0.9982,0.9981,0.9785,-0.8359,-0.9422,0.9589,0.6555
FH_CU_nochange,,,,,,,,,,,,,,-0.8644,0.9919,0.9978,0.8691,0.6556,-0.1308,-0.4225,0.9997,-0.9934,0.9997,0.9984,-0.9438,-0.2887,-0.9656,-0.9966,,-0.9707,0.9904,0.9981,0.9958,0.9919,-0.9779,0.9956,0.9902,0.9867,-0.2788,0.8555,0.9756,-0.9991,0.9927,0.9962,0.9975,,,0.9981,0.616,-0.8886,-0.6389,-0.9141,0.9412,0.9989,0.9991,1.0,0.9998,0.9994,0.9601,-0.3642,0.9997,0.9995,0.9997,0.9999,0.9987,0.9991,,0.9997,0.9996,0.0311,0.9008,0.998,0.9655,0.9987
FH_CU_scenario_high,,,,,,,,,,,,,,-0.0397,0.9979,0.995,0.9015,0.6389,0.9404,-0.5054,0.9988,-0.987,0.9972,0.9996,-0.7456,-0.3449,-0.9739,-0.9984,,-0.9725,0.9779,0.9974,0.995,0.9906,-0.9772,0.9924,0.9902,0.9867,-0.2256,0.8808,0.8973,-0.9999,0.9613,0.9899,0.9939,,,0.995,0.6398,-0.739,0.473,-0.7181,0.9797,0.9976,0.9977,0.9994,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9631,0.9955,0.862,-0.752,0.4232,0.1403,-0.7535,0.9958,-0.9852,0.9965,0.9816,-0.2524,-0.3234,-0.9412,-0.9819,,-0.9495,0.9919,0.9961,0.9906,0.9852,-0.9919,0.9908,0.9939,0.9866,0.7606,0.8447,0.9845,-0.9944,0.9969,0.9978,0.9987,,,0.9991,0.6053,-0.9264,-0.8827,-0.9477,0.5407,0.9999,0.9997,0.9996,0.9985,0.9998,0.9975,0.9962,0.9997,0.9996,0.9996,0.9999,0.9982,0.9985,,0.9993,0.999,-0.4326,0.9786,0.9974,0.9095,0.9832
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.8771,0.9947,0.9869,0.9334,0.655,0.9252,-0.4541,0.9999,-0.9776,0.9999,0.9965,0.9973,-0.4663,-0.9683,-0.9967,,-0.9849,0.9638,0.9958,0.9922,0.9859,-0.9874,0.9734,0.9924,0.9858,-0.5719,0.7975,0.9643,-0.9857,0.9855,0.9904,0.9925,,,0.9948,0.6444,-0.8839,-0.8189,-0.913,0.5365,0.9985,0.9982,0.994,0.9932,0.9978,,-0.382,0.9994,0.9986,0.9981,0.9989,0.9958,0.9961,,0.9983,0.9982,0.9931,0.6381,0.9924,0.9402,0.9968
FH_CU_select,,,,,,-0.9337,-0.9941,0.9725,-0.9863,-0.9948,-0.6226,-0.6688,0.961,-0.8771,0.9947,0.9869,0.9334,0.655,0.9311,-0.7535,0.9958,-0.9852,0.9965,0.9816,-0.2524,-0.4663,-0.9683,-0.9967,,-0.9849,0.9919,0.9958,0.9922,0.9859,-0.9874,0.9734,0.9924,0.9866,0.7606,0.8447,0.9643,-0.9857,0.9855,0.9904,0.9925,,,0.9948,0.6444,-0.8839,-0.8189,-0.913,0.5365,0.9999,0.9997,0.9996,0.9985,0.9998,0.9975,0.9962,0.9997,0.9996,0.9996,0.9999,0.9982,0.9985,,0.9993,0.999,0.9931,0.6381,0.9924,0.9662,0.9818
