,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9623,-0.941,0.7785,0.9361,0.9491,0.9831,0.9764,0.9734,0.975,0.9911,0.9413,0.9176,0.8995,0.9771,0.9212,0.9326,0.9472,0.9642,0.9987,0.9393,-0.4545,-0.9326,-0.8765,-0.9136,-0.9424,-0.9576,-0.9994,0.708,0.9203,0.9554,0.9977,-0.1084,-0.8605,-0.919,-0.9884,-0.6941,0.8124,-0.2172,-0.8495,-0.884,-0.9075,-0.9239,-0.9424,-0.9588,-0.987,-0.9918,0.7632,0.9603,0.9269,0.9838,0.9119,0.9288,0.9163,0.9459,0.9602,0.9725,0.9789,0.9796,0.7196
FH_CEID_Walk,,,,,,0.9687,0.9607,-0.8344,-0.9811,0.3435,-0.8809,-0.993,0.7915,0.9696,0.9792,0.775,0.9327,-0.0106,0.8065,-0.9183,0.9933,0.9995,0.6702,0.7197,,0.9547,0.9822,-0.8915,0.7939,-0.9825,0.9512,-0.8654,0.9862,0.9865,0.9747,-0.25,0.953,-0.8129,0.923,-0.9338,0.9299,0.9983,-0.7544,-0.9012,0.9012,,-0.1174,-0.8709,0.8565,-0.7121,0.0748,-0.4417,-0.2775,0.3766,0.244,-0.9013,0.9756,-0.9998,0.9982,0.8178,-0.9851,0.7598,0.9752,-0.9951,0.951,-0.867,0.9238,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2438,-0.8276,0.9694,0.9946,0.9797,0.924,0.9998,0.9984,0.9992,0.9932,0.997,0.9982,0.5719
FH_COVIDhub_ensemble,,,-0.7927,0.9657,-0.9382,0.7898,-0.6943,0.0674,0.8858,0.0256,-0.8831,-0.9951,-0.9701,-0.9983,-0.9837,0.781,0.8729,0.8705,0.8765,-0.9067,0.996,0.9987,0.9992,0.9998,0.9954,0.9599,0.9736,0.9833,,0.992,0.959,0.942,0.9844,0.9998,0.98,-0.6342,0.9906,-0.9378,0.9136,-0.9725,0.9942,0.9834,,0.3955,0.9962,,,,0.6915,-0.9948,-0.506,-0.5693,-0.2565,0.9503,-0.8234,-0.8445,0.9513,0.9752,0.9707,0.9997,0.9936,-0.2438,-0.8276,0.9694,0.9946,0.9797,0.924,0.9998,0.9984,0.9992,0.9932,0.997,0.9982,0.5719
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9619,1.0,-0.9972,1.0,0.9731,,,,,,,,,-0.9203,0.9291,,,,,0.9677,-0.4409,0.9717,,0.972,-0.7561,-0.3413,0.9754,,0.9968,0.9877,0.9424,-0.9154,-0.9958,0.9721,0.9914,0.9618,0.9928,0.9977,0.9985,0.9991,0.9954,0.9976,0.9996,0.5652
FH_CU_nochange,,,,,,,,,,,,,,-0.9752,-0.9182,-0.9623,-0.941,0.7785,0.9361,0.9491,0.9831,0.9764,0.9734,0.975,0.9911,0.9413,0.9176,0.8995,,0.9212,0.9326,0.9472,0.9642,0.9987,0.9393,-0.4545,-0.9326,-0.8765,-0.9136,-0.9424,-0.9576,-0.9994,0.708,0.9203,0.9554,,,-0.8605,-0.919,-0.9884,-0.6941,0.8124,-0.2172,-0.8495,-0.884,-0.9075,-0.9239,-0.9424,-0.9588,-0.987,-0.9918,0.7632,0.9603,0.9269,0.9838,0.9119,,0.9163,0.9459,0.9602,0.9725,0.9789,0.9796,0.7196
FH_CU_scenario_high,,,,,,,,,,,,,,-0.9752,-0.9182,-0.9623,-0.941,0.7785,0.9361,0.9491,0.9831,0.9764,0.9734,0.975,0.9911,0.9413,0.9176,0.8995,,0.9212,0.9326,0.9472,0.9642,0.9987,0.9393,-0.4545,-0.9326,-0.8765,-0.9136,-0.9424,-0.9576,-0.9994,0.708,0.9203,0.9554,,,-0.8605,-0.919,-0.9884,-0.6941,0.8124,-0.2172,-0.8495,-0.884,-0.9075,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9752,-0.9182,-0.9623,-0.941,0.7785,0.9361,0.9491,0.9831,0.9764,0.9734,0.975,0.9911,0.9413,0.9176,0.8995,,0.9212,0.9326,0.9472,0.9642,0.9987,0.9393,-0.4545,-0.9326,-0.8765,-0.9136,-0.9424,-0.9576,-0.9994,0.708,0.9203,0.9554,,,-0.8605,-0.919,-0.9884,-0.6941,0.8124,-0.2172,-0.8495,-0.884,-0.9075,-0.9239,-0.9424,-0.9588,-0.987,-0.9918,0.7632,0.9603,0.9269,0.9838,0.9119,,0.9163,0.9459,0.9602,0.9725,0.9789,0.9796,0.7196
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.9752,-0.9182,-0.9623,-0.941,0.7785,0.9361,0.9491,0.9831,0.9764,0.9734,0.975,0.9911,0.9413,0.9176,0.8995,,0.9212,0.9326,0.9472,0.9642,0.9987,0.9393,-0.4545,-0.9326,-0.8765,-0.9136,-0.9424,-0.9576,-0.9994,0.708,0.9203,0.9554,,,-0.8605,-0.919,-0.9884,-0.6941,0.8124,-0.2172,-0.8495,-0.884,-0.9075,-0.9239,-0.9424,,-0.987,-0.9918,0.7632,0.9603,0.9269,0.9838,0.9119,,0.9163,0.9459,0.9602,0.9725,0.9789,0.9796,0.7196
FH_CU_select,,,,,,-0.9707,-0.9498,0.8652,0.9746,0.1043,-0.8909,-0.9405,-0.9701,-0.9752,-0.9182,-0.9623,-0.941,0.7785,0.9361,0.9491,0.9831,0.9764,0.9734,0.975,0.9911,0.9413,0.9176,0.8995,,0.9212,0.9326,0.9472,0.9642,0.9987,0.9393,-0.4545,-0.9326,-0.8765,-0.9136,-0.9424,-0.9576,-0.9994,0.708,0.9203,0.9554,,,-0.8605,-0.919,-0.9884,-0.6941,0.8124,-0.2172,-0.8495,-0.884,-0.9075,-0.9239,-0.9424,-0.9588,-0.987,-0.9918,0.7632,0.9603,0.9269,0.9838,0.9119,,0.9163,0.9459,0.9602,0.9725,0.9789,0.9796,0.7196
