,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.4794,0.9011,0.8493,-0.9788,-0.8008,0.9937,0.9955,0.9992,0.94,-0.9994,-0.8238,-0.9848,-0.9947,0.476,0.9468,-0.3768,0.9803,-0.6623,-0.9835,-0.9762,-0.9788,0.9724,0.8297,-0.9792,-0.9922,-0.917,-0.9542,-0.8589,0.9867,0.9938,0.9976,0.9998,0.9996,0.8397,-0.9783,-0.9431,-0.8936,0.1638,0.9815,1.0,0.9998,0.9931,0.9873,0.6994,-0.8698,0.9952,-0.7455,1.0,1.0,0.9999,0.9998,0.9999,0.9967,0.9897,0.8259,0.6519,-0.8946,0.9883,0.9925
FH_CEID_Walk,,,,,,0.9972,-0.8458,0.9931,-0.954,0.9522,0.9755,0.9818,0.9951,0.8846,-0.2536,-0.754,0.991,-0.7032,0.9692,-0.7616,-0.2196,0.9412,0.1674,-0.8135,,0.4466,-0.9165,-0.916,0.9708,0.9654,0.9715,0.9985,-0.4081,-0.8568,-0.526,-0.5006,0.9909,0.987,-0.8199,-0.8839,0.1016,-0.8807,0.9058,-0.9267,0.989,,0.626,0.9845,-0.9041,0.8325,-0.5487,-0.9687,0.9246,0.9306,0.8688,-0.8829,-0.9982,-0.9501,0.1658,0.9479,-0.8875,0.9652,0.9873,0.9797,0.8821,0.8204,0.9703,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9936,0.997,0.9969,0.9996,0.9999,0.9995,0.9969,0.9851,-0.3971,0.4706,0.8805,0.958,-0.9178
FH_COVIDhub_ensemble,,,0.6865,0.9996,0.9989,0.9792,-0.9092,0.9651,-0.9911,0.9994,0.9971,0.9989,0.9932,0.8683,-0.1905,-0.7146,0.9733,-0.7745,0.9902,-0.7578,0.3719,0.6958,0.9115,0.9826,0.9984,0.4126,-0.9452,-0.9825,,0.7122,0.9965,0.9846,-0.6517,-0.9704,-0.9986,-0.9123,0.9887,0.8571,-0.9584,-0.9048,0.9835,0.8466,,-0.2015,0.9916,,,,0.7488,-0.9372,-0.9597,-0.9494,0.9923,0.9702,0.9965,0.9984,0.9988,0.9975,-0.0432,-0.8929,0.8295,0.9936,0.997,0.9969,0.9996,0.9999,0.9995,0.9969,0.9851,-0.3971,0.4706,0.8805,0.958,-0.9178
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9798,-0.9345,0.7262,0.7983,-0.9859,,,,,,,,,0.4829,0.9887,,,,,-0.8284,-0.9363,-0.9266,,0.9951,0.9993,0.9996,0.9908,,-0.1693,-0.9856,-0.9965,-0.9991,0.9964,0.996,0.9971,0.9996,0.9973,0.999,0.9933,-0.4514,0.4769,0.8919,0.9889,0.9597
FH_CU_nochange,,,,,,,,,,,,,,0.5168,-0.0425,0.9323,-0.8821,0.8852,0.9653,-0.9367,-0.9934,0.9946,0.9464,0.9927,0.9987,0.5523,-0.9991,-0.9936,,0.9435,0.9998,0.9718,-0.6766,-0.9715,0.998,0.91,0.8003,0.7962,-0.9816,-0.9349,0.9804,0.9449,0.9848,-0.9899,0.9986,,,0.9977,0.8166,0.1665,-0.9397,-0.9524,-0.958,0.9941,0.9986,0.9996,0.9918,0.9986,0.006,-0.8646,0.7978,0.9992,0.9999,0.9999,1.0,0.9991,,0.9961,0.9906,-0.6918,-0.7226,0.9889,0.9771,0.9945
FH_CU_scenario_high,,,,,,,,,,,,,,0.9322,0.0021,0.9004,0.877,0.8595,0.9779,-0.9344,-0.9923,0.9939,-0.8678,0.9972,0.9877,0.5324,-0.9988,-0.9973,,0.8527,0.9995,0.9764,-0.6767,-0.9709,0.9974,0.9395,0.8032,0.8033,-0.9814,0.8465,0.9969,0.9173,0.9724,-0.9988,0.9989,,,0.9973,0.8232,0.9717,-0.901,-0.8584,0.9882,0.9947,0.9966,0.9983,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.8597,-0.0622,-0.9624,-0.8715,-0.8117,0.9802,-0.9101,-0.701,0.9967,0.967,0.993,0.9972,0.5169,-0.9878,-0.9756,,0.9487,0.9887,0.9892,-0.6568,-0.9627,0.9975,0.8876,0.2019,0.84,-0.9661,-0.9243,0.9665,0.9466,0.9864,-0.9631,0.9975,,,0.9977,0.8134,-0.7631,-0.9486,-0.9772,-0.9944,0.5403,0.9997,0.9999,0.9961,0.9999,0.1388,0.6858,0.8077,0.9993,0.9998,0.9999,1.0,0.999,,0.9962,0.9895,-0.6942,-0.9781,0.9856,0.9442,0.9878
FH_CU_scenario_mid,,,,,,,,,,,,,,0.911,-0.1866,0.8885,0.724,-0.7309,0.983,-0.9279,0.9182,0.9951,-0.9567,0.9979,0.9943,0.5104,-0.9974,-0.9929,,0.87,0.99,0.9848,-0.6672,-0.9665,0.9998,0.9643,0.9545,0.8097,-0.98,-0.9745,0.9957,0.9179,0.9752,-0.9615,0.9984,,,0.9967,0.8347,-0.3112,-0.9152,-0.924,-0.632,0.9931,0.9989,0.9965,0.9994,0.9999,,-0.8661,-0.5285,0.9997,0.9998,0.9997,0.9988,0.9999,,0.9982,0.9742,-0.7336,-0.0247,0.9871,0.9728,0.9876
FH_CU_select,,,,,,0.9351,0.9255,-0.9928,-0.9999,-0.9979,0.9992,0.9975,0.9712,0.911,-0.1866,0.8885,0.724,-0.7309,0.9756,-0.9101,-0.701,0.9967,0.967,0.993,0.9972,0.5104,-0.9974,-0.9929,,0.87,0.9887,0.9848,-0.6672,-0.9665,0.9998,0.9643,0.9545,0.84,-0.9661,-0.9243,0.9957,0.9179,0.9752,-0.9615,0.9984,,,0.9967,0.8347,-0.3112,-0.9152,-0.924,-0.632,0.5403,0.9997,0.9999,0.9961,0.9999,0.1388,0.6858,0.8077,0.9993,0.9998,0.9999,1.0,0.999,,0.9962,0.9895,-0.7336,-0.0247,0.9871,0.9788,0.9831
