,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9985,0.9998,0.999,-0.9805,0.9988,-0.6253,0.969,-0.9596,-0.973,0.9888,0.9737,-0.8585,-0.9305,0.9908,0.9984,0.9996,0.9904,0.2877,-0.9151,-0.8724,0.9464,0.9824,0.9871,-0.9899,-0.8304,0.9638,-0.9057,0.4662,0.9869,0.9861,0.9699,0.986,0.9916,0.9958,-0.497,-0.9264,0.9996,0.9993,0.9667,0.7582,0.9974,0.9995,0.9997,0.9939,0.9985,-0.9617,0.9998,0.9856,-0.6182,0.9991,0.9356,0.9987,0.9718,0.9978,0.9999,0.9989,0.9992,0.977,0.9699
FH_CEID_Walk,,,,,,-0.9625,0.9745,0.697,-0.9399,-0.9777,-0.937,0.8951,0.9704,0.7534,0.918,0.9152,0.9693,-0.9931,0.971,0.9728,-0.7256,0.8665,-0.9365,0.727,,0.9405,-0.9229,0.2542,0.9607,0.9827,0.8308,0.9994,0.2952,-0.7332,0.9935,0.8918,-0.844,0.9129,0.9375,0.9431,-0.9796,0.9383,0.9551,-0.8807,0.9057,,-0.8922,0.9432,0.9495,-0.5826,-0.8637,0.9053,-0.835,0.8022,0.934,0.7057,0.4103,0.813,-0.9336,-0.9793,-0.9773,-0.9688,-0.0162,-0.3665,-0.9778,-0.9179,0.9314,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987,0.9922,-0.2598,0.9589,0.9866,0.9963,0.9992,0.999,0.9995,0.9994,0.9986,0.9743,0.9837
FH_COVIDhub_ensemble,,,-0.9111,0.987,0.9989,0.4446,0.9996,0.5806,-0.9625,-0.9842,-0.9989,0.8822,0.9415,-0.8329,-0.9888,0.9681,0.9875,-0.9587,0.9979,0.9931,-0.3016,0.9835,-0.9372,-0.9773,0.9876,0.9453,0.9695,0.8662,,0.9997,0.9989,0.9883,0.2497,-0.9226,-0.792,0.9326,-0.7817,0.9993,0.9806,0.9647,0.5873,0.9531,,0.9988,0.9849,,,,0.9846,-0.749,-0.9137,-0.8939,-0.9512,0.8319,0.9895,0.9501,0.9773,0.9937,0.996,0.998,-0.5851,0.9987,0.9922,-0.2598,0.9589,0.9866,0.9963,0.9992,0.999,0.9995,0.9994,0.9986,0.9743,0.9837
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8824,-0.8641,-0.1946,-0.7653,-0.8982,,,,,,,,,0.2028,0.983,,,,,-0.6785,-0.9135,-0.9275,,0.9913,0.9991,0.9959,0.9992,,0.9992,0.9989,-0.9639,0.9977,0.6222,0.8988,0.9605,0.9926,0.9956,0.9988,0.9996,0.9997,0.9996,0.9983,0.9551,0.9768
FH_CU_nochange,,,,,,,,,,,,,,0.9988,0.9912,0.9974,0.9988,0.9941,0.9993,0.9971,0.7412,0.9739,-0.9901,0.8131,0.9998,0.9821,-0.9964,-0.9977,,0.998,0.999,0.9892,0.3397,-0.9234,0.7868,0.7931,-0.9995,0.9821,0.9907,0.9982,1.0,0.9936,0.998,0.9872,0.9835,,,0.9894,0.9928,-0.6883,-0.9157,-0.9782,-0.94,0.9851,0.9501,0.9986,0.9972,0.9951,0.9963,0.9988,-0.8787,0.9611,-0.9695,0.7913,0.9988,1.0,,1.0,0.9956,0.9996,0.9993,0.9983,0.9951,0.9446
FH_CU_scenario_high,,,,,,,,,,,,,,0.9991,0.9986,0.9999,0.9998,0.9986,0.9996,0.9571,0.7289,0.9667,0.9367,-0.2223,0.9997,0.9804,-0.9967,-0.9974,,0.9961,0.9985,0.9937,0.3953,-0.9193,0.7768,0.6564,-0.9998,0.9849,0.9935,1.0,0.9979,0.9844,0.9937,0.9404,0.9669,,,0.9815,0.997,-0.6265,-0.8932,-0.9736,-0.9298,0.9881,0.9791,0.995,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9154,-0.9643,-0.9989,-0.1437,-0.9928,0.9998,0.9637,0.7177,0.954,-0.9649,0.9252,0.9979,0.9751,-0.9976,-0.9989,,0.9989,0.9963,0.9917,0.3444,-0.9067,0.8261,0.8002,-0.9984,0.9531,0.9843,0.9949,0.9998,0.9964,0.9994,0.9935,0.9896,,,0.9932,0.9906,-0.7062,-0.9241,-0.9805,-0.9514,0.9772,0.6953,0.9999,0.9935,0.9864,0.9624,0.8235,-0.8843,0.9627,-0.9675,0.7975,0.9988,0.9999,,0.9999,0.9969,0.9998,0.9984,0.9993,0.988,0.947
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9965,0.9907,0.9987,0.9987,-0.9983,0.9954,0.9994,0.6782,0.927,0.577,0.9118,0.9986,0.9768,-0.9995,-0.9994,,0.9972,0.9961,0.9954,0.4484,-0.9115,0.8139,0.3539,-0.9969,0.8747,0.9755,0.9218,0.9986,0.9882,0.9945,0.9751,0.9759,,,0.9798,0.9972,-0.6401,-0.8951,-0.9618,-0.9307,0.9517,0.9018,0.9986,0.9894,0.9866,,0.9903,-0.7275,0.9926,-0.9722,0.8255,0.9993,0.9995,,0.9997,0.9919,0.9998,0.9983,0.9994,0.9864,0.9489
FH_CU_select,,,,,,-0.9994,-0.9935,0.5904,0.5036,-0.226,0.9007,0.9959,0.9963,0.9965,0.9907,0.9987,0.9987,-0.9983,0.998,0.9637,0.7177,0.954,-0.9649,0.9252,0.9979,0.9768,-0.9995,-0.9994,,0.9972,0.9963,0.9954,0.4484,-0.9115,0.8139,0.3539,-0.9969,0.9531,0.9843,0.9949,0.9986,0.9882,0.9945,0.9751,0.9759,,,0.9798,0.9972,-0.6401,-0.8951,-0.9618,-0.9307,0.9772,0.6953,0.9999,0.9935,0.9864,0.9624,0.8235,-0.8843,0.9627,-0.9675,0.7975,0.9988,0.9999,,0.9999,0.9969,0.9998,0.9983,0.9994,0.9784,-0.4939
FH_Covid19Sim_Simulator,0.9236,-0.6566,-0.9763,-0.9304,-0.8468,,,0.649,-0.9214,-0.9562,0.1663,0.9693,0.995,0.9934,0.9788,-0.9698,0.9991,-0.4536,0.8936,,0.8087,0.9745,-0.9879,-0.9786,0.9924,0.9248,0.8848,0.4712,,0.999,0.9997,0.9881,0.1788,-0.9293,-0.7158,0.9615,0.9881,0.9998,0.9947,0.9999,-0.9563,-0.99,0.9863,0.9998,0.9925,0.9994,0.9921,0.8642,0.9875,0.7688,-0.936,0.8877,-0.9365,,,,0.9998,0.9986,,0.9979,,,,,,,,,,,,,,
