,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9975,0.9999,0.979,-0.5247,-0.9743,0.1257,0.9996,0.8894,0.9554,0.9998,0.9617,0.4124,0.4222,0.9978,0.998,0.9996,0.9998,0.9994,0.375,-0.9762,-0.9857,-0.9998,-0.944,0.9974,-0.9216,-0.9995,-0.9999,0.9834,0.9994,0.9894,0.9992,0.9998,0.9986,0.9686,-0.9222,-0.9766,-0.9977,-0.9839,-0.9993,0.9983,0.9985,0.9975,0.9918,0.9932,0.3361,-0.9634,-0.968,0.9861,-0.9999,0.998,0.9991,-0.1639,-0.9024,-0.9614,-0.9963,-0.9443,0.991,0.9997,0.9956
FH_CEID_Walk,,,,,,0.9981,-0.7909,-0.5286,0.9964,0.7802,-0.8788,0.9584,0.996,0.958,0.913,0.9218,0.9472,0.9579,-0.2814,-0.953,0.9995,0.9704,-0.9471,0.6838,,0.8157,-0.928,-0.941,0.9849,0.9598,0.9929,0.9855,0.9944,0.5318,0.5577,-0.9974,-0.8942,0.8993,0.9969,-0.7144,-0.9191,0.9981,0.9566,0.9568,0.977,,0.9698,0.9788,0.9991,-0.7504,-0.7763,0.9909,0.919,0.9633,0.9409,0.9336,0.9419,0.9841,-0.9988,0.9906,-0.9262,-0.9433,0.9675,0.9741,0.968,0.9782,-0.7928,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8602,0.9989,0.9903,0.9985,0.9982,-0.1699,-0.9337,-0.9996,-0.9935,0.8298,0.9876,0.9788,-0.987
FH_COVIDhub_ensemble,,,0.9994,0.998,0.9405,0.9949,-0.957,0.8501,0.9586,0.0782,-0.9348,-0.9982,-0.9995,-0.9982,-0.9518,0.7015,0.9883,0.9971,-0.4497,-0.9893,0.9769,0.9886,0.9669,0.9923,0.9995,0.9225,0.9985,0.2211,,0.9972,0.9987,0.9989,0.999,0.4172,-0.9663,-0.9764,-0.9953,0.9653,0.9748,-0.7939,-0.9231,-0.855,,0.9995,0.9983,,,,0.9694,-0.8944,-0.9519,-0.9976,-0.9938,0.9859,0.9976,0.9754,0.9991,0.9908,0.9369,0.7925,-0.5762,-0.8602,0.9989,0.9903,0.9985,0.9982,-0.1699,-0.9337,-0.9996,-0.9935,0.8298,0.9876,0.9788,-0.987
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1173,-0.8902,-0.9831,0.5022,-0.9322,,,,,,,,,0.9982,0.9842,,,,,-0.8586,-0.9405,-0.9567,,0.9998,0.999,0.9974,0.9976,,0.9981,0.4076,-0.0607,-0.9426,0.9807,0.4792,0.9986,0.9983,-0.1578,-0.9066,-0.9964,-0.8515,0.9853,0.9914,0.9927,-0.6823
FH_CU_nochange,,,,,,,,,,,,,,0.9979,0.9939,0.9982,0.997,0.984,-0.5346,-0.5655,0.9994,0.997,-0.9977,0.9871,0.9998,0.9547,-0.9996,-0.9997,,0.9649,0.9977,0.9812,0.9981,0.3712,0.9987,-0.5257,-0.9938,0.989,0.9487,-0.868,-0.9747,0.9998,0.9982,0.9998,0.9987,,,0.9997,0.9761,-0.8647,-0.9459,-0.9726,-0.8507,0.9827,0.9698,0.9983,0.999,0.9948,0.9862,0.2486,-0.9953,-0.9136,0.9994,0.9925,0.9955,0.9979,,-0.8808,0.8614,0.9963,0.999,0.998,0.9987,0.9577
FH_CU_scenario_high,,,,,,,,,,,,,,0.9996,0.9965,0.9969,0.9998,0.9793,-0.551,0.8298,0.9995,0.9961,-0.541,0.8421,0.9993,0.9518,-0.9998,-0.9998,,0.9151,0.996,0.8964,0.9992,0.3763,0.9987,-0.0812,-0.9948,0.9902,0.9535,-0.8299,-0.9936,0.9994,0.997,0.9982,0.9975,,,0.9998,0.9768,-0.8622,-0.9451,-0.9654,-0.6247,0.9859,0.9799,0.9958,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9989,-0.997,0.1267,-0.9062,0.6508,-0.526,-0.7523,0.9978,0.9909,-0.9988,0.9954,0.9984,0.9402,-0.9911,-0.9913,,0.9874,0.9941,0.9964,0.9999,0.417,0.9895,-0.705,-0.9822,0.9977,0.9718,-0.8247,-0.8996,0.9995,0.9986,1.0,0.9991,,,0.9996,0.9755,-0.8658,-0.947,-0.9744,-0.9074,0.972,0.9392,0.9996,0.9999,0.9979,0.9934,0.2934,-0.9951,-0.9586,0.9989,0.9931,0.9918,0.9991,,-0.7226,0.954,0.9971,0.9984,0.9987,0.9849,-0.5362
FH_CU_scenario_mid,,,,,,,,,,,,,,0.996,0.9882,0.9887,0.9969,0.9927,-0.4881,0.3453,0.9977,0.9909,-0.8897,0.9978,0.9978,0.9414,-0.9977,-0.9987,,0.9076,0.9932,0.9417,0.9999,0.4,0.9932,0.7933,-0.9799,0.9924,0.9493,-0.8721,-0.9606,0.9997,0.9949,0.9973,0.9948,,,0.9995,0.9803,-0.853,-0.9376,-0.9619,-0.8836,0.9454,0.9214,0.9981,0.9968,0.9996,,0.3729,-0.9779,-0.8803,0.9972,0.9869,0.9917,0.9995,,-0.8425,0.8959,0.9995,0.9961,0.9881,0.9932,0.9251
FH_CU_select,,,,,,0.987,0.9701,-0.6712,-0.4607,0.9446,0.9992,0.9985,0.9977,0.996,0.9882,0.9887,0.9969,0.9927,-0.5674,-0.7523,0.9978,0.9909,-0.9988,0.9954,0.9984,0.9414,-0.9977,-0.9987,,0.9076,0.9941,0.9417,0.9999,0.4,0.9932,0.7933,-0.9799,0.9977,0.9718,-0.8247,-0.9606,0.9997,0.9949,0.9973,0.9948,,,0.9995,0.9803,-0.853,-0.9376,-0.9619,-0.8836,0.972,0.9392,0.9996,0.9999,0.9979,0.9934,0.2934,-0.9951,-0.9586,0.9989,0.9931,0.9918,0.9991,,-0.7226,0.954,0.9995,0.9961,0.9881,0.9978,0.9579
FH_Covid19Sim_Simulator,-0.973,0.1443,0.98,0.9975,0.9676,,,0.7653,0.9563,-0.998,-0.9257,-0.9991,-0.9964,-0.9682,0.9922,0.9746,0.9994,0.9804,-0.5773,,0.9997,0.9985,0.9852,0.9919,0.9993,0.9652,0.9639,-0.8259,,0.9996,0.9995,1.0,0.9917,0.3391,-0.9855,-0.9923,-0.9998,-0.2272,0.9932,0.9636,0.9459,-0.963,0.9948,0.9813,0.9989,0.999,0.9998,0.9991,0.9705,-0.8958,-0.9704,-0.9855,-0.9994,,,,0.9974,0.9929,,0.3132,,,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,-0.9996,-0.9767,-0.9471,-0.9756,-0.9292,-0.9968,-0.9535,0.5709,0.99,-0.8617,-0.9225,-0.9684,-0.9618,-0.9777,-0.9806,-0.9843,0.9574,-0.9967,-0.8481,-0.9982,-0.9844,0.8103,0.9401,0.9776,0.9981,0.9637,0.971,0.9689,,0.9853,0.9919,0.9981,0.9988,0.3765,-0.9576,-0.9853,-0.9938,-0.9977,-0.9878,0.8465,0.9926,0.9943,0.9995,0.9992,0.9979,,0.9982,0.9976,0.9882,-0.8591,-0.9535,-0.979,-0.9464,-0.9518,-0.9479,-0.9556,0.9999,0.9974,0.998,-0.2487,0.9791,0.9949,0.9962,0.997,0.9999,0.9896,-0.1194,-0.9353,-0.9919,-0.9723,-0.9862,0.9895,0.9912,0.8624
FH_DDS_NBDS,,,,-0.9942,-0.981,0.8543,0.9427,-0.7664,-0.93,0.9171,-0.9349,0.9859,0.9997,0.9996,0.9984,0.9982,0.9894,0.9697,-0.6639,-0.9977,-0.9993,-0.9504,-0.9971,0.988,0.9932,-0.987,0.9864,-0.999,,0.9925,0.982,0.9916,,0.4469,-0.9606,-0.7662,0.9973,0.4931,0.9011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Google_Harvard_CPF,,,,,,,,,,,,,,,-0.8952,,-0.8552,-0.5932,-0.3478,-0.98,-0.9997,-0.9895,0.9964,-0.9742,-0.9909,0.6906,0.9728,-0.9995,,0.9648,0.988,0.9987,0.9995,0.3243,-0.9865,-0.996,-0.9998,-0.9426,-0.3835,-0.4697,0.4294,0.79,0.9969,1.0,0.9941,,,0.9939,0.9923,0.9877,0.9765,0.981,,0.9923,0.9646,-0.3246,,,,-0.5694,-0.9652,-0.9998,-0.9806,0.7213,0.8857,0.3159,0.538,0.9522,0.1616,-0.7434,0.9885,0.9957,-0.2763,-0.8098
FH_IEM_MED_CovidProject,,,,,,,,,,,,,,,,,,,,,,,0.9998,0.9955,0.9996,0.9597,0.9895,-0.9904,0.9931,0.9992,0.9994,0.9998,0.9983,0.3821,-0.9683,-0.9807,-0.9934,0.974,0.963,-0.887,-0.9956,-0.9951,0.9743,0.9869,0.9837,0.9859,0.9919,0.9996,0.9809,-0.8632,-0.9519,-0.9766,0.009,0.9824,0.9849,0.9951,0.9963,0.9994,0.993,0.3242,-0.98,-0.9842,-0.9997,-0.9969,0.9932,0.9934,-0.5471,-0.9114,-0.997,-0.9977,0.9457,0.9887,0.9982,0.9946
