,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9939,0.9964,0.9997,1.0,0.9983,-0.6715,-0.4793,-0.8959,0.9186,0.9956,0.9841,-0.6176,-0.4607,0.9966,0.9993,0.999,0.9989,0.9974,0.983,-0.0552,-0.9616,-0.9885,-0.9849,0.9775,0.1774,-0.9953,-0.9962,0.9995,0.9997,0.9953,0.995,0.9994,0.9996,0.9994,0.0379,-0.973,-0.9796,0.9204,0.9999,0.9721,0.0825,0.9996,0.9991,0.9972,0.6916,-0.9507,-0.979,0.9871,-0.9987,0.9998,0.9997,0.9411,-0.8487,-0.9857,-0.9791,-0.9432,0.9964,0.9756,0.9869
FH_CEID_Walk,,,,,,0.8877,0.0132,0.8803,-0.975,-0.7694,-0.8767,0.8818,0.9861,0.9607,0.908,0.92,0.9495,0.9712,0.981,0.989,-0.6291,0.8765,-0.9672,0.7164,,0.841,-0.9536,-0.9703,0.9818,0.9242,0.9834,0.961,0.983,0.9845,0.1811,-0.5393,-0.9242,0.9657,0.9462,0.6209,-0.944,-0.8534,0.825,-0.5661,0.4667,,0.9824,0.9748,0.9502,0.3772,-0.904,-0.9028,0.9331,0.8821,0.9194,0.9425,0.9614,0.9826,-0.9902,0.6627,-0.9636,-0.9975,0.962,0.6957,0.9612,0.967,0.9576,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9261,0.9968,0.9989,0.9972,0.9999,0.9416,-0.8965,-0.9825,-0.9888,-0.9963,0.9725,0.9605,0.8719
FH_COVIDhub_ensemble,,,0.9989,0.9555,-0.9871,0.7004,-0.5694,0.9567,-0.9883,-0.8494,-0.9715,-0.9988,-0.4622,-0.088,0.9514,0.949,0.9593,0.9983,0.9996,0.9981,-0.8035,0.951,-0.975,0.9959,0.995,0.9904,0.9991,-0.7236,,0.9942,0.9928,0.9989,0.9983,0.9968,0.0174,-0.9215,-0.9885,-0.9793,0.9905,0.4636,-0.9844,-0.9557,,0.9513,0.9996,,,,0.9988,0.0427,-0.9505,-0.9021,-0.9892,-0.9833,0.9856,0.9272,0.9378,0.9982,0.9971,0.7819,-0.8648,-0.9261,0.9968,0.9989,0.9972,0.9999,0.9416,-0.8965,-0.9825,-0.9888,-0.9963,0.9725,0.9605,0.8719
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8532,-0.8161,-0.9881,0.9982,0.0965,,,,,,,,,0.8415,0.9872,,,,,0.1913,-0.9238,-0.9337,,0.6846,0.9999,0.9992,1.0,,0.9957,0.662,-0.9459,-0.9685,0.9938,0.9986,0.9992,0.9999,0.9407,-0.877,-0.9827,-0.956,-0.9851,0.9756,0.992,0.932
FH_CU_nochange,,,,,,,,,,,,,,0.9995,0.9979,0.9977,0.9993,0.9992,0.9991,0.9767,0.9974,0.9939,-0.9836,0.9889,0.9989,0.9787,-0.9996,-0.9997,,0.9871,0.9836,0.9993,0.9998,0.9962,0.1007,-0.9406,-0.9626,-0.9899,-0.9566,0.2408,-0.996,-0.9762,0.988,0.9959,0.9127,,,0.9993,0.9997,0.2018,-0.8098,-0.9149,-0.5713,0.9668,0.9974,0.9997,0.9985,0.9999,0.9991,0.8521,-0.4417,0.9985,0.9993,0.9983,0.9999,0.9999,,-0.8771,-0.9853,-0.9404,0.9992,0.9976,0.9995,0.9344
FH_CU_scenario_high,,,,,,,,,,,,,,0.9981,0.994,0.9957,0.9997,0.9997,0.996,0.9936,0.9161,0.9933,0.9978,0.9906,0.9985,0.9762,-0.9992,-0.9997,,0.9787,0.9702,0.9984,0.9995,0.9974,0.1278,-0.935,-0.9629,-0.9915,-0.9685,0.3339,-0.9965,-0.9954,0.9778,0.5479,-0.886,,,0.9975,0.9994,0.2373,-0.377,-0.8531,0.904,0.9833,0.9964,0.9999,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.98,0.8758,0.9051,-0.9191,0.9351,0.9991,0.9615,0.98,0.988,-0.9665,0.9989,0.9946,0.9655,-0.9953,-0.9933,,0.9917,0.9861,0.9971,0.9986,0.9985,0.1363,-0.9172,-0.9496,-0.9808,-0.9252,0.322,-0.9794,0.0328,0.9926,0.9997,0.9969,,,0.9998,0.9996,0.1772,-0.8763,-0.9413,-0.9364,0.9183,0.9979,0.9977,0.9938,0.998,0.9914,0.9978,-0.3815,0.9983,0.999,0.9983,0.9995,1.0,,-0.853,-0.9796,0.0133,0.9986,0.9984,0.9944,0.8897
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9918,0.9834,0.9882,0.9955,0.9994,0.9998,0.9982,0.9725,0.9891,0.9959,0.9989,0.9964,0.9694,-0.9999,-0.9993,,0.9816,0.9694,0.9963,0.9982,0.9986,0.2162,-0.9156,-0.9234,-0.9209,0.7383,0.2465,-0.9826,-0.9546,0.9828,0.9916,0.892,,,0.9964,0.9989,0.2448,-0.8771,-0.9223,-0.7848,0.6318,0.9989,0.9914,0.9877,0.9951,,0.8406,-0.8517,0.9974,0.9963,0.9993,0.999,0.9996,,-0.8553,-0.9744,-0.8831,0.9958,0.9886,0.9993,0.9392
FH_CU_select,,,,,,0.9943,0.4487,-0.8851,-0.937,0.9617,0.9984,0.9997,0.9965,0.9918,0.9834,0.9882,0.9955,0.9994,0.9965,0.9615,0.98,0.988,-0.9665,0.9989,0.9946,0.9694,-0.9999,-0.9993,,0.9816,0.9861,0.9963,0.9982,0.9986,0.2162,-0.9156,-0.9234,-0.9808,-0.9252,0.322,-0.9826,-0.9546,0.9828,0.9916,0.892,,,0.9964,0.9989,0.2448,-0.8771,-0.9223,-0.7848,0.9183,0.9979,0.9977,0.9938,0.998,0.9914,0.9978,-0.3815,0.9983,0.999,0.9983,0.9995,1.0,,-0.853,-0.9796,-0.8831,0.9958,0.9886,0.9922,0.9578
FH_Covid19Sim_Simulator,0.9966,0.9769,0.9954,0.9828,0.8207,,,0.9558,-0.878,-0.8283,-0.9972,-0.9967,0.7662,0.9963,0.9984,0.9353,0.9938,0.9711,0.9921,,0.8974,0.9902,-0.9341,0.9461,0.9864,0.9553,-0.9621,-0.185,,0.9993,0.9994,0.9698,0.9973,0.9856,-0.089,-0.9692,-0.9964,0.9925,0.9995,-0.1838,0.9073,-0.9669,0.9806,0.9994,0.9999,0.9999,0.9999,0.9999,0.9979,0.0156,-0.9719,-0.9808,-0.9967,,,,0.9999,0.9971,,0.6373,,,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,-0.9981,-0.9999,-0.9991,-0.9998,-0.9906,-0.9799,-0.5449,0.9495,0.91,-0.8474,-0.9587,-0.9841,-0.9885,-0.9839,-0.9719,-0.9861,0.993,0.9938,0.9817,0.9922,-0.7051,-0.8146,0.0008,0.9457,0.9989,0.9895,0.9981,0.9927,,0.9975,0.9996,0.9995,0.9986,0.9844,-0.0225,-0.9475,-0.9603,-0.9877,0.9153,0.9576,0.9466,0.9991,0.9981,0.9993,0.9999,,0.9995,0.9994,0.996,0.1126,-0.9543,-0.9583,-0.981,-0.9592,-0.9685,-0.963,-0.9761,0.9998,0.9992,0.7794,-0.7855,0.8138,0.9995,0.9999,1.0,0.9999,0.9581,-0.8558,-0.9749,-0.9546,-0.9576,0.9322,-0.5215,-0.9076
FH_DDS_NBDS,,,,-0.9978,-0.9944,0.931,0.2317,0.7604,-0.9689,0.0526,-0.98,0.9691,0.9997,0.9955,0.9977,0.9969,0.9991,0.9975,0.9795,0.998,-0.849,-0.8406,-0.9987,0.991,0.9897,-0.9878,0.9964,-0.9997,,0.9944,0.9903,0.9925,,0.998,-0.009,0.7285,0.9934,-0.998,0.9737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Google_Harvard_CPF,,,,,,,,,,,,,,,-0.9875,,0.9634,0.8228,0.9971,0.9555,-0.8007,-0.996,0.9851,-0.99,-0.9989,0.959,0.8098,-0.9997,,0.9623,0.9831,0.9924,0.9946,0.9902,-0.0585,-0.9963,-0.9915,-0.9032,0.9393,0.4846,-0.8203,-0.641,0.9584,-0.6793,1.0,,,0.8816,-0.9882,-0.2708,0.3555,0.9875,,0.9884,0.9616,0.2062,,,,-0.8488,-0.9739,-0.9978,-0.6633,0.8799,0.8904,0.3629,0.9316,0.9784,-0.4717,-0.7152,0.9629,0.9952,-0.0888,-0.6342
FH_IEM_MED_CovidProject,,,,,,,,,,,,,,,,,,,,,,,-0.9929,-0.9784,0.9965,0.9726,0.9964,-0.9957,0.9958,0.9983,0.9988,0.9998,0.9998,0.9954,0.0117,-0.9576,-0.9881,-0.9994,0.9967,0.2856,-0.9961,-0.9728,0.8641,-0.9716,0.9448,0.9847,0.9913,0.9995,0.9982,0.1112,-0.9573,-0.965,0.9345,0.928,0.9617,0.978,0.9892,0.9996,0.9945,0.674,-0.9793,-0.9953,-0.942,-0.9398,0.9971,0.9995,0.9365,-0.8898,-0.9862,-0.9984,-0.9329,0.9925,0.9916,0.9871
FH_IowaStateLW_STEM,-0.9979,0.6945,0.9534,0.9373,-0.9966,,-0.6075,0.941,0.2448,-0.8124,-0.9342,-0.9739,-0.9727,-0.9704,-0.9935,-0.9949,0.7897,0.9108,0.9296,0.9698,-0.4982,0.971,-0.8295,0.9688,0.9978,0.9562,0.9964,0.0888,,0.9953,,0.9973,0.9997,0.999,-0.8277,-0.9633,-0.9879,-0.9695,0.947,0.8774,0.5348,0.0061,0.9983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_JCB_PRM,,,,,,,,,,-0.9069,-0.9756,-0.8386,-0.9681,0.931,0.9905,0.9996,0.9982,0.9892,0.0814,0.9973,-0.7996,-0.9953,-0.9962,-0.9881,-0.9993,-0.9986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_JHUAPL_Bucky,,,,,,,,,0.888,0.2282,0.9764,0.9837,-0.9936,-0.8999,-0.9495,0.9961,0.9996,0.9986,0.9932,0.9887,-0.8141,0.9426,0.9905,0.9977,0.9956,0.9684,0.9999,0.9975,,0.9952,0.9977,0.9979,0.9992,0.9962,-0.0338,-0.9516,-0.993,0.9979,0.9922,0.1579,-0.9968,-0.9747,0.993,0.9983,0.9988,,0.9994,0.9999,0.9989,-0.0045,-0.9512,-0.9679,-0.9989,0.3387,0.9986,0.9985,0.9989,0.9999,0.9981,0.7501,-0.9383,-0.8181,0.9951,0.9968,0.9953,0.9996,0.9463,-0.8827,-0.9832,-0.9883,-0.9964,0.8708,0.87,0.8301
FH_JHU_CSSE_DECOM,,,,,,,,,,,,,,0.88,,0.9856,0.9999,0.9996,0.9991,0.9939,-0.805,-0.9933,0.6353,0.9961,-0.9819,0.9347,0.9987,-0.9923,,0.9364,0.9645,0.9917,0.9849,0.9591,0.8962,0.9833,0.9941,0.9994,0.997,0.438,-0.9953,-0.9452,0.9928,0.9469,0.9999,,0.9996,0.9988,0.999,0.2252,-0.9577,-0.971,0.9906,0.9934,1.0,0.9878,0.9974,0.9998,0.9977,0.7595,-0.9256,-0.9674,0.995,,,1.0,0.9411,-0.878,-0.9823,-0.9846,-0.9926,0.9678,0.9831,0.8734
FH_JHU_IDD_CovidSP,0.9989,0.9982,0.9962,0.9999,0.9964,0.9731,0.5949,-0.961,-0.9773,-0.9055,-0.9833,-0.9962,0.6578,0.9983,0.9971,0.9951,0.9304,0.1881,,0.9851,0.2861,0.8882,0.8947,0.9659,0.9556,0.9069,0.9428,0.8935,,0.9336,0.9753,0.9946,0.9994,0.9788,0.3654,-0.4286,-0.9324,-0.8903,-0.8854,-0.7084,-0.9956,-0.9881,-0.9979,-0.9667,-0.9989,-0.8979,-0.5366,0.6596,0.8635,-0.38,-0.9918,0.6468,0.9414,0.9515,0.9804,0.9743,0.985,0.9929,0.998,0.7343,-0.9548,-0.98,-0.9792,-0.8718,0.165,,,,,,,,,
FH_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,0.9989,0.9966,0.9855,0.988,,,-0.9915,0.6716,0.9974,0.9653,0.9958,0.9957,,0.9998,0.9997,0.9998,0.9952,0.9999,-0.0513,-0.9923,,-0.3743,0.8432,0.3616,-0.995,-0.9879,-0.9922,-0.8442,0.9911,,,0.9708,0.9619,-0.1266,-0.9955,-0.9988,-0.9996,-0.9754,0.9998,0.9998,0.9999,0.9991,0.9961,0.7691,0.9699,0.995,0.9938,0.9973,0.9963,0.9989,0.9634,,-0.9769,,-0.9825,,0.9265,0.9907
FH_KITmetricslab_select_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9348,0.9594,,,,,0.1183,-0.9664,-0.9529,0.9846,0.7032,0.8962,0.9954,0.9997,0.9998,0.9981,0.651,-0.985,-0.993,0.9852,0.9987,0.9939,0.9999,0.9507,-0.8809,-0.9785,-0.9738,-0.9964,0.9958,0.9774,0.9854
