,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9781,0.9973,0.663,-0.9615,-0.9949,0.9996,0.9998,-0.759,-0.9641,-0.9699,0.9056,-0.3382,0.6585,0.9921,0.9959,0.996,0.9993,0.9948,0.9789,-0.3274,-0.9243,-0.9478,0.8886,-0.9011,-0.769,-0.9971,-0.9723,0.9964,0.9946,0.9968,0.9984,0.9991,0.9945,0.9984,0.5454,-0.997,0.8426,0.9885,-0.1941,0.8254,0.9997,-0.9729,0.9997,0.9986,0.9982,0.9977,0.4597,-0.9874,-0.9846,0.5099,0.7968,-0.912,-0.9808,-0.9871,-0.9943,0.9181,0.9991,0.5923,-0.9655
FH_CEID_Walk,,,,,,-0.9736,0.9952,-0.2211,-0.6473,-0.8008,-0.8829,-0.8525,-0.9975,0.8606,0.93,0.9508,0.9859,0.8644,-0.9176,-0.956,0.8665,0.9959,0.8851,0.6076,,0.7157,-0.8999,-0.9938,0.9545,0.4811,0.9368,0.8772,0.9924,-0.1049,0.1422,0.8578,0.8334,0.538,-0.8867,0.9859,-0.1344,0.9604,0.9518,0.8886,0.9819,,-0.9955,-0.9401,0.9864,0.6964,-0.7992,-0.927,0.9179,-0.9373,0.9385,0.9431,0.9474,-0.3459,-0.9577,-0.952,-0.9956,-0.6543,-0.945,-0.9573,0.9715,0.8528,-0.7443,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7965,0.9947,-0.9637,0.9797,0.7774,-0.9165,-0.9112,-0.9818,-0.9538,-0.9413,0.9956,0.9691,0.9616
FH_COVIDhub_ensemble,,,0.5477,0.5161,-0.9949,-0.9982,-0.926,0.5331,-0.6409,-0.7766,-0.966,-0.5365,-0.9374,-0.9882,0.7,0.9566,0.9967,0.745,-0.9671,-0.9811,0.9912,0.9979,0.9955,0.9976,0.9971,0.8483,0.9859,-0.8955,,0.9974,0.9875,1.0,0.997,0.2823,-0.6116,-0.819,-0.999,0.8139,-0.9107,0.9611,-0.999,0.9704,,0.9982,0.9975,,,,0.9985,0.236,-0.958,-0.9687,-0.9922,-0.9798,0.8968,0.9627,0.9518,0.9865,0.9822,-0.1699,0.4863,0.7965,0.9947,-0.9637,0.9797,0.7774,-0.9165,-0.9112,-0.9818,-0.9538,-0.9413,0.9956,0.9691,0.9616
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9742,-0.9596,-0.9988,-0.9995,-0.5212,,,,,,,,,0.9946,0.9998,,,,,0.3363,-0.896,-0.9534,,0.997,0.9977,0.9991,0.9933,,0.9997,0.976,0.9994,0.4335,-0.9233,-0.948,0.9909,0.7652,-0.8935,0.4392,-0.978,0.9998,-0.9601,0.9849,0.6945,-0.9992
FH_CU_nochange,,,,,,,,,,,,,,0.9925,0.9703,0.9999,-0.8091,0.7071,-0.9419,-0.8923,0.9977,0.9998,0.9955,0.9927,0.9974,0.9123,-0.9842,-0.9996,,-0.0178,0.9793,0.9905,0.9953,0.9865,0.4018,-0.8664,-0.9814,0.7718,0.6824,-0.5266,0.9716,0.9923,0.9906,0.9928,0.9941,,,1.0,0.9932,0.4453,-0.8341,-0.8641,-0.9056,-0.9949,-0.9986,0.9991,0.9958,0.9998,0.9992,0.9031,1.0,-0.0396,0.9979,0.9698,0.9737,0.7562,,-0.1399,-0.9823,-0.7316,0.2284,0.992,-0.4943,0.9206
FH_CU_scenario_high,,,,,,,,,,,,,,0.994,0.9999,0.9997,0.9914,0.6866,-0.969,-0.8031,0.9977,0.9998,0.9987,0.9335,0.995,0.908,-0.9908,-0.9994,,-0.6387,0.9574,0.9542,0.9937,0.9884,0.4109,-0.8606,-0.9806,0.7756,0.7521,0.8733,0.4126,0.9871,0.9803,0.9893,0.9898,,,0.9999,0.9896,0.5192,-0.5823,-0.7133,-0.819,-0.9923,-0.9974,0.9996,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9959,-0.9989,0.0826,-0.9762,0.8486,-0.9525,-0.862,0.9991,0.9988,0.9962,0.996,0.9954,0.9032,-0.8403,-0.9932,,0.9886,0.9792,0.995,0.9889,0.993,0.3205,-0.8361,-0.9905,0.7398,0.8155,0.6113,0.9929,0.9949,0.9938,0.9948,0.9963,,,1.0,0.9946,0.3989,-0.8801,-0.9091,-0.9362,-0.9958,-0.9987,0.9966,0.9987,0.9986,0.9955,-0.1542,0.9998,-0.2049,0.9964,0.958,0.9958,0.7677,,0.3322,-0.9764,0.8633,0.7493,0.9932,-0.485,0.9741
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9829,0.9765,0.9965,0.9907,0.7174,-0.9558,-0.9554,0.999,0.9995,0.9975,0.997,0.9794,0.9041,-0.9976,-0.9987,,-0.5585,0.9483,0.9676,0.9906,0.9919,0.3853,-0.8179,-0.9916,0.7364,0.0119,-0.8972,0.971,0.9841,0.9819,0.9857,0.9866,,,0.9995,0.9891,0.4573,-0.8232,-0.8561,-0.8801,-0.9871,-0.9964,0.9911,0.9996,0.9947,,0.4157,0.9966,0.6187,0.999,0.6256,0.9799,0.7741,,0.5961,-0.9739,-0.5849,-0.5243,0.9987,0.77,-0.8863
FH_CU_select,,,,,,0.9996,0.9253,-0.5025,-0.6129,0.9285,0.1826,0.9996,0.996,0.9829,0.9765,0.9965,0.9907,0.7174,-0.9631,-0.862,0.9991,0.9988,0.9962,0.996,0.9954,0.9041,-0.9976,-0.9987,,-0.5585,0.9792,0.9676,0.9906,0.9919,0.3853,-0.8179,-0.9916,0.7398,0.8155,0.6113,0.971,0.9841,0.9819,0.9857,0.9866,,,0.9995,0.9891,0.4573,-0.8232,-0.8561,-0.8801,-0.9958,-0.9987,0.9966,0.9987,0.9986,0.9955,-0.1542,0.9998,-0.2049,0.9964,0.958,0.9958,0.7677,,0.3322,-0.9764,-0.5849,-0.5243,0.9987,0.6133,-0.9394
