,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9999,0.9999,0.9905,0.975,0.3727,-0.9305,-0.9865,-0.9913,-0.6926,-0.8175,0.9483,-0.8372,0.9953,0.9952,0.9953,0.9992,0.9915,0.9999,0.9992,0.9977,0.9849,0.8047,-0.9549,0.9379,0.6943,-0.7155,0.6813,0.9477,0.9767,0.9663,0.9901,0.9937,0.7856,-0.8977,-0.9208,-0.9385,-0.9976,0.9771,0.8948,0.996,0.9968,0.9997,0.9958,-0.9133,-0.6849,0.9634,-0.9676,0.9885,0.9897,0.9978,0.9994,-0.1612,-0.8615,-0.9994,-0.8481,0.3145,0.9922,0.9562,0.9662
FH_CEID_Walk,,,,,,0.9962,0.8354,0.9771,0.8902,-0.5002,-0.956,0.9473,-0.8399,-0.9545,0.5056,-0.7693,0.9669,0.8868,0.9983,0.7173,-0.8562,0.7599,0.9459,-0.1313,,0.9116,-0.8399,0.9794,0.9978,0.9816,0.9765,0.9858,0.9693,-0.126,0.9532,0.9993,-0.8542,0.8827,-0.7126,-0.7795,0.1457,-0.793,0.578,-0.9523,0.9491,,-0.9997,0.8013,-0.5516,0.921,-0.854,-0.4201,0.9145,0.9454,-0.9795,-0.8627,0.9015,0.9801,-0.3804,-0.6461,-0.8564,-0.915,0.9856,-0.9947,0.9758,0.5671,-0.1896,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9068,0.9882,0.9926,0.9999,0.9976,-0.1304,-0.9756,-0.9987,-0.974,-0.9878,0.9531,0.9917,-0.9617
FH_COVIDhub_ensemble,,,0.4683,-0.9598,-0.984,0.9892,-0.8164,-0.958,-0.9936,-0.9916,-0.9539,0.9222,-0.8709,-0.9578,-0.9363,-0.663,0.971,0.986,0.979,0.5202,-0.8364,0.9989,0.9943,-0.85,0.3313,0.9216,-0.7781,0.9696,,0.9917,0.9931,0.9936,0.9965,0.9986,0.9978,0.9996,0.9888,0.9788,-0.9298,-0.9808,0.3063,0.3259,,0.9858,0.9962,,,,-0.9479,-0.9995,-0.9685,-0.9273,0.9334,0.9457,0.98,0.9471,0.986,0.9957,0.6614,-0.4766,0.8228,-0.9068,0.9882,0.9926,0.9999,0.9976,-0.1304,-0.9756,-0.9987,-0.974,-0.9878,0.9531,0.9917,-0.9617
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.536,-0.7211,-0.9988,0.9981,0.9951,,,,,,,,,-0.8624,0.993,,,,,-0.9842,-0.8537,0.9919,,0.9859,0.9978,0.9989,0.9989,,0.9973,-0.3696,-0.9281,-0.8806,0.9966,0.999,0.9994,0.9976,-0.1678,-0.9757,-0.9988,-0.9685,-0.9576,0.9569,0.9708,-0.946
FH_CU_nochange,,,,,,,,,,,,,,-0.801,0.8349,0.9939,0.9987,0.96,0.9752,0.4433,-0.8966,0.9985,0.9867,-0.4975,0.3833,0.9587,-0.9919,0.9788,,0.9662,0.9884,-0.9707,0.9971,-0.9803,0.9985,0.9994,0.9995,0.9846,-0.8514,-0.8752,0.1544,-0.9882,0.9847,0.9888,0.9897,,,0.7465,-0.9141,-0.8358,-0.1235,0.9953,0.9998,0.996,0.9904,0.9999,0.9992,0.9991,0.9473,-0.5909,0.988,0.9991,1.0,0.9913,0.9988,0.9963,,-0.9794,-0.9999,-0.9991,-0.8323,0.9842,-0.0209,-0.9604
FH_CU_scenario_high,,,,,,,,,,,,,,-0.1527,0.9863,0.9993,0.9986,0.9897,0.9578,0.384,-0.9191,0.9991,0.993,-0.4743,0.3734,0.9584,-0.9931,0.9707,,0.9446,0.9826,-0.9738,0.9965,-0.9816,0.9979,0.9991,0.9994,0.9828,-0.8521,-0.9968,-0.7671,-0.9894,0.967,-0.1258,0.9781,,,0.7574,-0.9064,-0.5599,0.8074,0.9953,0.9977,0.9936,0.9889,0.9991,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9714,-0.9974,-0.9974,-0.9826,0.9987,0.9791,0.5724,-0.796,0.9991,0.986,0.0711,0.3334,0.952,-0.9693,0.9832,,0.9849,0.9869,-0.7953,0.9927,-0.989,0.9975,0.9977,0.9999,0.9856,-0.8283,-0.9647,0.3468,0.9265,0.9885,0.9981,0.9924,,,0.7417,-0.9181,-0.9031,-0.8049,0.9929,0.9987,0.9966,0.9917,0.9983,0.9945,0.966,0.4763,-0.5732,0.9887,0.999,1.0,0.9907,0.999,0.9967,,-0.9707,-0.999,0.9968,0.751,0.988,0.9707,-0.957
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.8516,0.2448,0.9921,0.9994,1.0,0.9464,0.3813,-0.8758,0.9994,0.9902,-0.4859,0.3352,0.9556,-0.986,0.9679,,0.9615,0.9814,-0.9831,0.9941,-0.9891,0.9966,0.998,0.9998,0.9901,-0.7993,0.1256,0.1147,-0.9482,0.9717,0.9533,0.9767,,,0.7739,-0.9034,-0.8559,-0.663,0.9964,0.9981,0.9984,0.9952,0.9958,0.9916,0.9932,,-0.6273,0.9829,0.999,0.9986,0.9911,0.9999,0.999,,-0.9623,-0.9975,0.9661,-0.8987,0.969,0.9974,-0.9561
FH_CU_select,,,,,,0.9684,0.9919,0.9884,0.9833,0.9713,-0.9163,0.9959,0.961,-0.8516,0.2448,0.9921,0.9994,1.0,0.9714,0.5724,-0.796,0.9991,0.986,0.0711,0.3334,0.9556,-0.986,0.9679,,0.9615,0.9869,-0.9831,0.9941,-0.9891,0.9966,0.998,0.9998,0.9856,-0.8283,-0.9647,0.1147,-0.9482,0.9717,0.9533,0.9767,,,0.7739,-0.9034,-0.8559,-0.663,0.9964,0.9981,0.9966,0.9917,0.9983,0.9945,0.966,0.4763,-0.5732,0.9887,0.999,1.0,0.9907,0.999,0.9967,,-0.9707,-0.999,0.9661,-0.8987,0.969,0.9803,-0.9567
