,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9981,0.997,0.9999,0.9898,0.9991,0.1579,-0.9891,-0.9874,0.2089,0.4359,0.8144,-0.9057,-0.9898,-0.3988,0.9734,0.9937,0.9975,0.9981,0.9991,0.9992,0.999,0.9983,0.9551,0.8119,-0.6573,0.9234,0.9596,0.987,0.983,0.9923,0.9905,0.9989,0.9995,0.9996,-0.813,-0.983,-0.9943,-0.9945,-0.9735,0.9907,0.9999,0.9995,0.998,0.9969,0.8053,-0.5372,-0.6833,0.985,0.9986,0.9987,0.9999,0.9995,0.99,-0.0993,-0.951,-0.9283,0.9988,0.9173,0.8536
FH_CEID_Walk,,,,,,-0.9989,0.0357,0.7845,0.8268,-0.9934,-0.8546,0.9509,0.9844,0.9063,0.9331,-0.9551,0.8951,0.9536,0.9983,0.9426,0.3891,0.8401,-0.989,-0.9098,,-0.9385,-0.8359,-0.8815,0.9624,0.906,0.8681,0.9525,0.9514,0.9431,0.9949,0.9659,0.9803,0.9555,0.992,-0.7792,0.4754,-0.7143,0.9664,-0.3726,0.6529,,0.9612,0.9369,0.9887,-0.4302,-0.9537,-0.9251,0.9855,0.9664,0.9253,0.9062,-0.9131,-0.953,-0.9549,-0.8793,0.9002,-0.7918,0.8187,-0.9508,0.9604,0.9814,0.992,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9937,0.9985,0.9996,0.9999,0.9999,0.9999,0.9869,-0.0995,-0.9722,-0.9958,0.5739,0.9595,-0.852
FH_COVIDhub_ensemble,,,0.9936,0.8663,0.5291,-0.9948,-0.9137,-0.9237,0.8389,-0.6916,-0.9775,-0.4413,0.8588,0.3896,0.8704,-0.9288,0.9834,0.9857,0.9995,0.9988,0.2529,0.994,-0.9916,-0.9711,-0.9928,-0.9338,0.0341,-0.8942,,0.9864,0.9707,0.9992,0.9977,0.9947,0.9995,0.9997,0.9998,0.9917,0.9966,0.9496,0.9228,0.8924,,0.9866,0.9662,,,,0.9979,-0.593,-0.924,-0.9736,-0.9919,-0.9773,0.9353,0.9963,0.9607,0.9998,0.9963,0.9562,0.5589,0.9937,0.9985,0.9996,0.9999,0.9999,0.9999,0.9869,-0.0995,-0.9722,-0.9958,0.5739,0.9595,-0.852
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9826,0.6147,-0.9979,0.9994,0.9948,,,,,,,,,-0.4181,0.8615,,,,,-0.5272,-0.8945,-0.9469,,-0.928,0.9989,0.9984,0.9974,,0.9863,0.9025,-0.9744,0.9975,0.9997,0.9995,1.0,0.9999,0.9996,0.9861,-0.0774,-0.9561,-0.9918,-0.5823,0.9994,-0.8531
FH_CU_nochange,,,,,,,,,,,,,,0.9974,0.9992,0.9852,0.9993,0.9954,1.0,0.9983,0.6447,0.9911,-0.9868,-0.8145,-0.9968,-0.8836,-0.9676,-0.9904,,-0.6249,0.5739,0.8199,0.9993,0.9983,0.8157,0.9971,0.9999,0.9909,0.9763,0.8103,0.9614,-0.873,0.97,0.5962,0.5568,,,0.9782,0.9999,-0.4819,-0.9092,-0.941,-0.9334,-0.9542,0.6019,0.9988,0.9996,0.9985,0.994,0.9147,0.9959,0.9932,0.9995,0.9984,0.9997,0.998,,0.9808,-0.1266,-0.9689,-0.963,0.9987,0.7039,-0.8465
FH_CU_scenario_high,,,,,,,,,,,,,,0.9979,0.9971,0.9966,0.9986,0.9975,0.9993,0.9991,0.2957,0.9839,0.5071,-0.7997,-0.9952,-0.8914,-0.97,-0.9931,,-0.9026,-0.3995,0.1096,0.9989,0.9976,0.5134,0.9965,1.0,0.9913,0.9758,0.8758,0.974,-0.9922,0.9444,-0.9362,-0.8713,,,0.9055,0.9996,-0.4427,-0.8908,-0.9243,-0.858,-0.9252,0.8955,0.9978,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.8389,-0.9865,-0.9945,0.1647,0.9183,0.9996,0.9795,0.3432,0.9793,-0.9945,-0.7834,-0.9912,-0.8925,-0.9329,-0.9651,,0.9863,0.9593,0.9837,0.9965,0.9953,0.933,0.993,0.9983,0.9843,0.9838,0.796,0.9544,0.8263,0.9798,0.9554,0.962,,,0.9916,0.9999,-0.5026,-0.9158,-0.9482,-0.9528,-0.9658,-0.3054,0.9997,0.9999,0.9999,0.9997,0.8056,0.9952,0.9928,0.9995,0.9983,0.9998,0.9989,,0.984,-0.1113,-0.9625,-0.7813,0.9998,0.3146,-0.8507
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9906,0.9892,0.9536,0.9917,0.994,0.9989,0.9989,0.21,0.96,-0.9909,-0.5072,-0.9909,-0.8989,-0.9575,-0.9891,,-0.9457,-0.7046,0.0715,0.9976,0.9962,0.323,0.9931,0.9978,0.9822,0.9831,0.546,0.9685,-0.7211,0.9599,0.5935,0.7775,,,0.983,0.9996,-0.4601,-0.893,-0.9304,-0.9197,-0.9435,-0.5291,0.9956,0.9941,0.9972,,0.9487,0.9968,0.9895,0.9982,0.9987,0.9998,0.9996,,0.9904,-0.0717,-0.9515,-0.9512,0.9913,0.9849,-0.8357
FH_CU_select,,,,,,0.9999,0.9811,0.914,0.9472,0.9798,0.9964,0.9991,0.9989,0.9906,0.9892,0.9536,0.9917,0.994,0.9988,0.9795,0.3432,0.9793,-0.9945,-0.7834,-0.9912,-0.8989,-0.9575,-0.9891,,-0.9457,0.9593,0.0715,0.9976,0.9962,0.323,0.9931,0.9978,0.9843,0.9838,0.796,0.9685,-0.7211,0.9599,0.5935,0.7775,,,0.983,0.9996,-0.4601,-0.893,-0.9304,-0.9197,-0.9658,-0.3054,0.9997,0.9999,0.9999,0.9997,0.8056,0.9952,0.9928,0.9995,0.9983,0.9998,0.9989,,0.984,-0.1113,-0.9515,-0.9512,0.9913,0.9451,0.8902
