,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9355,-0.9889,-0.986,-0.9399,0.9874,0.9739,0.8043,0.5878,-0.8689,-0.0328,0.6904,0.1276,0.9937,0.997,0.9982,0.9985,0.9997,0.9963,0.9988,0.9897,0.9818,0.9142,-0.7728,-0.9464,-0.8696,-0.5006,0.5565,0.9651,0.9779,0.98,0.9682,0.992,0.9965,-0.8808,-0.9985,-0.8934,0.9925,0.979,0.8263,0.9973,0.9864,0.25,-0.9643,0.932,0.9928,0.9995,0.9857,0.9925,0.9999,0.9994,0.9985,0.9981,0.9999,0.9837,0.9604,0.5913,-0.5818,0.9982,0.9936
FH_CEID_Walk,,,,,,-0.8114,0.9887,0.9694,0.6371,0.9718,0.9456,-0.7811,-0.9096,-0.9217,-0.7043,-0.8863,0.3634,-0.9431,0.6036,0.9075,0.9878,-0.7865,0.9301,-0.8637,,-0.4895,-0.8621,-0.9751,0.9556,0.874,-0.9818,0.9876,0.9152,0.1023,-0.979,0.9357,-0.7985,-0.9874,0.9884,-0.7629,0.5446,0.7921,-0.9311,0.7713,-0.9872,,0.9972,0.9969,-0.796,0.9667,-0.8641,0.9076,0.8961,0.9993,0.9962,0.9838,-0.9233,0.8786,-0.9664,0.9825,0.9723,0.9578,0.9985,0.9963,0.9417,0.961,0.9456,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9946,0.9993,0.9994,0.9969,0.9962,0.9978,0.9999,0.9812,0.9673,0.4968,-0.8298,0.948,-0.8686
FH_COVIDhub_ensemble,,,-0.9965,0.2105,0.9998,0.9781,0.9972,0.9932,0.9994,0.9803,0.7911,-0.9278,-0.9789,-0.9616,-0.9471,-0.9369,-0.9884,-0.9652,1.0,0.9602,0.9798,0.9575,0.9415,-0.7653,0.9998,-0.3898,-0.7644,-0.9236,,0.9816,0.9937,0.9999,0.9963,0.9984,0.9745,0.988,0.9112,-0.79,-0.4414,-0.9281,0.8662,0.9819,,0.9882,0.9944,,,,-0.878,-0.9848,-0.9501,-0.9984,0.989,0.9662,0.9994,0.9957,0.3078,0.0651,-0.7243,0.9986,0.9996,0.9946,0.9993,0.9994,0.9969,0.9962,0.9978,0.9999,0.9812,0.9673,0.4968,-0.8298,0.948,-0.8686
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9926,0.6425,-0.9989,0.9956,0.9982,,,,,,,,,0.9751,0.9862,,,,,-0.9609,-0.9593,-0.9934,,0.9979,0.9932,0.9819,0.1786,,-0.8009,0.9996,0.9997,0.9973,0.9991,0.9996,0.998,0.9995,0.9981,0.9987,0.9901,0.9757,-0.3544,-0.691,0.9939,0.5919
FH_CU_nochange,,,,,,,,,,,,,,0.979,0.9921,-0.8906,0.9992,0.9505,0.981,0.9843,0.978,0.9347,0.9773,0.9922,0.9917,-0.2463,-0.9717,-0.9981,,0.9933,-0.9946,0.96,0.9972,0.9979,-0.9945,-0.8173,-0.8666,-0.7226,-0.9677,-0.8919,0.1478,-0.952,-0.9968,-0.9339,-0.4403,,,0.9137,-0.7517,0.9883,0.7659,0.999,0.9997,0.9988,0.9966,0.9995,0.5007,0.7761,0.9963,0.9998,0.9996,0.9888,0.9999,0.9999,0.9997,1.0,,0.999,0.9722,0.9862,-0.4363,0.8694,0.9872,0.8008
FH_CU_scenario_high,,,,,,,,,,,,,,0.9844,0.9801,-0.8583,0.9995,0.9823,0.8614,0.9966,0.9767,0.94,0.9903,0.9995,0.9876,-0.2558,-0.9742,-0.9993,,0.9919,-0.9931,0.8594,0.997,0.9979,-0.9938,-0.8237,-0.8711,-0.7224,-0.9652,-0.9117,0.1576,-0.955,-0.9964,-0.9704,-0.9263,,,-0.1175,-0.4546,0.9965,0.9669,0.9985,0.9988,0.9971,0.9936,0.9972,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.8606,0.981,-0.9493,0.9961,-0.9922,0.993,0.9582,0.9634,0.9124,0.9533,-0.8865,0.996,-0.2774,-0.9437,-0.9888,,0.9929,-0.9999,0.9906,0.9941,0.997,-0.9984,-0.3662,0.3514,-0.7052,-0.9722,-0.8936,0.0794,-0.9479,-0.9975,-0.6573,0.8804,,,0.9964,-0.8131,0.9156,-0.4291,0.9995,1.0,0.9998,0.9983,0.9994,0.6019,0.9776,0.9971,0.9999,0.9996,0.9888,0.9999,0.9999,0.9992,1.0,,0.9998,0.9625,0.9781,-0.4419,0.977,0.9423,-0.86
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9492,0.9659,-0.8926,0.9956,-0.9693,-0.8376,0.9988,0.945,0.9366,0.984,0.9929,0.991,-0.2768,-0.9666,-0.9982,,0.9917,-0.9972,0.8446,0.9954,0.9975,-0.9963,-0.8519,-0.8934,-0.6227,-0.9739,-0.875,0.1165,-0.9379,-0.9989,-0.2404,0.8242,,,0.988,-0.7815,0.8079,-0.5099,0.9977,0.9943,0.9977,0.9996,0.9985,0.5085,0.3063,,0.9992,0.9989,0.9886,0.9994,0.9995,0.9981,0.9989,,0.9993,0.9563,0.9849,-0.4426,-0.4051,0.9739,-0.3918
FH_CU_select,,,,,,-0.9967,0.9957,0.9802,-0.7742,-0.9652,-0.73,0.9953,0.9401,0.9492,0.9659,-0.8926,0.9956,-0.9693,0.9899,0.9582,0.9634,0.9124,0.9533,-0.8865,0.996,-0.2768,-0.9666,-0.9982,,0.9917,-0.9999,0.8446,0.9954,0.9975,-0.9963,-0.8519,-0.8934,-0.7052,-0.9722,-0.8936,0.1165,-0.9379,-0.9989,-0.2404,0.8242,,,0.988,-0.7815,0.8079,-0.5099,0.9977,0.9943,0.9998,0.9983,0.9994,0.6019,0.9776,0.9971,0.9999,0.9996,0.9888,0.9999,0.9999,0.9992,1.0,,0.9998,0.9625,0.9849,-0.4426,-0.4051,0.988,0.9885
