,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9998,-0.9866,-0.9693,0.9999,0.9482,-0.9925,-0.9959,0.9784,-0.952,-0.9973,0.6865,-0.9978,-0.9195,-0.9998,0.9767,0.9766,0.9968,0.6999,-0.9581,-0.9814,-0.9897,0.9984,0.9994,0.998,0.7883,-0.9742,-0.9919,-0.982,0.9988,0.9976,0.9948,0.9956,0.9999,0.9954,0.9187,-0.3105,-0.9917,-0.9941,-0.9946,0.9943,0.9997,0.9998,0.9993,0.9976,0.9985,0.987,0.9982,0.988,0.0797,-0.9481,-0.9926,-0.0242,-0.9374,-0.9186,-0.9761,-0.9957,-0.9992,0.982,0.998
FH_CEID_Walk,,,,,,-0.9556,0.9865,0.9291,0.4551,-0.9613,0.9925,0.9539,0.7464,0.3345,-0.8883,0.9733,0.9795,0.9453,0.955,0.9499,0.9481,-0.9765,0.9886,-0.7437,,-0.8634,-0.7382,-0.9996,-0.8205,0.8809,0.9796,0.9978,0.7871,-0.8831,0.8949,-0.984,0.9985,0.966,-0.9527,0.9311,-0.9536,-0.9314,0.9358,0.8933,-0.9853,,0.9913,0.9237,0.969,0.9981,0.1594,-0.8505,-0.9504,-0.9372,0.9437,0.9653,0.9371,0.9458,0.9143,0.5045,-0.8804,0.99,-0.9443,-0.0716,0.9974,-0.996,0.7544,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9917,0.4514,0.4568,-0.9985,-0.9966,0.2335,-0.9128,-0.8987,-0.9826,-0.9874,-0.9787,0.9954,-0.9969
FH_COVIDhub_ensemble,,,-0.5099,-0.7403,-0.8724,-0.9589,0.9819,0.9484,-0.8676,-0.9779,0.9603,0.9963,0.9511,0.2406,-0.9445,0.9935,0.9985,0.9356,0.9799,0.9876,0.9994,-0.5035,0.9942,0.9803,0.9986,0.6737,-0.8613,-0.9997,,0.9695,0.9995,0.9984,0.6632,-0.956,0.3199,-0.2989,0.9044,0.972,-0.9889,0.9334,-0.9481,-0.9503,,0.9904,0.9992,,,,0.9985,0.9961,-0.2351,-0.9397,-0.9845,-0.9845,0.9858,0.9399,0.9391,0.9984,0.9489,0.9982,0.9539,0.9917,0.4514,0.4568,-0.9985,-0.9966,0.2335,-0.9128,-0.8987,-0.9826,-0.9874,-0.9787,0.9954,-0.9969
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7582,-0.831,-0.5575,-0.0479,-0.9976,,,,,,,,,0.972,-0.8723,,,,,0.9973,-0.1956,-0.9203,,-0.9798,0.9987,0.999,0.9996,,0.9997,0.9956,0.9515,0.9925,-0.8367,0.0537,-0.9885,-0.9819,0.3019,-0.9145,0.9954,0.5742,0.9733,-0.8509,0.9927,-0.9954
FH_CU_nochange,,,,,,,,,,,,,,0.9976,0.9995,0.989,0.9882,0.9916,0.9993,0.9977,0.9999,-0.9956,0.9996,0.9997,0.9942,-0.716,-0.9526,-0.9982,,0.9933,0.996,0.9985,0.6536,-0.9629,0.9998,0.9986,0.9983,0.9988,-0.9916,0.7814,-0.9851,-0.986,0.9995,0.9963,0.9993,,,0.9994,0.9981,0.9997,-0.1661,-0.9027,-0.9469,-0.9474,-0.9901,0.9999,0.9998,0.9986,0.9909,-0.9565,0.9744,0.9841,-0.9529,0.5723,-0.9993,-0.997,,-0.9346,0.9952,0.9699,0.9963,-0.6024,0.8709,-0.8705
FH_CU_scenario_high,,,,,,,,,,,,,,0.989,0.9963,0.9985,0.9972,0.9988,0.9989,0.9989,0.9995,-0.9896,0.9997,0.9998,0.9865,-0.7627,-0.9593,-0.9979,,0.9886,0.9843,0.9993,0.658,-0.9623,0.9995,0.9983,0.9991,0.9989,-0.9962,0.8112,-0.9907,-0.9954,0.9963,0.9956,0.9976,,,0.9994,0.9981,0.9998,-0.163,-0.9021,-0.9438,-0.9443,-0.9791,0.998,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.98,0.9997,0.7764,0.9992,0.9972,0.9945,0.9719,0.9865,-0.9886,0.9966,0.9872,0.9991,-0.7373,-0.9115,-0.9927,,0.9953,0.9904,0.9994,0.6838,-0.9531,0.9966,0.9982,0.9907,0.994,-0.9917,0.8404,-0.9772,-0.9714,0.9999,0.997,0.9996,,,0.9996,0.9983,0.9996,-0.1705,-0.9113,-0.9559,-0.9466,-0.9934,0.9999,0.9976,0.9921,0.9716,-0.9963,0.9778,0.9842,-0.9537,0.7602,-0.994,-0.9904,,-0.9244,0.9913,0.9759,0.997,0.9977,0.6209,-0.8883
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9715,0.991,0.9673,0.9972,0.9995,0.9923,0.9939,0.9984,-0.9791,0.9981,0.9963,0.9923,-0.765,-0.9439,-1.0,,0.9896,0.9782,0.9997,0.6793,-0.9583,0.9991,0.9999,0.9979,0.9993,0.754,0.7833,-0.9589,-0.9718,0.9988,0.9938,0.9956,,,0.9982,0.9969,0.9999,-0.1297,-0.8916,-0.9391,-0.9327,-0.9655,0.9984,0.9955,0.9947,,-0.9469,0.9773,0.9948,0.5929,0.8746,-0.981,-0.998,,-0.9332,0.9931,0.9233,0.988,0.5053,0.956,-0.0389
FH_CU_select,,,,,,0.9999,-0.8952,0.9978,0.9982,0.9966,-0.9962,0.9931,0.963,0.9715,0.991,0.9673,0.9972,0.9995,0.9998,0.9719,0.9865,-0.9886,0.9966,0.9872,0.9991,-0.765,-0.9439,-1.0,,0.9896,0.9904,0.9997,0.6793,-0.9583,0.9991,0.9999,0.9979,0.994,-0.9917,0.8404,-0.9589,-0.9718,0.9988,0.9938,0.9956,,,0.9982,0.9969,0.9999,-0.1297,-0.8916,-0.9391,-0.9466,-0.9934,0.9999,0.9976,0.9921,0.9716,-0.9963,0.9778,0.9842,-0.9537,0.7602,-0.994,-0.9904,,-0.9244,0.9913,0.9233,0.988,0.5053,0.9918,0.9158
