,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9921,0.9999,0.9978,0.998,0.9997,0.9916,0.6401,0.6522,-0.6445,0.9526,-0.4823,0.6131,-0.4544,0.9706,0.9911,0.9992,0.9994,0.9816,-0.8552,-0.9961,-0.9862,-0.9998,0.9482,-0.7237,-0.9913,-0.9991,-0.9938,0.9771,0.9998,0.9997,0.9992,0.9995,0.9995,0.9812,-0.5528,-0.9436,-0.9854,-0.9859,-0.9995,0.9147,0.9989,0.9981,0.9955,0.9956,0.9955,0.9909,0.9986,0.7518,-0.8743,0.9995,0.9999,0.9974,0.9878,-0.8683,-0.9719,-0.9891,0.9919,0.9902,0.9911
FH_CEID_Walk,,,,,,0.9599,0.8615,0.8645,0.9753,-0.878,0.3342,0.7991,-0.8506,0.8404,0.9755,0.749,0.9779,0.9673,0.9185,0.9893,0.9833,-0.8614,0.6665,-0.8278,,-0.5731,-0.88,-0.9651,0.9441,0.9541,0.936,0.9887,0.9965,0.6443,0.9506,-0.7553,0.9734,0.9808,-0.533,-0.8607,-0.9618,-0.9989,0.7701,0.9197,0.9887,,0.9922,0.9432,0.9816,0.3439,-0.9711,-0.9181,0.9496,0.8927,0.9261,0.9018,0.9438,0.9456,-0.8967,0.9037,-0.9694,0.9945,0.7031,-0.8545,0.975,0.9937,0.9983,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5007,0.7258,-0.9368,0.9972,0.9987,0.9985,0.9771,-0.8396,-0.9591,-0.9851,0.9664,0.9841,0.9193
FH_COVIDhub_ensemble,,,-0.3706,0.6308,0.9865,0.9915,0.9697,0.9134,0.979,0.9022,0.1062,-0.9959,-0.9663,0.8678,-0.9728,-0.9887,0.9933,0.9735,0.9981,0.9981,0.9928,0.3045,0.7751,0.9045,-0.9875,-0.0748,-0.3854,-0.8997,,0.9905,0.9987,0.9992,0.9778,-0.8444,-0.9977,-0.9854,0.68,0.9999,-0.4681,-0.8147,-0.9579,0.3815,,0.998,0.9992,,,,0.9966,-0.2596,-0.937,-0.9696,-0.9949,0.7231,0.9384,0.9956,0.9985,0.9986,0.9999,0.9667,0.8392,-0.5007,0.7258,-0.9368,0.9972,0.9987,0.9985,0.9771,-0.8396,-0.9591,-0.9851,0.9664,0.9841,0.9193
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.707,0.0185,-0.971,-0.8398,-0.9882,,,,,,,,,0.9962,0.9976,,,,,-0.1698,-0.9161,-0.9522,,0.9986,0.9995,0.9961,0.9926,,0.9909,0.9999,0.9877,-0.4458,0.7684,-0.9493,-0.9989,0.9995,0.9998,0.9843,-0.8462,-0.9405,-0.9713,0.9772,0.9865,0.986
FH_CU_nochange,,,,,,,,,,,,,,0.9985,0.9962,0.9957,0.9351,0.9997,0.9989,0.9996,0.9917,-0.573,0.8598,0.9559,-0.9989,-0.9537,-0.9894,-0.9811,,0.9828,-0.9632,0.9974,0.9785,-0.8515,0.9989,0.9975,0.9979,0.9712,-0.7355,-0.9665,0.9992,0.9918,0.9999,0.9997,0.9987,,,0.9993,0.9985,-0.1908,-0.9298,-0.9584,-0.9211,0.868,0.993,0.9999,0.9993,0.9987,0.9992,0.9998,0.9698,-0.7177,0.8056,0.9322,-0.9999,-0.6956,,0.8763,-0.7915,0.9831,0.9912,0.9978,0.9918,0.9924
FH_CU_scenario_high,,,,,,,,,,,,,,0.9967,0.9898,0.991,0.9977,0.9991,1.0,0.9997,0.9851,-0.5805,-0.8424,0.9672,-0.999,-0.8519,-0.9924,-0.9941,,0.9703,-0.9698,0.9981,0.9831,-0.8498,0.9984,0.9956,0.9987,0.9803,-0.7231,-0.8505,0.9998,0.9936,0.9998,0.9995,0.998,,,0.9991,0.9988,-0.1805,-0.9247,-0.9504,-0.8463,0.9653,0.9923,0.9987,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9738,-0.9672,-0.9829,-0.9995,0.9747,0.9992,0.9938,0.9999,-0.614,0.7969,0.8978,-0.9991,-0.9209,-0.97,-0.9756,,0.9832,-0.9536,0.9995,0.9878,-0.8289,0.9976,0.9989,0.9979,0.9911,-0.6783,-0.9447,0.9985,0.993,1.0,0.9999,0.999,,,0.9996,0.9983,-0.1971,-0.9324,-0.9615,-0.9517,-0.0614,0.9937,0.9994,1.0,1.0,0.9987,0.9814,0.9737,-0.5688,0.7926,0.438,-0.9994,-0.9615,,0.1895,-0.7134,0.9938,0.9898,0.9985,0.9656,0.9092
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9882,0.981,0.9814,0.9761,0.9953,0.9967,0.9995,0.9935,-0.6061,-0.8219,0.9497,-0.9991,-0.7771,-0.9856,-0.9928,,0.9732,-0.9776,0.9993,0.9878,-0.8372,0.9999,0.9992,0.9993,0.97,-0.7546,-0.9761,0.9968,0.9812,0.999,0.9982,0.9958,,,0.9977,0.9995,-0.1585,-0.9134,-0.9414,-0.9238,0.509,0.9955,0.9972,0.9984,0.9993,,0.9975,0.9549,0.6449,0.7978,-0.3565,-0.9923,-0.9577,,0.9835,-0.8238,0.9371,0.9956,0.9872,0.9761,0.966
FH_CU_select,,,,,,0.9576,0.9509,-0.987,-0.975,-0.986,0.0166,0.9882,-0.9719,0.9882,0.981,0.9814,0.9761,0.9953,0.9995,0.9938,0.9999,-0.614,0.7969,0.8978,-0.9991,-0.7771,-0.9856,-0.9928,,0.9732,-0.9536,0.9993,0.9878,-0.8372,0.9999,0.9992,0.9993,0.9911,-0.6783,-0.9447,0.9968,0.9812,0.999,0.9982,0.9958,,,0.9977,0.9995,-0.1585,-0.9134,-0.9414,-0.9238,-0.0614,0.9937,0.9994,1.0,1.0,0.9987,0.9814,0.9737,-0.5688,0.7926,0.438,-0.9994,-0.9615,,0.1895,-0.7134,0.9371,0.9956,0.9872,0.9844,0.9691
