,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9878,0.9797,0.056,-0.8464,0.9642,0.9678,-0.9829,0.9554,0.8766,0.5881,0.0939,0.0218,0.8106,0.9992,0.9991,0.9995,0.9994,0.9958,-0.4665,-0.9955,-0.9916,-0.9834,-0.7137,0.8637,-1.0,-0.9996,0.5064,0.9946,0.9948,0.9975,0.9986,0.9998,0.9985,0.9991,-0.0682,-0.9563,-0.9847,-0.997,-0.9998,0.3313,0.9999,0.4452,0.2675,-0.0941,0.9522,0.9722,-0.003,0.9685,0.2091,0.9989,0.9998,0.0826,-0.9126,-0.9892,-0.9886,-0.9983,0.9539,0.9953,0.985
FH_CEID_Walk,,,,,,0.9214,0.8813,0.983,0.8867,-0.9348,-0.9893,0.3081,0.8164,0.9278,-0.9821,0.899,0.9548,0.9555,0.8964,0.9441,0.99,0.9204,0.9485,-0.8075,,0.3849,-0.9168,-0.8841,0.9531,0.9299,0.9315,0.9776,0.9898,-0.2134,0.7475,-0.9765,0.8787,0.8294,-0.7644,-0.9012,-0.5454,0.9232,0.9424,0.9433,0.9508,,0.9834,0.9629,0.9959,0.0867,-0.4994,-0.8142,0.9178,0.9276,0.9054,0.9431,0.8968,0.9704,0.1333,-0.9674,0.9807,-0.2305,0.5407,-0.9615,0.9362,0.9367,0.438,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0215,0.9844,-0.4653,0.9985,0.9996,0.1152,-0.9875,-0.9446,-0.9917,-0.1134,0.996,0.9906,0.9528
FH_COVIDhub_ensemble,,,0.9699,0.9834,0.9977,0.9549,-0.9793,-0.8445,-0.9903,-0.9727,-0.99,-0.9049,-0.9634,0.9264,-0.9845,0.9847,0.9851,0.9428,0.993,0.9805,0.9996,0.9653,0.9833,0.9493,-0.4245,0.4627,-0.5149,-0.9453,,0.9955,0.999,0.9996,0.9989,-0.3622,-0.9909,-0.9821,-0.9794,0.7706,-0.7621,-0.941,0.8375,0.9771,,0.9981,0.997,,,,1.0,-0.0046,-0.9266,-0.9658,-0.9954,-0.9796,0.8681,0.9906,0.989,0.9999,0.6421,0.9887,0.9133,-0.0215,0.9844,-0.4653,0.9985,0.9996,0.1152,-0.9875,-0.9446,-0.9917,-0.1134,0.996,0.9906,0.9528
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995,0.9509,-0.9671,-0.3002,-0.9596,,,,,,,,,0.997,0.9963,,,,,0.0946,-0.9075,-0.952,,-0.8795,0.9977,0.9935,0.9939,,0.999,0.9937,0.9917,-0.499,-0.9878,-0.9997,0.9589,0.9843,0.2281,0.9513,-0.5146,0.198,0.9981,0.9967,0.9964,0.8475
FH_CU_nochange,,,,,,,,,,,,,,0.9989,0.9993,0.9974,0.9999,0.9982,0.9959,0.9909,0.9546,-0.9953,0.9987,0.9495,-0.9942,0.4616,-0.9868,-0.9874,,-0.7908,-0.9097,-0.1221,0.9969,-0.3999,0.9857,-0.8891,-0.9893,0.6516,-0.9594,-0.9649,0.9869,0.9982,0.9968,0.9971,0.998,,,0.9987,0.9999,0.0476,-0.9249,-0.9595,-0.9709,-0.9017,-0.6565,0.9991,0.9997,0.9994,0.9993,0.99,0.9882,0.3823,0.9954,0.9793,0.9931,0.9993,,0.9999,0.9396,0.9864,0.9965,0.9997,0.992,-0.9953
FH_CU_scenario_high,,,,,,,,,,,,,,0.9964,0.9952,0.9961,0.9996,0.9965,0.9991,0.9921,0.9975,-0.9966,0.9946,0.9601,-0.9957,0.4487,-0.9891,-0.991,,-0.8775,-0.9299,-0.6199,0.9977,-0.3931,0.9924,-0.4846,-0.9866,0.6654,-0.9537,0.7706,0.9707,0.9976,0.9964,0.9961,0.9976,,,0.9986,0.9999,0.051,-0.921,-0.9574,-0.9642,-0.3549,0.3691,0.9973,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9863,-0.0254,-0.9788,-0.9352,0.938,0.9881,0.9593,-0.981,-0.9984,0.9924,0.8697,-0.998,0.4114,-0.967,-0.9734,,0.8536,-0.1374,0.9417,0.9995,-0.3517,0.9476,-0.842,-0.9961,0.7219,-0.932,-0.9699,0.9876,0.9984,0.9971,0.9977,0.9981,,,0.9989,0.9998,0.0465,-0.9261,-0.9602,-0.9732,-0.9513,-0.8842,1.0,0.9999,0.9999,0.9998,0.996,0.9866,0.3692,0.9928,0.9746,0.9329,0.9967,,0.9998,0.9901,0.9891,0.9965,0.9993,0.9562,-0.997
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9867,0.9855,0.9826,0.997,0.9893,0.9837,0.9921,-0.9821,-0.9978,0.9989,0.9615,-0.9977,0.4139,-0.9847,-0.9915,,-0.8817,-0.9442,-0.7371,0.999,-0.361,0.9972,0.4282,-0.9998,0.6542,-0.9639,-0.9953,0.9415,0.9953,0.9937,0.9927,0.9948,,,0.9969,0.9999,0.0779,-0.9126,-0.9469,-0.9564,-0.8828,-0.809,0.9981,0.9968,0.9976,,0.9959,0.9968,0.3931,0.9905,0.8978,0.9908,0.9974,,0.9956,0.9951,0.9563,0.9996,0.9971,0.9818,-0.9914
FH_CU_select,,,,,,0.9529,-0.988,-0.8972,0.9941,0.9977,0.9997,0.9994,0.9963,0.9867,0.9855,0.9826,0.997,0.9893,0.9971,0.9593,-0.981,-0.9984,0.9924,0.8697,-0.998,0.4139,-0.9847,-0.9915,,-0.8817,-0.1374,-0.7371,0.999,-0.361,0.9972,0.4282,-0.9998,0.7219,-0.932,-0.9699,0.9415,0.9953,0.9937,0.9927,0.9948,,,0.9969,0.9999,0.0779,-0.9126,-0.9469,-0.9564,-0.9513,-0.8842,1.0,0.9999,0.9999,0.9998,0.996,0.9866,0.3692,0.9928,0.9746,0.9329,0.9967,,0.9998,0.9901,0.9563,0.9996,0.9971,0.9931,0.0869
