,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9958,0.9987,0.9992,0.9806,-0.8203,-0.4516,0.8066,-0.5764,0.9721,0.999,0.9798,-0.3444,-0.6722,0.9983,0.9995,0.9952,-0.4839,-0.9582,-0.9733,-0.9874,-0.9994,-0.9957,0.9924,0.8311,-0.9531,-0.9902,-0.9764,-0.8672,-0.2392,0.9991,0.9997,0.9998,0.9999,0.9997,0.9602,-0.9207,-0.9847,-0.9711,-0.9931,0.9902,-0.9983,0.9983,0.1727,0.9992,0.9997,0.9989,0.9997,-0.7662,0.9971,0.9964,0.9971,0.8915,0.9829,-0.9981,0.9908,0.9923,0.9831,-0.4752,-0.9675
FH_CEID_Walk,,,,,,-0.4018,0.7348,-0.5597,0.9928,-0.2839,0.9179,-0.8429,0.9722,0.3897,0.9183,0.9417,0.8996,0.9665,0.9985,-0.6329,-0.9305,0.0884,0.818,0.7146,,0.9356,-0.9596,-0.8982,0.9939,0.958,0.9167,-0.3915,-0.9216,-0.9428,0.9576,0.9857,0.9403,0.9897,-0.7072,0.9275,-0.9094,-0.9975,0.9452,0.7904,0.9705,,0.9581,0.9773,0.999,0.989,0.3989,-0.9518,0.9899,0.8626,0.926,0.9676,0.9553,0.9789,0.9558,0.9476,-0.2927,0.9439,0.9444,0.9545,0.9968,0.9659,0.8843,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,-0.8927,0.9875,0.9972,0.9585,0.3115,-0.9908,-0.9929,-0.9975,0.7936,-0.8439,-0.2426,0.9779
FH_COVIDhub_ensemble,,,0.9519,0.7991,0.6905,-0.6082,0.7985,-0.7214,0.8399,-0.9996,-0.17,-0.9012,0.8229,0.8465,-0.9799,0.9571,0.9807,0.997,0.9822,-0.8227,-0.9565,0.981,0.9659,0.9992,0.9914,0.9701,0.9893,-0.8906,,0.9931,0.9966,-0.458,-0.9508,-0.9728,0.912,0.9699,0.943,0.9985,0.9111,-0.8814,-0.9455,-0.486,,0.9906,0.9954,,,,0.9999,0.9606,-0.8704,-0.9673,-0.9889,-0.9934,0.958,0.9908,0.9379,0.9879,0.9981,0.9974,0.9774,0.94,-0.8927,0.9875,0.9972,0.9585,0.3115,-0.9908,-0.9929,-0.9975,0.7936,-0.8439,-0.2426,0.9779
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8453,0.7182,0.9863,0.9602,-0.9982,,,,,,,,,0.9951,0.9954,,,,,0.9744,-0.8689,-0.9263,,-0.9567,0.9999,0.9989,0.9972,,0.9998,0.9961,0.9469,0.9609,-0.652,0.9977,0.997,0.9991,0.6165,-0.7106,-0.9937,-0.8978,0.9361,-0.8932,-0.1767,0.985
FH_CU_nochange,,,,,,,,,,,,,,0.9983,0.9988,0.999,0.9988,0.9976,0.9694,-0.8162,0.8977,0.998,0.9996,0.9979,0.9981,0.974,-0.9991,-0.9985,,-0.8952,-0.9207,-0.45,-0.9595,0.7405,1.0,1.0,1.0,0.9926,0.8407,-0.931,-0.6592,0.977,0.9989,0.9987,0.9982,,,0.9997,0.9999,0.9707,-0.8819,-0.9253,0.9998,-0.8836,0.9729,1.0,0.9999,0.9998,0.9996,0.9999,0.9969,0.9974,0.999,0.9761,0.9916,0.9994,,0.9703,-0.9958,-0.9657,0.9839,0.9864,-0.2543,0.9352
FH_CU_scenario_high,,,,,,,,,,,,,,0.9966,0.9931,0.9959,0.998,0.9992,0.9713,-0.7928,0.5699,0.9965,-0.9954,0.9991,0.9967,0.9728,-0.9987,-0.9978,,-0.916,-0.9272,-0.4147,-0.9553,0.915,1.0,1.0,1.0,0.9934,0.8454,-0.9052,-0.967,0.9496,0.9987,0.9982,0.9972,,,0.9996,0.9999,0.972,-0.8801,-0.8809,0.9993,-0.6595,0.9832,0.9992,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9032,0.0008,0.9165,0.2863,0.9905,0.9787,-0.7328,0.9703,0.9912,0.9982,0.9999,0.9937,0.9662,-0.9974,-0.997,,0.9167,-0.9082,-0.4253,-0.9485,-0.7953,0.9909,0.9932,0.9935,0.9998,0.8882,-0.8971,0.5375,0.9815,0.999,0.999,0.9987,,,0.9997,0.9999,0.9698,-0.8842,-0.943,1.0,-0.9344,0.9283,0.9991,0.9997,0.9999,0.9969,0.997,0.9968,0.9975,0.9996,0.9947,0.9842,0.9964,,0.9872,-0.989,0.9379,0.9799,0.9868,-0.2585,0.9353
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9893,0.98,0.9842,0.9901,0.9998,0.9855,-0.8202,0.9733,0.9891,-0.9995,0.9999,0.9935,0.9694,-0.9999,-0.9997,,-0.9198,-0.9459,-0.3957,-0.9502,0.9136,0.9979,0.9992,0.9997,0.9947,0.8412,-0.9402,-0.8501,0.9448,0.9975,0.9964,0.9947,,,0.9988,0.9999,0.9771,-0.8673,-0.9297,0.997,-0.8942,0.9205,0.995,0.9964,0.9971,,0.9934,0.9859,0.9876,0.9844,0.9822,0.9998,0.9992,,0.9505,-0.9896,-0.1124,0.9914,0.9845,-0.2969,0.9365
FH_CU_select,,,,,,0.8429,0.4142,0.8747,0.9955,0.9924,0.9994,-0.9943,0.9949,0.9893,0.98,0.9842,0.9901,0.9998,0.965,-0.7328,0.9703,0.9912,0.9982,0.9999,0.9937,0.9694,-0.9999,-0.9997,,-0.9198,-0.9082,-0.3957,-0.9502,0.9136,0.9979,0.9992,0.9997,0.9998,0.8882,-0.8971,-0.8501,0.9448,0.9975,0.9964,0.9947,,,0.9988,0.9999,0.9771,-0.8673,-0.9297,0.997,-0.9344,0.9283,0.9991,0.9997,0.9999,0.9969,0.997,0.9968,0.9975,0.9996,0.9947,0.9842,0.9964,,0.9872,-0.989,-0.1124,0.9914,0.9845,-0.3743,0.9009
FH_Covid19Sim_Simulator,0.983,0.9978,0.9837,0.5218,0.9071,,,-0.6319,-0.6213,-0.8803,0.9772,-0.9951,-0.976,0.9885,0.9979,0.9489,0.9988,0.9992,0.9615,,-0.9377,0.9876,-0.9605,0.9982,0.9998,0.9782,0.977,0.982,,0.9997,0.983,-0.4992,-0.9759,-0.9888,-0.9979,-0.9999,-0.9706,1.0,0.8699,-0.9602,-0.9961,-0.999,0.925,0.9916,0.9988,0.9993,0.9991,0.9993,0.9999,0.9418,-0.9168,-0.9866,-0.9985,,,,0.9996,0.9977,,0.9994,,,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,-0.9888,-0.9993,-0.9638,-0.8478,-0.3179,-0.5324,-0.8631,-0.7837,-0.992,-0.9236,-0.9655,-0.948,-0.9319,-0.9461,-0.9758,-0.9521,0.9856,0.999,0.9523,-0.8858,-0.9769,-0.9777,0.6773,0.9743,0.9998,0.998,0.9987,0.9845,,0.9967,0.9989,-0.4049,-0.9239,-0.9328,-0.9397,-0.9989,-0.9992,-0.9563,0.3015,0.9938,0.9994,0.9998,0.9979,0.9983,0.9909,,0.9958,0.9983,0.9999,0.9689,-0.8809,-0.9526,-0.9455,-0.9833,-0.9875,-0.9914,-0.952,0.9959,0.9998,0.9992,0.9852,-0.7097,-0.9832,0.992,0.9836,0.7414,-0.9946,-0.9965,-0.999,-0.998,-0.9709,-0.9704,0.4987,0.9693
FH_DDS_NBDS,,,,-0.8973,0.3593,0.8837,0.6559,0.9275,0.9715,0.445,-0.9979,0.9927,0.9996,0.9993,0.9756,0.9972,0.9954,0.9945,0.9077,-0.857,-0.9959,0.6295,-0.9981,0.9094,0.879,-0.9991,-0.9962,-0.9997,,-0.9971,-0.9928,-0.5317,,0.9772,0.9777,-0.5195,0.5015,0.9889,-0.1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Google_Harvard_CPF,,,,,,,,,,,,,,,-0.9936,,0.9514,0.9891,0.9714,-0.819,-0.9928,-0.9999,0.9796,-0.9725,-0.9809,0.9686,0.9637,-0.993,,-0.5192,-0.2852,-0.4885,-0.7655,-0.8308,-0.9983,-0.336,-0.9803,-0.5771,0.892,-0.8803,-0.9961,-0.962,0.5138,0.9784,0.9806,,,0.9808,-0.1924,-0.8764,0.9626,0.9846,,0.9899,0.9961,0.9733,,,,-0.9228,0.9935,0.9962,0.9914,-0.9495,-0.957,-0.8876,-0.9083,0.9983,-0.737,-0.9159,0.6105,0.9967,0.4993,0.9726
FH_IEM_MED_CovidProject,,,,,,,,,,,,,,,,,,,,,,,-0.9997,0.9993,0.9993,0.9822,0.99,-0.9817,0.9973,0.9998,0.995,-0.4998,-0.9639,-0.9759,0.979,0.9981,1.0,0.9898,0.7931,-0.972,-0.9997,-0.999,0.9563,0.9891,0.9875,0.9915,0.9948,0.9984,0.9997,0.9706,-0.8872,-0.9638,-0.9882,0.4395,0.971,0.992,0.9915,0.9995,0.9998,0.9999,0.9962,0.999,0.9976,0.9995,0.9908,0.9996,0.9614,0.9623,0.9965,0.2401,0.9938,0.9755,-0.3826,-0.948
FH_IowaStateLW_STEM,0.5357,0.9822,0.9973,0.6899,0.6176,,0.3237,-0.8705,0.1491,-0.9936,-0.3002,-0.7491,0.6107,0.6553,-0.9831,-0.9815,0.8757,0.9553,0.9965,-0.698,-0.8762,0.9887,-0.4687,0.9985,0.9913,0.9876,0.99,-0.6717,,0.9998,,-0.4049,0.7332,-0.9272,0.9381,0.08,0.7972,0.9703,0.9564,-0.8262,-0.8729,-0.7661,0.9953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_JCB_PRM,,,,,,,,,,-0.7304,0.9397,-0.8056,0.9727,0.9785,0.9925,0.999,0.9985,0.9713,0.4519,-0.8592,-0.9832,-0.9999,-0.9991,-0.9722,0.9964,0.9916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_JHUAPL_Bucky,,,,,,,,,-0.9931,-0.9603,-0.2724,-0.9819,-0.4366,-0.9853,-0.9834,0.988,0.997,0.9994,0.974,-0.8949,-0.99,0.9832,0.9873,0.9977,0.998,0.9791,-0.9888,-0.8308,,0.999,0.9967,-0.5044,-0.9451,-0.9714,0.9121,0.2757,-0.679,0.9939,0.8111,-0.9588,-0.997,-0.98,0.9999,0.9988,0.9989,,0.9998,0.9998,0.9999,0.9554,-0.8923,-0.7461,0.6788,-0.9293,0.1646,0.9983,0.9988,0.9991,0.9999,0.9993,0.991,0.9851,-0.9961,0.9967,0.9896,0.9969,0.9554,0.8251,-0.9977,-0.5307,-0.1245,0.6758,0.86,0.9367
FH_JHU_CSSE_DECOM,,,,,,,,,,,,,,0.8625,,0.9839,1.0,0.9984,0.9752,-0.8617,-0.9913,-0.9961,0.9598,0.9839,0.9847,0.9753,0.773,-0.9485,,0.8708,-0.8734,-0.3507,-0.8489,-0.886,0.985,0.9711,0.9929,0.9922,0.9386,-0.9062,-0.9986,0.9749,0.9961,0.9903,0.9967,,0.9999,0.9968,0.9982,0.9722,-0.9069,-0.9752,0.4115,0.9968,0.9998,0.9978,0.9996,0.9996,0.9994,0.9972,0.9745,0.9871,0.5765,,,-0.6846,-0.8752,-0.9949,-0.9979,-0.9975,0.8221,-0.8623,-0.4558,-0.8093
FH_JHU_IDD_CovidSP,0.9871,0.9944,0.9229,0.9154,0.2265,0.6287,0.7833,0.7996,0.983,0.9161,0.9207,0.7502,0.9024,0.9197,0.7722,0.992,0.9995,0.9813,,-0.8608,-0.9843,-0.9313,-0.583,0.4634,0.9523,0.9301,-0.9982,-0.9976,,-0.9525,-0.7496,-0.4699,0.9805,0.8159,-0.9821,-0.9692,-0.9086,-0.9526,-0.9509,0.8281,-0.9569,-0.9882,0.9991,1.0,1.0,0.9965,0.9919,0.9991,0.9981,0.953,-0.9384,-0.8301,0.9888,0.9222,0.9976,0.9841,0.8057,0.995,0.9961,0.9993,0.9993,0.9999,0.993,0.9989,0.9931,,,,,,,,,
FH_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,0.9987,0.9928,0.9303,-0.9158,,,-0.9986,-0.9532,0.9991,0.9568,0.9943,0.9995,,0.997,0.9938,-0.5193,-0.9587,-0.9418,-0.9993,-0.9867,,0.9856,0.7726,-0.9823,-0.9995,-0.9977,0.9989,0.9785,0.9732,,,0.7957,0.6807,-0.8912,0.7748,0.9596,-0.9976,-0.9685,-0.9827,0.9999,0.9974,0.997,0.9997,0.9993,0.9962,-0.9994,-0.9854,0.9876,0.3082,0.1046,-0.9329,,-0.9874,,-0.8832,,-0.5633,0.9869
FH_KITmetricslab_select_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9752,0.9774,,,,,0.9642,-0.897,-0.9566,0.8679,-0.1203,0.8942,0.9983,0.9984,0.9892,0.9999,0.9994,0.999,0.9988,0.9942,0.9968,0.9947,0.9308,-0.9831,-0.9857,-0.99,-0.9847,-0.5623,0.6121,-0.5112,-0.9115
FH_Karlen_pypm,,,0.9227,0.924,0.1847,0.6471,0.7711,0.9896,0.9871,0.9995,0.9588,0.9979,0.9597,0.9707,0.9936,0.9987,0.9997,0.9937,0.9383,-0.9047,-0.9941,0.9968,-0.8919,0.9986,0.9997,0.9931,0.9958,,0.9925,0.999,0.9924,-0.5101,-0.9699,-0.9811,-0.9785,0.9989,0.9993,0.9828,0.7953,-0.9626,-0.9517,0.9434,0.9987,0.9974,0.9965,0.997,0.9979,0.9987,0.9997,0.9585,-0.8854,-0.9582,0.9905,1.0,0.9998,0.9987,0.9971,0.997,0.9999,0.9999,0.9953,0.9963,0.9935,0.9969,0.9972,0.9193,0.9375,-0.973,-0.996,-0.9974,-0.9691,0.9675,-0.1984,0.9483
FH_LANL_GrowthRate,-0.9866,-0.981,-0.8541,-0.8819,-0.1918,-0.6422,-0.7695,-0.8702,-0.8729,-0.9307,-0.9885,-0.9821,-0.9799,-0.9731,-0.9976,-0.9877,-0.9997,0.9938,0.992,-0.7314,-0.8492,0.9592,0.9962,0.9865,0.9886,,-0.5483,0.9858,,0.9575,0.9971,-0.3433,-0.9277,-0.9275,0.9921,0.9936,0.9899,0.9998,0.9485,-0.8078,-0.8582,0.3199,0.9737,0.9646,0.9674,0.9699,0.9831,0.9848,0.9973,0.9959,-0.8296,-0.9053,-0.7952,-0.858,-0.9114,-0.9463,-0.9491,-0.9539,-0.9433,-0.947,-0.9333,-0.9494,-0.9426,-0.9797,-0.98,,,,,,,,,
FH_LNQ_ens1,,0.9971,0.9533,0.8023,-0.211,-0.5937,-0.2116,-0.838,-0.7095,-0.8753,-0.9729,-0.9563,0.3564,-0.9798,0.9719,0.9634,0.995,0.9916,0.9853,-0.8125,-0.9849,0.9164,0.9952,0.9958,0.9923,0.9528,0.9885,-0.5823,,0.9925,0.9979,-0.4367,-0.9478,-0.9574,0.8136,0.959,0.9811,0.9952,0.9239,-0.8014,-0.8544,0.9979,0.9905,0.9938,0.9909,,0.9931,0.9928,0.9975,,,,,,,,,,,,,,,,,,,,,,,,,
FH_MIT_Cassandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9806,-0.9413,,0.9062,0.9984,0.9995,0.9491,-0.8074,-0.9816,-0.8827,-0.9818,-0.9813,0.9475,0.9401,0.9776,-0.9841,0.957,0.9872,-0.0038,-0.9971,0.9937,-0.9764,-0.9741,-0.9969,-0.9906,-0.9988,-0.9964,0.989,,,0.9857
FH_MIT_ISOLAT_Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9907,0.9994,0.9903,-0.4418,-0.9146,-0.9261,-0.932,-0.9377,0.9862,0.9885,-0.907,0.8281,-0.9999,-0.9994,0.9598,-0.9998,0.9982,0.9968,0.9956,0.9939,0.9969,0.9946,,-0.898,-0.9075,-0.9212,0.8403,-0.9987,-0.6725,,0.9978,0.9975,,,0.9987,0.8609,-0.6384,0.8685,0.6793,0.8839,-0.9977,-0.9983,-0.9294,,,
FH_MOBS_GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9932,-0.4601,-0.9645,-0.9738,0.9994,0.9998,-0.9925,0.9911,0.7971,-0.9785,-0.9999,-0.9989,0.9886,0.9842,,0.9985,0.9993,0.9995,0.9986,0.9697,-0.886,-0.9562,-0.956,0.9997,0.9998,0.9998,1.0,0.9979,0.9989,0.9957,0.9997,0.995,0.9584,0.9615,-0.7264,-0.975,-0.9905,-0.9829,-0.9987,-0.995,,,,
FH_MUNI_ARIMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9882,,0.9911,0.9924,0.9996,0.9677,-0.8748,-0.9871,0.9918,-0.9985,0.9975,0.9782,0.98,0.9627,0.99,0.99,-0.5082,-0.4929,-0.9722,0.9793,-0.6688,0.7325,-0.8338,-0.9954,-0.9965,-0.9986,0.858,-0.9781,-0.2512,0.9856
FH_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,-0.7805,0.9861,0.9905,0.9132,0.9953,0.8932,,0.9685,0.9991,-0.5168,-0.9685,0.4618,-0.2007,0.9098,0.9572,0.9987,0.9138,-0.5255,-0.9637,-0.9112,0.99,,0.9979,0.9871,0.9966,-0.3313,0.4051,-0.8656,0.961,0.9998,0.9911,0.475,0.9645,0.7348,0.9708,0.993,0.8895,-0.8588,-0.4196,-0.676,-0.1922,0.9808,0.9439,0.7628,0.1905,,-0.6383,,,-0.9743,-0.0572,0.9904
FH_OliverWyman_Navigator,-0.9872,-0.6776,-0.3593,-0.9531,0.5218,-0.986,-0.0974,-0.9843,-0.7186,,-0.7998,-0.8174,-0.8004,-0.7844,-0.7745,-0.7157,-0.6881,-0.6377,-0.3322,0.8127,0.743,0.7809,0.7547,0.7319,0.7322,0.8027,0.8024,0.7697,0.7601,0.7305,0.6739,-0.888,-0.8526,-0.8356,-0.8093,-0.7895,-0.7592,-0.6869,-0.2657,0.8369,0.7441,0.7548,0.6458,0.7665,0.8247,0.9015,0.9202,0.9511,0.9687,0.9792,-0.9059,,,,,,,,,,,,,,,,,,,,,,,
FH_OneQuietNight_ML,,,,,,,,,,,,,,,,,,,,,-0.9822,-0.9952,-0.9751,0.9955,0.9505,0.43,-0.9231,0.5513,-0.6485,-0.9564,-0.9365,0.6832,0.9972,0.9998,0.9999,0.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_RobertWalraven_ESG,-0.9897,-0.9955,-0.9354,-0.7528,-0.6274,0.4539,-0.7133,-0.7693,0.9407,-0.9044,-0.9524,-0.9452,-0.9472,-0.9616,-0.982,0.8819,0.7221,-0.5214,0.999,-0.7337,-0.7043,-0.9377,0.9931,0.9986,0.9991,0.9793,0.9873,0.9962,0.9931,0.9987,0.9973,-0.4505,-0.9571,-0.9742,-0.9928,-0.6378,0.5354,0.4936,0.9932,-0.8221,0.1261,0.8808,0.9968,0.9976,0.9992,0.9995,0.9986,0.9993,0.9995,0.9603,-0.8963,-0.9349,-0.9818,-0.9632,-0.9884,-0.964,-0.9825,-0.9756,-0.589,-0.8476,-0.7468,-0.9356,-0.9952,0.6849,-0.9133,-0.9175,-0.9956,-0.9976,-0.9986,-0.9917,0.3091,-0.9836,0.7418,0.9821
FH_SigSci_TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989,-0.2994,-0.9397,-0.9541,0.9635,0.9729,0.984,0.9985,0.895,-0.9161,-0.9808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_TTU_squider,,,,,,,,,,,,,,0.9647,0.9606,0.9727,-0.8125,-0.2186,-0.9696,-0.8944,-0.9855,-0.9902,0.9978,0.9937,0.9994,0.9949,0.9909,0.9874,0.988,0.993,0.9988,-0.4245,-0.9299,-0.9487,-0.9514,-0.9488,-0.9584,-0.9908,-0.9108,0.7919,-0.9984,-0.9981,-0.9899,-0.9516,-0.9304,-0.8778,-0.8022,0.9982,0.9998,0.9669,-0.8809,-0.9495,-0.9408,-0.9349,-0.9391,-0.9467,-0.9498,-0.9537,-0.9433,-0.9078,0.8611,0.7747,0.9035,0.9964,0.9978,0.998,0.9229,0.8758,0.9058,0.7079,-0.4066,-0.9793,0.4193,0.988
FH_UCLA_SuEIR,-0.9586,0.9947,0.9199,0.9383,0.3422,-0.7414,0.7645,0.9967,0.9924,0.9749,0.9835,-0.9869,0.9797,-0.8148,-0.9968,-0.9662,-0.9939,-0.9287,-0.4487,0.9668,0.9166,0.9983,-0.9995,-0.9748,-0.9924,-0.9967,-0.9833,-0.9777,,0.9833,-0.9931,0.6137,,0.9504,0.9807,-0.9994,-0.9966,-0.9708,-0.722,,,,,0.998,0.9984,,,0.8451,0.9999,-0.6319,-0.8461,,0.8529,0.7213,,-0.9278,-0.9329,,,,,-0.999,,-0.9852,,,,,,,,,,
FH_UCSB_ACTS,,,,,,,,,,,,,,,,,0.992,0.9983,0.9425,-0.8938,-0.9791,-0.9945,-0.9957,,-0.9456,0.669,0.9959,0.9999,,0.9718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_UMich_RidgeTfReg,,,-0.9952,,,-0.4089,,-0.6851,-0.9592,-0.869,-0.9437,-0.9169,-0.9142,-0.9192,-0.9229,-0.9897,-0.9966,0.995,0.932,-0.9178,-0.9932,,,,-0.4427,0.9655,0.9994,0.9559,,0.9855,-0.9036,-0.8107,-0.8399,-0.9936,-0.9169,0.9976,0.98,0.9978,0.8701,-0.9318,-0.9911,-0.924,0.998,0.9963,0.9898,,-0.9635,0.9989,-0.9797,-0.9088,-0.8014,-0.8954,-0.906,-0.9212,-0.9333,-0.9448,-0.9492,,-0.9432,-0.9463,-0.9332,-0.9461,-0.944,-0.9716,-0.9829,-0.9759,,,-0.9514,-0.9128,-0.992,,,0.9857
FH_USACE_ERDC_SEIR,-0.9874,-0.982,0.9249,-0.8931,-0.0189,-0.623,-0.4024,-0.7794,0.9933,-0.9492,-0.9696,-0.9791,-0.9979,,-0.996,,0.8455,,,0.9944,0.9724,0.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_UVA_Ensemble,,,,,,,,,,,,,,,,,,,,-0.8558,-0.9827,0.7576,0.9008,0.7166,0.9503,0.9518,-0.5552,-0.9882,,0.8526,0.988,,-0.9416,-0.9916,0.9793,-0.9952,0.9982,0.9996,0.872,-0.575,0.8881,0.9862,0.9987,0.9642,0.9914,,0.9996,0.9969,0.9983,0.9803,-0.8571,-0.9151,-0.9558,-0.9914,0.9882,0.9815,0.2297,-0.9938,0.9964,0.9959,-0.0283,0.9565,-0.9487,0.9649,0.9982,0.9998,0.9113,0.1515,-0.9787,-0.872,0.9801,-0.9286,-0.2706,0.9833
SIkJaun10_hyper7,0.9831,0.9971,0.943,-0.8903,0.2283,-0.6954,0.8267,-0.7923,-0.9639,0.9074,-0.9515,-0.9916,-0.9968,0.9908,-0.9914,0.9835,0.9788,0.9966,0.9801,-0.7364,0.9987,0.9999,0.9996,0.9954,0.9997,0.9874,0.9862,0.1716,1.0,1.0,0.9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIkJaun10_hyper7_smooth7,0.9809,0.9957,0.9166,-0.8864,0.2494,-0.6712,0.7527,-0.8264,-0.9839,0.9975,-0.944,-0.9893,-0.9938,0.9909,0.9867,0.9946,-0.9154,0.9987,0.9951,-0.8298,0.9999,0.9874,0.9978,0.9991,0.9999,0.9819,0.9927,0.7413,0.9999,0.9999,0.9767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
