,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9955,0.9998,0.9966,0.8346,-0.9395,-0.9313,0.9976,0.9909,0.9631,0.9929,0.9584,-0.9022,-0.9353,0.9955,0.9992,0.9999,0.4792,-0.927,-0.9598,-0.9913,-0.9746,0.9982,-0.4029,0.9608,-0.9581,-0.9992,-0.9996,0.9624,0.9954,0.9976,0.9991,0.9999,0.9989,0.9999,0.9344,-0.9156,0.8742,0.997,-0.9707,0.571,0.9981,0.9976,0.9959,0.9991,0.9998,0.9943,0.9971,-0.9826,0.9927,0.8665,0.8933,0.8654,0.9984,-0.9997,0.9452,0.9865,0.9383,-0.8664,-0.9854
FH_CEID_Walk,,,,,,0.9932,-0.9463,0.9779,0.7548,0.988,-0.8683,0.9743,0.8773,0.869,0.948,0.9307,0.9876,0.9629,0.9457,-0.8777,-0.9578,0.9249,-0.8893,0.717,,0.9487,0.6373,-0.9636,0.9721,0.9963,0.9989,0.4439,-0.8655,0.5287,0.9328,-0.6092,0.9397,0.9306,0.9949,-0.7236,-0.8991,0.9155,0.9625,0.9718,0.9382,,0.9887,0.976,0.9688,-0.8794,-0.8779,0.9248,0.2849,0.955,0.9432,0.9479,0.9445,0.974,0.9628,0.9558,-0.8868,0.827,-0.9995,0.9752,0.9703,0.7008,0.8691,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9805,-0.9997,0.989,0.9647,0.6712,0.7266,-0.9882,-0.9995,-0.5914,0.9951,-0.8929,0.0322,0.9877
FH_COVIDhub_ensemble,,,-0.8595,0.778,-0.7166,0.9454,-0.9718,-0.9427,0.7643,-0.995,-0.9636,0.9482,-0.9189,-0.8151,0.95,0.9325,0.9993,0.9975,0.8878,-0.9505,-0.9732,0.9895,0.9995,0.9989,0.9996,0.9238,0.989,-0.9432,,0.9972,0.9997,0.4519,-0.9467,-0.9758,0.9772,-0.9423,0.9947,0.9901,0.9842,-0.7964,-0.9308,0.9968,,0.9996,0.9983,,,,0.9998,0.9532,-0.8778,-0.961,-0.9839,-0.9751,0.9813,0.9711,0.9824,0.9841,0.986,0.9941,0.7354,-0.9805,-0.9997,0.989,0.9647,0.6712,0.7266,-0.9882,-0.9995,-0.5914,0.9951,-0.8929,0.0322,0.9877
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.925,-0.2296,0.9755,0.9978,-0.9725,,,,,,,,,0.9988,0.9997,,,,,0.9764,-0.8311,-0.936,,-0.9773,1.0,0.9993,0.9967,,0.9986,0.9996,0.987,0.7381,-0.9944,0.9984,0.8261,0.7914,0.8966,-0.9912,-0.9992,-0.8331,0.9951,-0.805,-0.5599,0.9929
FH_CU_nochange,,,,,,,,,,,,,,0.9884,0.9859,0.9963,0.9685,0.9988,0.8486,-0.7503,0.9401,0.9999,0.9988,0.9955,0.9994,0.9582,-0.9925,-0.9984,,-0.9248,-0.6181,0.2661,-0.954,-0.9621,0.9956,-0.9672,0.9972,0.9853,0.9238,-0.9103,-0.9802,0.9994,0.9987,0.9984,0.9995,,,0.9997,0.9999,0.9664,-0.8632,-0.9394,-0.9493,-0.9278,0.9964,1.0,0.9999,1.0,0.9971,0.998,-0.8566,-0.9999,-0.9997,-0.7216,0.8733,-0.8938,,-0.9852,-0.9997,0.996,0.9748,0.9554,0.9819,0.9977
FH_CU_scenario_high,,,,,,,,,,,,,,0.9912,0.9872,0.9952,0.9994,0.9977,0.8319,-0.8017,0.9025,0.9997,0.9992,0.9967,0.9995,0.9563,-0.9916,-0.9978,,-0.9394,-0.7945,0.0048,-0.9466,-0.9495,0.9953,-0.9559,0.9981,0.9869,0.9303,-0.8692,-0.9947,0.9959,0.9976,0.9977,0.9986,,,0.9996,0.9998,0.9695,-0.8539,-0.9233,-0.9307,-0.7722,0.9949,0.9992,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.8915,-0.9954,0.622,-0.9856,0.9949,0.8525,-0.7607,0.9902,0.9983,0.9965,0.9997,0.9999,0.9524,-0.9975,-0.9953,,0.6681,0.6697,0.5246,-0.9371,-0.9392,0.9988,-0.9447,0.9979,0.9917,0.9558,-0.875,-0.9384,0.9998,0.999,0.9987,0.9998,,,0.9997,0.9999,0.9651,-0.8669,-0.9469,-0.9586,-0.9542,0.9977,0.9979,0.9974,0.9979,0.9822,0.7563,-0.8206,-0.9998,-0.9997,-0.5926,0.7815,0.7211,,-0.9633,-0.999,0.9939,0.9714,0.9518,0.9955,0.9957
FH_CU_scenario_mid,,,,,,,,,,,,,,0.975,0.9715,0.9868,0.9935,0.9995,0.865,-0.8951,0.9957,0.9984,0.9943,0.9994,0.9998,0.9527,-0.9982,-0.9985,,-0.9545,-0.8403,-0.1336,-0.9366,-0.9307,0.9995,-0.9018,0.9987,0.9914,0.9264,-0.9198,-0.9603,0.998,0.9957,0.9945,0.9962,,,0.9987,0.9995,0.977,-0.8393,-0.9202,-0.9315,-0.9037,0.9986,0.9945,0.9943,0.9964,,0.9843,0.8113,-0.999,-0.9998,0.6329,0.9377,0.524,,-0.9855,-0.9988,0.9874,0.9847,0.9484,0.9881,0.9956
FH_CU_select,,,,,,0.9938,-0.8232,0.9905,0.9585,0.9883,-0.961,0.9991,0.9998,0.975,0.9715,0.9868,0.9935,0.9995,0.8299,-0.7607,0.9902,0.9983,0.9965,0.9997,0.9999,0.9527,-0.9982,-0.9985,,-0.9545,0.6697,-0.1336,-0.9366,-0.9307,0.9995,-0.9018,0.9987,0.9917,0.9558,-0.875,-0.9603,0.998,0.9957,0.9945,0.9962,,,0.9987,0.9995,0.977,-0.8393,-0.9202,-0.9315,-0.9542,0.9977,0.9979,0.9974,0.9979,0.9822,0.7563,-0.8206,-0.9998,-0.9997,-0.5926,0.7815,0.7211,,-0.9633,-0.999,0.9874,0.9847,0.9484,-0.6807,0.9959
