,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9784,0.938,-0.4359,0.0116,0.947,0.9914,-0.9584,0.4538,0.8252,0.9614,0.9856,0.6372,0.9931,0.9993,0.9979,0.9991,0.999,0.9953,0.9979,0.9858,0.9955,0.9929,0.9987,0.8817,0.7986,0.913,0.3736,0.3003,0.8799,0.9665,0.9781,0.9997,0.8843,-0.9138,-0.9952,-0.9536,0.9347,0.9982,0.9467,0.998,0.9979,0.9911,0.6171,-0.7483,0.457,0.9978,0.9999,0.9975,0.9996,0.9997,0.9993,0.9976,0.9944,0.9995,0.9685,-0.8149,-0.9599,0.9978,0.9706
FH_CEID_Walk,,,,,,0.9773,0.9566,-0.9958,0.9996,0.6532,-0.7367,0.9463,-0.9041,0.9417,0.9494,0.9341,-0.9832,0.0317,0.9802,0.8926,0.9682,-0.9049,0.9346,-0.8336,,0.6851,-0.9074,-0.7788,0.9782,0.994,0.9927,0.9947,0.9696,0.9509,-0.9469,0.9804,-0.9939,0.9729,0.9889,0.7351,0.9681,0.5786,0.3706,-0.7695,0.8017,,0.954,0.969,-0.8628,0.9615,-0.9713,-0.9968,0.9303,0.9692,-0.4111,-0.4638,0.2897,0.6732,-0.9247,0.9326,0.992,0.9731,0.9715,0.8471,0.9518,0.997,0.9308,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993,0.9951,0.9999,0.999,0.9996,0.9968,0.9921,0.9962,0.9691,-0.806,-0.9736,0.9991,0.9546
FH_COVIDhub_ensemble,,,-0.8151,-0.5102,0.9928,0.9592,0.9964,0.9975,0.9918,0.4005,-0.9349,-0.9987,-0.9921,-0.8849,-0.9639,0.9773,-0.9781,-0.2541,0.9995,0.973,0.9985,-0.8456,0.9966,0.961,0.9267,0.8774,-0.8794,-0.8969,,0.9997,0.9986,1.0,0.9961,0.997,0.9971,0.9889,0.9945,0.9985,0.9896,0.9108,0.8291,0.5489,,0.9807,0.9763,,,,-0.9248,-0.9957,-0.9819,-0.9863,0.9633,0.9469,0.9895,0.9944,0.9945,0.7725,-0.8757,-0.3383,0.9999,0.9993,0.9951,0.9999,0.999,0.9996,0.9968,0.9921,0.9962,0.9691,-0.806,-0.9736,0.9991,0.9546
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8403,0.7208,-0.9982,0.9975,0.9907,,,,,,,,,-0.6384,0.9654,,,,,-0.9759,-0.931,-0.9549,,0.9859,0.9995,0.9954,0.9811,,-0.9531,-0.6168,0.9977,0.9999,0.9949,0.9999,0.999,0.999,0.9941,0.9899,1.0,0.9825,-0.7847,-0.9562,0.9999,0.9987
FH_CU_nochange,,,,,,,,,,,,,,0.9906,0.9999,0.9945,0.9998,0.9998,0.9962,0.9999,-0.9538,-0.9581,0.9944,-0.9637,-0.8163,0.9288,-0.9946,-0.9997,,0.9998,0.9987,0.9987,0.9958,0.9981,0.9666,0.9829,-0.8058,-0.7362,0.9911,0.9197,0.8479,-0.6993,0.4635,0.6901,0.94,,,0.9323,-0.8731,-0.8701,-0.7401,0.8085,0.9986,0.9985,0.9995,1.0,0.9981,0.7126,-0.1974,0.9961,0.9996,0.9963,0.9992,0.9996,0.9999,1.0,,0.9972,1.0,0.8725,-0.7338,-0.5663,0.7912,-0.6794
FH_CU_scenario_high,,,,,,,,,,,,,,0.9955,0.9987,0.9998,0.9997,0.9982,-0.7524,0.9948,0.0507,-0.7125,0.9882,-0.9336,-0.8275,0.9239,-0.9963,-0.9999,,0.9998,0.9976,0.999,0.9954,0.9979,0.9391,0.9809,-0.7941,-0.7119,0.9902,0.9242,0.8666,-0.2335,0.6603,0.1352,0.9055,,,0.9592,-0.8465,-0.7076,-0.2676,0.9538,0.9981,0.9974,0.9984,0.9993,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.998,0.9328,-0.998,-0.9884,-0.9994,0.998,0.9908,0.9822,-0.9438,0.9965,-0.9234,-0.8584,0.9077,-0.9763,-0.9927,,0.9997,0.9946,0.9997,0.9913,0.996,0.9601,0.9793,0.8451,0.9331,0.9946,0.9027,0.8393,-0.6197,0.3935,0.775,0.9506,,,0.9181,-0.8869,-0.9201,-0.8653,0.1145,0.9984,0.999,0.9998,0.9995,0.9998,0.808,0.3959,0.9968,0.9996,0.9963,0.9991,0.9996,0.9999,1.0,,0.996,0.9997,-0.4497,-0.6615,0.3867,0.7247,-0.8532
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9973,0.994,0.9893,0.9977,0.8435,-0.9347,0.9997,0.9791,0.3371,0.9925,-0.387,-0.8573,0.911,-0.9919,-0.9997,,0.9993,0.9939,0.9996,0.9934,0.9969,0.9299,0.9746,-0.8595,-0.7024,0.995,0.9041,0.8685,-0.7082,0.4656,0.6944,0.9303,,,0.9391,-0.8601,-0.885,-0.8312,-0.3012,0.9991,0.9989,0.9974,0.9963,0.9999,0.7579,,0.992,0.9984,0.9932,0.9974,0.9999,0.9991,0.9992,,0.9917,0.9991,0.0817,-0.752,-0.875,0.9791,0.1862
FH_CU_select,,,,,,0.9893,0.9872,-0.9785,-0.806,0.9384,-0.3994,-0.7811,-0.8719,0.9973,0.994,0.9893,0.9977,0.8435,0.999,0.9908,0.9822,-0.9438,0.9965,-0.9234,-0.8584,0.911,-0.9919,-0.9997,,0.9993,0.9946,0.9996,0.9934,0.9969,0.9299,0.9746,-0.8595,0.9331,0.9946,0.9027,0.8685,-0.7082,0.4656,0.6944,0.9303,,,0.9391,-0.8601,-0.885,-0.8312,-0.3012,0.9991,0.999,0.9998,0.9995,0.9998,0.808,0.3959,0.9968,0.9996,0.9963,0.9991,0.9996,0.9999,1.0,,0.996,0.9997,0.0817,-0.752,-0.875,0.9991,0.9969
