,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9999,-0.6815,0.9473,-0.8436,-0.9928,-0.9906,-0.9872,-0.9951,0.9436,-0.2365,-0.9828,-0.9631,0.8195,0.9577,0.9817,0.986,0.9936,0.9958,0.9999,0.9932,-0.006,0.8463,-0.9543,-0.9811,0.4641,0.9099,0.5497,-0.723,0.9825,0.9438,-0.9244,-0.9292,-0.996,-0.9834,0.8211,-0.9761,-0.9502,0.9975,0.9997,0.9785,0.6451,-0.9839,-0.9738,0.9986,0.9943,0.9974,0.9976,0.9951,0.9959,0.9999,0.9996,0.9006,-0.7878,-0.9966,-0.9019,0.9753,0.9912,0.9449,0.9185
FH_CEID_Walk,,,,,,-0.8218,0.5269,-0.9725,-0.9172,-0.1162,-0.9437,0.9415,0.9291,-0.9114,0.8573,-0.4666,-0.9986,0.9739,0.9653,-0.9185,0.9699,0.9875,0.9353,0.4905,,0.8353,0.9875,0.9665,0.956,0.9796,0.9212,0.9875,0.9755,0.9807,0.993,0.0694,0.7689,-0.9586,-0.9832,0.6696,-0.0823,-0.8786,-0.648,0.995,0.9971,,0.9961,0.9786,-0.8515,0.9246,-0.7904,0.9462,0.9683,-0.9607,0.9691,-0.3179,0.537,-0.9242,-0.1178,0.9467,0.902,-0.978,0.9064,-0.9919,0.9817,0.9819,0.9812,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9618,0.9929,0.9999,0.9989,0.9999,0.9246,-0.9016,-0.9965,-0.9915,0.8297,0.9707,0.9929,-0.8987
FH_COVIDhub_ensemble,,,0.9494,0.4495,-0.6921,-0.8758,0.7262,-0.9905,-0.9545,-0.9879,-0.9898,-0.9965,-0.9116,-0.9385,0.9462,-0.9828,-0.9604,0.9992,0.8305,-0.9788,-0.9938,0.9886,-0.0648,0.981,0.8404,0.9303,0.987,0.9614,,0.9794,0.9927,0.9907,0.991,0.9987,0.9926,-0.014,0.8268,-0.9942,-0.9363,0.3678,-0.6661,-0.8492,,0.7166,0.9461,,,,-0.9784,0.9546,-0.9978,0.9029,0.8575,0.9942,0.9989,0.8574,-0.9084,-0.9298,0.9882,0.9894,0.9962,0.9618,0.9929,0.9999,0.9989,0.9999,0.9246,-0.9016,-0.9965,-0.9915,0.8297,0.9707,0.9929,-0.8987
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,-0.8616,-0.9876,0.9618,0.9947,,,,,,,,,0.9858,0.9233,,,,,0.9901,0.9968,0.9927,,0.9981,0.9943,0.6776,-0.9802,,0.8102,0.9623,0.9911,0.9796,0.9962,0.9998,0.9984,0.9998,0.9108,-0.9218,-0.9967,-0.8496,0.9911,0.9719,0.976,-0.8715
FH_CU_nochange,,,,,,,,,,,,,,-0.6362,0.9914,0.9949,-0.5854,0.9745,0.7713,-0.9321,0.998,0.9969,-0.6865,0.9931,0.8369,0.9369,-0.9982,-0.978,,0.9674,0.6095,0.4582,0.9928,0.9996,0.994,0.0132,0.6579,-0.9785,0.7324,-0.0764,0.9441,-0.8625,-0.6624,0.9645,0.9712,,,-0.9182,-0.1301,0.9996,0.9919,0.9967,0.9952,0.9923,0.9846,0.6963,-0.9929,-0.9721,0.9994,0.9808,0.9882,0.9872,0.997,0.9995,0.999,0.9999,,-0.9077,-0.9911,-0.8152,0.9664,0.9928,0.9719,-0.7128
FH_CU_scenario_high,,,,,,,,,,,,,,0.9725,0.9932,0.9995,0.8516,0.9832,0.7683,-0.9787,0.9908,0.9958,0.9897,0.9553,0.8124,0.934,-0.998,-0.9798,,0.959,0.181,0.0757,0.9911,0.9996,0.9916,0.0225,0.657,-0.9803,0.8258,-0.1291,0.9497,-0.8331,-0.7377,0.851,0.9894,,,-0.6416,0.803,0.9999,0.9948,0.9953,0.9923,0.9883,0.9764,0.6349,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9944,-0.9952,0.9725,-0.9996,0.9906,0.8004,-0.8997,0.9772,0.9905,0.7032,0.981,0.8113,0.9289,-0.9989,-0.9605,,0.9756,0.9231,0.9624,0.9891,0.9984,0.9933,0.0232,0.6846,-0.9844,0.9069,-0.035,-0.9632,-0.8383,-0.5942,0.9885,0.9618,,,-0.9594,-0.7791,0.9974,0.9848,0.9984,0.9976,0.9964,0.9921,0.78,0.3923,0.988,0.9979,0.9888,0.9895,0.9874,0.9968,0.9996,0.9974,0.9998,,-0.8881,-0.9836,-0.2055,0.9606,0.9939,0.9869,-0.8184
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.1484,0.9797,0.989,-0.77,0.9917,0.8031,-0.9874,0.9788,0.9909,0.9845,0.9923,0.7719,0.927,-1.0,-0.989,,0.9661,0.5068,0.6971,0.9891,0.9989,0.9919,0.0464,0.4771,-0.988,-0.2555,0.0253,0.9604,-0.8652,-0.6392,0.9744,0.9779,,,-0.9473,-0.8333,0.9917,0.9867,0.9989,0.9994,0.9998,0.9963,0.754,-0.9504,-0.9131,,0.9751,0.9813,0.9746,0.9907,0.9998,0.9962,0.999,,-0.8843,-0.9846,-0.7841,0.9755,0.9807,0.9831,-0.7866
FH_CU_select,,,,,,-0.8352,0.9603,0.9998,0.9802,0.9973,0.4719,0.9981,0.9852,-0.1484,0.9797,0.989,-0.77,0.9917,0.7706,-0.8997,0.9772,0.9905,0.7032,0.981,0.8113,0.927,-1.0,-0.989,,0.9661,0.9231,0.6971,0.9891,0.9989,0.9919,0.0464,0.4771,-0.9844,0.9069,-0.035,0.9604,-0.8652,-0.6392,0.9744,0.9779,,,-0.9473,-0.8333,0.9917,0.9867,0.9989,0.9994,0.9964,0.9921,0.78,0.3923,0.988,0.9979,0.9888,0.9895,0.9874,0.9968,0.9996,0.9974,0.9998,,-0.8881,-0.9836,-0.7841,0.9755,0.9807,0.9794,-0.7333
