,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9933,0.9823,0.9888,0.8204,0.998,-0.9811,0.9956,0.9997,0.9889,0.9973,-0.9444,-0.9106,-0.9592,0.9829,0.9954,0.9979,0.9986,0.9983,0.9901,-0.1292,-0.9278,0.8477,0.9967,0.3626,-0.9851,-0.9934,-0.986,0.9997,0.9947,0.9997,0.9912,0.997,0.978,0.9866,-0.9968,0.5594,0.927,-0.8557,-0.1979,0.9989,0.9997,0.9995,0.9999,0.9974,0.9988,0.9907,0.9999,0.9899,0.9873,-0.6691,0.9977,0.9985,0.9633,0.9999,0.9994,0.9953,0.9985,0.9964,0.9961
FH_CEID_Walk,,,,,,-0.9652,-0.6844,-0.9353,0.8756,-0.993,-0.9622,0.9359,0.9252,0.9432,0.9519,0.7255,0.9297,0.9927,-0.5441,-0.9248,-0.9586,0.9701,0.9877,0.6838,,0.8046,-0.2726,-0.8963,0.9637,0.9814,0.9075,0.9419,0.9853,0.9924,0.1735,-0.9795,-0.5782,-0.8255,0.9647,-0.0755,-0.6521,0.9455,0.9851,0.7831,0.9458,,0.9628,-0.9091,0.9813,-0.5729,-0.0223,-0.5545,0.9377,0.841,0.9545,0.9667,-0.9807,0.9562,-0.9399,-0.9875,-0.8615,-0.9832,0.982,0.9887,-0.6175,0.8249,-0.8979,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,0.9647,0.9969,-0.789,0.9967,0.8375,0.9985,0.9996,0.9986,0.9917,0.9989,0.9978,0.9987
FH_COVIDhub_ensemble,,,0.5934,0.8581,0.8163,-0.9564,-0.9992,-0.9582,0.8932,-0.9246,-0.9676,0.8271,0.9799,0.9631,0.9668,0.9598,0.9626,0.9961,-0.6043,-0.954,-0.9833,0.973,0.9979,0.9965,0.9854,0.8947,0.9818,-0.971,,0.9976,0.9951,0.9931,0.9991,0.9935,0.0249,-0.9696,0.8719,-0.5383,0.9796,0.977,-0.9562,0.8979,,0.9797,0.9964,,,,0.9998,0.9057,-0.6721,-0.9596,-0.9818,-0.9985,-0.8915,0.9673,0.9774,0.9992,0.9909,0.999,0.9489,0.998,0.9647,0.9969,-0.789,0.9967,0.8375,0.9985,0.9996,0.9986,0.9917,0.9989,0.9978,0.9987
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9961,-0.983,-0.9978,0.9866,0.1215,,,,,,,,,0.9942,0.9833,,,,,0.9995,-0.6354,-0.9401,,-0.9376,0.9987,0.9997,0.9946,,0.999,0.9998,0.998,0.9998,0.93,0.9955,0.2936,0.9971,0.8114,0.9989,0.9984,0.9971,0.9918,0.9983,0.9982,0.9995
FH_CU_nochange,,,,,,,,,,,,,,0.9985,0.9993,0.9987,0.9912,0.9643,0.7,0.9804,0.9941,0.9957,0.9997,0.9976,0.9864,0.8942,0.9659,-0.9995,,0.9973,0.9851,0.9904,0.9995,0.9961,0.1358,-0.9528,0.8176,0.9284,0.983,0.9846,0.1376,0.971,0.9857,0.9716,0.993,,,0.9819,0.9965,0.9981,-0.6102,-0.9178,-0.9501,-0.9624,-0.9702,1.0,0.9981,0.9997,0.9982,0.9908,0.6883,-0.986,-0.9749,-0.7376,0.9633,0.9961,,0.9995,0.9999,0.9998,0.9974,0.9998,0.9996,0.9965
FH_CU_scenario_high,,,,,,,,,,,,,,0.9994,0.9999,0.9997,0.9897,0.9627,-0.8458,-0.0041,0.9771,0.9947,0.9988,0.998,0.9885,0.8918,0.9538,-0.9992,,0.9962,0.9774,0.9872,0.9989,0.996,0.1686,-0.9551,0.8177,0.9351,0.9849,0.9908,-0.9724,0.8414,0.9701,0.9251,0.975,,,0.972,0.9949,0.9963,-0.5572,-0.892,-0.9232,-0.9428,-0.9492,0.9993,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9983,0.9837,-0.9953,-0.9872,-0.8883,-0.9841,0.9809,0.6441,0.9892,0.9977,0.9968,0.9934,0.8778,0.9678,-0.9961,,0.9951,0.9826,0.9835,0.997,0.9957,0.1735,-0.9668,0.795,0.8989,0.9742,0.9764,0.9769,0.9896,0.9906,0.985,0.9976,,,0.9839,0.9978,0.9979,-0.6385,-0.9366,-0.9588,-0.9711,-0.9786,0.9987,0.9928,0.9974,0.9813,-0.9764,0.9804,-0.9904,-0.9724,-0.7081,0.9712,0.9953,,0.9993,1.0,0.9995,0.9967,0.9994,0.9997,0.9992
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9996,0.998,0.998,0.9889,0.9653,-0.832,-0.9988,-0.9983,0.9904,0.997,0.9959,0.9916,0.8836,0.9435,-0.9995,,0.9948,0.9656,0.9816,0.9966,0.9962,0.2191,-0.9619,0.7898,0.8825,0.9668,0.9703,0.6737,0.957,0.9757,0.9624,0.9873,,,0.9713,0.993,0.9975,-0.5782,-0.9045,-0.9331,-0.9514,-0.9512,0.9975,0.9912,0.9936,,0.9819,0.9883,-0.9452,-0.9769,0.2181,0.9892,0.9917,,0.9963,0.9998,0.9976,0.992,0.9975,0.9996,0.9996
FH_CU_select,,,,,,0.9099,0.9797,-0.9207,0.9955,0.6896,-0.715,-0.5727,0.417,0.9996,0.998,0.998,0.9889,0.9653,-0.94,0.9809,0.6441,0.9892,0.9977,0.9968,0.9934,0.8836,0.9435,-0.9995,,0.9948,0.9826,0.9816,0.9966,0.9962,0.2191,-0.9619,0.7898,0.8989,0.9742,0.9764,0.6737,0.957,0.9757,0.9624,0.9873,,,0.9713,0.993,0.9975,-0.5782,-0.9045,-0.9331,-0.9711,-0.9786,0.9987,0.9928,0.9974,0.9813,-0.9764,0.9804,-0.9904,-0.9724,-0.7081,0.9712,0.9953,,0.9993,1.0,0.9976,0.992,0.9975,0.9985,0.9997
