,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9991,0.9993,0.9952,-0.205,-0.9879,-0.9635,0.9987,-0.9744,0.9651,0.9871,0.9516,-0.8861,-0.9677,0.9864,0.9928,0.9913,0.9955,0.9889,1.0,-0.992,-0.889,-0.981,0.9726,-0.9449,-0.9985,-0.9819,-0.9988,0.9909,0.9964,0.9996,-0.4676,0.9999,0.9725,-0.8255,-0.9919,-0.9774,-0.9975,-0.8835,0.8211,0.999,0.9964,0.9996,0.9756,0.9752,0.9706,-0.9141,-0.9978,-0.997,0.9537,0.9748,-0.1153,-0.9388,-0.9841,-0.9838,-0.9952,0.9834,0.9703,-0.901,-0.9822
FH_CEID_Walk,,,,,,-0.6518,0.9748,-0.9215,0.8756,0.9342,0.8232,0.9402,-0.9833,0.8972,0.9096,0.9347,0.9705,0.9681,0.2502,-0.8958,-0.9294,0.9787,-0.9941,0.6455,,0.9414,-0.9524,0.8814,0.973,0.9971,0.9891,0.9768,-0.9981,0.9983,0.8669,-0.915,-0.8566,0.997,-0.8923,-0.952,0.9742,-0.9752,0.9119,0.9395,0.2913,,0.9644,0.9832,-0.816,-0.9802,-0.9788,0.9637,-0.7194,0.9287,0.9313,0.9419,0.8895,-0.9798,-0.9527,-0.9509,0.7177,-0.7375,-0.4307,0.9785,0.973,-0.1262,-0.8995,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9815,-0.9383,0.9476,0.9475,0.1115,-0.9442,-0.9973,-0.9886,0.4215,-0.9013,0.9697,0.1746,0.9235
FH_COVIDhub_ensemble,,,0.7604,-0.9583,0.6689,-0.5971,-0.9962,-0.8978,0.8909,-0.967,-0.9991,0.4406,-0.9546,0.9315,0.6672,0.9333,0.9944,0.9921,-0.0176,-0.9829,-0.8773,0.9947,-0.9958,0.9993,0.9921,0.9124,0.9628,0.7892,,0.9989,0.9853,0.9993,0.9988,0.9999,-0.9694,-0.974,-0.9774,0.8252,-0.8544,-0.9513,0.7216,0.4553,,0.9956,0.9973,,,,-0.8615,-0.9806,-0.9858,-0.9973,-0.9856,-0.9968,0.8064,0.8996,0.9794,0.9939,-0.9925,0.9983,0.4926,0.9815,-0.9383,0.9476,0.9475,0.1115,-0.9442,-0.9973,-0.9886,0.4215,-0.9013,0.9697,0.1746,0.9235
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.955,-0.9327,-0.997,0.9907,-0.9072,,,,,,,,,0.9622,0.9984,,,,,-0.9751,-0.9799,-0.9712,,-0.9844,0.995,0.9988,0.998,,0.9842,0.9753,-0.8526,0.9799,-0.9034,0.9935,0.9585,0.1228,-0.8977,-0.9972,-0.9893,0.976,-0.7969,0.9756,0.9386,0.9335
FH_CU_nochange,,,,,,,,,,,,,,0.993,-0.9711,0.9996,-0.9054,0.9931,-0.0775,0.851,0.9887,0.9973,-0.9987,0.9913,0.9818,0.9215,-0.9999,0.8465,,-0.9823,0.987,0.9995,0.9944,0.9998,0.9518,0.0658,-0.952,-0.9193,0.9208,-0.9992,0.9804,0.9981,0.9886,0.9918,0.9983,,,0.9836,-0.7839,0.998,0.9938,0.9596,0.9553,-0.9508,-0.9098,-0.9473,-0.8955,0.9936,-0.9855,0.9855,-0.5727,0.8208,0.9972,0.9991,0.9611,0.0922,,-0.9976,-0.9935,0.998,0.9747,0.9863,0.8973,0.932
FH_CU_scenario_high,,,,,,,,,,,,,,0.9961,-0.3887,0.998,0.9896,0.9903,-0.1215,0.9921,0.9816,0.996,-0.9992,0.9932,0.9771,0.8927,-1.0,-0.7911,,-0.9814,0.9841,0.9988,0.9931,0.9999,0.9558,0.305,-0.9566,-0.9168,0.9218,-0.9983,0.9484,0.9975,0.9854,0.9879,0.9942,,,0.9856,-0.7301,0.9996,0.9996,0.9862,0.9937,-0.7332,-0.7135,-0.9032,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.8643,-0.9954,0.7886,-0.9921,0.999,-0.0584,-0.2669,0.9935,0.9904,-0.9946,0.9968,0.977,0.9342,-0.9887,0.9973,,-0.9959,0.9813,0.9975,0.9881,0.9997,0.9181,-0.6265,-0.9431,-0.9384,0.8945,-0.9903,0.9899,0.9983,0.9905,0.9937,0.9991,,,0.9821,-0.8106,0.9947,0.9824,0.855,-0.0013,-0.9827,-0.9445,-0.9766,-0.9488,0.9959,-0.9915,0.2825,-0.6138,0.4678,0.9974,0.9994,0.9626,0.1333,,-0.9957,-0.9926,0.9493,0.9778,0.9868,0.9041,0.7201
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9879,-0.9222,0.9931,0.9514,0.9964,-0.0571,0.9809,0.9956,0.9916,-0.999,0.9952,0.9678,0.8834,-0.9974,-0.9158,,-0.9921,0.9787,0.9978,0.9896,0.9999,0.9319,0.8046,-0.853,-0.9378,0.8901,-0.9972,0.9715,0.9957,0.9825,0.9845,0.9931,,,0.9871,-0.757,0.9885,0.9834,0.9478,0.9279,-0.9317,-0.8933,-0.9467,-0.9167,0.9975,,0.9947,-0.4888,-0.8346,0.9977,0.9998,0.9692,0.1339,,-0.992,-0.9911,0.98,0.9591,0.9785,0.8993,0.0217
FH_CU_select,,,,,,0.8889,-0.6499,0.9425,0.9976,0.9961,-0.9313,0.9978,0.9992,0.9879,-0.9222,0.9931,0.9514,0.9964,-0.1089,-0.2669,0.9935,0.9904,-0.9946,0.9968,0.977,0.8834,-0.9974,-0.9158,,-0.9921,0.9813,0.9978,0.9896,0.9999,0.9319,0.8046,-0.853,-0.9384,0.8945,-0.9903,0.9715,0.9957,0.9825,0.9845,0.9931,,,0.9871,-0.757,0.9885,0.9834,0.9478,0.9279,-0.9827,-0.9445,-0.9766,-0.9488,0.9959,-0.9915,0.2825,-0.6138,0.4678,0.9974,0.9994,0.9626,0.1333,,-0.9957,-0.9926,0.98,0.9591,0.9785,0.9141,-0.8186
