,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9879,-0.9895,-0.9793,0.999,0.9954,0.9872,-0.7907,-0.9217,-0.6202,0.7942,0.9926,0.915,0.8752,0.9996,1.0,0.9996,0.9983,0.9984,0.9938,0.9822,0.9821,0.4309,-0.9778,0.8413,0.2033,-0.3875,-0.9839,0.9976,0.9828,0.9955,0.9968,-0.6472,-0.9741,-0.9748,-0.9932,-0.9812,-0.917,0.978,0.9992,0.9882,0.9883,0.9969,0.9996,-0.9851,0.858,0.997,0.9935,0.9849,0.9877,0.999,0.9903,0.9405,-0.8755,0.1113,0.9297,0.8404,0.7353,0.9912,0.9829
FH_CEID_Walk,,,,,,0.9505,0.9822,0.9798,0.9653,-0.7829,-0.9177,0.3393,0.9299,0.9725,0.9603,0.923,0.961,0.9238,0.9148,0.9769,0.9964,-0.6957,-0.8905,0.7378,,0.8928,0.9974,-0.8011,-0.1435,0.9914,0.7494,0.8046,0.9875,0.9817,-0.9728,0.9888,-0.5413,-0.8451,-0.9487,0.9877,0.4029,0.36,-0.8901,-0.9484,0.9301,,-0.5034,0.9988,0.7903,0.9192,-0.9932,0.9331,0.9401,0.9861,0.6214,0.9715,0.9175,-0.9793,0.7778,-0.862,-0.8716,-0.8992,0.9654,-0.9511,0.9754,0.9861,0.9568,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9923,0.9846,0.9824,0.9999,0.9894,0.9461,-0.9337,0.0705,0.934,-0.7387,-0.225,0.993,-0.9275
FH_COVIDhub_ensemble,,,-0.8331,0.9935,0.9956,0.9988,0.9998,0.9966,0.9163,-0.9463,-0.9844,-0.9599,-0.9789,-0.9745,-0.982,-0.2371,0.826,0.9399,0.9956,0.9989,0.9701,-0.7452,-0.9539,-0.9014,0.997,0.9419,0.9935,-0.3301,,0.9966,0.9951,0.9991,0.9984,0.9976,0.9753,0.9985,-0.5591,-0.8723,-0.9409,-0.5969,0.9349,0.9599,,0.9943,0.9998,,,,-0.9934,-0.9989,-0.9966,0.9867,0.9931,0.9817,0.9695,0.8846,0.9961,0.9705,0.9429,0.8301,0.8141,0.9923,0.9846,0.9824,0.9999,0.9894,0.9461,-0.9337,0.0705,0.934,-0.7387,-0.225,0.993,-0.9275
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9744,0.9927,-0.987,0.9971,0.9404,,,,,,,,,0.9993,0.995,,,,,-0.9994,-0.9997,0.947,,-0.3358,0.997,0.9982,0.9963,,0.9858,-0.9643,-0.992,-0.9326,0.97,0.9392,1.0,0.9866,0.9437,-0.9335,0.0959,0.9312,-0.7823,-0.1632,0.995,-0.9143
FH_CU_nochange,,,,,,,,,,,,,,-0.9019,-0.5256,0.9986,0.9982,-0.97,0.9999,0.9993,0.999,0.8227,0.9999,0.9107,0.9941,0.9698,0.421,-0.9992,,-0.9376,-0.942,-0.6663,0.9983,0.9949,-0.8965,0.9993,-0.3453,-0.8767,-0.9503,0.9819,0.9108,0.9765,0.9955,0.9972,0.9951,,,-0.9652,0.9617,0.9987,0.9998,0.9987,0.9996,0.9782,0.9987,0.9967,0.9819,0.9576,0.9851,-0.9732,0.5548,0.923,0.9956,0.946,0.9999,0.9844,,-0.9949,-0.6315,0.924,-0.8808,0.9227,0.9118,-0.9486
FH_CU_scenario_high,,,,,,,,,,,,,,0.7916,0.9652,0.9947,0.9967,0.9999,0.9994,0.9998,0.9965,0.3321,0.9972,-0.9087,0.9898,0.9689,-0.6909,-0.9996,,-0.9499,-0.9511,-0.7952,0.9978,0.9952,-0.9812,0.9976,-0.3453,-0.8815,-0.9473,0.9676,0.9005,0.9264,0.9952,0.9883,0.9978,,,-0.9639,0.9847,0.9976,0.998,1.0,0.998,0.994,0.9983,0.9907,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9891,-0.9989,0.8089,-0.1229,-0.9137,0.9977,0.9865,0.9929,-0.4477,0.9981,0.9954,0.981,0.956,0.6257,-0.9929,,0.7825,-0.2548,0.975,0.9949,0.9959,-0.8598,0.9952,-0.4014,-0.844,-0.9428,0.9877,0.9234,0.9803,0.9952,0.9986,0.9939,,,-0.967,0.6919,0.9996,0.2678,0.9964,0.9993,-0.9597,0.9767,0.9988,0.988,0.9367,0.9927,0.5429,0.524,0.8785,0.993,0.8718,0.9981,0.9869,,0.8556,-0.5103,0.9347,-0.8847,0.7696,-0.1399,-0.9584
FH_CU_scenario_mid,,,,,,,,,,,,,,0.7744,-0.8076,0.9865,0.9882,0.9929,0.9943,0.9999,0.9968,-0.5454,0.9937,0.9265,0.9708,0.9616,-0.9135,-0.9991,,-0.9626,-0.9684,-0.8112,0.9959,0.9959,-0.9939,0.963,-0.3567,-0.8082,-0.9425,0.988,0.9422,0.975,0.9948,0.9899,0.9993,,,-0.9556,0.9229,0.999,0.9967,0.99,0.9968,0.9989,0.9981,0.9956,0.9972,0.9328,,0.444,0.9567,0.948,0.9955,0.5099,0.9995,0.9911,,-0.7583,-0.3244,0.9236,-0.8522,0.1773,0.9454,-0.9512
FH_CU_select,,,,,,0.866,0.9936,0.9721,0.9079,-0.8779,-0.9733,0.9659,0.9998,0.7744,-0.8076,0.9865,0.9882,0.9929,0.9999,0.9865,0.9929,-0.4477,0.9981,0.9954,0.981,0.9616,-0.9135,-0.9991,,-0.9626,-0.2548,-0.8112,0.9959,0.9959,-0.9939,0.963,-0.3567,-0.844,-0.9428,0.9877,0.9422,0.975,0.9948,0.9899,0.9993,,,-0.9556,0.9229,0.999,0.9967,0.99,0.9968,-0.9597,0.9767,0.9988,0.988,0.9367,0.9927,0.5429,0.524,0.8785,0.993,0.8718,0.9981,0.9869,,0.8556,-0.5103,0.9236,-0.8522,0.1773,0.996,-0.934
