,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9921,-0.9819,-0.9618,0.9985,0.9997,0.9951,0.9888,0.8899,0.5045,-0.1914,-0.9626,-0.957,-0.9263,-0.9911,0.998,0.9659,0.997,0.9939,0.8836,-0.954,0.9967,-0.9814,0.9858,-0.7241,-0.9763,-0.9974,-0.9947,0.9984,0.9881,0.9963,0.9952,0.998,0.9917,0.9992,0.8506,-0.8112,-0.9392,-0.99,-0.9968,0.9999,0.9999,0.9998,0.9976,0.9997,0.9996,0.9995,0.9988,-0.941,0.9991,-0.704,-0.1426,-0.9541,0.9643,0.9527,-0.935,-0.8708,0.5836,0.9817,0.9558
FH_CEID_Walk,,,,,,-0.0476,-0.7683,-0.9023,0.6152,0.9568,0.9573,0.9066,-0.9838,0.8829,0.9941,0.5514,0.966,0.9141,0.9508,0.9217,0.9882,-0.9877,0.8812,-0.9215,,0.958,-0.9738,-0.9908,0.1083,-0.9882,0.988,0.961,0.7721,-0.5582,-0.8351,-0.9007,0.7433,0.9893,-0.5936,-0.9273,-0.9323,0.9619,0.6545,0.9658,0.9437,,0.9954,0.9839,0.9901,-0.8441,0.5215,-0.8811,-0.9621,-0.9763,0.9522,0.9674,0.9622,0.9481,0.0674,0.944,0.9959,0.9656,0.9744,0.9498,0.5271,-0.3236,0.9272,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9949,0.9797,0.9908,0.0079,-0.8873,-0.9252,0.0067,-0.9748,-0.9225,0.9339,-0.7633,0.9929,-0.9521
FH_COVIDhub_ensemble,,,0.7013,0.0245,0.9764,0.287,-0.8937,-0.9744,-0.9765,0.9584,0.8461,0.9854,-0.9964,0.9364,0.9564,0.9172,0.9721,0.9371,0.9925,0.9929,0.9989,0.9924,0.9208,0.4627,0.0153,0.94,0.6708,0.8851,,0.9971,0.9985,0.9845,0.9997,0.8576,-0.9171,-0.9549,-0.9786,0.9959,-0.5525,-0.8181,-0.9745,0.9835,,0.9884,0.9995,,,,0.9989,0.9101,-0.8839,-0.9423,-0.9742,-0.9915,0.9875,0.9997,0.9791,0.947,0.9649,0.9775,0.9875,0.9949,0.9797,0.9908,0.0079,-0.8873,-0.9252,0.0067,-0.9748,-0.9225,0.9339,-0.7633,0.9929,-0.9521
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976,-0.8143,-0.9984,0.8945,-0.9047,,,,,,,,,0.9703,0.9996,,,,,0.9527,-0.8195,-0.918,,-0.9834,0.998,0.9993,0.9962,,0.9999,0.9999,0.9996,0.999,0.9861,0.9991,-0.6512,-0.6165,0.9385,0.9214,-0.9491,-0.927,0.9901,-0.7105,0.8073,-0.9572
FH_CU_nochange,,,,,,,,,,,,,,0.9994,0.9986,0.9993,0.9993,0.9999,1.0,0.9998,0.9974,-0.9608,0.8984,0.5169,0.2287,0.9369,-0.9952,-0.9995,,-0.9896,0.9994,0.9974,-0.9419,0.898,-0.9232,-0.9811,0.9809,0.969,-0.7559,0.9282,-0.9966,0.9934,1.0,0.9991,0.9999,,,0.9974,0.9968,0.9552,-0.8233,-0.8953,-0.9132,-0.9272,-0.9366,0.9976,0.9984,1.0,0.999,0.9933,0.999,-0.9979,-0.9913,-0.8141,-0.9264,0.1879,,0.8406,-0.9276,-0.9472,0.9936,-0.7432,-0.9009,-0.9458
FH_CU_scenario_high,,,,,,,,,,,,,,0.997,0.9998,0.993,0.9952,0.9968,0.999,0.9999,0.9926,-0.9694,0.8737,0.5531,0.2202,0.9331,-0.9966,-0.9999,,-0.9877,0.9989,0.997,-0.9543,0.97,-0.9038,-0.9801,0.9884,0.969,-0.7403,0.9924,-0.9999,0.9934,0.9999,0.999,0.9999,,,0.9976,0.9968,0.9571,-0.8169,-0.8967,-0.9154,-0.9201,-0.9319,0.9995,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9914,0.9196,0.9875,-0.9206,0.9878,0.9945,0.9887,0.9993,-0.9209,0.9288,0.4334,0.1937,0.9217,-0.9781,-0.9911,,-0.9986,0.9968,0.9936,-0.8187,0.8813,-0.9032,-0.9709,0.9954,0.9886,-0.6968,-0.6891,-0.8576,0.994,1.0,0.9993,0.9999,,,0.9973,0.9966,0.9582,-0.8259,-0.8976,-0.9194,-0.9317,-0.9441,0.9743,0.9949,0.9983,0.9909,0.9714,0.9986,-0.9896,-0.9924,-0.7128,-0.8332,0.2589,,0.9224,-0.9324,-0.9471,0.9929,-0.2115,-0.8778,-0.9513
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9885,0.9895,0.9793,0.9674,0.9925,0.9923,0.999,0.9984,0.8273,0.8915,0.5155,0.204,0.9232,-0.9918,-0.9994,,-0.9937,0.9981,0.9955,-0.9725,0.9878,-0.8943,-0.9726,0.9921,0.9736,-0.7673,-0.9799,-0.9851,0.9901,0.9995,0.9962,0.9983,,,0.999,0.9979,0.9653,-0.7985,-0.8868,-0.8994,-0.9183,-0.9266,0.9987,0.9929,0.9964,,0.9841,0.9913,-0.9796,-0.978,0.3684,-0.8552,0.1675,,0.8828,-0.7761,-0.9463,0.9941,-0.6316,-0.8266,-0.9518
FH_CU_select,,,,,,0.5543,0.9971,0.9999,0.9966,0.9942,0.9991,0.9998,0.9968,0.9885,0.9895,0.9793,0.9674,0.9925,0.9995,0.9887,0.9993,-0.9209,0.9288,0.4334,0.1937,0.9232,-0.9918,-0.9994,,-0.9937,0.9968,0.9955,-0.9725,0.9878,-0.8943,-0.9726,0.9921,0.9886,-0.6968,-0.6891,-0.9851,0.9901,0.9995,0.9962,0.9983,,,0.999,0.9979,0.9653,-0.7985,-0.8868,-0.8994,-0.9317,-0.9441,0.9743,0.9949,0.9983,0.9909,0.9714,0.9986,-0.9896,-0.9924,-0.7128,-0.8332,0.2589,,0.9224,-0.9324,-0.9463,0.9941,-0.6316,0.7822,-0.9516
