,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9996,0.9925,0.9992,-0.9988,0.9968,0.996,0.0363,0.8697,-0.8649,-0.9983,-0.9701,0.9141,0.9948,0.9995,0.9969,0.995,0.945,-0.9452,-0.9762,-0.9997,-0.9962,-0.8549,0.9243,0.9964,-0.9997,-0.9886,-0.9977,0.9944,0.9884,-0.0768,0.9981,0.9989,0.9998,0.9817,-0.9118,-0.946,-0.9989,0.9957,-0.407,0.9994,0.9999,0.9967,0.993,0.9777,0.9938,0.9623,0.8324,-0.3772,-0.6232,0.9985,0.9995,0.9527,-0.809,-0.9714,-0.9991,-0.9359,0.9954,0.9937,0.9884
FH_CEID_Walk,,,,,,0.9798,0.6457,-0.9315,-0.9628,0.9982,-0.9656,0.9525,0.7624,0.9394,-0.9147,-0.9622,0.9513,-0.9995,0.5248,0.9756,-0.9942,-0.3114,-0.9891,-0.939,,-0.985,0.6732,-0.9526,-0.8932,0.9496,0.7362,0.9938,0.7183,0.9294,-0.6217,0.9815,0.9129,-0.8322,-0.8163,-0.9637,0.9339,0.993,0.9641,-0.9943,-0.8873,,-0.983,-0.9546,0.9179,-0.9118,0.6527,0.86,0.7428,0.8956,0.9611,0.9671,0.9386,-0.9871,-0.9991,-0.995,0.0152,-0.4794,-0.9088,-0.9412,0.9908,0.9738,0.9495,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9423,0.7991,-0.8385,0.9925,0.9996,0.9713,-0.7948,-0.9568,-0.9991,-0.686,0.9677,0.9798,0.9792
FH_COVIDhub_ensemble,,,-0.9793,0.9845,0.9982,0.9721,0.9233,-0.9562,-0.973,0.429,-0.9892,0.9957,-0.9995,-0.9598,-0.944,-0.9588,0.9997,0.9919,0.9974,0.9998,0.941,-0.1808,-0.967,-0.5724,-0.9752,-0.989,0.8426,-0.9011,,0.9965,0.9963,0.9506,-0.9703,-0.9775,-0.9952,-0.9994,0.8907,-0.7521,-0.4176,-0.9453,0.9965,0.993,,0.9957,0.5081,,,,0.9919,-0.8865,-0.9574,-0.9922,-0.8925,0.6918,0.9901,0.9976,0.9934,0.9881,0.9978,0.9878,0.9597,0.9423,0.7991,-0.8385,0.9925,0.9996,0.9713,-0.7948,-0.9568,-0.9991,-0.686,0.9677,0.9798,0.9792
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9907,0.9912,0.9099,-0.9603,-0.9885,,,,,,,,,0.9983,0.1529,,,,,-0.8631,-0.8632,-0.9234,,0.9818,1.0,0.9973,0.9942,,0.9982,0.9941,0.6767,-0.856,-0.8946,-0.9729,0.9441,0.9999,0.9814,-0.7984,-0.9512,0.8771,0.5392,0.9914,0.9891,0.9834
FH_CU_nochange,,,,,,,,,,,,,,0.9987,0.9955,0.9999,0.9997,0.9972,0.9974,0.9987,0.9715,-0.1284,-0.9831,-0.8928,-0.9966,-0.9884,-0.9318,-0.9979,,-0.1825,-0.954,0.9598,-0.9212,-0.984,0.9984,0.9896,-0.743,0.9982,0.9976,0.9936,0.999,0.994,0.9983,0.992,0.9568,,,0.9976,0.9957,-0.8394,-0.8392,-0.9279,-0.934,-0.9922,-0.9294,1.0,0.9998,0.9999,0.9967,0.6577,-0.4822,0.9799,0.9994,0.9982,0.9998,0.9998,,0.8601,-0.897,0.9999,0.998,0.9999,0.9918,0.9896
FH_CU_scenario_high,,,,,,,,,,,,,,0.9967,1.0,0.9988,0.9997,0.9995,0.9984,0.9986,0.9622,-0.1366,0.9656,0.8239,-0.9957,-0.9902,-0.935,-0.9985,,-0.7352,-0.9641,0.9711,0.2142,-0.9803,0.9978,0.9891,-0.7396,0.9977,0.9981,0.9957,0.9985,0.9954,0.9984,0.9921,0.9534,,,0.994,0.9975,-0.6648,0.8337,-0.2311,-0.4398,0.8011,0.8193,0.9994,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9709,-0.9957,0.8566,0.934,0.9837,0.9999,0.9927,0.9964,-0.1785,-0.9685,-0.7529,-0.991,-0.9898,-0.8935,-0.9858,,0.9878,-0.9764,0.9543,-0.6995,-0.9699,0.9982,0.9949,-0.5087,0.7219,0.9971,0.9775,0.9991,0.9934,0.9982,0.9919,0.9598,,,0.9987,0.9902,-0.8795,-0.9395,-0.9687,-0.9734,-0.9991,-0.9908,0.999,0.9993,0.9965,0.963,-0.8056,-0.4833,0.9795,0.9991,0.9983,0.9711,0.9983,,0.9957,-0.7965,0.9999,0.9976,0.9998,0.962,0.9434
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9902,0.9948,0.9925,0.9965,0.9999,0.9995,0.9993,0.9797,-0.1711,0.9518,-0.5737,-0.9927,-0.9847,-0.9172,-0.9967,,-0.8232,-0.9791,0.9711,0.9901,-0.9692,0.9998,0.9893,0.9177,-0.9085,0.9896,0.9816,0.9965,0.9974,0.9985,0.9938,0.9199,,,0.995,0.9978,-0.8257,-0.8057,-0.9174,-0.9207,-0.9722,-0.716,0.9953,0.9978,0.9975,,0.9495,-0.4288,0.9761,0.9981,0.9988,0.9989,0.9982,,-0.4178,-0.9091,0.9924,0.9993,0.9945,0.9777,0.9733
FH_CU_select,,,,,,-0.8286,0.9733,0.9863,0.9818,0.9988,0.9996,0.9989,0.9997,0.9902,0.9948,0.9925,0.9965,0.9999,0.9982,0.9927,0.9964,-0.1785,-0.9685,-0.7529,-0.991,-0.9847,-0.9172,-0.9967,,-0.8232,-0.9764,0.9711,0.9901,-0.9692,0.9998,0.9893,0.9177,0.7219,0.9971,0.9775,0.9965,0.9974,0.9985,0.9938,0.9199,,,0.995,0.9978,-0.8257,-0.8057,-0.9174,-0.9207,-0.9991,-0.9908,0.999,0.9993,0.9965,0.963,-0.8056,-0.4833,0.9795,0.9991,0.9983,0.9711,0.9983,,0.9957,-0.7965,0.9924,0.9993,0.9945,0.9876,0.9764
