,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9849,0.996,0.9987,0.9999,-0.1017,-0.9235,0.4777,0.8778,0.9913,0.9965,0.987,0.8158,0.7788,0.9987,0.9996,0.9994,0.9998,0.9978,0.9993,0.9988,0.9983,0.9761,0.0729,-0.424,-0.9956,0.9081,-0.2087,0.938,0.9745,0.9808,0.9981,0.9986,0.9931,0.9989,0.5994,-0.9616,-0.968,-0.9982,-0.9904,0.9999,0.9999,0.9985,0.9899,0.8971,-0.9387,-0.9748,-0.5203,-0.1234,-0.9992,-0.9881,-0.9935,-0.9965,-0.9721,-0.9948,0.9962,0.97,0.6272,-0.6212,-0.9198
FH_CEID_Walk,,,,,,0.9567,0.9127,0.9828,-0.5283,-0.8787,-0.9009,0.9258,0.9597,0.8655,0.9425,0.9172,0.956,0.9144,0.9995,-0.321,-0.8305,0.5838,0.7549,0.7195,,0.9007,-0.994,-0.8322,0.9689,0.9787,0.9929,0.9571,0.9817,0.9707,-0.9863,0.6919,0.9617,-0.0418,-0.6319,-0.9985,0.9704,0.5442,0.9525,-0.9604,-0.9673,,0.9877,0.9707,0.9989,0.6008,0.8436,-0.7592,-0.8883,0.8634,0.9486,0.9851,0.9644,-0.9976,-0.9406,0.9899,-0.9494,-0.9878,-0.0492,0.9381,-0.9445,0.9433,0.9921,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9372,-0.1976,-0.9953,-0.9772,0.6851,-0.9956,-0.9959,0.9461,0.9877,0.971,0.4728,-0.4931,0.9834
FH_COVIDhub_ensemble,,,-0.9618,-0.9703,0.9924,0.9778,0.9989,0.9161,-0.8581,-0.9566,-0.9715,0.9816,0.9429,0.8372,0.8222,0.9192,0.9864,0.9956,0.9943,-0.4876,-0.9509,0.9589,0.995,0.9972,0.9952,0.967,0.9911,0.5039,,0.995,0.9973,0.9988,0.9916,0.9911,0.9978,0.999,0.9978,0.2102,-0.9144,-0.9992,0.9829,0.6217,,0.9978,0.9987,,,,0.9984,0.5784,-0.9583,-0.9749,-0.9685,-0.3075,0.9825,0.9743,0.9947,0.9859,0.9227,-0.9239,-0.8062,0.9372,-0.1976,-0.9953,-0.9772,0.6851,-0.9956,-0.9959,0.9461,0.9877,0.971,0.4728,-0.4931,0.9834
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237,0.924,-0.9996,0.9751,0.996,,,,,,,,,0.9729,0.8944,,,,,0.6218,-0.9374,-0.8795,,-0.9948,0.9997,0.998,0.9953,,0.9123,-0.9722,-0.9794,0.7951,-0.1576,-0.9839,-0.9793,0.9731,0.9424,-0.9378,0.9954,0.9874,0.987,0.8713,-0.4761,0.9915
FH_CU_nochange,,,,,,,,,,,,,,0.9999,1.0,0.9927,0.9984,0.9993,0.9882,-0.5195,-0.9187,0.9999,0.9999,0.9939,0.9959,0.9738,-0.9982,-0.9998,,0.9997,-0.5777,0.9987,0.9961,0.9963,0.4272,0.9944,0.9928,0.2332,-0.9245,-0.985,-0.9936,-0.4028,0.869,0.9479,0.975,,,0.9946,0.9906,0.6823,-0.8299,-0.9194,-0.9403,-0.9444,0.3635,0.9999,0.9992,0.996,0.9432,0.945,0.9973,0.9871,-0.2561,-0.9886,-0.9612,0.941,,-0.9793,-0.6379,0.9951,0.9671,0.9139,0.8568,0.9948
FH_CU_scenario_high,,,,,,,,,,,,,,0.9994,0.9988,0.9877,0.9981,0.9997,0.9745,-0.5003,-0.9469,0.9998,0.9985,0.3536,0.9939,0.9723,-0.9984,-0.9992,,0.9995,-0.8301,0.9973,0.9952,0.9954,-0.5324,0.9935,0.9924,0.2289,-0.9277,-0.9974,-0.9973,-0.4222,0.7287,0.89,0.96,,,0.9916,0.989,0.6949,-0.7459,-0.9102,-0.9317,-0.9174,0.8554,0.9982,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9926,0.9757,0.8896,-0.4682,-0.9229,0.9892,-0.3535,-0.916,0.9987,0.9983,0.9947,0.9871,0.9604,-0.998,-0.9966,,0.9982,0.9126,0.9965,0.9905,0.9924,0.8643,0.9876,0.9985,0.2793,-0.9033,-0.9676,-0.9917,-0.3893,0.9032,0.9626,0.9813,,,0.996,0.9911,0.6735,-0.8566,-0.9257,-0.9437,-0.952,-0.5244,0.9987,0.9999,0.9996,0.9914,0.9597,0.9974,0.9876,-0.2508,-0.9877,-0.9239,0.9743,,-0.9028,0.9903,0.9972,0.9547,0.9283,0.8711,0.9944
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9961,0.9923,0.974,0.992,0.9995,0.9876,-0.5216,-0.9518,0.9985,0.9965,0.9767,0.9879,0.9669,-1.0,-0.9999,,0.9986,-0.8252,0.994,0.9926,0.9939,-0.7576,0.984,0.9982,0.2679,-0.8889,-0.7963,-0.998,-0.4561,0.8628,0.9317,0.9628,,,0.9904,0.9867,0.707,-0.8124,-0.9059,-0.9266,-0.9234,-0.3747,0.998,0.9991,0.9992,,0.9447,0.9988,0.9885,-0.2125,-0.99,-0.9569,0.9519,,-0.9698,0.9081,0.9915,0.9746,0.8863,0.9383,0.9936
FH_CU_select,,,,,,0.9844,0.7803,0.9693,0.9892,0.3302,-0.9614,0.3761,-0.3577,0.9961,0.9923,0.974,0.992,0.9995,0.9774,-0.3535,-0.916,0.9987,0.9983,0.9947,0.9871,0.9669,-1.0,-0.9999,,0.9986,0.9126,0.994,0.9926,0.9939,-0.7576,0.984,0.9982,0.2793,-0.9033,-0.9676,-0.998,-0.4561,0.8628,0.9317,0.9628,,,0.9904,0.9867,0.707,-0.8124,-0.9059,-0.9266,-0.952,-0.5244,0.9987,0.9999,0.9996,0.9914,0.9597,0.9974,0.9876,-0.2508,-0.9877,-0.9239,0.9743,,-0.9028,0.9903,0.9915,0.9746,0.8863,-0.5386,0.9952
