,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.997,0.9955,0.9914,0.9954,-0.9802,1.0,0.9992,0.9963,0.984,0.9958,0.5985,-0.9579,-0.9956,-0.9908,0.9696,0.996,0.9947,0.9989,0.9996,0.995,0.9957,-0.5802,0.9301,0.9876,0.2358,-0.4475,-0.8592,0.7981,0.9587,0.9864,0.9875,0.9937,0.9937,0.9999,-0.6664,-0.9728,-0.7161,-0.9558,-0.8549,0.9897,0.9945,0.9955,0.9942,0.9945,0.9239,-0.8117,-0.9237,0.9762,-0.98,0.9994,0.9976,0.9996,0.9996,0.9997,0.3684,-0.9574,-0.955,0.9889,0.9834
FH_CEID_Walk,,,,,,0.8111,0.881,0.8536,-0.9778,-0.668,-0.9029,0.996,0.9267,-0.9966,0.9473,0.7099,0.8331,0.9444,0.9999,0.9498,0.9606,0.8519,0.9685,-0.7785,,-0.6359,-0.8651,-0.9363,0.8075,0.9538,0.9934,0.8646,0.9741,0.9947,0.9856,0.9977,-0.4142,0.974,-0.9106,0.9415,-0.8528,-0.9595,0.9748,-0.1841,0.9841,,0.9572,0.9863,0.2004,-0.384,-0.8871,-0.9688,-0.9287,0.8438,0.9576,0.9572,-0.9653,-0.201,0.6759,-0.9958,0.7286,-0.7225,0.9414,-0.8875,0.9781,0.7731,0.9859,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5505,0.9971,0.8957,0.9985,0.9979,0.9995,0.9992,0.9991,0.3855,-0.9578,-0.9747,0.944,-0.973
FH_COVIDhub_ensemble,,,-0.9534,0.8771,0.9512,0.8629,0.9477,0.9995,0.9761,-0.7464,-0.965,0.5191,0.9438,-0.9911,0.8858,0.6586,0.9815,0.9789,0.9975,0.9875,0.9977,0.9976,0.9844,0.979,0.9998,-0.9135,-0.8441,-0.9552,,0.9727,0.9993,0.9989,0.9984,0.9996,0.9939,0.9977,-0.5731,-0.9169,-0.9746,-0.9856,-0.9552,-0.9985,,0.9973,0.9965,,,,0.9972,-0.732,-0.9364,-0.9679,-0.9803,0.9336,0.9895,0.988,0.9749,1.0,0.9937,0.9592,-0.6245,0.5505,0.9971,0.8957,0.9985,0.9979,0.9995,0.9992,0.9991,0.3855,-0.9578,-0.9747,0.944,-0.973
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9877,0.9644,-0.9224,0.9986,1.0,,,,,,,,,0.9986,0.9922,,,,,-0.663,-0.8962,-0.9265,,0.9979,0.9988,0.9983,0.994,,0.9979,0.9672,-0.6131,-0.74,0.9999,-0.8787,0.9986,0.996,0.9997,0.9996,0.999,0.4316,-0.9471,-0.8533,0.9981,-0.8619
FH_CU_nochange,,,,,,,,,,,,,,0.9902,0.9998,0.9984,-0.9935,0.9981,0.9992,0.9926,1.0,0.9989,0.9976,0.9862,-0.9782,-0.6592,-0.9794,-0.9737,,-0.4055,0.9958,-0.9945,1.0,0.9995,0.442,0.9953,-0.6154,0.9952,-0.9889,-0.7936,0.8969,-1.0,0.9826,0.9863,0.8923,,,0.9919,0.9999,-0.5282,-0.8183,-0.1351,0.9707,0.9695,0.9977,0.9997,0.9992,0.9983,0.9994,0.8922,-0.6507,0.9766,0.9995,0.9785,0.9997,0.9995,,0.9992,0.9999,0.371,-0.9389,0.9967,0.884,-0.9738
FH_CU_scenario_high,,,,,,,,,,,,,,0.9949,0.9994,0.9951,0.9782,0.9949,0.9987,0.9991,0.9988,0.9974,-0.9957,0.9923,-0.9767,-0.7317,-0.9829,-0.9825,,-0.811,0.9953,-0.9934,0.9999,0.9995,-0.412,0.9961,-0.6154,0.9964,-0.992,-0.7814,0.5775,-0.9997,0.9485,0.9761,0.1089,,,0.98,1.0,-0.4263,-0.6851,0.7736,0.984,0.9838,0.9959,0.9984,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9956,0.9925,-0.9461,-0.9998,0.6349,0.9984,0.9639,0.9965,0.9989,0.99,0.9665,-0.9593,-0.7005,-0.9509,-0.9555,,0.9291,0.991,-0.9998,0.9991,0.9981,0.907,0.9982,-0.5813,0.9934,-0.9863,-0.8043,0.9346,-0.9998,0.9917,0.9901,0.9591,,,0.9952,0.9999,-0.5759,-0.8678,-0.7429,0.9356,0.9307,0.9987,0.9999,1.0,0.9998,0.9997,0.9217,-0.6366,0.9738,0.9994,0.9733,0.9994,0.9993,,0.9998,0.9997,0.4063,-0.8876,0.9978,-0.7158,-0.9679
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9991,0.9942,0.9865,-0.9167,0.987,0.9932,0.999,0.9999,0.9984,0.997,0.9872,-0.9456,-0.7964,-0.9734,-0.9843,,-0.8185,0.992,-0.9974,0.9994,0.9988,-0.6933,0.9981,-0.5884,0.9992,-0.8996,-0.8253,0.8985,-0.9965,0.98,0.9813,0.9679,,,0.9914,0.9999,-0.5634,-0.8534,-0.8031,0.314,0.627,0.9989,0.9947,0.9975,0.9986,,0.9367,-0.6862,0.9758,0.9983,0.9249,0.998,0.9975,,0.9997,0.9981,0.4168,-0.9282,0.9989,0.9769,-0.9554
FH_CU_select,,,,,,0.8852,0.2668,-0.9844,-0.9851,0.808,-0.9588,-0.9057,-0.7906,0.9991,0.9942,0.9865,-0.9167,0.987,0.9999,0.9639,0.9965,0.9989,0.99,0.9665,-0.9593,-0.7964,-0.9734,-0.9843,,-0.8185,0.991,-0.9974,0.9994,0.9988,-0.6933,0.9981,-0.5884,0.9934,-0.9863,-0.8043,0.8985,-0.9965,0.98,0.9813,0.9679,,,0.9914,0.9999,-0.5634,-0.8534,-0.8031,0.314,0.9307,0.9987,0.9999,1.0,0.9998,0.9997,0.9217,-0.6366,0.9738,0.9994,0.9733,0.9994,0.9993,,0.9998,0.9997,0.4168,-0.9282,0.9989,0.999,-0.9411
FH_Covid19Sim_Simulator,-0.7332,-0.7593,0.9385,0.4336,0.9446,,,0.8959,0.9581,-0.7569,-0.9765,-0.9999,0.9974,0.8235,0.5762,-0.9938,-0.9904,0.562,-0.9991,,0.9801,-0.9965,0.992,0.9863,0.9638,-0.5705,-0.8848,-0.9624,,0.9963,0.9999,0.998,0.9999,0.9986,0.989,0.9892,-0.6309,0.9253,0.9677,0.7775,0.9728,0.9997,-0.9995,-0.9996,0.9993,0.9971,0.999,0.9997,0.9996,0.8814,-0.942,-0.9811,-0.9917,,,,0.9926,0.9905,,0.9047,,,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,0.7171,-0.9418,-0.9989,-0.9974,-0.9885,-0.5579,0.5975,-0.8488,-0.685,-0.7646,-0.0241,0.4325,-0.6418,-0.9956,-0.9952,-0.9485,-0.9551,-0.9582,-0.9583,-0.9609,0.9558,0.9983,0.9618,0.9926,0.9922,0.7331,-0.8327,0.9994,,0.9987,1.0,0.9995,0.9999,0.9994,0.9991,0.9964,-0.5784,-0.9725,-0.9899,-0.8831,0.9216,0.9564,0.985,0.9992,0.9956,,0.9988,0.9988,0.9982,-0.6707,-0.9337,-0.9488,-0.9553,-0.948,-0.9656,-0.9538,0.9992,-0.8028,-0.975,-0.9587,0.9478,0.9618,0.9828,0.9972,0.9997,0.9999,0.9998,0.999,0.9998,0.354,-0.9509,-0.9456,-0.9931,-0.9015
