,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9339,-0.9718,0.7786,-0.8287,0.9787,0.9996,0.9954,0.9999,0.3315,0.998,0.9775,0.0809,0.1775,0.9987,0.9995,0.9539,0.4258,-0.9195,-0.958,-0.9646,0.8841,-0.9999,-0.9952,-0.7816,-0.9643,-0.9784,-0.9757,0.9996,0.9927,0.9926,0.994,0.9974,0.997,0.9959,0.9176,0.0418,0.9678,-0.8027,0.9919,0.9993,0.9991,0.9995,0.9999,0.9995,0.9985,1.0,0.9997,0.9938,0.8691,-0.8682,-0.997,0.9346,0.0425,0.9816,0.9984,0.988,0.9967,-0.9788,-0.9944
FH_CEID_Walk,,,,,,0.9547,-0.99,0.9522,0.9257,0.8072,-0.789,0.9441,0.943,0.9848,0.8891,0.943,0.9959,-0.6644,-0.9178,-0.8852,0.919,0.9835,0.9767,0.7243,,0.99,0.8629,-0.9746,0.9958,0.9866,0.883,0.4448,-0.5493,0.9284,-0.8967,0.9243,-0.8878,0.9837,0.9603,-0.799,-0.9694,0.9202,0.8688,-0.5932,0.8691,,0.8891,0.9514,0.9977,0.997,-0.1761,-0.8283,-0.9802,0.9478,0.9547,0.9453,0.95,0.8973,-0.9896,-0.9639,-0.008,0.8188,-0.4239,0.946,-0.8612,-0.9551,0.9924,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9928,0.9497,0.9799,0.888,-0.9174,0.9766,0.999,0.9795,0.9955,0.9841,0.9742,0.9857,0.9871
FH_COVIDhub_ensemble,,,0.9907,0.9527,-0.6901,0.9752,0.98,0.9873,0.8861,0.3896,-0.9908,0.6937,-0.7323,-0.9986,0.858,0.9434,0.9932,-0.7026,-0.9637,-0.8188,0.9978,0.9954,0.9987,0.9954,0.9963,0.967,0.996,-0.9637,,0.9991,0.9648,0.4104,-0.9291,-0.0363,-0.9441,-0.9968,-0.9991,0.4549,0.9495,-0.948,-0.7248,0.9283,,0.9999,0.9936,,,,0.9998,0.9969,-0.4314,-0.9628,-0.9806,0.9954,0.9833,0.9484,0.9212,0.9981,0.9911,0.9988,0.9952,0.9928,0.9497,0.9799,0.888,-0.9174,0.9766,0.999,0.9795,0.9955,0.9841,0.9742,0.9857,0.9871
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8865,-0.359,0.9503,0.9857,-0.8116,,,,,,,,,0.9876,0.9987,,,,,0.9975,-0.3215,-0.9232,,0.9859,0.9974,0.9999,0.9985,,0.998,0.9998,0.9997,0.9991,0.962,0.9945,0.9695,-0.9371,0.9761,0.9997,0.9796,0.9942,0.9898,0.9873,0.9904,0.9906
FH_CU_nochange,,,,,,,,,,,,,,-0.9848,-0.9754,0.9926,-0.9456,0.8267,0.9846,0.9949,0.9992,0.993,0.9979,0.997,0.999,0.9823,0.9387,-0.85,,0.9992,0.9799,0.4191,-0.9004,-0.9616,0.9993,-0.9658,-0.9855,-0.995,-0.9499,0.8985,0.9869,0.9713,0.979,0.9791,0.9809,,,0.9874,0.9943,0.9981,-0.3514,-0.9155,-0.9307,-0.9271,-0.9275,0.9997,0.9994,0.9994,1.0,0.9995,0.9847,-0.9773,-0.9438,-0.7789,0.986,0.9551,,0.9996,0.9867,0.991,0.9912,0.9947,0.9962,0.9737
FH_CU_scenario_high,,,,,,,,,,,,,,-0.9074,0.696,0.9965,0.8362,0.7692,0.9496,0.9985,0.9992,0.9923,0.9969,0.9959,0.9989,0.9821,0.861,-0.9125,,0.9988,0.9813,0.4214,-0.8975,-0.9581,0.9993,-0.9657,-0.985,-0.9953,-0.9492,0.9317,-0.5077,0.9565,0.9678,0.9678,0.9711,,,0.9839,0.9911,0.9972,-0.3387,-0.914,-0.9227,-0.9096,-0.9309,0.9983,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9984,-0.9999,-0.9917,-0.9459,0.9426,-0.9437,0.9908,0.9953,0.9862,0.9951,0.9916,0.9973,0.9788,0.9638,0.7741,,0.9982,0.989,0.4307,-0.8821,-0.9384,0.9981,-0.9514,-0.9755,-0.9892,-0.9616,0.8352,0.995,0.9779,0.9827,0.9835,0.985,,,0.9894,0.9963,0.998,-0.3586,-0.9256,-0.9356,-0.9372,-0.9386,0.9999,0.9979,0.9999,0.9996,0.9939,0.983,-0.9859,-0.9383,-0.7776,0.985,0.9445,,0.9997,0.9844,0.9917,0.9911,0.9967,0.9919,0.9812
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.9255,-0.8583,0.9932,0.6483,-0.8416,0.9194,0.9992,0.9967,0.9893,0.9953,0.9934,0.9984,0.9808,0.8875,-0.9321,,0.9983,0.9853,0.4264,-0.8923,-0.9486,0.9993,-0.9582,-0.9803,-0.9918,-0.9588,0.6797,0.9729,0.9605,0.9664,0.9659,0.9737,,,0.9804,0.991,0.9975,-0.3322,-0.9133,-0.9115,-0.9144,-0.926,0.999,0.9918,0.9977,,0.9958,0.98,-0.6774,-0.7858,-0.7361,0.9946,0.6495,,0.9996,0.9766,0.9868,0.9821,0.9963,0.9928,0.9822
FH_CU_select,,,,,,-0.9291,0.9593,0.9994,0.9967,0.9987,-0.8766,-0.5412,-0.7259,-0.9255,-0.8583,0.9932,0.6483,-0.8416,0.65,0.9908,0.9953,0.9862,0.9951,0.9916,0.9973,0.9808,0.8875,-0.9321,,0.9983,0.989,0.4264,-0.8923,-0.9486,0.9993,-0.9582,-0.9803,-0.9892,-0.9616,0.8352,0.9729,0.9605,0.9664,0.9659,0.9737,,,0.9804,0.991,0.9975,-0.3322,-0.9133,-0.9115,-0.9372,-0.9386,0.9999,0.9979,0.9999,0.9996,0.9939,0.983,-0.9859,-0.9383,-0.7776,0.985,0.9445,,0.9997,0.9844,0.9868,0.9821,0.9963,0.9929,0.9823
