,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.7619,0.9841,0.9028,0.9892,-0.8596,-0.9181,-0.9819,0.6781,0.833,0.9583,0.4396,0.9501,1.0,0.4633,-0.9263,-0.8614,1.0,-0.258,-0.9478,-0.5992,1.0,0.9487,0.9845,0.1499,-0.9652,1.0,-0.9382,-0.9263,-0.9939,0.7611,0.9336,0.9617,0.9951,0.1492,1.0,1.0,1.0,1.0,1.0,-0.9199,-0.9904,-0.947,-0.3751,0.9767,0.8184,0.9914,0.8679,0.8878,-0.6047,-0.7211,-0.9098,-0.9027,-0.9211,-0.8745,-0.909,-0.9048,-0.9599,-0.9538,-0.9937
FH_CEID_Walk,,,,,,0.9188,-0.1385,0.9795,-0.8767,-0.8677,-0.3589,0.9313,-0.3179,0.7691,0.8882,-0.6609,0.9682,-0.9573,0.9801,0.8543,-0.9792,-0.9819,-0.6781,0.8957,,-0.6158,0.9501,-0.8344,0.2771,-0.9416,-0.346,-0.1241,-0.0151,0.5736,-0.5992,1.0,0.1702,0.9922,0.2471,-0.9652,0.8464,-0.2164,1.0,0.8143,0.7896,,-0.9751,0.9917,0.1492,1.0,1.0,1.0,1.0,1.0,-0.9199,-0.9904,-0.947,-0.3751,0.9767,0.8184,0.9914,0.8512,0.8747,0.6047,-0.7755,0.858,-0.2926,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8679,0.8878,0.6047,-0.7575,-0.8108,-0.734,0.9933,-0.7669,0.9116,0.9632,-0.9743,0.9735,-0.9878
FH_COVIDhub_ensemble,,,1.0,0.8806,0.0498,0.9691,-0.1729,-0.95,-0.913,-0.6298,-0.4864,0.9436,-0.7906,0.8271,0.9172,-0.5535,0.9841,-0.8555,0.995,0.8543,-0.9181,-0.9197,-0.6781,0.0185,0.9583,0.7652,0.9451,-0.9553,,-0.9263,-0.8614,0.8963,1.0,0.9347,-0.5992,-0.6745,-0.9487,0.0754,0.1499,-0.9652,0.9324,1.0,,0.9939,0.7611,,,,-0.0625,1.0,1.0,1.0,1.0,1.0,-0.9199,-0.9904,-0.947,-0.3751,0.9767,0.8184,0.9914,0.8679,0.8878,0.6047,-0.7575,-0.8108,-0.734,0.9933,-0.7669,0.9116,0.9632,-0.9743,0.9735,-0.9878
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9664,0.6568,0.4511,0.5932,0.6275,,,,,,,,,0.9699,0.7611,,,,,-0.9278,1.0,1.0,,1.0,-0.9199,-0.9904,-0.947,,0.9767,0.8184,0.9914,0.9548,0.8605,0.6986,-0.7211,-0.9671,-0.9614,0.9809,-0.8745,0.9506,0.985,-0.9676,0.9942,-0.9946
FH_CU_nochange,,,,,,,,,,,,,,-0.8271,0.9172,0.7619,0.9841,0.9028,0.9892,-0.8596,-0.9181,-0.9819,0.6781,0.833,0.9583,0.4396,0.9501,1.0,,-0.9263,-0.8614,1.0,-0.258,-0.9478,-0.5992,1.0,0.9487,0.9845,0.1499,-0.9652,1.0,-0.9382,-0.9263,-0.9939,0.7611,,,0.9951,0.1492,1.0,1.0,1.0,1.0,1.0,-0.9199,-0.9904,-0.947,-0.3751,0.9767,0.8184,0.9914,0.8679,0.8878,-0.6047,-0.7211,-0.9098,,-0.9211,-0.8745,-0.909,-0.9048,-0.9599,-0.9538,-0.9937
FH_CU_scenario_high,,,,,,,,,,,,,,-0.8271,0.9172,0.7619,0.9841,0.9028,0.9892,-0.8596,-0.9181,-0.9819,0.6781,0.833,0.9583,0.4396,0.9501,1.0,,-0.9263,-0.8614,1.0,-0.258,-0.9478,-0.5992,1.0,0.9487,0.9845,0.1499,-0.9652,1.0,-0.9382,-0.9263,-0.9939,0.7611,,,0.9951,0.1492,1.0,1.0,1.0,1.0,1.0,-0.9199,-0.9904,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.8271,0.9172,0.7619,0.9841,0.9028,0.9892,-0.8596,-0.9181,-0.9819,0.6781,0.833,0.9583,0.4396,0.9501,1.0,,-0.9263,-0.8614,1.0,-0.258,-0.9478,-0.5992,1.0,0.9487,0.9845,0.1499,-0.9652,1.0,-0.9382,-0.9263,-0.9939,0.7611,,,0.9951,0.1492,1.0,1.0,1.0,1.0,1.0,-0.9199,-0.9904,-0.947,-0.3751,0.9767,0.8184,0.9914,0.8679,0.8878,-0.6047,-0.7211,-0.9098,,-0.9211,-0.8745,-0.909,-0.9048,-0.9599,-0.9538,-0.9937
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.8271,0.9172,0.7619,0.9841,0.9028,0.9892,-0.8596,-0.9181,-0.9819,0.6781,0.833,0.9583,0.4396,0.9501,1.0,,-0.9263,-0.8614,1.0,-0.258,-0.9478,-0.5992,1.0,0.9487,0.9845,0.1499,-0.9652,1.0,-0.9382,-0.9263,-0.9939,0.7611,,,0.9951,0.1492,1.0,1.0,1.0,1.0,1.0,-0.9199,-0.9904,-0.947,-0.3751,,0.8184,0.9914,0.8679,0.8878,-0.6047,-0.7211,-0.9098,,-0.9211,-0.8745,-0.909,-0.9048,-0.9599,-0.9538,-0.9937
FH_CU_select,,,,,,0.9198,-0.1729,-0.95,-0.8767,-0.8677,-0.4864,-0.9436,-0.7906,-0.8271,0.9172,0.7619,0.9841,0.9028,0.9892,-0.8596,-0.9181,-0.9819,0.6781,0.833,0.9583,0.4396,0.9501,1.0,,-0.9263,-0.8614,1.0,-0.258,-0.9478,-0.5992,1.0,0.9487,0.9845,0.1499,-0.9652,1.0,-0.9382,-0.9263,-0.9939,0.7611,,,0.9951,0.1492,1.0,1.0,1.0,1.0,1.0,-0.9199,-0.9904,-0.947,-0.3751,0.9767,0.8184,0.9914,0.8679,0.8878,-0.6047,-0.7211,-0.9098,,-0.9211,-0.8745,-0.909,-0.9048,-0.9599,-0.9538,-0.9937
