,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9575,0.9999,0.9988,0.9959,0.9988,0.9914,-0.7177,-0.9791,-0.6697,0.9925,0.7863,-0.9004,-0.9677,0.7563,0.9904,0.9966,0.9978,-0.751,0.9995,-0.9846,0.8451,0.9877,-0.9962,0.3896,-0.9326,-0.8589,-0.9975,0.9889,0.9985,0.9952,0.9962,0.9995,0.9994,0.9976,-0.0199,0.9861,0.9887,0.9965,0.9976,1.0,0.9998,1.0,1.0,0.9999,0.9964,0.9921,-0.0738,-0.9886,-0.9884,0.9998,1.0,0.9814,-0.6123,-0.9875,-0.992,-0.999,0.9882,0.9985,0.9844
FH_CEID_Walk,,,,,,0.9452,-0.7531,0.4182,-0.9753,0.152,-0.918,0.9895,-0.9263,0.9654,0.8637,0.9365,0.9286,0.9732,0.9463,0.91,0.9859,-0.5365,0.9857,0.7152,,0.6243,-0.9696,-0.8581,0.9818,0.9932,0.9591,0.9701,0.9917,0.9802,0.937,-0.8148,-0.995,-0.9975,0.5028,-0.8849,-0.9675,0.9199,0.9634,0.963,0.9775,,0.9646,0.9693,-0.9859,0.952,-0.9148,0.8141,-0.9941,0.931,0.9663,0.944,0.8944,-0.9961,-0.9498,-0.9987,-0.9971,0.0149,0.8511,-0.9572,0.9729,-0.3212,0.9944,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0787,-0.6615,-0.9121,0.9902,1.0,0.9869,-0.6841,-0.989,-0.9909,-0.9974,0.8978,0.9676,-0.9865
FH_COVIDhub_ensemble,,,-0.9222,0.9997,0.9928,0.8554,-0.976,0.8196,-0.9959,0.5804,-0.9273,-0.9925,-0.9857,0.6671,0.8842,0.9829,0.9657,0.9777,0.9883,0.997,0.9904,-0.6538,-0.9733,-0.9745,0.9944,0.9507,0.9901,-0.7807,,0.9902,0.9975,0.9987,0.9996,0.999,0.9722,-0.8426,-0.9804,-0.9844,0.9364,-0.8757,-0.9556,0.9712,,0.9973,0.9934,,,,0.999,0.8149,-0.9049,-0.9743,-0.9779,0.6531,0.9952,0.9863,0.978,0.995,0.9939,0.9998,0.999,0.0787,-0.6615,-0.9121,0.9902,1.0,0.9869,-0.6841,-0.989,-0.9909,-0.9974,0.8978,0.9676,-0.9865
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8685,-0.6897,-0.9963,0.9891,0.9858,,,,,,,,,0.9973,0.9875,,,,,0.8489,-0.8806,-0.8143,,0.8976,0.9976,0.9986,0.9999,,0.9993,0.9986,0.9981,0.0362,-0.8184,0.1111,0.9936,0.9975,0.9904,-0.6761,-0.9868,-0.9873,-0.9684,0.9588,0.9825,-0.9944
FH_CU_nochange,,,,,,,,,,,,,,0.9991,0.9972,0.9986,0.9986,0.9998,0.9982,0.9991,0.6143,-0.6189,0.9866,-0.1938,0.9995,0.9738,-0.9991,-0.9991,,0.9745,0.9379,0.9975,0.9995,0.9978,0.3755,-0.7768,-0.9967,-0.9983,-0.4486,-0.9887,-0.9374,0.9998,0.9988,0.9973,0.9948,,,0.9995,0.9987,0.8503,-0.8699,0.5223,-0.9457,-0.9326,0.9936,1.0,0.9999,0.9997,0.9999,0.9984,0.994,0.0968,-0.222,0.9906,0.9981,0.9993,,-0.6642,-0.9874,-0.9836,0.9991,0.9958,0.9878,-0.6847
FH_CU_scenario_high,,,,,,,,,,,,,,0.9972,0.9929,0.9955,0.9971,1.0,0.9969,0.9992,0.9611,-0.6819,0.991,-0.986,0.9989,0.9706,-0.9996,-0.9998,,0.9546,0.82,0.9957,0.9992,0.998,-0.5694,-0.7376,-0.9974,-0.9983,-0.6617,-0.9741,-0.9967,0.9908,0.9976,0.9924,0.9872,,,0.9983,0.999,0.8691,-0.821,0.9312,-0.91,-0.8527,0.9932,0.9996,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9755,0.909,0.8553,0.5266,0.924,0.9924,0.9917,-0.365,-0.6282,0.9923,-0.9868,0.9966,0.9587,-0.9896,-0.9872,,0.9855,0.952,0.996,0.9972,0.9997,0.957,-0.7686,-0.9904,-0.9974,-0.0365,-0.9652,0.2561,0.9998,0.9992,0.9986,0.997,,,0.9997,0.9982,0.8424,-0.8882,-0.6007,-0.9557,-0.9561,0.994,0.999,0.9988,0.9982,0.9976,0.9999,0.9941,0.0785,-0.6474,0.9887,0.9958,0.9999,,-0.6373,-0.9871,-0.9649,0.9965,0.9976,0.9653,-0.7308
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9895,0.9819,0.986,0.9884,0.9977,0.9904,0.9994,0.351,-0.718,0.9854,-0.9971,0.9969,0.9624,-0.9969,-0.9988,,0.9662,0.468,0.9926,0.998,0.999,-0.691,-0.6039,-0.982,-0.9838,0.002,-0.9852,-0.9379,0.9985,0.9961,0.9919,0.9871,,,0.9971,0.9996,0.8676,-0.8652,-0.7522,-0.9323,-0.9214,0.9959,0.993,0.9926,0.9919,,0.9988,0.9991,0.0958,-0.807,0.9692,0.9971,0.9998,,-0.6155,-0.9808,-0.9698,0.9985,0.9858,0.9806,0.8844
FH_CU_select,,,,,,-0.7446,0.9944,0.7011,-0.9778,0.8187,-0.9518,-0.8394,-0.9013,0.9895,0.9819,0.986,0.9884,0.9977,0.9981,0.9917,-0.365,-0.6282,0.9923,-0.9868,0.9966,0.9624,-0.9969,-0.9988,,0.9662,0.952,0.9926,0.998,0.999,-0.691,-0.6039,-0.982,-0.9974,-0.0365,-0.9652,-0.9379,0.9985,0.9961,0.9919,0.9871,,,0.9971,0.9996,0.8676,-0.8652,-0.7522,-0.9323,-0.9561,0.994,0.999,0.9988,0.9982,0.9976,0.9999,0.9941,0.0785,-0.6474,0.9887,0.9958,0.9999,,-0.6373,-0.9871,-0.9698,0.9985,0.9858,0.9932,0.9211
