,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9904,0.9962,0.9998,0.9992,0.9966,0.9446,0.9262,0.9806,0.9481,0.911,-0.9047,-0.9553,-1.0,-0.964,0.9876,0.997,0.9987,0.999,0.9999,0.9994,0.9997,0.9985,-0.9834,-0.8371,0.9589,-0.7774,-0.9992,0.9953,0.9843,0.9884,0.9979,-0.5328,-0.9255,-0.9566,-0.8891,0.9959,0.9947,0.9938,0.9999,0.9949,0.9975,0.9967,0.9952,0.9997,-0.5819,0.9958,0.878,0.9873,0.9938,0.9995,0.9901,0.996,0.9941,0.9979,-0.4635,-0.9689,-0.9582,-0.9819,0.9987
FH_CEID_Walk,,,,,,0.8361,-0.9049,-0.8231,-0.9798,0.9392,-0.9337,0.9122,0.9835,-0.9095,0.915,-0.9011,0.9207,-0.9498,0.9891,0.9631,0.9946,0.7002,-0.977,-0.8633,,0.8423,-0.9073,-0.8762,-0.9548,0.9102,0.9381,0.9746,0.9693,-0.9972,0.9712,0.7647,0.2224,0.979,-0.9182,0.9828,-0.9577,0.9687,0.9624,0.4827,0.9645,,-0.4536,-0.9515,-0.9092,-0.5608,0.898,0.8841,0.947,0.9227,-0.8916,-0.4813,-0.9947,-0.9807,0.8498,-0.765,-0.9038,-0.9716,0.9813,0.4416,0.9765,0.9205,0.959,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9731,0.9998,0.9975,0.9988,0.9948,0.9931,0.9698,0.9989,-0.5132,-0.978,-0.9884,0.9699,-0.973
FH_COVIDhub_ensemble,,,0.891,-0.9677,0.9619,0.7168,-0.9489,-0.9947,-0.9972,-0.9566,-0.9979,0.9597,-0.9754,-0.908,0.8527,-0.9149,0.9641,-0.9725,0.9977,0.9996,0.9484,0.8692,0.9809,-0.6878,0.9364,0.7938,-0.7396,-0.8796,,0.987,0.9968,0.9999,0.9992,0.999,0.9994,0.9995,0.9982,0.9987,0.9948,0.9804,-0.9454,0.9726,,0.9992,0.9934,,,,-0.9784,-0.9902,0.0787,0.4304,-0.9653,0.9149,0.9848,0.8888,0.9824,0.9795,0.9821,-0.6645,0.0706,0.9731,0.9998,0.9975,0.9988,0.9948,0.9931,0.9698,0.9989,-0.5132,-0.978,-0.9884,0.9699,-0.973
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9682,0.9546,-0.9963,0.9987,0.994,,,,,,,,,0.9531,0.9844,,,,,-0.9898,-0.0827,0.4233,,0.9842,0.9994,0.9967,0.996,,0.9546,-0.4967,-0.6708,0.9658,0.9963,0.9989,1.0,0.9936,0.9919,0.9325,0.9984,-0.4953,-0.9787,-0.99,0.9897,-0.9729
FH_CU_nochange,,,,,,,,,,,,,,0.9955,0.9898,0.9926,-0.9991,-0.9956,0.9992,0.994,0.9633,0.7897,-0.9884,-0.9836,-0.9471,0.8888,-0.9939,-0.9992,,0.9666,0.9355,0.8159,0.9997,0.9988,0.6334,0.9805,0.9947,0.9962,0.9463,-0.8773,0.9917,-0.9998,0.9376,0.9977,0.9975,,,-0.9653,-0.9594,-0.9638,-0.8132,0.1956,0.3882,0.7731,0.9557,0.9961,0.9977,0.9994,0.9955,0.9649,0.9964,0.9984,0.9914,0.9967,0.9963,1.0,,0.9312,0.994,-0.5693,-0.982,0.9997,0.9948,0.9959
FH_CU_scenario_high,,,,,,,,,,,,,,0.9861,0.9891,0.9904,0.9876,-0.7684,0.9966,0.9953,0.9821,0.8908,-0.9808,-0.9747,-0.9591,0.8847,-0.9987,-0.9998,,0.9387,0.7323,0.0526,0.9995,0.9986,0.2414,0.9684,0.9945,0.9964,0.9469,-0.4072,0.7005,-0.9992,-0.8571,0.9957,0.992,,,-0.9479,-0.9233,-0.9463,-0.0546,0.8828,0.8905,0.9354,0.9691,0.993,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9899,-0.9808,-0.9999,-0.9995,-0.9993,0.9997,0.9989,0.9939,0.8702,-0.9813,-0.9662,-0.9668,0.8647,0.7073,-0.9905,,0.9801,0.9724,0.9737,0.9977,0.9969,0.9639,0.9871,0.9895,0.9952,0.9389,-0.0921,0.9991,-0.9991,0.9669,0.9984,0.9986,,,-0.9719,-0.9756,-0.9705,-0.9109,-0.6473,-0.6669,-0.3211,0.906,0.9985,0.9998,0.9971,-0.7735,0.9558,0.9963,0.9983,0.9907,0.997,0.9959,0.9999,,0.8886,0.9971,-0.5374,-0.9675,0.9997,0.9797,0.9346
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9903,0.9749,0.9813,-0.9446,-0.9867,0.9999,0.9964,0.9655,0.9229,-0.9691,-0.963,-0.9921,0.8695,-0.9973,-0.9988,,0.9468,0.548,-0.198,0.9985,0.998,0.4516,0.9579,0.9868,0.9956,0.9412,-0.9391,0.9657,-0.9936,0.6864,0.9952,0.9909,,,-0.9493,-0.9446,-0.9406,-0.8454,-0.6346,-0.5763,-0.1341,0.8515,0.9997,0.9994,0.9977,,0.9883,0.9945,0.9957,0.9897,0.9979,0.998,0.9986,,0.6151,0.9982,-0.5477,-0.9781,0.9947,0.9957,0.9895
FH_CU_select,,,,,,0.7145,-0.8595,0.9987,0.9983,0.9424,0.9925,0.9953,0.9546,0.9903,0.9749,0.9813,-0.9446,-0.9867,0.9972,0.9989,0.9939,0.8702,-0.9813,-0.9662,-0.9668,0.8695,-0.9973,-0.9988,,0.9468,0.9724,-0.198,0.9985,0.998,0.4516,0.9579,0.9868,0.9952,0.9389,-0.0921,0.9657,-0.9936,0.6864,0.9952,0.9909,,,-0.9493,-0.9446,-0.9406,-0.8454,-0.6346,-0.5763,-0.3211,0.906,0.9985,0.9998,0.9971,-0.7735,0.9558,0.9963,0.9983,0.9907,0.997,0.9959,0.9999,,0.8886,0.9971,-0.5477,-0.9781,0.9947,1.0,0.992
