,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9642,0.9999,0.9995,0.9997,0.9977,0.6064,-0.9849,-0.9857,-0.9978,-0.989,0.9484,-0.9633,-0.9996,-0.6187,0.981,0.9902,0.9977,0.9913,0.9783,-0.6262,-0.8296,0.9999,0.9952,0.9931,0.0269,0.925,-0.9112,-0.9995,0.9107,0.9928,-0.9652,0.9969,0.9991,0.9952,0.9489,-0.7338,-0.9894,-0.9773,-0.9455,0.9999,0.9999,0.999,0.9915,0.968,-0.8995,0.0713,-0.8987,0.9974,0.9941,0.9996,0.9975,0.996,0.9962,0.9969,0.9974,0.9919,0.4098,-0.8263,-0.9086
FH_CEID_Walk,,,,,,0.9772,0.9711,0.9941,-0.6106,-0.8649,-0.8299,-0.948,0.9768,-0.9206,0.9043,-0.9409,0.9619,0.9271,0.9532,0.9595,0.8339,-0.89,-0.9325,0.6419,,0.9311,-0.9697,0.9804,0.9858,0.9655,-0.9953,-0.7449,0.9791,0.9913,0.2307,-0.8191,0.9038,-0.9378,0.8054,0.9694,0.9668,-0.5432,-0.9082,-0.5307,0.9811,,0.9688,0.9621,0.9652,0.9934,-0.1924,-0.5638,-0.879,0.9096,0.9394,0.7965,0.9699,-0.9438,-0.989,-0.916,0.9731,-0.9607,0.9545,0.9188,0.9473,0.9988,0.9382,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978,0.9989,0.9998,0.9991,0.9975,0.9939,0.9962,0.9929,0.9978,0.9932,0.3564,-0.8208,-0.858
FH_COVIDhub_ensemble,,,-0.7174,0.9869,0.868,0.9897,0.9923,0.9578,-0.93,-0.9723,-0.9895,-0.9945,0.9632,-0.9114,0.7165,-0.9956,0.9132,0.9808,0.9997,0.9995,0.6305,-0.9682,-0.9888,-0.9542,0.9911,0.9322,0.2584,0.9786,,0.993,0.9993,0.9959,0.9929,0.9756,-0.6894,-0.871,0.9884,-0.9396,0.9775,0.9738,0.9853,-0.7761,,0.9538,0.9993,,,,0.9973,0.9982,-0.7613,-0.9491,-0.961,-0.99,0.9791,0.9644,0.9872,0.9994,0.9815,-0.8406,0.4706,0.9978,0.9989,0.9998,0.9991,0.9975,0.9939,0.9962,0.9929,0.9978,0.9932,0.3564,-0.8208,-0.858
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9933,-0.9836,-0.9995,0.3418,-0.598,,,,,,,,,-0.4269,0.9987,,,,,0.9999,-0.6983,-0.9363,,-0.928,1.0,0.9983,0.9928,,0.9265,-0.9382,-0.9879,0.7925,0.9999,1.0,0.999,0.9984,0.9894,0.9937,0.4824,0.9838,0.9922,0.3648,-0.8989,-0.8561
FH_CU_nochange,,,,,,,,,,,,,,0.9992,0.9962,0.9986,-0.9949,0.9998,0.9977,0.9956,0.583,-0.9892,-0.9735,0.9928,0.9576,0.9761,-0.9999,-0.9979,,0.9903,-0.9886,-0.9711,0.9905,0.9839,0.7483,-0.9048,0.9976,-0.9386,0.9997,0.9938,0.9622,-0.8241,-0.9842,0.9982,0.9993,,,0.9979,0.9956,0.9991,-0.6912,-0.9442,-0.9708,-0.9832,0.4667,0.9984,1.0,0.9986,0.9783,-0.051,1.0,0.9933,0.999,0.9973,0.999,0.9925,,0.9987,0.308,0.9936,0.9472,0.5155,-0.7524,-0.9146
FH_CU_scenario_high,,,,,,,,,,,,,,0.9986,0.9911,0.9948,-0.9613,0.9993,0.9996,0.9969,0.5457,-0.9926,-0.9963,-0.7001,0.857,0.9754,-0.9999,-0.9965,,0.9879,-0.9873,-0.9681,0.9872,0.9869,0.7519,-0.9021,0.9976,-0.953,0.9997,0.9977,0.9474,-0.8532,-0.9942,0.9993,0.9999,,,0.9961,0.9944,0.9996,-0.6629,-0.9259,-0.9629,-0.9788,0.9496,1.0,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9989,-0.9289,-0.2548,-0.9997,0.894,0.9996,0.9979,0.6644,-0.9705,-0.9644,0.9914,0.9272,0.9675,-0.9927,-0.9995,,0.9878,-0.9963,-0.98,0.9909,0.9863,0.6954,-0.887,0.9951,-0.932,0.9975,0.9998,0.9729,-0.7835,-0.9643,0.9984,0.9988,,,0.9984,0.9967,0.9978,-0.7043,-0.9517,-0.9761,-0.988,-0.8675,0.9933,0.9986,0.9991,0.9989,0.9891,1.0,0.9925,0.9988,0.9979,0.997,0.9921,,0.9961,-0.9377,0.9429,-0.1829,0.6635,-0.7679,-0.9018
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9993,0.9789,0.9862,-0.9926,0.9944,0.9985,0.9983,0.6007,-0.9894,-0.9895,0.9932,-0.208,0.9707,-0.9983,-0.9991,,0.9854,-0.9959,-0.9837,0.9875,0.9882,0.7304,-0.8874,1.0,-0.6725,0.9999,0.9972,0.9859,-0.7637,-0.9656,0.9991,0.9999,,,0.9936,0.991,0.9991,-0.6444,-0.9226,-0.9579,-0.974,0.49,0.9909,0.9969,0.9996,,-0.6257,0.9999,0.9884,0.997,0.9982,0.9972,0.996,,0.9934,-0.9124,0.9884,0.9163,0.5088,-0.8002,-0.8954
FH_CU_select,,,,,,-0.9248,-0.7727,0.9948,-0.7291,-0.576,0.9696,-0.592,0.9956,0.9993,0.9789,0.9862,-0.9926,0.9944,0.9986,0.9979,0.6644,-0.9705,-0.9644,0.9914,0.9272,0.9707,-0.9983,-0.9991,,0.9854,-0.9963,-0.9837,0.9875,0.9882,0.7304,-0.8874,1.0,-0.932,0.9975,0.9998,0.9859,-0.7637,-0.9656,0.9991,0.9999,,,0.9936,0.991,0.9991,-0.6444,-0.9226,-0.9579,-0.988,-0.8675,0.9933,0.9986,0.9991,0.9989,0.9891,1.0,0.9925,0.9988,0.9979,0.997,0.9921,,0.9961,-0.9377,0.9884,0.9163,0.5088,0.0479,-0.8921
