,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9676,0.993,0.9999,0.9967,0.998,0.9997,0.809,-0.8615,-0.8066,0.4377,0.9935,0.9858,0.9413,0.9993,0.9974,0.9993,0.9996,0.9923,-0.7095,-0.9748,-0.9911,-0.9996,-0.9434,0.9339,-0.9677,-0.9937,-0.9976,0.9512,0.9996,0.9991,0.9987,0.999,0.9999,0.9997,0.9856,-0.7618,-0.9835,-0.9698,-0.998,0.994,-0.9369,0.9998,1.0,1.0,0.9995,0.9999,0.9993,0.9914,0.0358,0.9983,0.9999,0.9215,-0.8474,-0.9915,-0.9943,-0.9996,0.975,0.9972,0.9939
FH_CEID_Walk,,,,,,0.9773,0.748,-0.9448,-0.9871,0.8423,-0.9752,0.9823,0.5279,0.935,0.923,0.9666,0.8148,0.9464,0.9366,0.9579,0.9916,0.8701,-0.8316,0.7722,,0.9732,0.8259,-0.9513,0.9443,0.97,-0.1417,0.989,0.9463,0.2214,-0.9823,-0.9935,-0.3523,0.9923,0.9498,0.9989,0.1651,-0.9386,0.9595,0.8353,0.9836,,0.9404,0.9543,0.9875,0.9723,-0.6944,-0.952,-0.9825,-0.9864,0.9005,0.9411,0.9477,0.9608,0.9672,-0.9866,0.9726,-0.5561,0.9852,0.2466,0.8818,0.9635,-0.9946,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986,0.7961,0.3099,0.992,0.9997,0.958,-0.8707,-0.9886,-0.9921,-0.9996,0.9297,0.9428,-0.9984
FH_COVIDhub_ensemble,,,-0.9579,-0.8183,0.9877,0.9681,0.7285,-0.9921,-0.9924,0.9236,-0.9617,0.9154,-0.9887,0.6336,0.9475,0.9468,0.9868,0.992,0.9961,0.9958,0.997,0.8369,-0.9269,-0.9513,0.9928,0.9724,0.9987,0.1377,,0.9913,0.9971,0.9967,0.9903,-0.6626,-0.9737,-0.9764,-0.7689,0.9997,0.9144,-0.8516,-0.9747,-0.8398,,0.9969,0.995,,,,0.9998,0.9919,-0.7178,-0.9411,-0.9633,-0.9947,0.9497,0.9855,0.9814,0.9919,0.9984,0.9988,0.9912,0.9986,0.7961,0.3099,0.992,0.9997,0.958,-0.8707,-0.9886,-0.9921,-0.9996,0.9297,0.9428,-0.9984
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9773,0.5851,-0.9815,-0.7019,-0.962,,,,,,,,,0.9978,0.9971,,,,,0.9977,-0.6892,-0.9184,,-0.9868,1.0,0.9986,0.9976,,0.9991,0.9996,0.9977,0.9924,0.9393,0.0205,0.9339,0.8811,-0.9857,-0.8561,-0.9877,-0.9912,0.726,0.9785,0.983,-0.9953
FH_CU_nochange,,,,,,,,,,,,,,0.9999,0.998,0.998,0.9968,0.9999,0.9996,0.9998,0.9998,-0.1771,-0.9634,-0.9843,0.9992,0.9778,-0.9992,-0.9999,,-0.1309,-0.9494,0.9924,0.4946,-0.7317,-0.9675,-0.875,0.8576,0.9898,0.8723,-0.9406,-0.9804,0.985,0.9995,0.9993,0.9986,,,0.9987,0.9994,0.996,-0.7087,-0.9349,-0.9103,-0.9553,-0.8772,0.9997,0.9999,0.9995,0.9988,0.9988,0.9752,-0.9463,-0.9692,0.2399,0.9689,0.9998,,-0.8789,-0.991,-0.9941,0.9983,0.9996,-0.945,-0.9992
FH_CU_scenario_high,,,,,,,,,,,,,,0.999,0.9928,0.9932,0.9969,0.9987,0.9989,0.9999,0.9983,0.5352,0.9752,-0.9901,0.9993,0.9726,-0.9989,-0.9996,,-0.6938,-0.9613,0.9835,-0.7501,-0.7271,-0.9542,-0.7642,0.7009,0.9916,0.8794,-0.8823,-0.9998,0.8193,0.9987,0.9986,0.9981,,,0.9978,0.9992,0.9967,-0.7051,-0.9283,-0.8288,-0.9451,-0.6189,0.9985,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.4039,0.853,0.8353,-0.9958,0.9505,0.9951,0.9868,0.9591,0.9738,-0.9369,-0.0291,0.9995,0.9675,-0.9975,-0.9954,,0.9533,-0.6927,0.992,-0.0084,-0.6961,-0.9537,-0.8924,0.9731,0.9984,0.9075,-0.8989,0.9878,0.9909,0.9997,0.9995,0.9988,,,0.999,0.9994,0.9955,-0.7125,-0.9364,-0.935,-0.9629,-0.9285,0.9999,0.9997,0.9975,0.9929,0.9832,0.9715,-0.9473,-0.9696,0.2386,-0.9984,0.9998,,-0.8634,-0.9857,-0.9828,0.9944,1.0,-0.9203,-0.9986
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9931,0.9799,0.9801,0.9763,0.9928,0.9901,0.9994,0.9937,0.917,0.9487,-0.5885,0.9997,0.9632,-0.9999,-0.9999,,-0.5952,-0.9766,0.9686,-0.8836,-0.7023,-0.9399,0.4872,0.9898,0.9901,0.8614,-0.9488,-0.7447,0.898,0.9976,0.997,0.9955,,,0.9964,0.998,0.9982,-0.688,-0.9216,-0.9126,-0.9427,-0.9078,0.9964,0.9952,0.9934,,0.9917,0.9743,-0.7647,-0.9614,0.3283,-0.2222,0.9996,,-0.8556,-0.9825,-0.9882,0.9942,0.9925,-0.5336,-0.9922
FH_CU_select,,,,,,0.997,0.9399,-0.6567,0.9984,0.9924,0.9972,0.9999,0.9962,0.9931,0.9799,0.9801,0.9763,0.9928,0.9995,0.9868,0.9591,0.9738,-0.9369,-0.0291,0.9995,0.9632,-0.9999,-0.9999,,-0.5952,-0.6927,0.9686,-0.8836,-0.7023,-0.9399,0.4872,0.9898,0.9984,0.9075,-0.8989,-0.7447,0.898,0.9976,0.997,0.9955,,,0.9964,0.998,0.9982,-0.688,-0.9216,-0.9126,-0.9629,-0.9285,0.9999,0.9997,0.9975,0.9929,0.9832,0.9715,-0.9473,-0.9696,0.2386,-0.9984,0.9998,,-0.8634,-0.9857,-0.9882,0.9942,0.9925,0.9855,-0.9457
