,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.4942,0.9999,0.9987,0.9998,0.9913,0.9992,0.9773,-0.4049,0.9954,0.9281,-0.9998,-0.9904,-0.9986,0.056,0.9852,0.992,0.9999,0.991,-0.7944,0.9877,0.9983,0.9781,0.9986,0.9975,-0.34,-0.9972,-0.9994,-0.9982,-0.9947,-0.998,0.9999,0.9997,0.9995,0.9742,-0.901,-0.9352,-0.9973,-0.9997,-0.9941,0.9922,0.9946,0.9051,-0.8274,-0.9926,-0.9992,-0.7542,0.9996,0.9996,0.9998,0.9921,0.9992,0.9927,0.7102,-0.8956,0.29,-0.9677,0.9614,0.9905,0.9977
FH_CEID_Walk,,,,,,-0.8803,-0.9709,-0.0142,0.791,0.9927,0.9683,-0.9107,0.5161,0.873,0.9307,0.9143,0.9736,0.8567,0.9732,0.8246,0.9618,0.93,0.5875,0.7671,,0.9702,-0.4588,0.9133,0.9484,0.9628,0.9903,0.9887,0.9841,-0.7703,-0.8404,0.9889,0.9623,-0.8998,0.981,0.6862,-0.9037,0.9474,0.996,0.9969,0.7601,,0.9972,0.9928,0.5317,-0.8692,-0.5202,-0.9018,0.9824,0.9353,0.8246,-0.9664,-0.9947,0.444,0.556,0.8527,0.938,0.817,0.9707,0.9878,0.9748,0.9372,-0.9947,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9969,0.9992,0.9997,0.9866,0.9993,0.9855,0.7163,-0.9315,0.2835,-0.9798,0.9159,0.9613,-0.861
FH_COVIDhub_ensemble,,,0.9872,0.9728,0.2085,-0.8528,-0.7846,-0.2072,0.8726,-0.9952,0.5594,-0.908,0.361,0.6561,-0.5079,0.856,0.8725,0.9559,0.996,0.9796,0.9706,0.9468,-0.6198,-0.9583,-0.992,0.9435,-0.5318,0.7342,,0.9926,0.9941,0.9998,0.993,-0.8045,-0.9684,-0.9756,0.9704,0.5382,0.9711,0.6406,-0.971,-0.9987,,0.9975,0.9975,,,,0.9846,-0.8896,-0.9595,-0.9791,-0.9973,0.8756,0.972,-0.9985,0.9967,-0.6847,-0.9494,0.8883,0.9939,0.9969,0.9992,0.9997,0.9866,0.9993,0.9855,0.7163,-0.9315,0.2835,-0.9798,0.9159,0.9613,-0.861
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9774,0.996,-0.9761,-0.7436,-0.9267,,,,,,,,,0.9732,0.9981,,,,,-0.8154,-0.813,-0.963,,0.9527,0.9989,0.9921,0.9541,,-0.989,0.9374,-0.4116,0.9993,0.9986,1.0,0.9852,0.9994,0.9837,0.7009,-0.935,0.2675,-0.9664,0.927,0.9976,0.7881
FH_CU_nochange,,,,,,,,,,,,,,-0.8653,-0.9367,-0.93,-0.961,-0.9549,-0.9726,-0.9199,-0.9678,-0.981,0.4675,0.9373,0.9327,0.9248,0.9282,0.94,,0.959,0.9654,0.9788,0.9926,-0.6919,-0.9023,-0.8941,-0.9121,-0.9425,-0.9768,-0.6664,0.875,0.9401,0.9629,0.9732,0.9704,,,0.9824,0.9976,-0.7731,-0.8747,-0.9075,-0.9193,-0.9359,-0.9464,-0.9666,-0.9947,0.5694,0.9045,0.9402,0.9592,0.9689,0.9702,0.9767,0.944,0.9813,,0.7785,-0.9842,0.2686,0.7902,-0.782,-0.8429,-0.8905
FH_CU_scenario_high,,,,,,,,,,,,,,-0.8653,-0.9367,-0.93,-0.961,-0.9549,-0.9726,-0.9199,-0.9678,-0.981,0.4675,0.9373,0.9327,0.9248,0.9282,0.94,,0.959,0.9654,0.9788,0.9926,-0.6919,-0.9023,-0.8941,-0.9121,-0.9425,-0.9768,-0.6664,0.875,0.9401,0.9629,0.9732,0.9704,,,0.9824,0.9976,-0.7731,-0.8747,-0.9075,-0.9193,-0.9359,-0.9464,-0.9666,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.8653,-0.9367,-0.93,-0.961,-0.9549,-0.9726,-0.9199,-0.9678,-0.981,0.4675,0.9373,0.9327,0.9248,0.9282,0.94,,0.959,0.9654,0.9788,0.9926,-0.6919,-0.9023,-0.8941,-0.9121,-0.9425,-0.9768,-0.6664,0.875,0.9401,0.9629,0.9732,0.9704,,,0.9824,0.9976,-0.7731,-0.8747,-0.9075,-0.9193,-0.9359,-0.9464,-0.9666,-0.9947,0.5694,0.9045,0.9402,0.9592,0.9689,0.9702,0.9767,0.944,0.9813,,0.7785,-0.9842,0.2686,0.7902,-0.782,-0.8429,-0.8905
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.8653,-0.9367,-0.93,-0.961,-0.9549,-0.9726,-0.9199,-0.9678,-0.981,0.4675,0.9373,0.9327,0.9248,0.9282,0.94,,0.959,0.9654,0.9788,0.9926,-0.6919,-0.9023,-0.8941,-0.9121,-0.9425,-0.9768,-0.6664,0.875,0.9401,0.9629,0.9732,0.9704,,,0.9824,0.9976,-0.7731,-0.8747,-0.9075,-0.9193,-0.9359,-0.9464,-0.9666,-0.9947,0.5694,,0.9402,0.9592,0.9689,0.9702,0.9767,0.944,0.9813,,0.7785,-0.9842,0.2686,0.7902,-0.782,-0.8429,-0.8905
FH_CU_select,,,,,,0.8881,0.9736,0.0403,-0.8957,-0.9722,-0.9661,0.9049,-0.5598,-0.8653,-0.9367,-0.93,-0.961,-0.9549,-0.9726,-0.9199,-0.9678,-0.981,0.4675,0.9373,0.9327,0.9248,0.9282,0.94,,0.959,0.9654,0.9788,0.9926,-0.6919,-0.9023,-0.8941,-0.9121,-0.9425,-0.9768,-0.6664,0.875,0.9401,0.9629,0.9732,0.9704,,,0.9824,0.9976,-0.7731,-0.8747,-0.9075,-0.9193,-0.9359,-0.9464,-0.9666,-0.9947,0.5694,0.9045,0.9402,0.9592,0.9689,0.9702,0.9767,0.944,0.9813,,0.7785,-0.9842,0.2686,0.7902,-0.782,-0.8429,-0.8905
