,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9942,0.9769,0.9706,0.2575,0.9823,0.9316,0.8386,-0.8527,-0.9296,-0.986,-0.154,0.2953,0.7601,0.9962,0.9985,0.9994,0.9986,0.9944,0.0676,-0.9983,-0.9841,-0.9919,-0.9975,0.8847,0.8692,0.9465,0.8779,0.9925,0.9958,0.9927,0.9967,0.9979,0.9933,0.9942,0.9644,-0.8761,-0.971,-0.999,-0.999,0.9894,0.9984,0.9969,0.9997,0.9993,0.974,0.8593,0.996,0.9588,-0.9217,0.999,0.9968,0.9126,-0.8743,-0.9878,-0.9638,0.847,0.9507,0.9999,0.9935
FH_CEID_Walk,,,,,,0.9649,0.9735,0.5031,-0.9326,-0.8174,0.957,0.908,-0.9641,0.9193,0.9285,0.9664,0.8846,0.9372,0.9594,0.9691,0.9713,0.4,-0.9575,-0.0363,,-0.278,-0.8935,-0.8627,0.9843,0.952,-0.9223,0.9976,0.9787,0.3064,0.9692,0.958,-0.545,0.9665,-0.5811,0.9013,-0.9284,-0.9447,0.9757,-0.536,-0.4829,,0.0506,0.99,0.9458,0.9915,0.9838,-0.8856,0.9973,-0.9127,0.9422,0.9628,0.9666,0.9903,0.3804,0.9839,-0.9983,0.0516,-0.7518,-0.9123,0.9849,0.824,0.9916,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2209,0.988,-0.5776,0.9515,0.9962,0.9455,-0.9721,-0.9584,-0.9715,0.935,0.8359,0.9973,-0.0972
FH_COVIDhub_ensemble,,,-0.06,-0.9828,0.7015,0.9871,0.9797,-0.5147,-0.9356,-0.9412,-0.9967,-0.9933,-0.983,0.8797,-0.9986,0.9983,0.9458,0.9942,0.947,0.9865,0.89,0.8676,-0.9026,-0.1819,-0.9511,-0.1915,0.9531,0.2334,,0.9904,0.998,0.9996,0.9923,0.0781,-0.9964,-0.9702,-0.9979,0.9881,-0.8016,0.8297,-0.5957,0.9971,,0.9994,0.9962,,,,0.9983,0.9621,-0.8754,-0.9685,-0.9806,-0.9453,0.9591,0.9676,0.9778,0.9973,0.9998,0.9543,-0.9582,0.2209,0.988,-0.5776,0.9515,0.9962,0.9455,-0.9721,-0.9584,-0.9715,0.935,0.8359,0.9973,-0.0972
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.984,0.9608,-0.9936,0.1114,-0.9839,,,,,,,,,0.9971,0.9858,,,,,0.9908,-0.8628,-0.9424,,-0.9481,0.9996,0.9938,0.9885,,0.9983,0.9969,0.9942,-0.2154,-0.9479,-0.9967,0.2905,0.6829,0.9904,-0.8925,-0.975,-0.935,0.966,0.8586,0.9997,0.4405
FH_CU_nochange,,,,,,,,,,,,,,0.9992,1.0,0.9999,1.0,0.9997,-0.9905,0.9284,0.9707,0.9886,0.9901,0.4566,-0.9766,-0.0829,0.9568,-0.9961,,-0.9812,0.9968,-0.9576,0.9853,0.0145,-0.9937,0.9984,-0.9959,0.9981,0.8868,0.956,-0.9984,0.9788,-0.9611,-0.9994,0.9996,,,0.9889,0.9953,0.9956,-0.8922,-0.9551,-0.9655,-0.9656,-0.9831,0.7822,0.995,0.9819,0.9997,-0.9104,-0.9958,0.1054,0.9954,0.9992,-0.929,0.9911,,-0.9438,-0.9978,0.9854,0.9992,0.9876,-0.9541,-0.912
FH_CU_scenario_high,,,,,,,,,,,,,,0.9965,0.9989,0.9975,0.9993,0.9996,0.9998,0.3475,0.9287,0.9903,0.9899,0.4698,-0.9751,-0.0857,0.9476,-0.9969,,-0.9821,0.987,-0.9558,0.986,0.0226,-0.9919,0.9984,-0.996,0.9979,0.8884,0.9627,-0.9999,0.9718,-0.9759,-0.9976,0.9997,,,0.9879,0.9947,0.9965,-0.8889,-0.9519,-0.9682,-0.9638,-0.9835,0.9733,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.8192,0.9903,0.9733,0.958,0.4417,-0.9959,0.7363,0.9423,0.9966,0.9938,0.5279,-0.961,-0.1281,0.9435,-0.9871,,-0.9851,0.996,-0.9789,0.9916,0.0726,-0.9879,0.9994,-0.9878,0.9961,0.8661,0.9424,-0.9942,0.9825,-0.8992,-0.9991,0.9996,,,0.989,0.9956,0.9955,-0.8945,-0.9553,-0.9675,-0.9658,-0.9842,-0.9859,0.9997,0.9931,0.9855,-0.9858,-0.9957,0.1069,0.9949,0.9991,-0.9599,0.9955,,-0.9432,-0.9848,0.99,0.9999,0.9917,-0.9875,-0.959
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9824,0.9935,0.9926,0.9945,0.9985,0.9955,0.9878,0.8847,0.9958,0.993,0.5336,-0.9651,-0.1121,0.8836,-0.9967,,-0.9881,0.9551,-0.9675,0.9896,0.0555,-0.9864,0.9993,-0.9722,0.9795,0.8589,0.943,-0.9903,0.9718,-0.9546,-0.9968,0.9999,,,0.9883,0.9941,0.9973,-0.8761,-0.9431,-0.9534,-0.9538,-0.9633,0.9818,0.9983,0.9924,,0.5357,-0.9935,0.0628,0.9921,0.9998,-0.728,0.9923,,-0.929,-0.9814,0.9702,0.9875,0.9756,-0.8351,-0.4492
FH_CU_select,,,,,,-0.9852,-0.923,-0.4939,0.9622,-0.6553,0.846,-0.5959,0.9847,0.9824,0.9935,0.9926,0.9945,0.9985,-0.9764,0.7363,0.9423,0.9966,0.9938,0.5279,-0.961,-0.1121,0.8836,-0.9967,,-0.9881,0.996,-0.9675,0.9896,0.0555,-0.9864,0.9993,-0.9722,0.9961,0.8661,0.9424,-0.9903,0.9718,-0.9546,-0.9968,0.9999,,,0.9883,0.9941,0.9973,-0.8761,-0.9431,-0.9534,-0.9658,-0.9842,-0.9859,0.9997,0.9931,0.9855,-0.9858,-0.9957,0.1069,0.9949,0.9991,-0.9599,0.9955,,-0.9432,-0.9848,0.9702,0.9875,0.9756,0.991,0.9562
