,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9997,0.998,0.9922,-0.9808,0.9571,0.9975,-0.9983,0.9856,0.9763,0.9991,0.991,-0.5933,-0.9409,-0.9808,0.9892,0.9996,0.9944,0.9962,0.9994,0.995,0.9979,0.9974,0.9861,-0.9515,0.7789,-0.9965,-0.4085,0.9923,0.9885,0.9966,0.9948,0.9987,0.9964,0.4267,-0.9895,-0.9686,-0.9832,-0.7999,0.9692,0.9873,0.997,0.9991,0.9963,0.9978,0.7764,-0.869,-0.8889,1.0,0.9877,0.998,0.9989,0.9996,0.9989,0.9993,0.9884,-0.7893,-0.9553,0.9795,0.9733
FH_CEID_Walk,,,,,,0.9983,-0.0897,-0.9442,0.9285,0.0164,-0.2842,-0.9593,0.5902,-0.8399,0.1163,0.9392,-0.9588,0.9877,0.8655,0.9432,0.9521,-0.9967,0.9244,-0.7659,,-0.9982,-0.2178,-0.8972,0.8776,0.6754,0.9713,0.6831,0.9307,0.9644,0.9759,0.9825,0.994,-0.9801,0.6741,0.8738,-0.8849,0.9595,0.9182,0.8712,0.9574,,0.9812,0.9936,0.6315,-0.9972,-0.9514,-0.9476,0.869,0.9533,0.9367,0.9362,0.9406,0.9643,0.8099,0.6927,-0.9529,-0.8581,0.9268,0.065,0.9665,0.9969,0.9964,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4362,0.9999,0.9987,0.9966,0.9989,0.9997,0.9995,0.9975,0.9898,-0.8105,-0.9612,-0.9992,-0.9119
FH_COVIDhub_ensemble,,,-0.0181,0.9995,0.985,0.9812,-0.2195,-0.983,-0.6988,0.0985,0.7886,0.9844,-0.784,-0.8922,-0.9998,0.0762,-0.9631,0.9791,0.9292,0.947,0.9977,-0.9881,0.9921,0.9836,0.9943,-0.8437,-0.6289,-0.9204,,0.9997,0.9941,0.9977,0.9993,0.9988,0.9993,0.9984,0.9942,0.9943,0.9791,0.9978,0.9862,0.991,,0.995,0.9989,,,,0.4221,-0.9637,-0.9774,-0.9898,-0.9874,0.9152,0.9911,0.9927,0.9889,0.9988,0.998,0.9586,0.6152,0.4362,0.9999,0.9987,0.9966,0.9989,0.9997,0.9995,0.9975,0.9898,-0.8105,-0.9612,-0.9992,-0.9119
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9849,0.9671,-0.9934,0.9988,0.9989,,,,,,,,,0.9984,1.0,,,,,-0.9649,-0.9786,-0.9847,,0.9939,0.9989,0.9979,0.9975,,0.9987,0.8452,-0.6324,-0.1673,0.9999,0.9931,0.9974,0.9986,0.9996,0.9994,0.9991,0.9939,-0.8045,-0.9819,0.9701,0.9562
FH_CU_nochange,,,,,,,,,,,,,,-0.6155,0.9984,0.9998,0.9999,0.9975,0.9982,0.9851,0.9995,-0.9999,1.0,0.9973,-0.8961,-0.9829,-0.6717,-0.9778,,0.9998,0.9926,0.9809,0.9981,0.9996,0.9988,0.9992,0.9962,0.9956,0.7321,0.9999,0.9977,0.9884,0.9977,0.9909,0.9963,,,0.9992,0.4178,-0.9617,-0.9753,-0.9634,-0.9398,-0.8222,0.9586,0.9991,0.9999,1.0,0.9977,0.7639,0.9913,0.9848,0.9996,0.9976,0.9989,0.9999,,0.9997,0.9996,0.9998,0.67,0.9825,0.9978,0.957
FH_CU_scenario_high,,,,,,,,,,,,,,0.5921,0.999,0.9985,0.9993,0.9954,0.9968,0.9954,1.0,-1.0,-0.9939,0.9985,-0.7196,-0.984,-0.6915,-0.9812,,0.9988,0.9896,0.9502,0.9964,0.999,0.9993,0.9993,0.9964,0.9969,0.8174,0.9998,0.9988,0.97,0.9934,0.9848,0.99,,,0.9959,0.4345,-0.9536,-0.9645,-0.9543,-0.9273,-0.5366,0.9741,0.9977,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9202,-0.9938,-0.3057,-0.9374,-0.826,0.9917,0.9587,0.988,-0.9992,0.9947,0.9822,0.2258,-0.9898,-0.5982,-0.956,,0.9995,0.9859,0.979,0.9923,0.9964,1.0,0.9997,0.9918,0.9915,0.8364,0.9989,0.9984,0.9938,0.9987,0.9932,0.9982,,,0.9978,0.4121,-0.9651,-0.979,-0.9684,-0.9447,-0.8849,0.9284,0.9999,0.9991,0.9993,0.9997,0.8321,0.9906,0.9844,0.9996,0.9975,0.9988,0.9999,,0.9993,0.9991,0.9645,0.9529,0.9919,-0.9982,-0.923
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.5072,0.9987,0.9924,0.9949,0.9893,0.98,0.9941,0.9986,-0.9985,-0.9887,0.9953,0.9005,-0.9884,-0.6706,-0.9789,,0.9923,0.9843,0.9023,0.9893,0.9961,0.9997,0.9997,0.9935,0.9809,-0.3992,0.441,0.9968,0.9805,0.9917,0.9825,0.9889,,,0.999,0.4497,-0.949,-0.9651,-0.9536,-0.9234,-0.8757,0.8165,0.9973,0.9941,0.9954,,0.8424,0.9246,0.9799,0.9997,0.9978,0.9969,0.9985,,0.9977,0.9967,0.9993,-0.4409,0.5487,0.989,0.9285
FH_CU_select,,,,,,0.9964,-0.1974,-0.9424,0.855,-0.1541,0.411,-0.8565,0.8688,-0.5072,0.9987,0.9924,0.9949,0.9893,0.9981,0.9587,0.988,-0.9992,0.9947,0.9822,0.2258,-0.9884,-0.6706,-0.9789,,0.9923,0.9859,0.9023,0.9893,0.9961,0.9997,0.9997,0.9935,0.9915,0.8364,0.9989,0.9968,0.9805,0.9917,0.9825,0.9889,,,0.999,0.4497,-0.949,-0.9651,-0.9536,-0.9234,-0.8849,0.9284,0.9999,0.9991,0.9993,0.9997,0.8321,0.9906,0.9844,0.9996,0.9975,0.9988,0.9999,,0.9993,0.9991,0.9993,-0.4409,0.5487,0.9999,0.9943
FH_Covid19Sim_Simulator,-0.9721,-0.8415,-0.8686,0.1595,0.9876,,,-0.9187,-0.8443,0.2552,0.9571,0.9174,-0.8808,-0.9445,-0.9025,-0.9879,0.9987,0.993,-0.9711,,-0.6185,-0.9999,0.9867,0.986,0.9875,0.9779,-0.5806,-0.9339,,0.9856,0.9978,0.9981,0.9997,0.9972,0.9948,0.9993,0.9994,-0.9978,-0.9948,0.9932,0.9995,0.9982,0.9998,-0.9984,0.9999,0.9979,0.9998,0.9967,0.4068,-0.9749,-0.9966,-0.9996,-0.7824,,,,0.9957,0.9911,,0.7285,,,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,0.9655,0.9832,0.9914,-0.9996,0.5882,0.9465,-0.3574,-0.9895,-0.8801,0.216,0.7846,0.9886,-0.747,-0.8925,-0.9663,-0.9686,-0.9729,-0.965,-0.9571,-0.9533,0.9996,0.9989,0.986,0.9711,-0.9981,-0.8454,0.7362,-0.9882,,-0.9945,-0.9697,0.9982,0.9987,0.9995,0.9998,0.9999,0.997,0.9984,0.9676,0.976,0.9859,0.9972,0.9958,0.986,-0.9872,,0.9969,0.9897,0.3802,-0.9768,-0.9608,-0.9443,-0.9385,-0.9416,-0.9595,-0.9541,0.9992,0.9977,0.9904,0.9984,0.9247,0.9998,0.9999,0.9998,0.9993,1.0,1.0,0.9999,1.0,0.988,-0.7449,-0.9178,-0.9598,-0.8867
FH_DDS_NBDS,,,,0.9982,0.9911,-0.048,-0.1426,-0.9673,-0.8578,0.5668,0.8105,0.9743,0.8649,-0.8739,0.9985,0.9946,0.999,0.9971,0.9979,0.9303,0.9984,0.9681,0.9992,0.9728,-0.9808,0.9407,-0.6827,-0.9894,,0.993,-0.9996,-0.9936,,-0.9709,0.974,0.9078,-0.0834,0.997,-0.9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Google_Harvard_CPF,,,,,,,,,,,,,,,-0.9826,,-0.9906,-0.9984,0.9848,0.9831,0.9815,0.9994,0.3811,0.6081,0.9997,0.2744,0.6449,0.7313,,0.9706,0.8864,0.9677,0.9917,0.9949,0.9995,0.9993,0.9998,0.9661,0.9376,-0.4496,-0.9559,-0.983,-0.9869,-0.9264,0.9922,,,-0.9989,-0.2619,0.9856,0.9865,0.9816,,0.9838,0.9797,0.8193,,,,-0.9146,-0.5972,-0.9973,-0.8032,0.6549,0.8401,-0.604,-0.3974,-0.8901,-0.3312,-0.6989,0.8765,0.9889,0.9992,0.7886
