,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9742,0.995,-0.6891,-0.9174,-0.057,0.9723,0.9987,0.9955,0.9934,0.9952,0.9913,0.9035,0.9466,0.9998,0.9954,0.9247,-0.9549,-0.9942,-0.9813,-0.9955,-0.9992,-0.9899,0.1468,0.9891,0.9842,0.7483,-0.9924,0.9999,0.9984,0.9991,0.992,0.9999,0.9979,0.9779,-0.9886,-0.9344,-0.9951,0.9818,0.0763,-0.8169,0.9972,0.9877,0.9995,0.9963,0.9845,0.9651,-0.8593,-0.9995,-0.9973,0.9991,0.9818,0.4042,-0.9045,-0.9515,0.3297,0.9934,0.987,0.1304,-0.9572
FH_CEID_Walk,,,,,,0.979,0.8355,0.9456,0.9357,-0.9878,0.152,0.955,0.9405,0.9881,0.9577,0.9814,0.9792,-0.5143,0.9731,-0.9283,0.8399,0.2926,0.9917,0.7143,,0.9307,-0.9716,-0.9473,0.5493,0.9978,0.9965,0.9825,0.9575,-0.8426,0.9103,-0.7854,-0.4566,0.1669,-0.8762,0.9192,-0.87,0.9663,0.9695,-0.8305,-0.3159,,0.9802,0.9986,0.9859,-0.8289,-0.7351,0.8096,-0.7358,-0.8938,0.9623,0.9085,0.77,0.9602,-0.9908,0.9846,0.9858,0.874,0.9248,-0.8631,0.6585,0.9193,0.4779,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8212,0.9989,0.8523,1.0,0.9744,0.4162,-0.9512,-0.8538,-0.924,0.2531,-0.8825,0.361,0.9773
FH_COVIDhub_ensemble,,,0.997,-0.3418,0.7031,0.7764,0.9924,0.977,0.9208,-0.8938,-0.9961,-0.645,0.874,0.5373,0.8674,0.9939,0.9608,-0.6479,-0.9871,-0.9128,0.9938,0.9999,0.9997,0.9984,0.9961,0.9667,0.9967,0.9995,,0.9964,0.93,-0.9603,-0.9993,-0.986,-0.9637,-0.884,-0.9993,0.8303,-0.875,0.9756,-0.9723,0.9759,,0.9962,0.9992,,,,0.9742,-0.9937,-0.9091,0.7162,-0.989,-0.9228,0.934,0.9892,0.946,0.9867,0.9982,0.9913,0.9802,-0.8212,0.9989,0.8523,1.0,0.9744,0.4162,-0.9512,-0.8538,-0.924,0.2531,-0.8825,0.361,0.9773
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7972,0.9912,0.9998,-0.8397,-0.9918,,,,,,,,,0.9669,0.9953,,,,,-0.9936,-0.9094,0.6593,,-0.9577,0.9958,0.9995,0.9988,,0.9975,0.9848,0.9664,-0.8078,0.9995,-0.7882,0.9982,0.9685,0.4425,-0.925,-0.9268,-0.9061,0.9847,-0.8861,0.2464,0.9768
FH_CU_nochange,,,,,,,,,,,,,,0.9912,0.996,0.9979,-0.9774,0.8604,0.9961,0.9957,0.9995,0.9975,0.9978,0.9993,0.9924,0.9871,0.982,-0.7407,,0.9973,0.9545,-0.9506,-0.9866,-0.955,0.9939,-0.9648,-0.9962,-0.0845,0.8602,0.9499,0.9993,0.9976,0.9955,0.9941,0.9953,,,0.9924,0.985,-0.9747,-0.8777,-0.9254,-0.9106,-0.8993,-0.943,0.9884,0.9999,0.9984,0.9995,0.7305,0.8469,0.8199,0.9987,0.9908,0.9999,0.9704,,-0.9155,-0.9368,-0.9552,0.9779,-0.2713,0.9781,0.9692
FH_CU_scenario_high,,,,,,,,,,,,,,0.9969,0.9988,0.9945,-0.9926,-0.6802,0.9713,-0.9183,0.9992,0.997,0.9968,0.9991,0.9912,0.9866,0.9741,-0.8728,,0.9982,0.9571,-0.9457,-0.985,-0.9542,0.9935,-0.9633,-0.9963,-0.0826,0.8602,0.9558,0.9188,0.9935,0.9929,0.9921,0.9937,,,0.9917,0.9852,-0.969,-0.8765,-0.9182,-0.9106,-0.8969,-0.9352,0.9977,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9976,-0.9606,-0.949,-0.9751,0.9771,0.6516,0.9909,0.9914,0.9923,0.9933,0.9961,0.9845,0.9825,0.9792,0.7815,,0.9982,0.9667,-0.9332,-0.9769,-0.9429,0.998,-0.9545,-0.9927,-0.1102,0.8497,0.9354,0.9988,0.9987,0.9963,0.9953,0.9956,,,0.9932,0.9841,-0.9744,-0.8764,-0.9189,-0.9127,-0.9046,-0.9487,0.9667,0.9961,0.9993,0.9972,-0.9773,0.8058,0.8154,0.9981,0.988,0.9987,0.979,,-0.8886,-0.9456,-0.227,0.9756,0.9259,0.8582,0.9738
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9929,0.9945,0.9946,-0.9959,-0.6674,0.9633,-0.9806,0.9932,0.9938,0.9936,0.9961,0.9869,0.9843,0.9661,-0.9038,,0.9986,0.964,-0.9366,-0.9808,-0.9489,0.9983,-0.9599,-0.9945,-0.1003,0.8502,0.9376,0.9983,0.9914,0.9908,0.9892,0.99,,,0.9893,0.9883,-0.9673,-0.8708,-0.9132,-0.9106,-0.889,-0.9147,0.959,0.9947,0.9977,,0.8947,0.9968,0.7758,0.9955,0.9782,1.0,0.9745,,-0.9165,-0.9388,-0.9249,0.9878,-0.8546,0.5367,0.9741
FH_CU_select,,,,,,-0.4091,0.9786,0.9998,0.9938,0.9783,-0.9984,0.8963,-0.4911,0.9929,0.9945,0.9946,-0.9959,-0.6674,0.861,0.9909,0.9914,0.9923,0.9933,0.9961,0.9845,0.9843,0.9661,-0.9038,,0.9986,0.9667,-0.9366,-0.9808,-0.9489,0.9983,-0.9599,-0.9945,-0.1102,0.8497,0.9354,0.9983,0.9914,0.9908,0.9892,0.99,,,0.9893,0.9883,-0.9673,-0.8708,-0.9132,-0.9106,-0.9046,-0.9487,0.9667,0.9961,0.9993,0.9972,-0.9773,0.8058,0.8154,0.9981,0.988,0.9987,0.979,,-0.8886,-0.9456,-0.9249,0.9878,-0.8546,0.268,0.9779
