,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9311,0.9994,0.9988,-0.9995,0.9786,0.9923,-0.997,-0.4078,-0.921,-0.9907,-0.9951,-0.8913,-0.8568,0.999,0.9991,0.9993,0.9995,0.9987,0.9967,0.9863,0.9898,-0.4126,0.8037,-0.9906,0.3304,-0.7236,-0.9074,0.9769,0.9859,0.9948,0.9887,0.994,0.9913,0.9563,-0.9833,-0.941,-0.8158,0.9999,0.987,0.9998,0.9989,0.9986,0.999,0.9995,0.9703,-0.6497,-0.7665,0.9765,-0.1167,0.9976,0.9974,0.9999,0.9992,0.9897,-0.8359,-0.9769,0.9881,0.9995,0.9925
FH_CEID_Walk,,,,,,0.9437,0.9756,-0.8163,-0.7922,0.9809,-0.8238,0.9028,-0.9631,-0.9841,0.9637,-0.4237,0.8746,-0.0896,0.9468,0.952,0.9761,-0.9943,0.8617,0.8198,,0.9524,-0.4247,0.9935,0.9769,0.8926,0.9509,0.9999,0.957,0.9639,-0.9993,-0.2196,-0.2627,0.7008,-0.9921,0.2551,-0.8853,0.1229,-0.9602,0.906,0.908,,0.9795,0.9705,0.9833,-0.9025,-0.7879,-0.9317,-0.6835,0.8915,0.972,0.9443,0.9759,0.9897,0.9554,-0.9067,0.9787,-0.8755,-0.9654,0.9964,0.9549,0.9232,0.9282,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9555,0.9898,0.9997,0.9958,0.9989,0.9994,0.9979,0.989,-0.8744,-0.9863,0.9189,0.9873,-0.9527
FH_COVIDhub_ensemble,,,-0.7721,0.9997,0.9997,0.9982,0.9323,0.8068,0.4219,-0.9641,-0.9136,0.6074,-0.9847,-0.9856,0.4122,-0.6279,0.9233,-0.7357,0.9783,0.9312,0.9967,-0.969,0.8334,-0.9375,-0.9758,0.9557,0.9807,0.9972,,0.9969,0.9901,0.9971,0.9993,0.9998,0.9526,0.9811,-0.3389,0.6063,-0.9872,0.3633,0.8927,0.9947,,0.993,0.9988,,,,0.9317,-0.935,-0.9583,-0.9676,-0.9766,0.953,0.9852,0.8979,0.8585,0.996,0.9992,0.9812,0.4301,0.9555,0.9898,0.9997,0.9958,0.9989,0.9994,0.9979,0.989,-0.8744,-0.9863,0.9189,0.9873,-0.9527
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9277,-0.5793,-0.9938,0.9971,0.9766,,,,,,,,,0.973,0.9935,,,,,-0.9068,-0.9589,-0.9521,,0.9997,0.9986,0.9977,0.998,,0.9999,0.9992,0.5117,0.9655,0.979,0.9995,0.9972,0.9971,0.9992,0.9986,0.9908,-0.8373,-0.9652,0.9571,0.9996,-0.7626
FH_CU_nochange,,,,,,,,,,,,,,-0.7972,0.9996,0.9945,0.9995,0.993,0.9999,0.9951,0.987,-0.9982,0.7282,0.9998,0.9991,0.9943,-0.9726,-0.9921,,0.9882,0.9318,-0.8536,0.9944,0.9939,0.9716,0.985,0.384,0.9372,-0.9886,0.4524,0.8119,-0.979,0.9844,0.9876,0.9931,,,0.9957,0.9543,-0.8414,-0.9314,-0.9453,-0.6797,0.9986,0.9915,0.9998,1.0,0.9999,0.9999,0.995,0.9805,0.9986,0.9986,0.9979,0.9986,0.9986,,0.9978,0.9879,-0.8418,-0.5825,0.9966,0.9994,0.5615
FH_CU_scenario_high,,,,,,,,,,,,,,0.8554,0.9989,0.9921,0.9998,0.999,-0.9899,0.9932,0.9947,-0.9987,0.6756,0.9985,0.9992,0.9936,-0.9757,-0.9912,,0.981,0.8644,-0.8924,0.9865,0.9973,0.9755,0.9845,0.347,0.8917,-0.9902,0.4649,-0.7524,-0.9851,0.9551,0.9807,0.9842,,,0.9922,0.9563,-0.4136,-0.886,-0.9077,0.5993,0.9971,0.9914,0.9991,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9956,0.9553,-0.9871,-0.9783,-0.9987,0.9964,0.9672,-0.9853,-0.9975,0.7892,-0.8654,0.9994,0.9872,-0.8964,-0.9983,,0.9906,0.97,0.6225,0.9894,0.9972,0.9723,0.9806,-0.0284,0.9127,-0.988,0.4266,0.9228,-0.9543,0.9895,0.991,0.9957,,,0.9974,0.9532,-0.8935,-0.9484,-0.9611,-0.914,0.9994,0.9893,1.0,0.9994,0.9987,0.9987,0.9617,0.9808,0.9986,0.9987,0.9981,0.9985,0.9983,,0.9988,0.9903,-0.8223,-0.0056,0.9985,0.9911,-0.9241
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.8369,0.9924,0.9844,0.9966,-0.9967,-0.9862,0.9905,-0.9714,-0.9969,0.7207,-0.9497,0.9987,0.9894,-0.9869,-0.9958,,0.9816,0.8747,-0.9303,0.9716,0.9994,0.9751,0.9807,0.8222,0.9728,-0.8667,0.4246,0.8133,-0.9705,0.9773,0.9821,0.9857,,,0.9939,0.9612,-0.8177,-0.9253,-0.9438,-0.8657,0.9964,0.9868,0.9947,0.9931,0.9939,,0.9996,0.9935,0.9991,0.9989,0.9995,0.9968,0.996,,0.9997,0.9935,-0.8326,-0.8711,0.9856,0.9939,0.6456
FH_CU_select,,,,,,0.9649,-0.8111,-0.8488,-0.2912,0.9827,0.9791,0.9848,-0.9452,-0.8369,0.9924,0.9844,0.9966,-0.9967,0.9996,0.9672,-0.9853,-0.9975,0.7892,-0.8654,0.9994,0.9894,-0.9869,-0.9958,,0.9816,0.97,-0.9303,0.9716,0.9994,0.9751,0.9807,0.8222,0.9127,-0.988,0.4266,0.8133,-0.9705,0.9773,0.9821,0.9857,,,0.9939,0.9612,-0.8177,-0.9253,-0.9438,-0.8657,0.9994,0.9893,1.0,0.9994,0.9987,0.9987,0.9617,0.9808,0.9986,0.9987,0.9981,0.9985,0.9983,,0.9988,0.9903,-0.8326,-0.8711,0.9856,0.9989,0.9981
FH_Covid19Sim_Simulator,0.9644,0.7031,-0.8307,-0.967,-0.2357,,,0.7044,0.6078,0.9124,-0.8405,-0.745,-0.9892,0.9971,0.9602,0.9997,0.9862,-0.7231,0.9281,,0.9932,-0.9976,0.899,-0.9683,-0.9273,0.9875,0.9098,0.9632,,0.9984,0.9983,0.9992,0.996,0.9975,0.9068,0.984,-0.4329,0.9092,-0.6302,-0.5769,-0.5339,0.9965,0.993,0.9953,0.9975,0.9985,0.9999,0.9942,0.9482,-0.9464,-0.9688,-0.9924,-0.9673,,,,0.9963,0.9958,,0.9468,,,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,0.973,0.555,-0.8881,0.5945,-0.9761,0.9989,0.9121,0.7967,0.4183,-0.9914,-0.9113,-0.9841,-0.9882,-0.9817,-0.9979,-0.9433,-0.9794,-0.9742,-0.9752,-0.9392,0.9921,0.9239,0.7407,0.999,0.9958,0.9238,-0.096,0.9959,,0.9993,0.9999,0.9996,0.9972,0.9983,0.9982,0.9848,-0.3163,-0.9349,-0.9815,0.5856,0.9813,0.9999,0.9981,0.9994,0.9881,,0.9998,0.9918,0.9696,-0.8556,-0.8994,-0.9373,-0.9379,-0.9564,-0.9448,-0.9468,0.9998,0.9986,0.9957,0.9997,0.3974,0.9929,0.9988,0.9995,0.9996,0.9997,1.0,0.999,0.9929,-0.8468,-0.9666,-0.9383,-0.9625,-0.8909
FH_DDS_NBDS,,,,0.9925,0.9963,-0.8323,-0.4696,0.7833,0.455,0.9445,-0.9096,0.7618,0.9823,-0.9728,0.9982,0.9928,0.9995,0.9864,0.9983,0.963,0.9983,0.9469,0.6732,0.313,0.9658,-0.9698,0.9657,-0.9987,,0.9995,0.6791,0.7344,,0.998,0.7483,0.8104,-0.0235,-0.9526,0.9181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Google_Harvard_CPF,,,,,,,,,,,,,,,-0.9982,,0.9392,-0.9186,0.9101,0.8388,0.9996,0.9951,0.879,-0.9746,-0.9911,0.9837,0.9334,0.8351,,0.9922,0.994,0.9954,0.9968,0.9994,0.9543,0.9888,-0.2801,-0.8602,0.3885,-0.6414,-0.9881,-0.9877,-0.9789,0.8729,0.8133,,,-0.9718,-0.8434,0.9661,0.9805,0.9888,,0.967,0.9495,-0.477,,,,-0.9949,-0.9328,-0.9961,-0.974,0.7258,0.897,-0.1036,-0.5404,-0.9087,-0.6925,0.9024,0.9958,0.9919,0.9946,-0.0231
FH_IEM_MED_CovidProject,,,,,,,,,,,,,,,,,,,,,,,0.6889,-0.9894,-0.9985,0.9869,0.9984,0.9996,0.9976,0.9983,0.9982,0.9996,0.9997,0.9998,0.93,0.9858,0.32,0.6959,-0.9845,0.4753,0.9855,0.9433,-0.988,0.9725,0.9891,0.989,0.9924,0.9972,0.9476,-0.9107,-0.9572,-0.966,-0.9998,0.9805,0.9708,0.9948,0.9775,0.9979,0.9989,0.9639,-0.8948,-0.9862,-0.999,0.9407,0.9957,0.997,0.9998,0.998,0.989,-0.8904,-0.9897,0.7076,0.9723,0.9743
