,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.847,0.9737,0.9856,0.9827,0.9791,0.9975,-0.9835,0.8236,-0.9944,0.9962,0.9941,-0.1019,-0.8603,0.9805,0.9882,0.998,0.9992,0.999,0.9984,0.9745,0.9907,0.9835,0.9331,-0.7679,-0.9417,-0.9919,-0.7549,0.9993,0.9984,0.9972,0.9945,0.9897,0.95,0.9581,-0.9182,-0.9555,0.757,0.9494,0.9966,0.9989,0.9959,0.9977,0.9879,0.9921,-0.4204,0.998,0.8058,0.9998,0.9994,0.9999,0.9957,0.9995,0.9914,0.9986,0.9789,-0.8163,-0.9326,0.9954,0.9988
FH_CEID_Walk,,,,,,0.9997,0.9743,0.9933,-0.8119,-0.9178,-0.9631,-0.9039,0.7065,-0.9595,-0.9506,-0.9172,0.8359,0.2063,-0.9486,0.928,0.9424,-0.9314,0.9235,-0.8393,,-0.9972,-0.4094,-0.887,-0.9217,0.9877,-0.973,0.9976,0.9169,-0.8232,-0.7503,0.8949,0.9513,-0.9583,-0.9375,0.9084,-0.885,0.7625,-0.9981,0.9718,0.9989,,0.9912,-0.9961,0.9899,0.7884,-0.9487,-0.9916,0.8926,0.9284,0.9611,-0.96,-0.8544,-0.475,-0.9404,0.0942,0.8626,-0.8656,0.6377,0.9893,0.9372,0.9504,0.9849,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8659,0.9975,0.9986,0.9984,0.994,0.9991,0.9989,0.997,0.9807,-0.818,-0.9858,0.9863,-0.9477
FH_COVIDhub_ensemble,,,0.7293,0.9939,0.9949,0.9983,0.9982,0.97,-0.8869,-0.9886,-0.8681,-0.9251,-0.9726,-0.936,-0.9597,0.744,0.9975,0.9935,-0.8083,0.9983,0.9809,-0.9329,0.9666,-0.8825,0.9479,-0.987,-0.4346,-0.887,,0.9887,0.999,0.9983,0.9948,0.9975,0.9326,0.9996,0.9921,0.9893,0.9434,0.942,-0.8268,0.8648,,0.9996,0.9994,,,,0.9679,-0.9959,-0.9199,-0.9915,0.9846,0.9657,0.9955,0.9984,0.9766,0.9966,0.7426,-0.3194,0.9921,0.8659,0.9975,0.9986,0.9984,0.994,0.9991,0.9989,0.997,0.9807,-0.818,-0.9858,0.9863,-0.9477
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9598,0.9864,-0.7844,0.9973,0.9997,,,,,,,,,0.9991,0.9996,,,,,0.5286,-0.9042,0.3952,,0.9999,0.9988,0.9917,0.9948,,0.9949,-0.2448,0.9938,0.8018,0.9981,0.9981,0.9945,0.9792,0.9984,0.9981,0.9995,0.9875,-0.8057,-0.969,0.9986,0.5415
FH_CU_nochange,,,,,,,,,,,,,,0.9979,0.9988,0.9853,0.9941,0.9991,0.9677,0.9989,0.9707,-0.9684,0.9995,0.999,0.9975,0.749,-0.6284,-0.9925,,-0.9196,-0.9941,-0.905,0.9961,0.9923,-0.9701,0.9995,0.9972,0.138,0.8972,-0.3432,-0.9707,0.0136,-0.6659,0.969,1.0,,,0.8113,0.9765,0.6608,-0.7795,0.9933,0.9977,0.9926,0.9952,0.9915,0.9982,0.9823,0.991,-0.6045,0.9136,0.9964,0.9999,0.9999,0.9928,0.9932,,-0.9466,0.9885,0.2805,0.8063,0.9966,0.9996,-0.1041
FH_CU_scenario_high,,,,,,,,,,,,,,0.9996,0.9986,0.9954,0.9989,0.9999,0.9629,0.9988,0.9756,-0.9527,0.9241,0.9999,0.9966,0.81,-0.63,-0.9942,,-0.9515,-0.9931,-0.9336,0.9949,0.9922,-0.9762,0.9986,0.9972,0.2995,0.9086,0.8422,-1.0,-0.918,-0.9467,0.6176,0.9986,,,0.0876,0.9827,0.9821,-0.4565,0.9951,0.9972,0.9916,0.9933,0.9881,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9981,0.9975,0.7475,0.9995,0.8872,0.9351,0.9789,0.9963,-0.9667,0.9938,0.3893,0.9985,-0.9841,-0.5379,-0.9734,,0.8906,-0.9998,0.1471,0.994,0.9905,-0.5231,0.9981,0.9954,0.9978,0.9246,0.7697,0.9099,0.9406,0.9056,0.9931,0.9992,,,0.9006,0.9717,-0.5991,-0.8514,0.9876,0.9983,0.9936,0.997,0.9944,0.9994,0.9855,0.9943,-0.5807,0.9154,0.9965,1.0,0.9999,0.9851,0.9909,,-0.9555,0.982,-0.5202,0.9823,0.9971,0.9811,-0.9621
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9971,0.9949,0.9963,0.999,0.9986,0.03,0.9977,0.9887,-0.939,0.922,0.9953,0.9993,0.7851,-0.593,-0.9894,,-0.9677,-0.9975,-0.9541,0.9942,0.9916,-0.983,0.9941,0.9957,0.4401,0.812,-0.83,-0.6862,0.7281,0.8888,0.9678,0.9997,,,0.8716,0.9831,-0.4969,-0.8498,0.9293,0.9988,0.9977,0.9996,0.9998,0.9974,0.9945,,-0.536,0.9577,0.9954,0.9995,1.0,0.9977,0.9902,,-0.8482,0.9934,0.9713,-0.4522,0.9834,0.9964,-0.881
FH_CU_select,,,,,,-0.9994,0.9511,-0.8841,0.9531,0.9997,0.6677,-0.8211,0.9443,0.9971,0.9949,0.9963,0.999,0.9986,0.9845,0.9789,0.9963,-0.9667,0.9938,0.3893,0.9985,0.7851,-0.593,-0.9894,,-0.9677,-0.9998,-0.9541,0.9942,0.9916,-0.983,0.9941,0.9957,0.9978,0.9246,0.7697,-0.6862,0.7281,0.8888,0.9678,0.9997,,,0.8716,0.9831,-0.4969,-0.8498,0.9293,0.9988,0.9936,0.997,0.9944,0.9994,0.9855,0.9943,-0.5807,0.9154,0.9965,1.0,0.9999,0.9851,0.9909,,-0.9555,0.982,0.9713,-0.4522,0.9834,0.9985,0.8844
