,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9675,-0.8366,-0.9008,0.7988,-0.9883,-0.9744,0.9955,0.9034,-0.7648,-0.9991,-0.9718,-0.9351,-0.9989,0.8863,0.9878,0.9915,0.9894,0.9881,0.994,0.9454,-0.9944,-0.9678,-0.9987,-0.9998,-0.9861,-0.998,-0.9906,0.9398,0.9881,0.998,0.9792,-0.8536,-0.9846,-0.9763,-0.9131,-0.9613,0.9695,0.9992,0.9818,1.0,0.9733,0.9897,0.676,-1.0,0.436,-0.8539,0.4034,0.9537,-0.9926,0.542,-0.7625,-0.9969,-0.9824,-0.94,-0.9171,-0.9934,-0.9994,-0.9983,-0.9376
FH_CEID_Walk,,,,,,-0.6893,-0.783,0.9983,0.5696,-0.971,0.9552,0.9268,0.8863,-0.9817,0.913,0.9779,0.9757,0.9552,0.9435,-0.9665,-0.7877,0.9656,-0.8566,-0.9267,,0.7573,-0.8443,-0.9578,0.9909,0.9793,0.8804,0.976,0.9767,0.9515,0.9773,0.9747,0.4884,0.8818,0.9571,0.9833,0.9689,0.9023,0.9922,0.8827,0.958,,-0.7543,-0.928,0.9531,0.9371,-0.6789,0.9335,0.9299,0.9552,-0.8929,0.9999,-0.9753,-0.9325,-0.7103,0.9876,0.995,0.4538,-0.91,-0.9845,0.912,0.7982,0.9758,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8438,0.971,0.9413,0.7506,-0.964,-0.9981,-0.9944,-0.9173,0.1107,0.99,0.9927,0.9988,0.976
FH_COVIDhub_ensemble,,,0.6795,0.993,0.9976,-0.3078,-0.9356,-0.9811,0.9983,-0.9862,0.6998,0.9358,0.4958,-0.993,-0.9665,-0.965,0.9697,0.9216,0.8501,-0.991,-0.9359,0.985,-0.932,-0.7094,-0.9875,0.8038,0.3511,-0.9833,,0.9723,0.9944,0.998,0.9958,0.9989,0.9999,0.9988,0.9686,0.9995,0.9988,0.9868,0.9897,0.4044,,0.9982,0.9991,,,,-0.9958,-0.9844,-0.9112,0.3646,-0.8427,0.9753,0.9955,-0.9217,0.9744,-0.9849,-0.8725,0.9791,0.9852,0.8438,0.971,0.9413,0.7506,-0.964,-0.9981,-0.9944,-0.9173,0.1107,0.99,0.9927,0.9988,0.976
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6655,0.8762,-0.9985,0.9972,0.9926,,,,,,,,,0.9992,0.9958,,,,,0.7827,0.9415,0.999,,-0.9815,0.9991,0.9999,0.9942,,0.9997,0.9992,0.9854,0.6179,-0.8861,0.8799,0.7935,-0.9648,-0.9971,-0.9743,-0.9523,0.4885,0.9965,0.9994,0.9647,0.9776
FH_CU_nochange,,,,,,,,,,,,,,-0.9822,0.924,-0.0003,-0.9881,0.8192,0.8238,-0.8789,0.9587,0.9959,-0.9108,-0.4886,-0.9923,0.6135,-0.9993,0.9946,,0.6949,0.7298,0.9292,0.9952,0.9981,0.9909,0.9958,0.9946,0.9979,0.9964,0.9915,0.9651,0.9508,0.9682,0.9848,0.9989,,,-0.9777,-0.965,0.9522,0.9615,0.9818,-0.9528,-0.3904,-0.8158,-0.8829,0.9932,-0.941,-0.9781,-0.9972,-0.9954,-0.3047,0.9816,0.9996,0.8301,-0.9034,,-0.9733,-0.984,0.0159,0.7884,0.5864,0.9788,0.9807
FH_CU_scenario_high,,,,,,,,,,,,,,-0.9723,0.9961,0.9912,-0.8494,0.9626,0.6428,0.822,0.9548,0.9956,-0.8281,0.0355,-0.9934,0.489,-0.9995,0.988,,0.4236,0.3878,0.8619,0.9949,0.9973,0.9879,0.9954,0.9944,0.9979,0.9963,0.9937,0.9342,0.8597,0.8703,0.9267,0.9966,,,-0.9733,-0.9479,0.9771,0.9844,0.9937,-0.5819,0.9243,0.7085,-0.1245,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9895,-0.9978,-0.9991,-0.9997,-0.9859,0.8387,-0.9428,0.9348,0.9923,-0.9386,-0.68,-0.9973,0.6327,-0.9912,0.9841,,0.9466,0.8916,0.9532,0.9896,0.9941,0.9848,0.9902,0.9875,0.9931,0.991,0.9824,0.9746,0.9711,0.9816,0.9922,0.9995,,,-0.9806,-0.9732,0.8364,0.7251,0.7058,-0.9811,-0.9518,-0.9791,-0.9477,0.9688,-0.9668,-0.9865,-0.998,-0.9955,-0.305,0.9797,0.9997,0.8365,-0.895,,-0.9638,-0.9969,-0.4817,0.5883,-0.4725,0.9725,0.9863
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.968,0.7984,0.2546,-0.9623,0.8981,0.4395,-0.9833,0.9379,0.9941,-0.8473,-0.6828,-0.9962,0.4317,-0.9967,0.9773,,0.6949,0.4768,0.8397,0.9917,0.995,0.9825,0.9922,0.99,0.9951,0.993,0.9827,0.9515,0.9303,0.9501,0.9642,0.9952,,,-0.9687,-0.9501,0.8335,0.8769,0.9635,-0.9302,-0.3379,-0.7985,-0.9517,0.9892,-0.9415,,-0.9382,-0.9963,-0.3823,0.9633,0.9985,0.8481,-0.8747,,-0.9642,-0.9958,0.2734,0.8264,0.7858,0.9628,0.9889
FH_CU_select,,,,,,0.9221,-0.8389,-0.9236,0.9967,-0.9563,0.9887,0.9997,0.9996,-0.968,0.7984,0.2546,-0.9623,0.8981,0.8133,-0.9428,0.9348,0.9923,-0.9386,-0.68,-0.9973,0.4317,-0.9967,0.9773,,0.6949,0.8916,0.8397,0.9917,0.995,0.9825,0.9922,0.99,0.9931,0.991,0.9824,0.9515,0.9303,0.9501,0.9642,0.9952,,,-0.9687,-0.9501,0.8335,0.8769,0.9635,-0.9302,-0.9518,-0.9791,-0.9477,0.9688,-0.9668,-0.9865,-0.998,-0.9955,-0.305,0.9797,0.9997,0.8365,-0.895,,-0.9638,-0.9969,0.2734,0.8264,0.7858,0.7928,0.9894
FH_Covid19Sim_Simulator,-0.9392,-0.9225,0.9668,0.9484,-0.9944,,,-0.891,0.9143,0.5233,0.9034,0.9564,0.4566,-0.9925,0.713,-0.9108,0.9761,0.9084,0.9213,,0.9986,0.9947,-0.963,-0.8179,-0.5587,0.8629,-0.9534,-0.9711,,0.9877,0.9999,0.9962,0.9995,0.9993,0.9991,0.9997,0.9965,0.9981,0.9991,-0.9979,0.9934,0.9946,0.9976,-1.0,-0.9902,-0.917,0.9533,-0.9902,-0.9906,-0.9992,-0.998,-0.9994,0.9977,,,,0.9984,0.9999,,0.9993,,,,,,,,,,,,,,
