,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,-0.9093,-0.9399,-0.9331,0.9811,0.9963,0.8258,-0.8578,0.8997,0.8686,-0.9945,-0.9991,-0.6855,0.8562,0.9089,0.965,0.9989,0.9735,-0.2701,-0.9493,0.9805,0.9994,0.8056,-0.7196,-0.9925,-0.9889,-0.998,-0.9985,0.9997,0.9885,0.9938,0.9959,0.9999,0.9999,0.9985,0.2366,-0.8841,-0.9958,-0.269,0.9634,0.9987,0.9992,0.9994,0.9942,0.9993,0.9856,0.9979,0.988,0.9974,0.9889,0.9997,0.8747,-0.9987,0.9888,-0.9609,-0.9581,0.945,0.1662,0.8119,-0.2301
FH_CEID_Walk,,,,,,-0.5657,-0.7293,0.9224,-0.9532,-0.5908,-0.8395,-0.7224,-0.9807,0.8816,0.9276,-0.698,0.9555,-0.9614,0.9809,0.9474,0.9626,0.8661,0.7862,-0.8964,,0.7843,0.9754,-0.8913,0.9748,0.9307,0.4033,-0.7611,-0.1336,0.9733,-0.8541,0.824,-0.9828,-0.6403,-0.9262,-0.4362,0.9878,0.9727,0.9755,-0.976,0.9165,,0.9736,0.9872,0.6542,-0.6591,-0.9186,0.9273,-0.4897,0.975,0.8742,0.9508,0.9152,0.9776,-0.9987,0.9939,-0.9961,0.9902,0.957,0.8648,-0.9957,0.3875,0.7805,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9984,-0.2818,0.8682,-0.9612,-0.7994,-0.9222,0.9703,-0.9853,-0.923,0.9609,0.9036,0.9297,0.1971
FH_COVIDhub_ensemble,,,-0.9756,-0.8812,-0.9992,0.7517,-0.8978,0.6234,-0.8904,-0.5027,-0.6917,-0.6451,-0.9349,0.9133,0.864,-0.7896,0.9532,0.9979,0.9993,0.9942,0.8927,0.8434,0.9278,0.9965,-0.4983,-0.9969,0.9014,-0.8955,,0.9867,0.9949,-0.9435,-0.2319,-0.9003,-0.9369,0.7844,-0.9636,0.0452,-0.86,-0.9211,0.9842,0.9958,,0.99,0.9942,,,,0.9981,0.1994,-0.9035,-0.9684,-0.9866,-0.9829,0.9296,0.918,0.9828,0.9928,0.9946,0.9858,0.8591,0.9984,-0.2818,0.8682,-0.9612,-0.7994,-0.9222,0.9703,-0.9853,-0.923,0.9609,0.9036,0.9297,0.1971
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9907,-0.9762,0.4929,-0.7965,-0.7936,,,,,,,,,0.9845,0.9993,,,,,0.4504,-0.8871,-0.9779,,-0.9976,0.9989,0.999,0.9959,,0.999,0.9979,0.9969,0.9866,0.9988,0.9705,0.9847,0.9679,0.9312,0.9925,-0.9855,-0.9263,0.9771,0.9086,0.9088,0.2283
FH_CU_nochange,,,,,,,,,,,,,,0.9973,0.9996,0.9997,0.9979,0.9974,0.9848,0.9951,0.8324,-0.0467,0.9625,0.9755,-0.9993,-0.9968,0.7405,-0.9813,,0.9926,-0.168,-0.9634,0.7228,0.9966,0.6669,-0.1899,-0.4915,-0.8252,-0.9943,-0.998,0.9996,0.9917,0.9977,0.9912,0.997,,,0.9993,0.9984,0.4734,-0.8535,-0.8965,-0.9079,-0.9088,-0.9185,-0.6043,0.9995,0.9998,0.9853,-0.93,-0.9847,-0.9636,-0.9682,-0.8701,0.9947,0.8951,,0.9969,0.7115,-0.8408,0.9734,0.9596,-0.671,0.0496
FH_CU_scenario_high,,,,,,,,,,,,,,0.9989,0.9931,0.9979,0.9992,0.9989,0.9958,0.9974,0.8187,-0.4844,0.9614,0.9805,-0.9979,-0.9983,0.7292,-0.9836,,0.9914,-0.7369,-0.9618,0.7048,0.9946,0.8851,0.5143,-0.4717,-0.8031,-0.9932,-0.9894,0.9997,0.9766,0.9954,0.99,0.9949,,,0.9991,0.9984,0.4601,-0.8535,-0.8965,-0.9079,-0.9088,-0.9185,0.8637,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9991,0.9896,0.9994,0.9979,0.9992,0.9994,0.9928,0.8738,0.8688,0.924,0.99,-0.9984,-0.9978,0.8267,-0.9475,,0.9927,0.9604,-0.9843,0.8724,0.9962,-0.879,-0.868,-0.8432,-0.767,-0.9767,-0.9849,0.9993,0.9971,0.9983,0.994,0.9974,,,0.9996,0.998,0.4668,-0.8535,-0.8965,-0.9079,-0.9088,-0.9185,-0.9505,0.993,0.9955,0.939,-0.9973,-0.9865,-0.9616,-0.9764,-0.838,0.9949,0.9566,,0.9979,0.848,-0.4856,0.9693,0.9654,-0.6638,0.0542
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9986,0.9889,0.9952,0.9914,0.9967,0.9993,0.9973,0.8367,-0.4923,0.9405,0.9871,-0.9968,-0.9993,0.7749,-0.971,,0.9875,-0.8193,-0.9724,0.6497,0.9996,0.9247,0.8991,0.7309,-0.7751,-0.9922,-0.9975,0.9999,0.9957,0.9959,0.9845,0.9923,,,0.998,0.9985,0.5137,-0.8535,-0.8965,-0.9079,-0.9088,-0.9185,0.4651,0.9984,0.9973,,0.957,-0.9677,-0.9617,-0.807,0.6685,0.9979,-0.9081,,0.9826,0.6063,-0.9197,0.9758,0.942,-0.6034,0.054
FH_CU_select,,,,,,0.7725,-0.9222,-0.9951,-0.9939,0.7783,-0.9801,0.9918,0.9807,0.9986,0.9889,0.9952,0.9914,0.9967,0.993,0.9928,0.8738,0.8688,0.924,0.99,-0.9984,-0.9993,0.7749,-0.971,,0.9875,0.9604,-0.9724,0.6497,0.9996,0.9247,0.8991,0.7309,-0.767,-0.9767,-0.9849,0.9999,0.9957,0.9959,0.9845,0.9923,,,0.998,0.9985,0.5137,-0.8535,-0.8965,-0.9079,-0.9088,-0.9185,-0.9505,0.993,0.9955,0.939,-0.9973,-0.9865,-0.9616,-0.9764,-0.838,0.9949,0.9566,,0.9979,0.848,-0.9197,0.9758,0.942,0.8862,-0.0263
