,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,1.0,-0.9569,-0.9104,-0.9271,-0.9205,-0.9755,-0.9119,0.8329,0.9856,0.7896,-0.9162,0.2414,0.9337,0.9242,0.9976,0.8735,-0.0544,-0.9357,-0.2374,0.9416,0.8141,0.9834,0.9445,-0.1295,-0.9265,-0.9719,-0.9392,-0.9822,-0.8414,-0.9572,-0.9448,-0.6858,0.9182,0.9768,-0.2822,-0.8815,-0.9246,-0.9297,-0.9438,-0.9584,-0.998,0.6491,0.8991,0.9892,0.9353,0.9706,0.8795,0.9583,0.9198,0.9498,0.9477,0.9841,0.9937,0.9491,0.8932,0.902,0.9645,-0.7578,-0.8393
FH_CEID_Walk,,,,,,-0.8132,-0.9076,0.9937,0.9506,0.9835,-0.9603,0.8049,0.4501,-0.5969,-0.9823,0.8964,0.1959,0.9422,-0.9009,0.9548,0.9903,-0.9523,-0.8142,0.6325,,-0.9257,0.5558,-0.9317,0.916,-0.9961,0.8449,-0.1295,0.5766,-0.1957,-0.9334,0.2741,0.9855,0.9445,0.0501,-0.7495,-0.235,0.9592,-0.8821,-0.3447,0.9373,,-0.9993,-0.9632,0.9848,0.565,-0.9658,0.994,-0.9605,0.9355,0.9379,0.6598,-0.6116,-0.9884,-0.9758,0.9698,0.9313,-0.894,0.9797,0.536,0.8769,-0.7621,0.9759,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2497,0.9455,0.9824,0.9844,-0.9849,0.9853,0.989,0.9771,0.9878,0.9985,0.9898,0.7321,-0.9162
FH_COVIDhub_ensemble,,,0.9425,-0.9778,-0.9673,-0.8641,-0.9257,0.9969,0.9946,0.9904,0.994,0.7605,0.9683,-0.6596,-0.9611,0.8892,-0.9915,0.9835,-0.9769,0.0907,0.7268,-0.9119,-0.912,-0.9913,0.8462,-0.9162,0.4298,-0.8584,,-0.9316,0.8819,-0.1817,-0.9995,-0.1078,-0.9232,0.9858,0.9967,0.9752,-0.2471,-0.7937,0.1908,0.9224,,-0.9859,-0.9633,,,,0.9449,-0.0618,-0.9773,-0.9216,-0.9788,0.9928,0.7754,-0.2143,-0.4952,-0.8981,-0.9967,0.9486,0.9597,0.2497,0.9455,0.9824,0.9844,-0.9849,0.9853,0.989,0.9771,0.9878,0.9985,0.9898,0.7321,-0.9162
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8715,-0.1481,0.9872,-0.2667,0.3154,,,,,,,,,0.0281,0.961,,,,,-0.285,-0.9987,-0.9715,,-0.9764,-0.9979,0.9737,-0.6879,,-0.9995,0.8596,0.9946,0.4358,0.9976,0.9933,0.9703,0.9971,0.9991,0.9842,0.9825,0.9831,0.992,0.9964,-0.5815,-0.9314
FH_CU_nochange,,,,,,,,,,,,,,-0.6691,-0.9237,1.0,-0.9569,-0.9104,-0.9271,-0.9205,-0.9755,-0.9119,0.8329,0.9856,0.7896,-0.9162,0.2414,0.9337,,0.9976,0.8735,-0.0544,-0.9357,-0.2374,0.9416,0.8141,0.9834,0.9445,-0.1295,-0.9265,-0.9719,-0.9392,-0.9822,-0.8414,-0.9572,,,0.9182,0.9768,-0.2822,-0.8815,-0.9246,-0.9297,-0.9438,-0.9584,-0.998,0.6491,0.8991,0.9892,0.9353,0.9706,0.8795,0.9583,0.9198,0.9498,0.9477,,0.9937,0.9491,0.8932,0.902,0.9645,-0.7578,-0.8393
FH_CU_scenario_high,,,,,,,,,,,,,,-0.6691,-0.9237,1.0,-0.9569,-0.9104,-0.9271,-0.9205,-0.9755,-0.9119,0.8329,0.9856,0.7896,-0.9162,0.2414,0.9337,,0.9976,0.8735,-0.0544,-0.9357,-0.2374,0.9416,0.8141,0.9834,0.9445,-0.1295,-0.9265,-0.9719,-0.9392,-0.9822,-0.8414,-0.9572,,,0.9182,0.9768,-0.2822,-0.8815,-0.9246,-0.9297,-0.9438,-0.9584,-0.998,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.6691,-0.9237,1.0,-0.9569,-0.9104,-0.9271,-0.9205,-0.9755,-0.9119,0.8329,0.9856,0.7896,-0.9162,0.2414,0.9337,,0.9976,0.8735,-0.0544,-0.9357,-0.2374,0.9416,0.8141,0.9834,0.9445,-0.1295,-0.9265,-0.9719,-0.9392,-0.9822,-0.8414,-0.9572,,,0.9182,0.9768,-0.2822,-0.8815,-0.9246,-0.9297,-0.9438,-0.9584,-0.998,0.6491,0.8991,0.9892,0.9353,0.9706,0.8795,0.9583,0.9198,0.9498,0.9477,,0.9937,0.9491,0.8932,0.902,0.9645,-0.7578,-0.8393
FH_CU_scenario_mid,,,,,,,,,,,,,,-0.6691,-0.9237,1.0,-0.9569,-0.9104,-0.9271,-0.9205,-0.9755,-0.9119,0.8329,0.9856,0.7896,-0.9162,0.2414,0.9337,,0.9976,0.8735,-0.0544,-0.9357,-0.2374,0.9416,0.8141,0.9834,0.9445,-0.1295,-0.9265,-0.9719,-0.9392,-0.9822,-0.8414,-0.9572,,,0.9182,0.9768,-0.2822,-0.8815,-0.9246,-0.9297,-0.9438,-0.9584,-0.998,0.6491,0.8991,,0.9353,0.9706,0.8795,0.9583,0.9198,0.9498,0.9477,,0.9937,0.9491,0.8932,0.902,0.9645,-0.7578,-0.8393
FH_CU_select,,,,,,0.7144,0.9214,0.9686,0.9806,0.9715,0.9251,0.9646,0.9957,-0.6691,-0.9237,1.0,-0.9569,-0.9104,-0.9271,-0.9205,-0.9755,-0.9119,0.8329,0.9856,0.7896,-0.9162,0.2414,0.9337,,0.9976,0.8735,-0.0544,-0.9357,-0.2374,0.9416,0.8141,0.9834,0.9445,-0.1295,-0.9265,-0.9719,-0.9392,-0.9822,-0.8414,-0.9572,,,0.9182,0.9768,-0.2822,-0.8815,-0.9246,-0.9297,-0.9438,-0.9584,-0.998,0.6491,0.8991,0.9892,0.9353,0.9706,0.8795,0.9583,0.9198,0.9498,0.9477,,0.9937,0.9491,0.8932,0.902,0.9645,-0.7578,-0.8393
FH_Covid19Sim_Simulator,1.0,-0.8767,-0.9006,-0.9407,-0.9966,,,0.9686,0.9806,0.9715,0.9251,0.9646,0.9957,-0.6691,-0.9237,1.0,-0.9569,-0.9104,-0.9271,,-0.9755,-0.9119,0.8329,0.9856,0.7896,-0.9162,0.2414,0.9337,,0.9976,0.8735,-0.0544,-0.9357,-0.2374,0.9416,0.8141,0.9834,0.9445,-0.1295,-0.9265,-0.9719,-0.9392,-0.9822,-0.8414,-0.9572,-0.9448,-0.6858,0.9182,0.9768,-0.2822,-0.8815,-0.9246,-0.9297,,,,0.6491,0.8991,,0.9353,,,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,1.0,-0.8767,-0.9006,-0.9407,-0.9966,0.7144,0.9214,0.9686,0.9806,0.9715,0.9251,0.9646,0.9957,-0.6691,-0.9237,1.0,-0.9569,-0.9104,-0.9271,-0.9205,-0.9755,-0.9119,0.8329,0.9856,0.7896,-0.9162,0.2414,0.9337,,0.9976,0.8735,-0.0544,-0.9357,-0.2374,0.9416,0.8141,0.9834,0.9445,-0.1295,-0.9265,-0.9719,-0.9392,-0.9822,-0.8414,-0.9572,,-0.6858,0.9182,0.9768,-0.2822,-0.8815,-0.9246,-0.9297,-0.9438,-0.9584,-0.998,0.6491,0.8991,0.9892,0.9353,0.9706,0.8795,0.9583,0.9198,0.9498,0.9477,0.9841,0.9937,0.9491,0.8932,0.902,0.9645,-0.7578,-0.8393
FH_DDS_NBDS,,,,-0.9407,-0.9966,0.7144,0.9214,0.9686,0.9806,0.9715,0.9251,0.9646,0.9957,-0.6691,-0.9237,1.0,-0.9569,-0.9104,-0.9271,-0.9205,-0.9755,-0.9119,0.8329,0.9856,0.7896,-0.9162,0.2414,0.9337,,0.9976,0.8735,-0.0544,,-0.2374,0.9416,0.8141,0.9834,0.9445,-0.1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
