,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9981,0.9962,0.9949,-0.9619,1.0,0.9985,0.9997,-0.967,0.9828,0.9997,0.9963,-0.3652,-0.9924,-0.9992,0.9542,0.0095,0.9923,0.9961,0.999,-0.9933,-0.6396,0.9922,-0.4041,-0.947,0.6133,-0.9892,-0.9962,-0.9135,0.9997,0.9995,0.9989,0.9998,0.9963,0.7088,-0.9884,-0.9828,-0.9991,0.0181,-0.5593,0.9954,0.9932,0.9995,0.999,0.9989,0.9935,0.9516,-0.894,-0.9902,-0.9375,0.9995,0.9977,0.9998,0.9978,0.9731,-0.8732,-0.9739,-0.9885,0.9934,0.983
FH_CEID_Walk,,,,,,-0.898,-0.0892,0.3007,0.9953,0.614,0.5019,-0.9104,-0.9352,-0.9006,0.9016,0.9928,-0.994,0.8983,0.1555,-0.9774,0.9653,0.9343,0.8344,-0.7665,,0.9732,-0.2774,-0.9383,-0.9278,0.9806,-0.994,0.9902,0.1912,0.9904,0.9867,-0.2479,-0.9993,-0.4572,0.8641,0.8514,-0.8597,-0.9964,0.9353,0.809,0.9802,,0.9784,0.9996,0.8057,-0.9344,-0.4087,0.9031,-0.8075,0.9111,0.9792,0.9443,0.9326,0.9922,-0.9788,-0.9874,-0.9078,-0.941,0.997,-0.9131,0.9256,0.9646,0.9076,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8752,0.9997,-0.8207,0.9982,0.9978,0.9998,0.9989,0.9754,-0.8733,-0.9775,-0.7397,0.9393,-0.9981
FH_COVIDhub_ensemble,,,0.9883,-0.9279,0.9991,-0.9886,-0.3284,0.4514,0.9973,0.998,0.6734,-0.9336,-0.9824,-0.9855,-0.9325,0.992,-0.726,0.943,0.9943,0.974,0.9916,0.9989,0.9971,0.9611,-0.3693,0.9686,-0.1947,-0.9666,,0.9748,0.9918,0.9988,0.9996,0.9989,0.9757,-0.7145,-0.9958,-0.4746,-0.9425,0.9232,-0.9039,-0.8963,,0.9991,0.9963,,,,0.7461,-0.9768,-0.9726,-0.9971,0.5243,0.9177,0.9887,0.9381,0.9985,0.9988,0.9717,0.9928,0.9773,-0.8752,0.9997,-0.8207,0.9982,0.9978,0.9998,0.9989,0.9754,-0.8733,-0.9775,-0.7397,0.9393,-0.9981
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9982,0.9672,-0.9859,0.9992,0.9785,,,,,,,,,0.9993,0.9973,,,,,-0.9571,-0.9413,-0.9924,,0.9998,0.9997,0.998,0.9978,,0.9989,0.9988,0.9471,-0.9053,0.9794,-0.8098,0.976,0.9958,0.9998,0.9993,0.9794,-0.8104,-0.9651,-0.4835,0.9989,0.9939
FH_CU_nochange,,,,,,,,,,,,,,0.9603,0.9943,0.9969,0.8885,0.9991,0.9999,1.0,0.9994,0.9998,0.9605,0.9988,-0.9882,0.9876,-0.4279,-0.9875,,0.9973,-0.9814,0.9981,-0.6626,0.9981,0.9925,-0.7001,-0.9951,-0.7047,-0.8529,-0.6762,-0.8032,0.9993,0.9984,0.9986,0.9972,,,0.999,0.7605,-0.9551,-0.9368,-0.8973,0.9853,0.9835,0.9866,0.9999,0.9999,1.0,0.9988,0.9907,0.9547,0.9471,0.9998,0.9975,0.9961,0.9989,,0.9993,0.9787,-0.8193,0.5657,0.9996,0.9839,0.9874
FH_CU_scenario_high,,,,,,,,,,,,,,0.9874,0.9995,0.9926,0.9945,0.9972,0.9993,0.9981,0.9997,0.9979,-0.9807,0.9994,-0.9415,0.9796,-0.4404,-0.9916,,0.945,-0.9823,0.9975,-0.865,0.9984,0.998,-0.6918,-0.995,-0.6924,-0.7684,0.9877,-0.9937,0.9871,0.9967,0.9974,0.9953,,,0.9982,0.7711,-0.9504,-0.9195,-0.7657,0.9913,0.9879,0.9888,0.9987,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9951,-0.9977,0.9506,-0.9978,0.9568,0.9964,0.9888,0.9926,0.998,0.9153,0.9829,-0.9938,0.962,-0.3183,-0.9619,,0.9995,-0.988,0.9953,0.7482,0.9993,0.9901,-0.6671,-0.9934,-0.6552,-0.2824,0.6962,0.9996,0.9999,0.9988,0.9992,0.9983,,,0.9989,0.7505,-0.9592,-0.9432,-0.9332,0.9717,0.9767,0.9829,0.9995,0.9992,0.9991,1.0,0.9992,0.9578,0.9398,0.9998,0.9965,0.9893,0.9977,,0.9944,0.9843,-0.7781,0.8908,1.0,0.8556,-0.9775
FH_CU_scenario_mid,,,,,,,,,,,,,,0.917,0.9967,0.982,-0.4886,0.9917,0.9942,0.9994,0.9991,0.9993,-0.9736,0.9957,-0.6173,0.9887,-0.3992,-0.9877,,0.8843,-0.9931,0.9952,-0.9227,0.9992,0.9984,-0.663,-0.9765,-0.6734,-0.9964,-0.9987,-0.1236,0.997,0.9954,0.9959,0.9935,,,0.998,0.7801,-0.9425,-0.9208,-0.8866,0.7696,0.9518,0.9835,0.9944,0.9948,0.9954,,0.9995,0.9907,0.9532,0.9998,0.9932,0.9961,0.9965,,0.9986,0.9824,-0.8246,-0.7588,0.9895,0.9635,0.993
FH_CU_select,,,,,,-0.9457,0.5066,-0.5394,-0.9788,-0.9954,-0.666,0.9776,-0.8717,0.917,0.9967,0.982,-0.4886,0.9917,0.9997,0.9888,0.9926,0.998,0.9153,0.9829,-0.9938,0.9887,-0.3992,-0.9877,,0.8843,-0.988,0.9952,-0.9227,0.9992,0.9984,-0.663,-0.9765,-0.6552,-0.2824,0.6962,-0.1236,0.997,0.9954,0.9959,0.9935,,,0.998,0.7801,-0.9425,-0.9208,-0.8866,0.7696,0.9767,0.9829,0.9995,0.9992,0.9991,1.0,0.9992,0.9578,0.9398,0.9998,0.9965,0.9893,0.9977,,0.9944,0.9843,-0.8246,-0.7588,0.9895,0.985,0.9873
