,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9971,0.9997,0.9992,0.9999,0.9757,-0.4358,-0.9773,-0.9883,0.4361,-0.5924,-0.9168,-0.9719,-0.9953,-0.9977,0.9778,-0.9395,0.9986,0.9984,0.9696,-0.8945,-0.9416,-0.9827,0.9913,0.995,0.8373,0.9148,-0.9555,-0.9976,0.9793,0.9995,0.9549,0.9987,0.9945,0.9998,-0.4709,-0.8904,0.9511,0.9719,0.9463,0.994,0.7301,0.9991,0.9944,0.9955,0.6695,-0.2597,-0.923,0.9909,-0.9145,0.9998,0.9996,0.9997,0.9973,0.9804,0.9994,0.9944,0.8429,-0.7879,-0.9256
FH_CEID_Walk,,,,,,0.9963,0.9487,0.9275,-0.364,-0.8985,-0.9565,-0.9997,0.8942,-0.9072,-0.9353,0.9532,-0.9191,0.7865,0.9233,0.9522,0.2476,-0.8639,0.9945,-0.7558,,0.9913,0.4469,-0.03,0.978,-0.848,-0.573,0.9968,0.9079,0.9972,-0.9892,-0.9035,0.7537,0.9935,0.979,0.9537,0.9963,-0.8054,-0.9285,0.3072,0.9991,,0.9707,-0.8882,0.9998,0.9743,-0.5424,-0.4373,-0.9213,0.8389,0.8821,0.9612,0.9527,0.9659,0.7229,-0.0572,-0.6456,-0.8901,0.9946,-0.0147,0.9592,0.7855,0.9817,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5862,0.997,0.9987,0.9997,0.9985,0.9983,0.999,0.9927,0.9929,0.9875,0.8466,-0.948,-0.8908
FH_COVIDhub_ensemble,,,-0.9022,0.9836,0.9973,0.947,0.9919,0.9894,-0.4986,-0.9521,-0.9948,-0.9991,0.8371,-0.9625,-0.9838,0.1842,0.995,0.9993,0.9979,0.9893,-0.4496,-0.9755,-0.5913,0.3456,-0.653,-0.4888,0.9809,-0.8438,,0.9792,0.9944,0.9986,0.9993,0.9939,-0.9444,-0.9415,-0.9866,0.856,0.9784,0.9823,0.9914,-0.8916,,0.9986,0.9923,,,,0.9989,0.9483,-0.856,-0.9866,-0.9594,-0.9913,0.9297,0.8275,0.9536,0.9917,0.9967,0.6937,-0.7265,0.5862,0.997,0.9987,0.9997,0.9985,0.9983,0.999,0.9927,0.9929,0.9875,0.8466,-0.948,-0.8908
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8538,-0.7509,-0.9982,0.9985,-0.7589,,,,,,,,,0.9981,0.9911,,,,,0.9613,-0.8332,-0.9553,,-0.9912,0.9955,0.999,0.9981,,0.9947,0.6629,-0.7951,-0.924,0.9994,0.9994,0.9969,0.9998,0.9962,0.9887,0.9872,0.921,0.9897,0.7917,-0.8182,-0.8879
FH_CU_nochange,,,,,,,,,,,,,,0.9996,0.9961,0.9997,-0.9432,0.9846,0.9966,0.9719,-0.3927,-0.9791,0.9902,0.4893,-0.5664,-0.9403,-0.991,-0.9854,,-0.9473,-0.998,0.9995,0.9936,-0.0319,0.9893,-0.959,0.0023,0.9983,0.999,0.9973,-0.7771,-0.9214,-0.9797,0.9987,0.993,,,-0.9978,0.9998,0.9665,-0.8515,-0.9772,-0.961,-0.9884,0.9996,0.9994,0.9995,0.9996,0.9991,0.9117,0.9919,0.9853,0.9979,0.9995,0.9994,0.9991,,0.9939,0.9903,-0.8683,0.9471,-0.7524,-0.9688,-0.9281
FH_CU_scenario_high,,,,,,,,,,,,,,0.9993,0.9994,0.9975,0.9924,0.9974,0.9998,0.9739,-0.4355,-0.9838,0.9904,0.5085,-0.572,-0.9451,-0.9926,-0.9995,,-0.9498,-0.9969,0.9986,0.9821,-0.298,0.9886,-0.9535,-0.1961,0.9989,0.9993,1.0,0.9916,-0.9463,-0.9985,0.9993,0.9946,,,-0.9979,0.9994,0.9697,-0.8316,-0.968,-0.9416,-0.9792,0.9985,0.9967,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9974,-0.9987,0.9972,-0.9998,0.9024,0.9996,0.9959,0.456,-0.964,0.9925,0.386,-0.5937,-0.8994,-0.9713,-0.8458,,-0.8925,-0.998,0.999,0.9937,0.9978,0.9712,-0.9563,-0.9572,0.9985,0.9982,0.9995,-0.8473,-0.8761,-0.7471,0.9986,0.9917,,,-0.9959,0.9999,0.9639,-0.8623,-0.9815,-0.9682,-0.9913,0.9999,0.9981,0.9913,0.9991,0.9989,0.5735,0.9924,0.9855,0.998,0.9995,0.9965,0.9996,,0.9884,0.9828,-0.935,0.4588,-0.753,-0.9668,-0.9181
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9995,0.9849,0.9909,-0.9649,0.9996,0.9985,0.9806,0.425,-0.9814,0.9956,0.4573,-0.591,-0.9317,-0.9845,-0.9989,,-0.9666,-0.999,0.998,0.9738,-0.1847,0.9769,-0.9484,0.8504,0.9994,0.9995,0.9976,-0.3154,-0.8773,-0.9719,0.9983,0.9952,,,-0.9917,0.9984,0.9763,-0.8271,-0.9623,-0.9429,-0.9789,0.9977,0.9981,0.9987,0.9995,,0.866,0.9924,0.9773,0.9986,0.9998,0.9987,0.9996,,0.9922,0.9564,-0.9674,0.9643,-0.7829,-0.9659,-0.9116
FH_CU_select,,,,,,-0.9622,-0.4626,-0.3565,0.7668,0.9616,-0.7081,0.9995,0.9987,0.9995,0.9849,0.9909,-0.9649,0.9996,0.9989,0.9959,0.456,-0.964,0.9925,0.386,-0.5937,-0.9317,-0.9845,-0.9989,,-0.9666,-0.998,0.998,0.9738,-0.1847,0.9769,-0.9484,0.8504,0.9985,0.9982,0.9995,-0.3154,-0.8773,-0.9719,0.9983,0.9952,,,-0.9917,0.9984,0.9763,-0.8271,-0.9623,-0.9429,-0.9913,0.9999,0.9981,0.9913,0.9991,0.9989,0.5735,0.9924,0.9855,0.998,0.9995,0.9965,0.9996,,0.9884,0.9828,-0.9674,0.9643,-0.7829,0.9331,-0.9036
