,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9988,0.9998,0.9999,1.0,0.9906,0.9944,-0.9652,0.9594,0.9933,-0.6164,-0.9606,-0.8737,0.9907,0.9879,0.996,0.9992,0.9996,0.9977,-0.1497,-0.9859,-0.9966,-0.9949,-0.933,-0.887,-0.9972,-0.9985,-0.9958,0.9972,0.9836,0.993,-0.9746,0.997,0.9998,0.9962,0.9557,0.0631,-0.9714,-0.8162,-0.0535,0.9842,0.9951,0.9993,0.9999,0.9986,0.9975,0.9811,-0.8357,-0.9857,-0.986,0.9934,0.9999,0.9998,0.9999,0.9872,0.6325,-0.8997,-0.9074,0.9612,-0.7053
FH_CEID_Walk,,,,,,-0.9354,0.9874,-0.9558,0.9493,0.9919,0.9881,0.8777,-0.7764,0.9396,0.9112,0.9359,-0.9752,0.9548,0.913,0.9361,0.9331,-0.9417,0.9761,-0.7247,,0.1858,-0.9215,-0.9988,0.806,0.9555,0.9758,0.9908,0.9962,-0.027,-0.7522,-0.9606,0.9976,0.9682,-0.8184,0.973,0.7166,-0.9049,0.9566,0.9341,0.7514,,0.9134,-0.8754,0.8694,0.9031,0.4169,0.9042,-0.9628,0.7818,0.9144,0.9283,0.9102,0.9146,-0.978,-0.7593,0.3064,0.6324,0.8301,-0.9733,0.9899,0.9902,0.9892,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.761,-0.8274,0.4795,0.9975,0.9999,1.0,0.9997,0.9858,0.6332,-0.8959,-0.9472,0.7528,-0.7905
FH_COVIDhub_ensemble,,,0.3766,-0.2096,0.2625,-0.9284,0.9441,-0.9976,0.9496,0.9872,-0.9528,0.9311,-0.9492,0.9768,0.9486,0.8934,0.9828,0.9698,0.9946,0.9967,0.9988,0.9957,0.9844,0.9885,-0.3373,0.9626,-0.9206,-0.7122,,0.9995,0.9995,0.9998,0.9955,-0.1375,-0.9899,-0.9707,-0.9499,-0.1054,-0.8651,-0.8066,0.9216,0.7117,,0.9933,0.9999,,,,1.0,0.9998,0.15,-0.9501,-0.9673,-0.9942,0.9968,0.8845,0.9808,0.9921,0.9919,0.9988,0.9863,-0.761,-0.8274,0.4795,0.9975,0.9999,1.0,0.9997,0.9858,0.6332,-0.8959,-0.9472,0.7528,-0.7905
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9803,0.8252,-0.9926,-0.118,-0.9843,,,,,,,,,0.9969,0.9998,,,,,0.9995,0.227,-0.8927,,-0.965,0.9982,0.999,0.9999,,0.9979,0.9959,0.9666,-0.8621,-0.8418,0.8776,0.9995,0.9999,0.9999,0.9997,0.9854,0.632,-0.9014,-0.9535,0.9887,-0.7956
FH_CU_nochange,,,,,,,,,,,,,,0.9988,0.998,0.9995,0.9998,0.9988,0.9993,0.9988,0.991,-0.9993,-0.8177,0.9879,0.9907,0.9873,-0.9986,-0.9978,,0.9966,0.991,0.9997,0.9972,-0.1674,-0.9344,-0.9767,-0.9956,0.7672,-0.9713,-0.999,0.9951,0.9574,0.983,0.98,0.9538,,,0.9983,0.9964,0.9993,0.2222,-0.9118,-0.9222,-0.9371,-0.9243,0.9896,0.9971,0.9984,0.9993,0.9979,0.9984,0.9132,1.0,0.994,0.9994,0.9995,,0.9978,0.9914,0.5888,-0.8971,0.8133,-0.6191,-0.847
FH_CU_scenario_high,,,,,,,,,,,,,,1.0,0.9942,0.9959,0.9987,0.9987,0.9996,0.9992,0.9977,-0.9996,-0.9802,0.9994,0.241,0.9855,-0.9996,-0.9999,,0.9919,0.9852,0.9999,0.9979,-0.1601,-0.8934,-0.9755,-0.9965,0.7665,-0.9694,-0.9857,0.9681,0.4371,0.9497,0.923,-0.2278,,,0.9868,0.9916,0.9973,0.2346,-0.9015,-0.9184,-0.9271,-0.8929,0.9978,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9979,0.9207,0.9322,0.9517,0.9725,0.9998,0.9777,0.9864,-0.9976,0.3978,0.9325,0.0648,0.9825,-0.9852,-0.976,,0.9971,0.9854,0.9999,0.9991,-0.1226,-0.9314,-0.9649,-0.9936,0.6731,-0.9504,-0.9908,0.9978,0.9785,0.9906,0.9888,0.994,,,0.9995,0.9977,0.9998,0.2095,-0.9141,-0.9278,-0.9424,-0.9338,0.9774,0.9924,0.9939,0.9977,0.989,0.9983,0.9176,0.9998,0.9938,0.9994,0.9997,,0.9993,0.9887,0.604,-0.8909,0.8961,-0.2078,-0.8377
FH_CU_scenario_mid,,,,,,,,,,,,,,0.997,0.9833,0.9899,0.9955,0.9953,0.999,0.9981,0.9993,-0.9763,-0.9647,0.9977,-0.4742,0.9801,-0.9979,-0.9994,,0.9923,0.9731,0.9999,0.9988,-0.1339,-0.8709,-0.9669,-0.9823,0.8198,-0.966,-0.9986,0.989,0.9472,0.9714,0.9646,0.9646,,,0.9974,0.9949,0.9984,0.2403,-0.901,-0.9098,-0.9272,-0.9129,0.9824,0.9886,0.9925,,0.9957,0.9965,0.9436,0.9926,0.9892,0.9999,0.9999,,0.9996,0.9842,0.6285,-0.8857,0.877,0.4378,-0.8259
FH_CU_select,,,,,,0.9592,0.9925,0.9967,0.9909,0.992,0.9687,0.9994,0.9626,0.997,0.9833,0.9899,0.9955,0.9953,0.999,0.9777,0.9864,-0.9976,0.3978,0.9325,0.0648,0.9801,-0.9979,-0.9994,,0.9923,0.9854,0.9999,0.9988,-0.1339,-0.8709,-0.9669,-0.9823,0.6731,-0.9504,-0.9908,0.989,0.9472,0.9714,0.9646,0.9646,,,0.9974,0.9949,0.9984,0.2403,-0.901,-0.9098,-0.9424,-0.9338,0.9774,0.9924,0.9939,0.9977,0.989,0.9983,0.9176,0.9998,0.9938,0.9994,0.9997,,0.9993,0.9887,0.6285,-0.8857,0.877,0.9924,-0.1381
