,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9931,0.9841,-0.5405,-0.8769,0.8933,-0.9935,0.9863,-0.933,0.9586,0.9995,-0.9954,-0.9147,-0.9611,0.9795,0.9967,0.9985,0.9988,0.9979,0.9991,0.6912,-0.9321,-0.9879,0.8399,0.9819,-0.3925,-0.9999,-0.9999,1.0,0.9978,0.9918,0.9994,0.9989,0.9998,0.2137,0.0225,-0.9968,-0.9795,0.9825,-0.9988,0.9971,0.9987,0.9942,0.9968,0.9998,0.9993,0.9886,0.9965,0.2483,0.1836,-0.9239,0.9663,0.8379,-0.7553,-0.9765,-0.9421,0.9994,0.9957,0.9921,0.9788
FH_CEID_Walk,,,,,,0.9086,-0.8441,-0.6529,0.9356,0.9577,0.9187,0.9381,0.9291,0.8911,0.9996,0.9849,0.9799,0.1702,-0.746,-0.8886,0.9365,0.9367,-0.9709,0.6668,,0.8106,-0.9818,-0.9466,0.9917,-0.6143,0.3205,0.9908,0.9371,0.9936,-0.7326,-0.7024,-0.9888,0.9952,0.9874,-0.9508,-0.9307,0.7262,0.8338,-0.9918,0.7354,,0.9578,-0.9767,-0.9919,0.5701,-0.584,-0.9831,-0.8941,0.8955,0.9572,0.948,0.9571,0.9433,-0.9859,0.953,-0.8035,0.9749,-0.9409,0.4065,-0.8516,0.8839,-0.8899,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939,-0.9878,0.5864,-0.7231,0.9965,0.8421,-0.9257,-0.9723,-0.9193,-0.8806,0.8803,0.9077,-0.9699
FH_COVIDhub_ensemble,,,-0.8953,0.4374,0.9655,-0.6206,-0.9586,-0.9911,-0.994,-0.3616,0.48,0.895,0.9036,-0.6024,-0.9682,0.2455,0.9976,-0.7183,-0.9038,-0.9911,0.4577,0.9813,0.991,0.9975,0.999,0.8809,0.9971,-0.9673,,0.9882,0.9989,0.9989,0.9993,0.9998,0.643,-0.9228,-0.9864,-0.6308,0.9993,-0.9002,-0.9784,-0.9992,,0.9983,0.995,,,,0.9973,0.3547,-0.9269,-0.9788,-0.8862,0.9397,0.9852,0.9283,0.9879,0.9989,0.994,0.6657,0.8962,0.939,-0.9878,0.5864,-0.7231,0.9965,0.8421,-0.9257,-0.9723,-0.9193,-0.8806,0.8803,0.9077,-0.9699
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9719,-0.9767,-0.9957,0.6532,0.6994,,,,,,,,,0.9975,0.9939,,,,,0.3504,-0.9107,-0.9426,,-0.954,0.9992,0.9975,0.9933,,0.9995,0.4266,0.9884,1.0,-0.9835,0.1999,-0.9221,0.9952,0.8621,-0.9228,-0.9683,0.9911,0.9924,0.948,0.9908,-0.9778
FH_CU_nochange,,,,,,,,,,,,,,0.9109,-0.9931,0.9975,0.999,0.3261,-0.3495,-0.9081,0.9921,0.9981,0.9826,0.9965,0.9994,0.9358,-0.9997,-0.9991,,0.9691,0.9699,-0.1718,0.9993,0.9984,-0.4511,-0.9071,-0.986,-0.9985,-0.1064,-0.9711,-0.9966,0.9943,0.9954,0.9965,0.9961,,,0.9998,0.9989,0.3831,-0.9052,-0.9252,-0.882,0.5804,0.9779,0.9994,0.9999,1.0,1.0,0.9988,0.9979,0.9998,-0.9723,0.3676,-0.9653,0.9981,,-0.9131,-0.9759,0.9911,0.9958,0.9977,0.8225,-0.9967
FH_CU_scenario_high,,,,,,,,,,,,,,0.9769,-0.9994,0.9976,0.9943,0.1585,-0.8245,0.4988,0.9895,0.9978,0.9982,0.9731,0.9996,0.9344,-0.9997,-0.9988,,0.9289,0.9074,-0.6863,0.9983,0.9991,-0.4632,-0.9003,-0.9866,-0.9988,-0.5206,0.9583,-0.9999,-0.9677,0.9914,0.9899,0.9884,,,0.9993,0.9993,0.394,-0.9019,-0.9131,-0.7485,0.9101,0.9815,0.9971,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.9024,-0.9917,0.6718,0.2835,0.427,-0.9126,-0.8376,0.9994,0.9942,0.9896,0.9949,0.9988,0.9255,-0.9917,-0.9959,,0.9922,0.9863,0.9777,0.9969,0.9998,-0.4568,-0.8811,-0.9763,-0.9925,-0.6605,-0.9326,-0.9803,0.9994,0.9971,0.9983,0.9979,,,0.9999,0.9985,0.3767,-0.9085,-0.9356,-0.9177,-0.3338,0.9652,0.9999,0.9998,0.9997,0.9985,0.9995,0.9975,0.9995,-0.7879,0.2401,-0.9719,0.9926,,-0.8645,-0.9716,0.9981,0.993,0.9987,0.8134,-0.9978
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9604,-0.9991,0.9929,0.9976,0.0107,-0.8519,-0.9022,0.9996,0.9961,0.9965,0.9742,0.9944,0.9299,-0.9982,-0.9994,,0.9629,0.9324,-0.7108,0.9968,0.9997,-0.5083,-0.8719,-0.973,-0.9788,0.7975,-0.9562,-0.9829,0.9938,0.9902,0.9915,0.988,,,0.9985,0.9997,0.4167,-0.8924,-0.9126,-0.8681,-0.5133,0.9698,0.997,0.9972,0.9959,,0.9952,0.984,0.988,-0.9887,0.3635,-0.9361,0.9956,,-0.8683,-0.9699,0.987,0.9993,0.9895,0.9654,-0.9981
FH_CU_select,,,,,,0.8229,0.9913,0.9948,0.9999,0.9997,0.9966,0.9923,0.9971,0.9604,-0.9991,0.9929,0.9976,0.0107,-0.9158,-0.8376,0.9994,0.9942,0.9896,0.9949,0.9988,0.9299,-0.9982,-0.9994,,0.9629,0.9863,-0.7108,0.9968,0.9997,-0.5083,-0.8719,-0.973,-0.9925,-0.6605,-0.9326,-0.9829,0.9938,0.9902,0.9915,0.988,,,0.9985,0.9997,0.4167,-0.8924,-0.9126,-0.8681,-0.3338,0.9652,0.9999,0.9998,0.9997,0.9985,0.9995,0.9975,0.9995,-0.7879,0.2401,-0.9719,0.9926,,-0.8645,-0.9716,0.987,0.9993,0.9895,0.9974,-0.9858
FH_Covid19Sim_Simulator,0.9866,0.8833,-0.8761,-0.7429,-0.6614,,,-0.5548,0.995,0.978,0.9892,0.865,0.8911,0.9291,-0.7465,-0.252,0.9989,0.1183,-0.8848,,0.9993,0.9948,0.9864,1.0,0.9978,0.9424,0.9924,-0.9949,,0.9974,0.9998,0.9997,0.9999,0.9953,0.6043,-0.9501,-0.9945,0.9596,0.9695,0.9545,-0.9884,0.9998,0.9975,-0.9991,-0.9903,0.9991,0.9989,0.9995,0.0515,0.4905,-0.936,-0.9818,-0.9968,,,,0.9949,0.9941,,0.9996,,,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,-0.9889,-0.9129,0.9445,0.9942,0.9951,-0.7451,-0.9747,-0.9893,-0.9969,-0.9997,-0.9988,-0.9198,-0.9421,-0.8951,-0.9682,-0.945,-0.9988,0.2141,0.8695,0.9669,0.9994,0.9993,0.9971,0.9909,0.9985,0.9312,0.9733,0.9775,,0.9922,0.9968,0.9997,0.9996,0.9962,0.6684,-0.9213,-0.9815,-0.9958,-0.9627,0.8854,0.9907,0.9882,0.9952,0.0807,0.998,,0.9893,1.0,0.9961,0.3546,-0.9147,-0.9325,-0.9362,-0.9381,-0.9533,-0.9547,-0.9859,-0.8867,-0.5245,-0.9952,-0.9958,-0.9843,-0.9949,0.3656,-0.5097,0.9937,0.8354,-0.9513,-0.9906,-0.9969,-0.9997,-0.9901,-0.9979,-0.9646
FH_DDS_NBDS,,,,0.9923,0.9965,0.9777,0.9881,-0.9858,-0.6974,0.9818,-0.9624,-0.9889,0.9972,0.9935,0.9867,0.9967,0.9571,-0.5564,-0.981,-0.9953,-0.998,0.9751,-0.9221,0.9963,0.9977,-0.9988,0.9859,-0.9995,,0.9954,0.9517,0.4139,,0.4738,0.6699,-0.7285,-0.7616,-0.9977,0.8801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Google_Harvard_CPF,,,,,,,,,,,,,,,0.8678,,0.91,0.3828,0.3098,0.8285,-0.9994,-0.9467,0.9965,0.9907,-0.9952,0.7571,0.9912,-0.9983,,0.882,0.9786,0.9997,0.95,0.9996,0.5974,-0.9403,-0.5691,-0.9779,0.7303,-0.8648,-0.8912,-0.9508,0.958,0.9997,0.997,,,0.8765,0.0833,0.1842,0.9264,0.9863,,0.9928,0.9732,0.2762,,,,-0.9413,0.9953,0.994,0.9373,-0.4286,0.8312,0.842,0.9908,0.9279,0.1567,-0.9635,0.9878,0.9998,-0.8905,-0.7223
