,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9996,1.0,0.9899,0.6903,-0.9668,-0.9788,0.9977,-0.2452,0.8922,0.8607,0.3075,-0.7523,-0.9261,0.9995,0.9986,0.9965,0.996,0.9924,0.9996,-0.9238,0.5245,-0.5977,-0.9616,0.7334,0.95,0.9964,0.9962,0.9961,-0.9331,-0.8269,0.9316,0.9764,0.9902,-0.1729,-0.9668,0.4059,0.9442,0.8474,0.73,0.9995,0.9984,0.9983,0.9981,0.9737,0.9996,0.9138,0.8983,-0.9762,-0.9976,0.3702,0.9485,0.9936,-0.0192,0.9994,0.9903,0.9868,0.989,0.6505,0.9972
FH_CEID_Walk,,,,,,0.9972,0.4643,0.8601,-0.9758,-0.8502,0.9611,0.8783,0.9299,0.9329,0.9283,0.9249,0.9711,0.9965,-0.1492,-0.8614,-0.9991,0.954,0.9864,0.6216,,0.1689,-0.5876,-0.9621,-0.9806,0.9611,0.9994,0.9973,0.9535,-0.8792,0.8633,0.583,-0.5966,-0.952,-0.509,-0.5997,0.9088,-0.9075,0.8671,0.9234,0.8108,,-0.9396,0.8691,0.5326,0.9025,-0.8948,0.9639,0.9865,0.8252,0.8261,-0.9843,0.9978,0.9443,-0.8779,-0.9411,-0.9625,0.7958,0.7407,-0.906,-0.966,0.9933,0.954,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9292,0.9671,0.9969,0.9895,0.9999,0.9941,0.9956,0.998,0.9997,0.9885,0.9997,0.9821,0.9984
FH_COVIDhub_ensemble,,,-0.94,-0.9987,0.9399,0.9674,-0.8919,-0.9775,-0.9823,-0.9116,0.8826,0.9386,0.9502,0.9321,0.9479,0.9262,0.9672,0.9932,-0.4077,-0.9743,-0.9848,0.9913,0.9997,0.9965,0.8393,0.2497,0.9005,-0.9235,,0.9969,0.9989,0.9992,0.9883,0.9842,0.9931,0.5033,-0.4861,0.9795,0.8031,-0.7331,0.9994,-0.99,,-0.9867,-0.6729,,,,-0.3055,-0.9669,-0.9457,-0.9324,-0.9432,-0.9843,0.9561,0.8781,0.996,0.9564,0.9912,0.9996,0.917,0.9292,0.9671,0.9969,0.9895,0.9999,0.9941,0.9956,0.998,0.9997,0.9885,0.9997,0.9821,0.9984
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8025,-0.9795,-0.9979,-0.9836,0.9802,,,,,,,,,-0.9196,-0.708,,,,,-0.8837,-0.9564,-0.9882,,-0.9544,0.9897,0.999,0.9999,,0.9995,0.9995,0.9705,0.9255,0.9755,0.9975,0.989,0.9996,0.9934,0.9974,0.9996,0.9976,0.9937,0.9995,0.9731,0.9985
FH_CU_nochange,,,,,,,,,,,,,,0.9994,0.9998,0.9999,0.9981,0.9801,-0.1687,0.722,0.9969,0.9994,0.9994,0.9821,0.8358,0.3395,0.8662,-0.9976,,0.9988,0.9978,0.9982,0.9863,0.9977,0.8714,0.5105,-0.6176,0.9832,0.8623,-0.5327,-0.9837,-0.9387,-0.968,-0.9504,-0.8954,,,0.9664,0.1724,0.9279,0.0147,-0.3776,-0.9129,-0.9418,-0.9736,-0.9064,0.6973,0.9994,0.9996,0.9971,-0.9447,-0.8003,0.9587,0.9954,0.9925,0.999,,0.9983,0.9998,0.9999,0.9986,0.9989,0.9979,0.9902
FH_CU_scenario_high,,,,,,,,,,,,,,1.0,0.9994,0.9996,0.9969,0.971,-0.4788,-0.8843,0.9957,0.9991,0.9998,0.9849,0.8398,0.3361,0.8418,-0.997,,0.9975,0.9964,0.9958,0.9849,0.9973,0.7205,0.5137,-0.6108,0.9831,0.8624,-0.6662,-0.9756,-0.9289,-0.9225,-0.9359,-0.9511,,,0.9384,0.5387,0.969,0.8521,0.9064,-0.7681,-0.9137,-0.9557,0.6937,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9848,0.7649,0.9048,-0.9777,-0.4649,-0.5152,0.046,0.9913,0.9966,0.9999,0.9894,0.8577,0.3215,0.8601,-0.9976,,0.9983,0.9955,0.9948,0.9807,0.9942,0.9665,0.5423,-0.6469,0.9812,0.8543,-0.6416,-0.9873,-0.9417,-0.9822,-0.9607,-0.862,,,0.9794,0.0091,0.6101,-0.7019,-0.9518,-0.9395,-0.9571,-0.9784,-0.9841,-0.5379,0.9989,0.9982,0.4573,-0.9548,-0.7973,0.955,0.9959,0.991,0.9995,,0.9982,1.0,0.9998,0.9969,0.9997,0.9958,0.9939
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9989,0.9976,0.9975,0.9981,0.9837,-0.4691,-0.9634,-0.199,0.9964,0.9993,0.9892,0.8514,0.3263,0.8279,-0.9997,,0.9963,0.9948,0.9937,0.9823,0.9962,0.8004,0.5363,-0.6551,0.9806,0.8553,-0.3804,-0.9732,-0.9268,-0.9675,-0.9381,-0.9002,,,0.9692,0.0731,0.2166,-0.6537,-0.511,-0.8915,-0.9325,-0.9593,-0.8646,-0.0252,0.9982,,0.9977,-0.3139,-0.8074,0.9419,0.9956,0.9889,0.9996,,0.9932,0.9997,0.9978,0.9953,0.9996,0.9938,0.9954
FH_CU_select,,,,,,0.9943,-0.8558,-0.7971,-0.8534,0.9502,0.9985,0.9996,0.999,0.9989,0.9976,0.9975,0.9981,0.9837,-0.5298,0.046,0.9913,0.9966,0.9999,0.9894,0.8577,0.3263,0.8279,-0.9997,,0.9963,0.9955,0.9937,0.9823,0.9962,0.8004,0.5363,-0.6551,0.9812,0.8543,-0.6416,-0.9732,-0.9268,-0.9675,-0.9381,-0.9002,,,0.9692,0.0731,0.2166,-0.6537,-0.511,-0.8915,-0.9571,-0.9784,-0.9841,-0.5379,0.9989,0.9982,0.4573,-0.9548,-0.7973,0.955,0.9959,0.991,0.9995,,0.9982,1.0,0.9978,0.9953,0.9996,0.9873,0.9946
FH_Covid19Sim_Simulator,0.9886,0.9055,-0.9187,-0.9958,-0.9981,,,-0.9364,-0.9837,-0.9919,0.3969,0.9943,0.9989,0.9998,0.9996,0.9983,0.9995,0.9896,-0.3054,,0.9886,0.998,0.9892,0.9857,0.8622,0.2474,0.9379,-0.9593,,0.9933,0.9979,0.999,0.9958,0.9853,0.9769,0.4147,-0.3868,-0.9356,-0.9121,-0.8629,-0.9664,-0.9958,-0.9811,-0.9957,-0.573,0.9824,0.9985,0.9984,-0.3134,-0.9941,-0.936,-0.9812,-0.9988,,,,0.9998,0.9998,,0.9957,,,,,,,,,,,,,,
