,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,0.9983,0.9999,0.9989,0.9995,0.9937,0.9997,0.9941,0.9939,0.8624,0.94,-0.8909,-0.8299,-0.7433,0.9878,0.997,0.9997,0.9997,0.9995,0.9973,0.9001,-0.9042,-0.9991,-0.9437,-0.4542,-0.9994,-0.9993,-0.9988,0.9953,0.9972,0.9987,0.9972,0.9999,0.9995,0.706,-0.9882,-0.9637,0.0094,0.9896,0.9916,0.9998,0.9992,0.9963,0.9929,0.9849,-0.7432,0.1025,-0.7742,0.9862,0.9998,0.9998,0.999,0.9898,0.1626,-0.9841,-0.9731,-0.9576,0.9941,0.9994,0.9853
FH_CEID_Walk,,,,,,0.9445,0.9986,0.9951,-0.7871,-0.9925,-0.926,0.9035,0.8353,-0.9702,0.9105,0.9137,0.9205,0.9338,0.9521,0.9438,0.9815,-0.9834,0.9808,-0.8612,,0.787,-0.925,-0.9296,0.9553,0.9691,0.9414,0.9812,0.9649,0.9962,0.7166,-0.8049,-0.9359,0.9977,-0.282,0.9866,-0.9634,0.8111,0.938,0.9285,0.9723,,0.9743,0.9766,0.7711,-0.6877,-0.9126,0.9836,0.9285,0.943,0.9522,0.9462,0.9181,-0.7559,-0.9891,0.5749,0.9448,-0.1018,0.9513,0.9957,0.9619,0.9661,0.9985,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9897,0.9988,1.0,0.9983,0.9994,0.9931,0.047,-0.9818,-0.985,-0.996,0.8962,0.9615,-0.9614
FH_COVIDhub_ensemble,,,-0.906,0.9923,0.9998,0.9993,0.9992,0.9945,-0.7389,-0.99,-0.9849,-0.879,-0.9994,-0.9893,-0.9679,0.7459,0.9706,0.9949,0.9977,0.9924,0.9997,0.3591,0.9985,0.9012,0.9469,0.8737,0.5906,-0.9451,,0.996,0.9981,0.9993,0.9988,0.9992,0.9114,-0.8845,-0.9937,-0.9692,-0.3021,-0.8843,-0.9222,0.9999,,0.9969,0.9986,,,,0.7004,-0.9591,-0.9522,-0.9881,-0.9893,0.9538,0.9923,0.9896,0.9894,0.9999,0.9984,-0.516,0.9192,0.9897,0.9988,1.0,0.9983,0.9994,0.9931,0.047,-0.9818,-0.985,-0.996,0.8962,0.9615,-0.9614
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9698,0.8657,-0.9959,0.9994,0.9397,,,,,,,,,0.9965,0.9978,,,,,-0.9214,-0.9276,-0.9434,,0.9976,0.9984,0.9965,0.9953,,0.9812,-0.7193,-0.8055,-0.6489,0.9993,0.9999,0.9973,0.9983,0.9946,0.078,-0.9805,-0.9726,-0.9817,0.9586,0.9875,-0.9356
FH_CU_nochange,,,,,,,,,,,,,,0.9989,1.0,1.0,0.9988,0.9979,0.9995,0.9955,0.9977,-0.9916,0.9883,0.9366,-0.9188,0.8934,-0.9961,-0.999,,0.3019,-0.8886,0.2528,0.9988,0.999,-0.6896,-0.8417,-0.9891,-0.4245,-0.7314,-0.9931,0.9999,0.9966,0.9975,0.9966,0.9975,,,0.9973,0.7303,-0.8645,-0.8825,0.5598,0.9827,0.9953,0.9928,0.9989,0.9994,0.9956,0.9887,-0.7096,0.9945,0.9953,1.0,0.9983,0.9996,0.9999,,0.1057,-0.9776,0.9966,0.9922,0.9968,0.9691,-0.9857
FH_CU_scenario_high,,,,,,,,,,,,,,0.9997,0.9982,0.9984,1.0,0.9997,0.9995,0.9967,0.9995,-0.9951,0.5283,0.9576,-0.9371,0.8801,-0.997,-0.9996,,-0.4279,-0.9241,-0.4845,0.9977,0.9994,-0.7309,-0.8182,-0.9895,-0.6998,-0.7161,0.9546,-0.9936,0.0743,0.9931,0.9926,0.9933,,,0.992,0.7496,-0.6478,-0.6838,0.9434,0.9892,0.9941,0.9915,0.997,,,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,0.9998,-0.2708,-0.3926,-0.8545,0.9027,0.9993,0.9603,0.9594,-0.9949,0.9956,0.8559,-0.9219,0.883,-0.9792,-0.9876,,0.974,0.6275,0.9821,0.9963,0.9998,0.2746,-0.8312,-0.9861,-0.9818,-0.639,-0.9588,0.9992,0.9998,0.9987,0.998,0.9987,,,0.9987,0.7191,-0.9105,-0.9255,-0.7219,0.9638,0.9963,0.9936,0.9999,1.0,0.999,0.9995,0.9419,0.9946,0.9949,0.9999,0.9985,0.9981,0.9998,,0.2028,-0.9617,0.9974,0.9915,0.9979,0.8576,-0.9868
FH_CU_scenario_mid,,,,,,,,,,,,,,0.9987,0.9921,0.9931,0.9971,0.9993,0.999,0.9962,0.9997,-0.9942,0.9148,0.9603,-0.9737,0.867,-0.9921,-0.9984,,-0.3062,-0.9501,-0.4364,0.9958,0.9998,-0.7712,-0.7508,-0.9727,0.8034,-0.7105,-0.994,0.9786,0.9977,0.9952,0.9926,0.9942,,,0.9956,0.7465,-0.8813,-0.8947,-0.7896,0.9264,0.9987,0.9969,0.9976,0.9972,0.9995,,-0.4869,0.9966,0.9929,0.9992,0.9989,0.9987,0.9992,,0.1427,-0.9685,0.9968,0.996,0.9846,0.9643,-0.9825
FH_CU_select,,,,,,-0.0943,-0.9928,-0.8098,0.8096,0.9905,0.9973,0.999,0.9978,0.9987,0.9921,0.9931,0.9971,0.9993,0.9996,0.9603,0.9594,-0.9949,0.9956,0.8559,-0.9219,0.867,-0.9921,-0.9984,,-0.3062,0.6275,-0.4364,0.9958,0.9998,-0.7712,-0.7508,-0.9727,-0.9818,-0.639,-0.9588,0.9786,0.9977,0.9952,0.9926,0.9942,,,0.9956,0.7465,-0.8813,-0.8947,-0.7896,0.9264,0.9963,0.9936,0.9999,1.0,0.999,0.9995,0.9419,0.9946,0.9949,0.9999,0.9985,0.9981,0.9998,,0.2028,-0.9617,0.9968,0.996,0.9846,0.9918,0.0843
FH_Covid19Sim_Simulator,0.9249,-0.7411,-0.8821,-0.8417,0.3091,,,0.9955,-0.718,-0.9792,-0.9763,-0.9986,-0.9976,0.9897,0.9133,-0.9977,0.9983,0.9992,0.9994,,0.9978,-0.9978,0.9981,0.9519,0.9452,0.9213,-0.9823,-0.9971,,0.9994,0.9994,0.9998,0.9994,0.9928,0.8651,-0.9286,-0.9997,-0.6571,-0.5379,0.9919,0.9965,0.9999,0.9985,0.9984,0.9996,0.9995,0.9997,0.999,0.6884,-0.9714,-0.9757,-0.9959,-0.9994,,,,0.9917,0.9833,,-0.7989,,,,,,,,,,,,,,
FH_CovidAnalytics_DELPHI,-0.954,0.8415,0.9717,0.9842,0.9973,1.0,0.9991,0.9892,-0.7422,-0.9773,-0.9786,-0.9775,-0.9654,-0.9635,-0.9718,-0.9707,-0.962,-0.3323,0.9173,0.9877,0.9975,0.9946,0.9963,0.8085,-0.7892,0.9942,0.9978,-0.9977,,-0.9922,0.9825,0.9998,0.9998,0.9964,0.9266,-0.8559,-0.9936,-0.998,0.6642,0.9902,0.9988,0.9985,0.9989,0.9981,0.9947,,-0.4057,0.9994,0.6927,-0.9425,-0.9508,-0.9653,-0.9677,-0.9715,0.9999,0.9939,0.9997,0.9993,0.9987,0.9794,0.9986,0.9989,0.999,0.9999,1.0,0.9998,0.9917,0.0575,-0.9853,-0.9717,-0.9897,-0.9776,-0.9997,-0.9735
FH_DDS_NBDS,,,,0.9975,0.9985,-0.8523,-0.9367,0.9949,-0.7226,0.463,-0.9877,0.9449,0.9987,0.9807,0.9997,0.9977,0.9989,0.9986,0.9949,0.9988,0.9844,0.988,0.9966,-0.9817,-0.7905,-0.9453,-0.9932,-0.9997,,-0.9848,-0.9982,-0.0702,,-0.9613,-0.8271,0.4117,0.9839,0.9785,0.1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Google_Harvard_CPF,,,,,,,,,,,,,,,-0.98,,0.9122,0.6663,0.9977,0.9913,0.9937,0.9806,0.995,0.9715,0.9186,-0.9405,0.9885,-0.9971,,0.7992,0.9409,0.9954,0.9949,0.9963,0.8881,-0.8982,-0.9995,-0.9782,-0.0473,-0.9932,-0.8931,-0.9799,0.9514,0.9885,0.9894,,,0.9859,0.7564,0.9333,-0.9961,0.7824,,0.9162,0.975,-0.9441,,,,0.6741,-0.9534,-0.9985,-0.9746,0.9705,0.9757,0.8482,0.985,0.2162,-0.3879,-0.8693,0.9894,0.9862,-0.9706,-0.8827
FH_IEM_MED_CovidProject,,,,,,,,,,,,,,,,,,,,,,,0.983,0.9783,0.9079,-0.9885,-0.9822,-0.9994,-0.9165,0.9975,0.9991,0.9999,0.9993,0.9987,0.9193,-0.896,-0.992,-0.9933,-0.6889,-0.9954,-0.9985,-0.9943,0.8124,0.9686,0.9837,0.9847,0.9939,0.9993,0.7149,-0.9447,-0.9606,-0.9498,0.9891,0.9754,0.9884,0.9951,0.993,0.9995,0.9746,-0.7987,-0.9932,-0.9964,-0.9893,-0.9971,-0.9672,0.9971,0.9987,0.1045,-0.9815,-0.998,0.9628,0.9778,0.9872,0.99
FH_IowaStateLW_STEM,0.9295,-0.7449,-0.7736,0.9773,0.9982,,0.998,0.9704,-0.8715,-0.9828,-0.9921,-0.935,-0.9848,-0.9899,-0.9993,-0.9989,-0.396,-0.1434,0.1766,0.8664,0.8942,-0.9524,0.7115,0.705,-0.8,0.9593,0.992,0.5287,,0.9964,,0.9962,0.9958,0.9943,-0.0415,-0.8658,-0.9818,-0.9989,0.9608,0.2676,0.9821,0.989,0.9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_JCB_PRM,,,,,,,,,,-0.9997,-0.9833,-0.8,0.9858,0.997,0.9852,0.9926,0.9998,0.9826,-0.4758,0.9999,0.9923,0.9848,0.9908,0.9769,0.9144,-0.9423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
