,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04
BPagano-RtDriven,,,,,,,,,,,,,,,,0.999151659944785,0.9866905326889431,0.9967730167982276,0.9992356667564974,0.9979357074579732,0.9984922382230375,0.9990753410467704,0.9997278751609616,0.9982300045500399,0.9098056648687012,-0.997975910991709,-0.9312371887550022,0.9046054752611223,-0.07151107196911943,0.9854280130663587,0.9825066564584218,0.9945350942988008,0.9996557556430462,0.9998895274757892,0.9998809891463697,0.9995352276954989,0.992370018380591,0.5628727001660788,0.8257521627554981,0.9900949163393294,-0.9530149000645685,-0.9941569613234535,0.9984615812887182,0.9974558325540054,0.9980646505805322,0.9968389247519355,0.9982302448648067,0.9289761047043386,0.8945006910289623,-0.9673255021745497,-0.9933270352469634,0.9902509205813973,0.9870004953361831,0.9990498812873635,0.9990230254378223,0.9810921803267334,0.9997488753282516,0.9981883526581621,-0.9302346889312019,-0.9970195726770097,0.9909342230541718,0.9974601335426667,0.9984298538682931,0.9991193889239287,0.9999196766412393,0.9834661265816248,-0.41840495462415106,-0.9983257486588164,0.3471919384603068,-0.9588059411369618,-0.9964553616833796,0.8031604389483904,0.9968240975512226,0.9972722114299061,0.9994330835343825
CEID-Walk,,,,,,-0.9045228109477568,-0.8332170856815242,0.9984632504910892,-0.9199230339691797,0.22617166585659287,0.8522694880058748,0.9577751858674871,-0.9205579604329859,-0.998715889506522,0.8888417545862002,0.9815287683121819,-0.5099671946928255,-0.8491742175685473,-0.986781192078197,0.8853407761054911,0.8247034091651766,0.8893651577701485,0.880954064087974,,,-0.9994375440889618,-0.9080275085768321,0.8116657578454971,-0.9691499154002119,0.9906438855351481,-0.4424550719379452,0.7418864727944262,-0.8448777216450623,0.9973881563590241,-0.7277290747143872,0.9672203830801568,-0.9830769082408155,-0.8991629212433543,0.7668290006758326,-0.7006865474506121,0.3411408400900009,-0.9881296016010901,0.09775589633682269,-0.9193753965506373,-0.32012210717096434,-0.9910919870347565,-0.943891559903246,-0.8472542216809442,0.9788537099796304,0.9372163037841093,-0.7997722496929067,0.9448678658747445,0.9044204525254659,0.2800344841274952,0.995430924205802,0.9262845380400906,-0.8212994019023161,0.4495263890324086,0.8042248060380836,-0.9097515386019848,0.9938481307282545,0.99786885197907,-0.9654070217748174,-0.8155083937737235,0.8832860309719625,-0.7732520154238673,0.764064621887592,,,,,,,,
COVIDhub-4_week_ensemble,,,0.6331063899688811,-0.3289206883074849,0.9167518504826988,0.9868214470311693,0.9691133197252365,0.9864760316567168,0.9851752956526714,0.995999986223688,0.9427124655009614,0.9760868545494917,-0.9464322788518518,-0.9994665097882991,-0.9928105989835931,-0.9983192170677211,0.8742055548780686,-0.8816735018991229,0.6646331817111821,0.9912072128064471,0.9955626323624125,0.9937847790307152,0.9961455837955282,0.995883589322483,0.9624557739352251,0.7739571284997966,-0.2535932414058535,0.9471729555115679,0.9964865005754144,0.9995087037319301,0.9933753671526254,0.9916572072721601,0.9994288311991617,0.9989719655942759,0.9910759576664714,0.9813427186742661,0.9706252160913036,0.39499236649511027,0.7483026050588952,-0.7083108258159432,0.5898837020316409,0.9992512347723407,0.9776787648851366,0.9910480169225181,0.6458567405125598,0.9894951993795037,0.9991023635567957,0.8877771907317059,0.9455860064879614,-0.9872320546198436,-0.9737465875141742,0.28594593131391277,0.8874301476539489,0.9934287283912516,0.9969820561284066,0.9960774871405491,0.9692905258803214,0.8888473394680056,-0.94199904716631,-0.440357674772087,0.9488250082672466,0.9905584599240611,0.9873130420562691,0.9993224017807922,0.9980176739921951,0.961470910017568,-0.33894713484881134,-0.99990515983027,0.6680474328837498,-0.867054794747689,-0.14863764053771122,0.8465540007823026,-0.9972769738675429,-0.9953375462171743,0.9985623623127036
COVIDhub-baseline,0.004474426319321212,-0.5796313710036416,0.7740935449366718,0.9420101747367274,-0.9985438391021357,-0.9910724336925758,0.8715846804048777,0.8853434039414765,-0.824259730136593,0.9735625188193575,-0.8757574849573948,-0.9666851757669339,-0.6320245808470213,-0.3814383342039329,-0.8679225927172665,-0.819225462862486,-0.8167711608401613,-0.914105914961616,0.3893277605505441,-0.9989838055848461,0.8622734433522751,0.20878656753773428,0.8770729652653098,-0.7943892777138779,-0.8997054980170174,-0.4317207775721992,0.9845315574785096,-0.9568995314504907,0.9049817795020604,-0.10313876908780606,-0.10042967607339182,-0.9589108448596282,-0.9900258633954349,0.9705687388115551,-0.7739032872978351,-0.7702644104568261,-0.936739368301198,-0.7319933150085629,-0.8619325650782494,,-0.8840442185774275,-0.8258824380042309,-0.9979655036348265,-0.9561387879582741,-0.9973046664342511,-0.8392604274202848,-0.8760256199512169,0.7317270880271042,-0.9012437454100173,0.8835552491786426,-0.880655469628743,,0.8587670538486522,-0.8711897692663986,0.9892062655458046,-0.5006449366699082,0.9930878270698233,0.8429319755563243,-0.4443626277378079,-0.9147006719122284,0.4789072787296764,-0.5650628823331814,-0.9891309805450792,0.883921053467846,-0.9364055551997681,0.8709823713381855,0.5379116483521337,0.975013073536172,-0.7519018888663265,0.9245647712552182,-0.9611544766589311,-0.8000339375082903,-0.7005352839693935,-0.9641983648441499,-0.7174015480985871
COVIDhub-ensemble,,,-0.47641851033486704,-0.9053665090614935,0.9985546221569388,0.9892302034985979,0.9726493078420896,0.999596204614716,0.9805102842818597,0.9989761360098196,0.9593434920593582,0.9872414422211945,-0.9273841128740061,-0.9068110444691848,-0.9923347859007103,-0.9617639706164134,0.45224800289342215,-0.9048580268875936,-0.4536342071394803,0.9992259430073152,0.998113135792984,0.9922729750773456,0.989711706289723,0.9984630192360661,0.9435019610629368,0.8771977428984005,0.949671427973921,0.4334299205379417,0.96114959378112,0.9976340535913425,0.9965526326062818,0.998053227031802,0.9985427611779779,0.9998784329902253,0.9846741858684072,0.8647017769272035,0.9934829063995121,0.03544634391231405,0.728830477647189,0.9947826130994679,0.9712616134021701,0.6919494613315249,0.9933311398243028,0.9680108441758052,0.9809682131581278,0.9572253609307093,0.9982613166733155,-0.11388451474779093,0.9622176907043597,-0.9541983137255459,-0.9307872890270843,0.9943993743164303,-0.7200853566138665,0.7370183615411455,0.9983289838987334,0.9839782697153462,0.9857601358103404,0.8710984898456613,-0.9513307689747048,-0.8715721874824274,0.9999262570272924,,,,,,,,,,,,,,
CU-nochange,,,,,-0.996881278827376,-0.003023278149979325,-0.998005871005094,-0.015533665221005688,-0.9881590608131621,-0.9941234951118229,-0.9782056104979151,-0.9837223981957601,0.9509284088709854,-0.9963450737222109,0.9930807395865103,0.9241490363662759,0.9987597870710905,0.13322417403937625,0.9852905634301251,0.9987046961371794,0.9980686398403711,0.9432500801235824,0.978980545352088,0.9995836755825476,-0.8491918929672594,0.981938802107662,-0.9655277081615163,-0.9997739115128133,-0.9994845525905593,0.9981686877597716,-0.9958446439495008,-0.9915658442505575,0.9994846150422136,0.9997792290835983,-0.9945652024926324,-0.8727416441605873,0.9763091747632929,0.3498676845190579,-0.8475985035054578,-0.7456950575569365,-0.9990498494234314,-0.9966162563983416,0.9952048368171267,0.9994910827623247,-0.9877921353056514,0.9562061719599948,0.9993223379303987,0.9448835797825781,-0.7763337891062205,0.973923469724321,-0.9904646041610192,0.9942496900278013,0.9988618264382501,0.999539675744444,0.9995786904811095,0.9986477795024539,0.9995361142956055,0.9966358924987677,-0.9235266878050372,-0.9922211165450845,-0.9968169928810386,0.9994812640547175,0.9999111476244579,0.996900216075034,0.9923969206108136,-0.9146781643672928,,-0.8241480574822062,-0.29222415450454786,-0.9845536738967591,-0.9845790473497686,0.8084412466939456,-0.9703682146905224,-0.9887609561837201,0.9955593164206854
CU-select,,,,,,0.5113619220994072,-0.9950579934430475,-0.017996209915288552,-0.9462649245787098,-0.9903781780731286,-0.9381412917783858,-0.976573941457902,0.9002399474292315,0.25534784152180423,0.9872019963822953,0.972572897639896,0.9812246533760195,0.009829186612722418,0.9926397228513648,0.9909697439991434,0.9972704264018035,-0.8995530373935181,0.9489717975085091,0.9774562268522586,-0.8139268917316316,0.9848200664800565,-0.994848770358812,-0.9991188207075652,-0.9933654394940252,0.9973822580522755,-0.9905934223630029,-0.9737029539855806,0.9987580323301001,0.9978747413805712,-0.9954190106637533,-0.9840270108393825,0.9546053602735247,0.525841756663479,0.9426757101083901,-0.9915694276482245,-0.8852143492058806,-0.9820091010833267,0.9898195328921048,0.9910040642001982,-0.989731121848128,0.9336285282820955,0.9974113438269165,0.7853519996215703,0.8259800350296612,0.9691228100717811,-0.996129895593777,0.9922779661426459,0.9910954507788675,0.9983637051112739,0.9994604176365008,0.9990790337571281,0.999929524883287,0.9990306622077616,-0.9206476923988687,-0.9824130878805317,-0.9514769101092451,0.9822963153852994,0.9974337195061589,0.9949749665589391,-0.994378231150328,-0.7784155442721821,,0.9988071753937902,-0.2931775214376464,-0.9705070324739584,-0.9985843721381273,0.7940145306238866,0.9794850358941506,0.9495840745471487,0.9857205733120828
CovidAnalytics-DELPHI,0.9949197232804992,-0.6577028833625276,-0.9666441810065076,-0.9994514600497197,0.0738427101087884,-0.9761784277525436,-0.9778901422029516,0.9455301955623077,0.9986153697529965,0.9941017784760469,0.9828158102769171,0.9770356883623724,-0.9424944960553514,-0.9888527621361454,-0.9959318477903003,-0.9979598554003062,0.7671470210890349,-0.9967297404803745,-0.9663575585309476,-0.9514854330431324,0.9954879298639869,0.9933457112971242,0.6602312467078816,-0.8595899238845364,0.9303123051361147,0.9849075547583508,0.9969765928245949,0.9989973103202597,0.999705214503707,0.9995023272558539,0.9998207207280756,0.9981149819994449,0.9982609894753831,0.9973202300889147,0.9633139006334193,0.9972865598298215,0.9945236680388078,0.5979701540564247,0.7971271843368349,0.9843961330831894,0.9789152841256673,0.9985007076552661,0.9979899365631661,0.9958184289649218,0.9975508969047291,0.9961333038008018,0.9992218709880092,0.9204377850497512,0.9076791069842535,-0.9732045610784996,-0.9883073890169591,-0.9925691544370538,-0.9543809544846171,-0.9809739138103462,0.9961980162345794,0.9994224634604951,-0.986450801270784,-0.02902551031763756,0.9554295016027419,0.9968812399097856,0.9986655502220818,0.9992297881730794,0.995175653013163,0.9975558978727033,0.9991783577324796,0.9149258856812295,-0.34584810669436483,-0.9912070399629114,-0.025494446960905304,0.9914230211794005,0.9874465578515489,-0.8279433915406162,-0.9975222302924265,-0.9975141966460432,-0.9226461909070043
JHUAPL-Bucky,,,,,,,,,-0.946765757167886,0.9845868261424556,0.9664541652494639,0.9711799068959203,-0.9301738215519064,-0.982241332626935,-0.9966259873812333,-0.6460103267314552,-0.9942448773852557,-0.9800886431702316,-0.998355970877346,0.9981463796078848,0.999456943797501,0.9992685600939647,0.9988884212294241,0.9961175965212188,0.9124061758287774,-0.9799118657111459,0.9983287523128164,0.999975954648985,0.9998640380991108,0.9996356980243849,0.9999774307664905,0.9999728642064497,0.999744710666795,0.9996868550875989,0.9999655066576275,0.9996111586634827,0.9879790906884788,0.5492248997197621,0.25448128704156736,0.9886064813796348,-0.8599505083702612,-0.8708875418623991,0.997679444545978,0.9996936458052378,0.9944533760790034,0.9983709438892165,0.9917574484343082,-0.7091223414004943,0.987248777806455,-0.9903851785286251,-0.9802620069321124,0.9984501249620208,0.9996231899080261,0.9996304244120656,0.9995286011121319,0.9997727078571003,0.9986189965124029,0.9954684072333886,0.7778284259693495,0.8823106081717741,-0.9516258822339134,-0.9805290568290081,0.9985669143887125,0.9948562882173647,0.9969408123978104,0.9687108617201522,0.5867047713467549,-0.9243074901238844,0.3889017912942885,-0.9955354681711819,0.7809521149958956,0.8367910105771654,0.9929095213976458,0.9919289625668997,0.9824984508528598
Karlen-pypm,,,,-0.9957696733952304,-0.9915654892804844,0.9988216140285987,0.9988401279696344,0.9971461875980576,0.9981162633416372,0.9972136421961897,0.97433426377167,0.9745457541776127,-0.9179006178428479,-0.9848562217253514,0.9196399642173061,0.2617554345539581,-0.6758318797285456,-0.023303329100984316,0.9934942651438502,0.9975452975855287,0.9998772084462907,0.9976394743509889,0.9981826903861989,0.9929533715119844,0.9169948854620089,-0.9911858926556958,0.9543726241989309,0.017489479742542002,0.9779924264917248,0.9952414503469874,0.9977212468872413,0.9989611312839682,0.9962162884021539,0.9987705898218725,0.9978560756753748,0.9996976874261584,0.9909067193083766,0.43073197089919235,0.7607715420838642,0.9978498909669894,0.9919317244480065,0.9993931586425799,0.9998139353797392,0.9954738934960435,0.9908114472743406,0.9968895197568668,0.9985271111229291,0.9284848994158676,0.8912666874125069,-0.9727274820353564,-0.9928138542911555,-0.982145264066034,0.9999816527266501,0.9997733609914028,0.999357546271212,0.9990439179261343,0.9976639451609243,0.9984121146614233,-0.9276000485886997,-0.9246316937694687,0.9973486933736382,0.9964338985741384,0.9966665654757666,0.9953122045055819,0.9998154246067785,0.9722009959255162,-0.41487317214598285,-0.988356561004665,0.3128465029799017,-0.9889365778427592,0.9844605083517053,-0.8138757545037181,-0.9894875189483066,-0.9967825974627853,-0.9947528026378301
