,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04
BPagano-RtDriven,,,,,,,,,,,,,,,,0.9991355795449907,-0.9543643128725112,-0.9804519527968916,0.9975923227584951,0.9984096813085426,0.9986433953117131,0.9998497761221599,0.960930246859532,-0.9063841054144208,0.8806559584314283,0.9933804724573334,-0.32559813985805053,0.7457213093924676,0.1704142927611516,0.9799755742903459,0.950400918345438,0.9974555645782699,0.9997523127309996,0.999637814264469,0.9998834203528513,0.8023341923823756,-0.9980711411198593,-0.9995694692013142,-0.9748414692072451,0.6623583393541156,-0.9992623480410301,-0.9982053503886417,-0.7258638026337159,0.99910440747082,0.9867415765082799,0.9941597954797974,0.9952841916405027,0.9891608400632215,-0.940422501632546,-0.9916283682085272,-0.9945524501072405,0.9935780264758013,0.9991450315784626,0.9986796087778417,0.9996567571160434,0.9997541827194505,0.9988726873870098,0.9934045433540851,0.9868728337436091,0.9977748745154138,0.9991912182055596,0.9999847228232134,0.9999890658964128,0.9999425161340774,0.9999749805761932,0.9999648227335847,0.9999080343035803,0.9999680216384961,0.9994538645273103,0.9947591881943575,0.8184875024907073,-0.7541065471172779,-0.5030119043615029,-0.9918921264984053,0.9704597083497464
CEID-Walk,,,,,,-0.9384603851676734,0.9573014978659659,-0.9106458114571914,0.6460385845463309,0.9958344068875782,-0.8688935521200594,-0.41268679990277657,-0.9226354069915748,0.8676989686066728,-0.4605764868651172,-0.9965574656643006,-0.8580393864919813,-0.835057071627128,-0.8704254213612481,-0.6570433384982932,-0.3876885505242935,-0.9549655379580355,-0.2789754819674781,,,0.9635311430288881,-0.498660756532461,0.9969811037023452,-0.9416497553137773,-0.786367353826857,0.684144215840192,0.5402613633893983,0.9882111760467637,0.919584595803083,-0.25437252006353295,-0.8484748512721714,0.10783298401535135,-0.7944594116902393,-0.9514673871652433,0.7666369784758376,-0.8673486613434269,-0.8838276382008492,0.9842440507370216,-0.32152102611727296,-0.9942877515475925,0.9670935195798159,0.32053213740008357,-0.9656465752279699,0.43841470984150344,0.9711116335172677,0.9966018497253805,-0.9565257614625198,0.9600730740599753,0.9884346593802721,0.6103150533358763,0.6124679451392914,0.08705593182166926,-0.5160246101342096,-0.3371448488094433,-0.6325812575458278,-0.6689118361989093,0.9618174604564187,0.918819787100683,0.8737326725596608,0.67808843790356,0.7713995594929212,0.3534542965408676,,,,,,,,
COVIDhub-4_week_ensemble,,,0.7594859619827039,0.9999506585478174,0.9949046772744623,0.9815407233471307,0.9932713369899107,0.9935050369308696,0.9715796972297787,0.9926755328651929,0.9901506998631167,-0.12016659352322767,-0.9882644228850426,-0.9503578788240099,-0.9829122412693816,-0.9877306897741516,-0.9770035229474638,-0.21795381802239033,0.8342198914070171,0.9962061030510488,0.9953683616610094,-0.7493842328092266,0.9986791926982819,0.9895923815623386,0.9800741570336791,-0.8290064594344053,0.5004117259597755,-0.9759904061224951,-0.9503338004850921,0.754532094121495,0.9989374352727455,0.9872343922868914,0.9989071831894019,0.9865531919662996,0.998097323796923,0.8083723165051769,-0.9986244049212796,-0.9609100303380886,-0.37160612386655334,-0.8509426101024795,0.7003147612624367,0.9885695687988164,0.9899918935674848,0.9923292021444837,0.9981848236856872,0.9986521732259976,0.999225838464593,0.984526775877969,-0.9497356303424649,-0.9861691372330466,-0.9718050468961874,-0.9993724126363721,0.006540795448829795,0.9769612242832737,0.9931914312049654,0.905950099333486,-0.7375944599085651,0.9556927613999834,0.9947331504521317,0.9944595125637268,0.9827860909601696,0.9989546752974116,0.9918315861166971,0.9998475569755247,0.998101451545817,0.9987760684993439,0.9991288453921059,0.9999089691734045,0.9956523422535865,0.9996041408788274,0.807113954856524,-0.7994268430576001,-0.6228992161862563,-0.9513237099152323,-0.9878490372946584
COVIDhub-baseline,0.5030484516174004,0.8463042245338991,0.5471617413715537,-0.7084836005854394,-0.9976554326068703,0.3885732374890458,0.6703003807037929,-0.974153970163306,0.8524583900650845,0.01790939069413877,-0.7521643068648771,-0.2879618121288132,-0.9891173750817841,0.7928275357357489,-0.04556849518497397,-0.9056149467795276,0.9326009776897329,0.8825964584787288,-0.9948875184742216,-0.9744286131269799,0.4369159962623145,0.9893787211203495,-0.9091030319195128,0.9739485908893902,-0.9019978108659652,-0.951128997849001,0.7889149097221394,0.20546580218255306,0.9156102128354021,-0.9949202933681334,0.8200472248586336,0.770685688205289,-0.6008512687247851,0.4051244463950102,0.992040218111224,0.43646114600873986,-0.9089566170984158,-0.6648671522274476,0.9262152039239345,0.36955377948735146,0.9702339701299213,-0.9798378654729099,0.9682772003606142,0.7467684564745292,-0.8889819611866496,0.9704439455021704,0.9871088825292944,0.9149631875668314,0.8618846571570625,-0.5623446437789574,-0.9108499948168438,0.8830622676921044,0.2162358790581298,0.9459660154528337,0.8790851071530941,-0.8955131828502807,0.9444171150229616,-0.8480932970890345,-0.21437771027867614,-0.7612536891728392,-0.1750510691656284,0.7633445963032017,0.9165357402276871,-0.9969339142381786,0.9246242775466079,-0.5865609687640805,0.9970094961939997,-0.9942506970030407,-0.9518867621867568,-0.6027028021391594,-0.8823382736455789,,0.9756040409772806,0.6857091439877111,0.9954982544767275
COVIDhub-ensemble,,,0.9828183537864073,0.9997137443049713,0.9990082806448333,0.9993870494085108,0.9951333788527575,0.9975013652163106,0.9899545976571955,0.9974527136913518,0.9912778433102337,-0.10803235716318138,-0.9838844071935371,-0.9990224146470637,-0.9995892374522479,-0.9988903381743275,0.45226884396854605,-0.713764497070116,0.9977852272341151,0.9790413472904151,0.9961816655886585,0.9795444858911703,0.9999964837373004,-0.5984814542352077,-0.873281196362893,-0.8962022398489595,-0.03457998066598078,-0.9624979313365474,0.6651538671025886,0.9163802142370677,0.994129981175757,0.9954031457172667,0.9997774740456432,0.9905589255589404,0.9971469613913295,0.7830458698155504,-0.9959276388460989,-0.9939266824180883,0.8409026412465732,0.6740611348015934,-0.9905871434943501,0.6698880276008222,0.9835728247377977,0.9547848914532892,0.997440401886775,0.9995255427989375,0.9967840362767519,0.9933985634222984,-0.931496405175726,-0.9921281827476585,-0.8433275432222054,-0.15993708371665405,0.5146212541892072,0.996389711890083,0.9947665014320775,0.9773047822572424,-0.21556585149338225,0.8554264778693357,0.9558042150800569,0.994871090942779,0.9678655214633418,,,,,,,,,,,,,,
CU-nochange,,,,,-0.7982145952003878,0.9939593341417875,-0.9962117299205177,0.9956458128746097,0.9885728269462633,-0.9932663370979103,-0.9353162785995393,0.14022394189918197,0.9924231814731449,0.9815524971078957,0.003173752156454712,0.9953007108078993,0.5521844877535189,0.05328950552475076,0.9956549466288769,0.9884251880781789,0.999053375301409,-0.999217570699265,0.9589218263522731,0.9548748487131589,-0.07223626419624013,-0.9869859648031221,-0.9778464320468334,-0.9932927120539876,0.9920179523211549,-0.9972467497460107,-0.9987834542316973,-0.9959524492567966,0.9999838903579183,0.9990073009718604,0.9979676083744037,0.7777803211182446,-0.9944829803158983,-0.9987039159619473,0.9912889914800097,-0.617660799282626,0.9816576841864066,0.9918452159339136,0.9986185904778474,0.9998898368236828,0.9998793115670702,0.9999582476526536,0.996673250619679,0.9909424044166398,-0.9450632856509269,-0.9941357511825686,0.9598179965084067,0.9831527335070828,0.9993502933833042,0.9978065303976991,0.9991190271923712,0.9976937793695544,0.9770758839375945,-0.9566314442544988,0.9923899549268635,0.9994103514676324,0.9997143312234661,0.9994283931166339,0.9999515316914676,0.999996368042638,0.9999702978712314,0.9997799401706599,,0.9987095268292253,0.9954427163097332,-0.9236983433360799,-0.9131847984741479,0.792323517852103,0.9900479916993302,0.9971887900706722,0.998228474636585
CU-select,,,,,,0.9852701587647714,-0.9882725126759,0.9993171457262328,-0.9527987355914989,-0.9720727724478735,-0.8859852165042608,0.09233895539934023,0.9900928204728999,0.9424625240685649,0.03352580609826328,0.9950695877949698,0.6689266220069462,0.9967080931881838,0.9813860815536877,0.6762195117993108,0.9971465859852172,-0.997793045709876,0.9589502748562289,0.9218997178873736,0.5710814778380735,-0.007054375868329188,-0.9698685850568531,-0.9972062826248589,0.9492111279786263,-0.9892962380289603,-0.9992721671289839,-0.9957841888809007,0.998749731882964,0.9913400154960107,-0.9690602328096765,0.8730570963327644,-0.9939984492392862,-0.9990193007809476,0.8857743311426464,0.9449670802408409,0.9854708259011149,0.6208944816363027,0.998269841963605,0.9978011315944498,0.9984880566946384,0.9996549629526518,0.9993758602346633,0.9964111659229545,-0.9323895533093511,-0.9886454765792214,0.9785850726725802,-0.19399578537431372,0.9879864115345673,0.9938061881191469,0.9948784502365954,0.9967187619382681,0.7924222787326882,-0.9579349738511924,0.9924109829236871,0.9992694926697374,0.9997449796941972,0.9997940221248977,0.9999790251126969,0.9999823196235752,0.9998096483850136,0.9999449878841725,,0.9944310726281165,0.9959219990739901,0.9236022272740885,-0.8636654328722213,0.5873113904175551,0.9881276339831984,0.9754332548503176,0.9923848251990202
CovidAnalytics-DELPHI,-0.9916974187864689,0.9816196390168892,0.9989313899007037,0.9999662238761556,0.993526440716994,0.9961079414464366,0.9976355661153536,0.9996969206934799,0.9931539325162075,0.9912856289125582,0.999538038496172,-0.07331849745874153,-0.9848845112371301,-0.9758113320303161,-0.964370249333403,0.6345094330379929,0.9740447630585914,0.4301952489161964,-0.2521087858854001,0.9784515156264606,0.9996097143023681,0.997454245579982,0.9925416547718777,0.994739261009526,0.06141582957021052,-0.7908334106697517,0.9780361502890913,-0.9925425225330886,-0.9364586614314829,-0.9999163658829753,-0.9458491131027034,0.01617021172406574,0.99952663411968,0.9996113081117299,0.9976965479139164,0.781145933526047,-0.9941670026477851,-0.998459887906181,-0.9708921046774033,-0.7647913786766809,0.9969946407153664,0.9988086169141691,0.9956863226961331,0.9997644676397399,0.9992179480687625,0.9999959414078633,0.998998635359801,0.9871823270047002,-0.9522440307528321,,,0.868059557374559,0.9795185989685619,,0.988711601520216,0.21933462771259715,0.9980120363227362,0.997819434826362,-0.9667319889030828,0.9838430706396672,0.9855426539918278,0.9878650287331969,0.736508227865729,0.5453985555510297,0.05228568741872641,0.9368380294882187,0.9506977524187538,-0.6449053689895414,0.7892174872375463,,,,-0.889238546126703,,0.8958300534110849
JHUAPL-Bucky,,,,,,,,,-0.8011192436113868,0.9692512874629878,0.9903708872289126,0.017662536788172867,-0.9874806989790934,-0.9994856996735739,-0.9978878635292436,-0.9985911424149578,-0.9993407879479277,-0.9997455598708556,-0.987869804852844,0.9975251331222597,0.9994142539760436,0.9986960807695521,-0.9999846124808109,-0.9915066781856443,-0.9868099653233697,-0.9921403307392769,0.9553535661816517,-0.9960403124929194,0.99522718804072,0.9997128674413533,0.9993766451881712,0.9998402224126834,0.9974778398962227,0.9992945413802619,0.9966766872684439,0.8181611698639193,-0.992111780571439,-0.9973773990154533,0.9734037761740165,0.7982703974645254,-0.9866457003888267,0.5338463677975209,0.9988807212466835,0.9934103260918136,0.9987922774218038,0.9970664310801983,0.9970860796375625,0.9890504065096748,-0.9480527889240795,-0.9880862859306792,-0.9863221967878251,0.9598623303269083,0.9945079547577852,0.9987378421108515,0.9994118377685157,0.9999110230698149,0.997962971576026,0.9814042886685505,-0.9410998287545813,-0.8943194452603218,0.9959877222865611,0.9859751915447278,0.9966965136288156,0.9995143188941866,0.9994616536097616,0.9539019717076705,0.999515005313803,0.9933084849201343,0.9998306927889705,-0.974931701075854,-0.9181538227394812,0.7900623830742054,0.9878561574020842,-0.8692452201683656,-0.991033279673561
Karlen-pypm,,,,-0.9994881064816998,-0.9990015941901924,0.9997948978571428,0.9974924359218535,0.9968211557314121,0.9911737146482631,0.984252998792766,0.991653857749699,-0.1122855164613501,-0.992794293982366,-0.9964495723122859,-0.9951718916244909,-0.9996051796240071,0.9900369362544716,0.9982479589479626,0.9999768624115901,0.9933476242104298,0.9993496498082912,0.9980558117616838,0.9916553503003842,0.9797672428899276,0.999628773164039,0.9918386942590389,-0.9750240507708985,-0.9977521785364578,-0.9987042526272902,0.8221387912773358,0.9921013691181095,0.9949811755577074,0.999022128431899,0.9975358003439758,0.9753123922035828,0.8588809443396778,-0.9945813549125271,0.9990536722692496,0.9916176601877462,0.7627884521329417,-0.968292660530683,-0.3135833255037528,0.8942610998935526,0.9999401859161104,0.9996245481898777,0.999383119239473,0.9988249685817446,0.9930474503927669,-0.947684754984186,-0.9943711677837928,-0.9882970037576553,0.9901067041590663,0.9904649731031377,0.9999823406156054,0.9993902659632609,0.9991496970277135,0.9981339395584249,0.9891534457295225,0.9932274522750437,0.9991393991631328,0.9993067455078717,0.9999858630352298,0.9999818693531485,0.9994307834195707,0.9996064577753722,0.9999030989105377,0.9996581105571876,0.9997103556622677,0.9992951201261432,0.9958572087929206,0.8317553751882097,-0.8000850251492428,0.9980011209766098,0.9480291238287848,0.7756159060599052
LANL-GrowthRate,0.9665998490095015,0.08205633897750514,0.9458757035502583,0.9964693011561359,0.997399877415764,0.9984587332302136,0.9943071050929257,0.9993802809471404,0.997216992413633,0.9862032762910089,0.9954915549177308,-0.1571565564204348,-0.9917067066410415,-0.9951286291968876,-0.9937973371960427,-0.997717243051023,-0.9990405674179669,0.9841264801382307,0.9735075271634978,0.9869112516564171,0.8864471851895415,0.9719540938933641,-0.8167928151704559,-0.9216323545771128,-0.018427453501308644,0.6332257452745514,-0.9328675762957999,-0.9606218129536994,-0.03806460038497822,-0.9973915266948918,-0.5489229776034475,-0.9458830407972888,-0.5979028479727428,-0.012616554228379095,-0.9431249536183404,-0.6941747284189324,0.9878918083402899,0.5432520629988128,-0.9859089642880567,0.7372806325153232,-0.9545906637876316,-0.9923580067765192,0.5398643061280546,0.014338532932288761,0.24594697238979107,0.8889181544244467,0.7608978754851397,-0.9685677503352679,0.8556001078521156,,0.4955417681200396,-0.997096595790866,,-0.6167476387534396,-0.9994856131176268,-0.7288925548646956,-0.7872483091682017,-0.9276320342655437,0.9428549108198729,-0.44474456669011153,-0.9805061542663709,0.6816724678591479,-0.8021557056879351,-0.8574287006005188,-0.9903497633411167,,,,,,,,,,
RobertWalraven-ESG,-0.9894710540396316,0.9696469700688022,0.9974174505646375,0.9367052242770255,0.9988957833971437,-0.9902443671759185,,,,,,,,,-0.9964511133194236,-0.9997616559446014,-0.9301272603224013,0.9931716385673042,-0.974286000843986,-0.9592222963151085,0.9928228576966492,-0.8040881272988016,-0.983126793540962,0.9893451996993636,0.9961135592272471,-0.9862355537286978,0.9980360267979221,0.9982901316754867,0.980693833049864,0.9995953782501599,0.9999307477096925,0.9968703104103769,0.9976620364260295,0.9878069059306575,0.9979541576976177,0.77886978280617,-0.9735769119717683,-0.9994107066841922,-0.9985532264299979,-0.7366918321811848,0.9971435944102975,0.9998369998044142,0.9999349845389826,0.9994111440731859,0.997003732791153,0.9986593623788224,0.9974339443629844,0.9881249942292282,-0.9329955734871747,-0.9991918979856733,-0.9965049487290494,-0.9912399563912584,-0.9969568922013363,0.986758332370914,-0.9966754733493974,-0.7811729292624374,-0.8248948578136601,0.9911120216357907,0.9988092377761679,0.9897450073585464,0.9979336101891292,0.969027777441733,0.9930198014781499,0.9939412802897744,0.9943707339693221,0.9981180639083577,0.9908079682101859,0.9640466419458861,0.9987707896199082,0.8776294057562243,0.9271165670682604,-0.7391643620425223,-0.9923776938658389,-0.9958053584375275,-0.9947827842019767
UMich-RidgeTfReg,,,-0.9960969580455481,-0.9994170510730389,-0.15800232682799864,-0.9844201751491186,-0.9979350273110259,-0.9865133728236983,-0.9992768493430262,-0.9727237489061573,-0.9858366566998642,0.09391943227803867,0.9937196506673753,0.999159054409092,0.9999824439542242,0.9986801067393491,0.9992413078625751,0.9986794063605723,0.9873222280198096,0.9993689818440821,-0.9984582472533665,,,,-0.9833130191515467,0.9929786902922036,-0.9734166555745556,-0.9993353751589136,-0.9853317168441427,0.9998875900727608,-0.9973831460437159,0.48224983710431557,-0.9931481667972561,-0.9978631260597126,-0.9964844840841844,-0.7405627604586598,0.9765911801849927,-0.9062539934477303,0.9946911220644213,0.7511732710304788,-0.9981865981618685,0.9621063056428005,0.9807035277091447,-0.9409836043809707,-0.9962155863624751,-0.9946800896721189,-0.9928793662467452,0.9991815019108361,0.9491370564524418,0.9749527516722736,0.9837879294817673,0.9844720258401104,0.9737640385210368,-0.9797913726511078,0.21022843039452,0.9991081720980097,0.9975783452430882,,0.38607706565208333,-0.925579123277604,-0.7718001996524855,,,0.9808553935257796,-0.8497243262763927,-0.8248959952515684,,,,-0.9944999556655865,-0.7807820790992714,,,0.9907145540470147,0.9947187226060878
