,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9922,0.9987,0.9964,0.9935,,-0.8416,-0.9917,-0.9683,-0.996,0.9978,0.9992,0.9999,0.9984,0.9961,0.9986,0.9893,1.0,0.9668,0.8297,-0.9828,-0.9714,,-0.9413,0.7714,-0.9552,-0.9906,0.6633,0.7957,-0.7544,0.829,0.9983,0.9988,0.9994,0.9953,0.9974,0.9911,0.9995,,0.4098,-0.9152,0.9634,0.9968,,0.9999,0.9768,0.999,0.9992,0.9948
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9875,0.9763,0.9762,-0.9842,-0.9941,0.99,0.9695,0.9948,-0.9754,0.9866,0.9681,-0.9621,0.9943,0.9978,0.9685,0.483,0.9453,-0.5666,0.996,0.9927,0.9993,0.9961,0.9994,0.9998,0.9935,0.9843,0.9774,0.9948,0.9969,0.8967,0.9788,0.9563,0.9975,0.948,0.9231,0.9949,-0.4215,0.3621,-0.9805,-0.9436,0.9888,0.9996,0.9997,0.994,0.9949,0.9913,0.9791,0.3923,-0.941,0.2839,0.9822,0.9594,1.0,0.9972,0.9993,0.9738,0.9835,0.997,0.9921
FH_CEID_Walk,,,,,,-0.9765,-0.9988,0.9066,-0.9742,0.9682,-0.127,0.9708,-0.9097,-0.2763,0.8718,0.9402,-0.8997,0.963,0.9978,0.9159,0.988,-0.9114,0.9575,-0.8734,,0.9948,-0.9471,0.9652,0.5888,0.8198,-0.9316,-0.1147,0.4431,0.9465,-0.9838,0.9182,-0.1517,0.9286,0.7447,-0.9749,0.9609,-0.9516,0.7357,-0.9799,-0.9648,,-0.9032,0.8581,-0.9793,-0.9877,0.5453,-0.7152,-0.5651,0.913,0.5559,0.9855,0.984,0.9854,0.9987,-0.8503,-0.9283,-0.8357,0.5386,-0.9963,-0.9994,0.9674,0.6042,,,,,
FH_CMU_TimeSeries,,,-0.2634,0.9645,0.9366,-0.9937,-0.8105,0.9991,0.9986,0.9976,-0.3838,0.4045,-0.8799,-0.8592,0.604,-0.9914,-0.6555,0.9973,0.9953,0.7499,0.9997,0.2253,0.9857,0.9872,0.9993,0.9946,-0.3297,0.9983,,0.569,0.6193,0.9956,0.9997,0.9994,0.9913,0.9988,0.9902,0.9937,0.9888,0.9914,0.9999,0.9633,0.9374,0.9818,0.9949,,0.9942,0.9133,-0.2781,0.9406,0.3765,-0.9757,-0.9731,-0.9596,-0.9933,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9257,0.8257,-0.0651,0.8202,0.9986,0.9993,0.9999,0.9736,0.9949,0.9938,0.9966
FH_COVIDhub_ensemble,-0.9692,0.8893,-0.9693,-0.9868,0.9928,0.7371,0.9916,0.9887,0.9894,0.9959,-0.3195,0.8898,-0.9663,-0.9957,0.6806,-0.9946,-0.8554,0.9888,0.9899,0.9779,0.9988,-0.3211,0.985,0.9952,0.97,0.9937,-0.9965,0.9684,,0.9226,0.3728,0.9994,0.9993,0.9987,0.9997,0.9993,0.9997,0.9902,0.9973,0.9974,1.0,0.9218,,0.9821,0.9879,,,,0.9161,0.989,0.3114,-0.9877,-0.8939,0.9594,0.996,0.9971,0.9951,0.9975,0.9833,0.9722,0.9896,-0.9257,0.8257,-0.0651,0.8202,0.9986,0.9993,0.9999,0.9736,0.9949,0.9938,0.9953
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9818,0.9977,0.867,0.9979,0.997,,,,,,,,,0.9882,0.9951,,,,,0.9406,0.327,-0.9875,,0.9581,0.9962,0.9991,0.9949,,0.9831,0.9709,0.9895,0.9996,0.4855,-0.588,0.9848,0.999,0.9987,0.9996,0.971,0.9931,0.9965,0.9953
FH_CU_nochange,,,,,,,,,,,,,,0.592,0.9959,-0.6795,0.0019,0.9939,0.783,0.9886,0.963,-0.9537,0.9995,-0.3733,0.9411,-0.9994,-0.9983,-0.9392,,0.9297,0.9452,0.977,0.9979,0.9999,0.997,0.9994,0.9989,0.9933,0.9957,0.9943,0.9997,0.9753,0.8015,0.2451,0.9668,,,0.9411,0.9861,0.9716,0.3526,-0.9808,0.9597,0.9999,0.9941,0.9997,0.9873,0.9948,0.9893,0.965,-0.5927,-0.9543,0.1398,0.9971,0.7638,0.9999,,0.9995,0.9678,-0.987,-0.656,0.996
FH_CU_scenario_high,,,,,,,,,,,,,,0.7523,0.9956,-0.3231,0.3986,0.9971,0.9376,0.9925,0.9635,-0.9483,0.9897,-0.0192,0.94,-0.9994,-0.9988,-0.9176,,0.9262,0.9431,0.9745,0.998,0.9999,0.9951,0.9993,0.9985,0.9933,0.9953,0.9943,0.9996,0.9343,0.7727,-0.3514,0.9594,,,0.9305,0.9479,0.9579,0.3526,-0.9804,0.9799,1.0,0.9943,0.9994,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.8647,0.993,-0.8997,-0.8593,0.9852,0.8109,0.9929,0.8793,-0.9487,0.9979,0.9618,0.9547,-0.9994,-0.9978,-0.9339,,0.9346,0.9454,0.9778,0.9975,0.9999,0.9987,0.9993,0.9995,0.9895,0.9952,0.9914,0.9993,0.9924,0.8468,0.284,0.9577,,,0.9444,0.9934,0.9716,0.3526,-0.9808,0.9337,0.9998,0.9946,0.9999,0.9889,0.9954,0.9879,0.9586,-0.4645,-0.9537,0.1434,0.9971,0.7482,0.9999,,0.9995,0.9677,-0.9868,-0.7043,0.9961
