,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,0.9347,-0.2929,-0.8018,0.248,,0.9881,0.9873,-0.3277,0.6675,0.8496,0.9895,-0.8081,0.2517,-0.6967,-0.9215,-0.9395,0.1571,-0.5071,0.9801,1.0,0.7933,,-0.9909,0.8932,0.8373,0.9809,0.9766,0.9256,0.8923,-0.9384,-0.9852,-0.9741,-0.9994,0.9816,0.4861,0.9385,0.9946,,0.9257,0.9409,0.7865,0.9257,,0.9757,0.9447,0.1553,0.9835,-0.9957
FH_BPagano_RtDriven,,,,,,,,,,,,,,-0.9638,-0.9192,0.7629,-0.6925,-0.994,-0.8548,0.9987,-0.9473,-0.4379,-0.9848,-0.9751,0.9159,0.0737,-0.8842,-0.213,0.8446,0.6648,0.9885,-0.2996,0.6067,0.5503,0.9863,-0.8901,0.2861,0.9859,0.9702,0.8106,-0.7824,-0.6462,0.9838,0.8945,0.8564,0.9979,-0.9922,0.9997,1.0,1.0,-0.9065,1.0,-0.8923,0.934,0.9981,-0.9793,0.9965,0.9967,0.5383,0.8737,0.4721,-0.9624,-0.994,-0.8622,0.7768,-0.718,-0.9712,-0.9556,-0.4388,0.7061,-0.4123,-0.9936
FH_CEID_Walk,,,,,,-0.9489,-0.9259,-0.0145,0.8375,0.406,-0.9492,0.9076,0.637,-0.8279,-0.8076,0.9093,-0.5614,0.9927,-0.8401,0.9842,-0.783,-0.4923,0.1146,0.7262,,0.5095,-0.8919,0.3043,0.9779,-0.7617,0.9749,-0.3902,0.5044,0.4651,0.9962,-0.786,0.2861,0.2315,0.9415,-0.5862,1.0,-0.583,0.9993,0.5597,0.8654,,-0.9013,0.9937,-0.4728,0.9214,0.699,1.0,0.9902,-0.9384,-0.9389,0.9216,0.9426,0.9615,-0.904,0.6402,-0.9918,-0.9185,-0.9158,0.8622,0.8705,-0.7279,-0.9965,,,,,
FH_CMU_TimeSeries,,,0.9676,0.9721,0.5475,0.9303,-0.1969,0.3627,0.7936,0.8687,0.2658,-0.9847,0.6785,-0.4744,0.9886,0.9096,0.8742,0.9841,0.5656,0.9916,0.9588,-0.6091,-0.9966,-0.9903,0.6174,0.1655,0.7043,-0.3678,,-0.7829,0.9836,0.0523,0.7647,-0.4618,-0.9268,-0.9548,0.2614,0.9623,-0.9891,0.2959,-0.6935,-0.6833,0.9986,0.6597,0.858,,-0.1493,0.994,0.6932,0.9523,-0.9606,0.856,0.9554,-0.8897,0.9731,,,,,,,,,,,,,,,,,
FH_COVIDhub_4_week_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8129,0.994,0.9177,0.7753,-0.8124,-0.9892,0.7193,-0.0964,0.7902,0.9923,-0.9476
FH_COVIDhub_ensemble,-0.996,-0.9181,0.9915,0.97,0.9928,-0.9982,-0.046,-0.0145,0.5999,0.406,-0.9654,-0.9713,0.7059,-0.8477,0.9427,0.9093,0.9951,0.9851,-0.7146,0.9987,0.8584,-0.5176,-0.9896,-0.9868,0.9224,0.6512,-0.7406,0.1408,,-0.831,0.9896,-0.3571,0.6017,-0.0091,0.9915,-0.9509,0.2331,0.9483,-0.9799,-0.5662,-0.7804,-0.5071,,0.6524,0.8613,,,,0.7704,0.9523,-0.9065,0.9256,1.0,-0.9384,0.9991,0.9932,0.9873,0.9914,-0.9904,0.8576,0.9424,-0.8129,0.994,0.9177,0.7753,-0.8124,-0.9892,0.7193,-0.0964,0.7902,0.9923,-0.9705
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9881,-0.4773,-0.6934,0.6735,0.9727,,,,,,,,,0.7174,0.8381,,,,,0.9523,-0.963,0.9256,,-0.9384,0.9897,0.9953,0.9826,,-0.0149,0.8963,0.9481,-0.8929,0.994,0.8622,0.733,-0.6826,-0.8831,0.9344,-0.3949,0.7976,0.9923,-0.9705
FH_CU_nochange,,,,,,,,,,,,,,-0.7683,0.9439,0.8963,0.6134,0.9832,0.9911,0.9991,0.9797,0.2983,-0.9982,-0.9968,0.89,0.0575,-0.7533,0.1832,,0.8207,0.9879,0.5766,0.6819,0.7357,1.0,0.6975,0.1088,0.9483,0.8727,-0.9395,1.0,-0.1587,0.9493,0.5975,0.8381,,,0.9997,1.0,1.0,-0.9065,1.0,-0.8923,0.2,0.9376,0.9939,0.9966,0.9995,-0.7982,0.8945,0.9277,-0.9716,-0.994,-0.9364,0.7575,-0.8517,,0.8287,0.6521,0.834,0.9886,-0.9002
FH_CU_scenario_high,,,,,,,,,,,,,,-0.525,0.9356,0.8613,0.6134,0.9878,0.9962,0.9973,0.9625,-0.1947,0.9982,-0.9902,0.865,0.0575,-0.7533,0.1832,,0.8207,0.9879,0.5766,0.6819,0.6812,1.0,0.505,0.1088,0.9483,0.8727,-0.9395,1.0,-0.314,0.9493,0.5975,0.8381,,,0.9997,1.0,1.0,-0.9065,1.0,0.8505,0.705,0.9599,0.9958,,,,,,,,,,,,,,,,
FH_CU_scenario_low,,,,,,,,,,,,,,-0.7683,0.9397,0.8849,0.6134,0.9867,0.9986,0.9934,0.8101,-0.0841,-0.9798,-0.9873,0.937,0.0575,-0.7533,0.1832,,0.8207,0.9879,0.5766,0.6819,0.8449,1.0,-0.7171,0.2861,0.9483,0.8727,-0.9395,1.0,0.0429,0.9477,0.5975,0.8381,,,0.9997,1.0,1.0,-0.9065,1.0,-0.8923,-0.38,0.9067,0.983,0.9966,0.9995,-0.7982,0.8892,0.9277,-0.9221,-0.994,-0.7848,0.7595,-0.8258,,0.9309,0.6392,0.8304,0.9886,-0.9002
